record_id,parent_tag,child_tag_or_pattern,historical_semantic,current_identifier_evidence,current_semantic_state,configuration,evidence_state,source_ids,source_locator,status,resolved_now,remaining_targets,notes
PXS-U3-CTR-001,PXS-PL-V014A,PXS-PL-V014A-L,limit switch,"No current Unit-3 child-tag occurrence recovered yet",UNRESOLVED_CURRENT,VOGTLE-3/VOGTLE-4-RECONCILIATION,UNRESOLVED,SRC-0432,"ML19171A061 UFSAR Rev.8 Table 3I.6-2",SEARCH_REQUIRED,"Historical tag and meaning","Current combined wiring; installed switch quantity; open/closed contact allocation; manufacturer/model; mounting/cam mechanism; terminal numbers; cable/PMS channel; current tag retention","Do not instantiate as current solely from Rev.8 table"
PXS-U3-CTR-002,PXS-PL-V014A,PXS-PL-V014A-S1,solenoid valve,"No current Unit-3 child-tag occurrence recovered yet",UNRESOLVED_CURRENT,VOGTLE-3/VOGTLE-4-RECONCILIATION,UNRESOLVED,SRC-0432,"ML19171A061 UFSAR Rev.8 Table 3I.6-2",SEARCH_REQUIRED,"Historical tag and meaning","Current combined wiring/current component test; solenoid manufacturer/model/coil voltage; normal state; porting; pneumatic tubing/fittings; terminals; cable; PMS output; fail-open logic","CMT parent valve itself is current; child suffix must be re-confirmed"
PXS-U3-CTR-003,PXS-PL-V014B,PXS-PL-V014B-L,limit switch,"No current Unit-3 child-tag occurrence recovered yet",UNRESOLVED_CURRENT,VOGTLE-3/VOGTLE-4-RECONCILIATION,UNRESOLVED,SRC-0432,"ML19171A061 UFSAR Rev.8 Table 3I.6-2",SEARCH_REQUIRED,"Historical tag and meaning","Current V014B wiring; installed switch/contact count; terminal/cable/PMS mapping; mechanical actuation","Pair with current V014B-S1 evidence but do not infer current -L retention"
PXS-U3-CTR-004,PXS-PL-V014B,PXS-PL-V014B-S1,solenoid valve,"Current Unit-3 component-test identifier V014B-S1 is explicitly documented",HISTORICAL_SEMANTIC_PLUS_CURRENT_IDENTIFIER,VOGTLE-3-CURRENT-PUBLIC,CORROBORATED_PUBLIC,SRC-0430;SRC-0432,"ML21133A105 B-GEN-ITPCI-039-F074 / ML19171A061 Table 3I.6-2",ACTIVE,"Current child identifier exists; historical table defines same suffix as solenoid valve","Obtain current combined wiring/vendor assembly to confirm S1 remains solenoid; manufacturer/model; coil voltage/resistance; pneumatic ports; normal state; terminals; cable; PMS output; bracket/fasteners; replacement/test interfaces","Strong candidate for canonical solenoid child object, but semantic promotion waits for current drawing confirmation"
PXS-U3-CTR-005,PXS-PL-V015A,PXS-PL-V015A-L,limit switch,"No current Unit-3 child-tag occurrence recovered yet",UNRESOLVED_CURRENT,VOGTLE-3/VOGTLE-4-RECONCILIATION,UNRESOLVED,SRC-0432,"ML19171A061 UFSAR Rev.8 Table 3I.6-2",SEARCH_REQUIRED,"Historical tag and meaning","Current combined wiring; switch assembly; contacts; terminals; PMS indication and cabling",""
PXS-U3-CTR-006,PXS-PL-V015A,PXS-PL-V015A-S1,solenoid valve,"Parent valve has current Unit-3 testing/circuit evidence but this child tag has not yet been observed in a current record",UNRESOLVED_CURRENT,VOGTLE-3/VOGTLE-4-RECONCILIATION,UNRESOLVED,SRC-0432;SRC-0419;SRC-0430,"ML19171A061 Table 3I.6-2 / current V015A component and dynamic tests",SEARCH_REQUIRED,"Historical child meaning plus current parent test basis","Current child tag; solenoid electrical/pneumatic details; terminals; PMS output; cable; mounting; normal/fail state","Do not use V014B-S1 current occurrence to infer V015A-S1 current retention"
PXS-U3-CTR-007,PXS-PL-V015B,PXS-PL-V015B-L,limit switch,"No current Unit-3 child-tag occurrence recovered yet",UNRESOLVED_CURRENT,VOGTLE-3/VOGTLE-4-RECONCILIATION,UNRESOLVED,SRC-0432,"ML19171A061 UFSAR Rev.8 Table 3I.6-2",SEARCH_REQUIRED,"Historical tag and meaning","Current wiring/contact/cable/PMS mapping",""
PXS-U3-CTR-008,PXS-PL-V015B,PXS-PL-V015B-S1,solenoid valve,"Parent valve has current Unit-3 diagnostic work order but current child tag has not yet been recovered",UNRESOLVED_CURRENT,VOGTLE-3/VOGTLE-4-RECONCILIATION,UNRESOLVED,SRC-0432;SRC-0430,"ML19171A061 Table 3I.6-2 / ML21133A105 V015B dynamic diagnostic work order",SEARCH_REQUIRED,"Historical child meaning and current parent diagnostic evidence","Current child identifier; solenoid model/coil/pneumatics/terminals/cable/PMS; mounting hardware",""
PXS-U3-CTR-009,PXS-PL-V108A,PXS-PL-V108A-L,limit switch,"No current Unit-3 suffix occurrence recovered yet; full Unit-3 combined-wiring family is known to exist",UNRESOLVED_CURRENT,VOGTLE-3/VOGTLE-4-RECONCILIATION,UNRESOLVED,SRC-0432;SRC-0422,"ML19171A061 Table 3I.6-2 / SV3-PXS-E5-PLV108A wiring family",SEARCH_REQUIRED,"Historical limit-switch semantic plus current parent wiring package","Current switch count/type; open/closed/position contacts; PV20 actuator cam/linkage; terminals; cable/PMS feedback; enclosure and mounting","Parent is current PV20 rotary ball valve; do not use former PV14 mapping"
PXS-U3-CTR-010,PXS-PL-V108A,PXS-PL-V108A-S1,solenoid valve,"No current Unit-3 suffix occurrence recovered yet; V108A combined wiring and cable PLV108ARZB are current",UNRESOLVED_CURRENT,VOGTLE-3/VOGTLE-4-RECONCILIATION,UNRESOLVED,SRC-0432;SRC-0422,"ML19171A061 Table 3I.6-2 / SV3-PXS-E5-PLV108A02",SEARCH_REQUIRED,"Historical solenoid semantic and current electrical package","Current S1 tag retention; solenoid make/model/coil; pneumatic porting; normal state; terminals; cable conductor mapping; PMS output; local mounting",""
PXS-U3-CTR-011,PXS-PL-V108B,PXS-PL-V108B-L,limit switch,"Historical child tag only at present",UNRESOLVED_CURRENT,VOGTLE-3/VOGTLE-4-RECONCILIATION,UNRESOLVED,SRC-0432;SRC-0413,"ML19171A061 Table 3I.6-2 / current installed V108B ball-valve evidence",SEARCH_REQUIRED,"Historical semantic; current parent valve confirmed","Recover V108B combined wiring and current child tags; position-switch details; terminals/cables/PMS; mounting on PV20 actuator",""
PXS-U3-CTR-012,PXS-PL-V108B,PXS-PL-V108B-S1,solenoid valve,"Historical child tag only at present",UNRESOLVED_CURRENT,VOGTLE-3/VOGTLE-4-RECONCILIATION,UNRESOLVED,SRC-0432;SRC-0413,"ML19171A061 Table 3I.6-2 / current installed V108B ball-valve evidence",SEARCH_REQUIRED,"Historical semantic; current parent valve confirmed","Current child-tag confirmation; solenoid/accessory wiring/pneumatics; PMS output; cable/JB/termination",""
