object_id,parent_id,name,object_type,quantity,system_id,nominal_dimension_or_description,evidence_state,source_ids,source_locator,status,notes
RCS-ASSEMBLY,PLANT-AP1000-R19,Reactor Coolant System,system_assembly,1,SYS-RCS,Two main heat-transfer loops,VERIFIED_PUBLIC,SRC-0011,NUREG-1793 Ch.5 pp.5-1 to 5-3,FOUNDATION,Project ID not vendor tag
RCS-RV,RCS-ASSEMBLY,Reactor vessel,pressure_vessel,1,SYS-RCS,Cylindrical vessel with hemispherical bottom head and removable flanged hemispherical upper head,VERIFIED_PUBLIC,SRC-0011,NUREG-1793 Ch.5 Sec.5.1.3.1 p.5-4,FOUNDATION,Includes CRDM housings at this decomposition level
RCS-LOOP-1,RCS-ASSEMBLY,Main coolant loop 1,loop_assembly,1,SYS-RCS,One SG + two RCPs + one hot leg + two cold legs,VERIFIED_PUBLIC,SRC-0011,NUREG-1793 Ch.5 Sec.5.1 pp.5-1 and 5-5,FOUNDATION,Numbering is project-local pending actual plant tags
RCS-LOOP-2,RCS-ASSEMBLY,Main coolant loop 2,loop_assembly,1,SYS-RCS,One SG + two RCPs + one hot leg + two cold legs,VERIFIED_PUBLIC,SRC-0011,NUREG-1793 Ch.5 Sec.5.1 pp.5-1 and 5-5,FOUNDATION,Numbering is project-local pending actual plant tags
RCS-SG-1,RCS-LOOP-1,Steam generator 1 primary-side assembly,steam_generator,1,SYS-RCS,Vertical shell and U-tube evaporator; RCS ownership includes primary channel head tube sheet and tubes,VERIFIED_PUBLIC,SRC-0011,NUREG-1793 Ch.5 Sec.5.1.3.2 pp.5-4 to 5-5,FOUNDATION,Secondary-side ownership/interfaces to SGS/FWS/MSS resolved separately
RCS-SG-2,RCS-LOOP-2,Steam generator 2 primary-side assembly,steam_generator,1,SYS-RCS,Vertical shell and U-tube evaporator; RCS ownership includes primary channel head tube sheet and tubes,VERIFIED_PUBLIC,SRC-0011,NUREG-1793 Ch.5 Sec.5.1.3.2 pp.5-4 to 5-5,FOUNDATION,Secondary-side ownership/interfaces to SGS/FWS/MSS resolved separately
RCS-RCP-1A,RCS-SG-1,Reactor coolant pump 1A,reactor_coolant_pump,1,SYS-RCS,Vertical single-stage hermetically sealed canned-motor centrifugal pump integrated into SG channel head,VERIFIED_PUBLIC,SRC-0011,NUREG-1793 Ch.5 Sec.5.1.3.3 p.5-5,FOUNDATION,Project-local suffix pending actual tag verification
RCS-RCP-1B,RCS-SG-1,Reactor coolant pump 1B,reactor_coolant_pump,1,SYS-RCS,Vertical single-stage hermetically sealed canned-motor centrifugal pump integrated into SG channel head,VERIFIED_PUBLIC,SRC-0011,NUREG-1793 Ch.5 Sec.5.1.3.3 p.5-5,FOUNDATION,Project-local suffix pending actual tag verification
RCS-RCP-2A,RCS-SG-2,Reactor coolant pump 2A,reactor_coolant_pump,1,SYS-RCS,Vertical single-stage hermetically sealed canned-motor centrifugal pump integrated into SG channel head,VERIFIED_PUBLIC,SRC-0011,NUREG-1793 Ch.5 Sec.5.1.3.3 p.5-5,FOUNDATION,Project-local suffix pending actual tag verification
RCS-RCP-2B,RCS-SG-2,Reactor coolant pump 2B,reactor_coolant_pump,1,SYS-RCS,Vertical single-stage hermetically sealed canned-motor centrifugal pump integrated into SG channel head,VERIFIED_PUBLIC,SRC-0011,NUREG-1793 Ch.5 Sec.5.1.3.3 p.5-5,FOUNDATION,Project-local suffix pending actual tag verification
