record_id,scope_or_tag,hardware_or_document,configuration,evidence_state,source_ids,source_locator,status,resolved_now,remaining_targets,notes
PXS-ACT-CFG-001,APP-PXS-PL-V014A,Fisher Type 657NS2 Size 80 actuator; Fisher serial 19073487,AP1000-VENDOR-CONFIG-HISTORY,VERIFIED_PUBLIC,SRC-0428,NRC Event Notification Report 2013-11-27 / Fisher FIN / WEC tag APP-PXS-PL-V014A,HISTORY_RECONCILIATION,"Generic AP1000 vendor tag-to-actuator model and serial are explicit","Determine whether this exact actuator/serial was installed on Vogtle Unit 3 V014A; recover current Unit-3 equipment/datasheet/CMTR/maintenance records; do not transfer serial without plant-specific proof","This is directly relevant vendor evidence for the CMT AOV family, not evidence for PRHR/PV20 hardware"
PXS-ACT-CFG-002,APP-PXS-PL-V014B,Fisher Type 657NS2 Size 80 actuator; Fisher serial 19073488,AP1000-VENDOR-CONFIG-HISTORY,VERIFIED_PUBLIC,SRC-0428,NRC Event Notification Report 2013-11-27 / Fisher FIN / WEC tag APP-PXS-PL-V014B,HISTORY_RECONCILIATION,"Generic AP1000 vendor tag-to-actuator model and serial are explicit","Recover Unit-3 installed actuator record and reconcile with V014B-S1/diagnostic work package; do not assign serial solely from APP tag","Do not confuse V014B-S1 child/test identifier with the actuator serial"
PXS-ACT-CFG-003,APP-PXS-PL-V015A,Fisher Type 657NS2 Size 80 actuator; Fisher serial 19073489,AP1000-VENDOR-CONFIG-HISTORY,VERIFIED_PUBLIC,SRC-0428,NRC Event Notification Report 2013-11-27 / Fisher FIN / WEC tag APP-PXS-PL-V015A,HISTORY_RECONCILIATION,"Generic AP1000 vendor tag-to-actuator model and serial are explicit","Recover current Unit-3 installed actuator/datasheet and reconcile against dynamic diagnostic and component-test records","No plant-specific serial inference"
PXS-ACT-CFG-004,APP-PXS-PL-V015B,Fisher Type 657NS2 Size 80 actuator; Fisher serial 19073490,AP1000-VENDOR-CONFIG-HISTORY,VERIFIED_PUBLIC,SRC-0428,NRC Event Notification Report 2013-11-27 / Fisher FIN / WEC tag APP-PXS-PL-V015B,HISTORY_RECONCILIATION,"Generic AP1000 vendor tag-to-actuator model and serial are explicit","Recover current Unit-3 installed actuator/datasheet and reconcile against dynamic diagnostic records","No plant-specific serial inference"
PXS-ACT-CFG-005,PXS-PL-V014A/B;V015A/B CMT discharge AOV family,"Current public functional type: four 8-in normally-closed fail-open air-operated globe valves; historical tag-specific Fisher 657NS2 Size-80 actuator records exist",AP1000/VOGTLE,CORROBORATED_PUBLIC,SRC-0414;SRC-0428;SRC-0425;SRC-0430,"Westinghouse public AP1000 PXS design description; 2013 NRC Part-21; Unit-3 EQ/walkdown and dynamic diagnostics",ACTIVE_RECONCILIATION,"CMT AOV count, size, globe body pattern, NC/FO safety function, and valve-specific Unit-3 test trail","Recover current Unit-3 valve datasheet/assembly drawing; body vendor/model; installed actuator make/model/size/serial; solenoid/position-switch arrangement; air-set/filter/regulator; stroke requirements; as-left diagnostic values","Previous project statement that PV20/Bettis was the CMT family was a source-association error. PV20 belongs to PRHR V108A/B"
PXS-ACT-CFG-006,PXS CMT discharge AOV current datasheet candidate,"PV14 is the AP1000 air-operated-globe-valve commodity family; exact datasheet-to-V014/V015 mapping remains unresolved",AP1000/VOGTLE,CORROBORATED_PUBLIC,SRC-0417;SRC-0429;SRC-0414,"NRC inspection identifies PV14 as Fisher HPNS/air-operated globe commodity; public AP1000 design identifies V014/V015 as 8-in AOV globes; document index contains PV14 datasheet families",ACTIVE_RECONCILIATION,"Commodity/body-pattern compatibility is established at family level only","Find a primary tag-specific PV14 datasheet/assembly record for V014/V015 before assigning any PV14 datasheet number, HPNS style, actuator-sizing report, or internal geometry","Do not reuse PV14 Datasheet 104 merely because its size/function appears compatible; tag-specific mapping is required"
PXS-ACT-CFG-007,PXS-PL-V014A/B;V015A/B,APP-PXS-M3C-162 AOV Functional Requirements for PXS CMT A/B Discharge Isolation Valves,AP1000-DCD-CHANGE-HISTORY,VERIFIED_PUBLIC,SRC-0424,ML112440588 reference list / APP-PXS-M3C-162 Rev.1,REFERENCE_FOUND,"Functional-requirements calculation identity is controlled","Recover required stroke time; fail-open mechanics; minimum thrust/air pressure; leakage; environmental/seismic requirements; accessory and indication requirements","Use to reconcile installed actuator selection against safety-function requirements"
PXS-ACT-CFG-008,PXS-PL-V108A/B,APP-PXS-M3C-163 AOV Functional Requirements for PXS PRHR HX Control Valves,AP1000-DCD-CHANGE-HISTORY,VERIFIED_PUBLIC,SRC-0424,ML112440588 reference list / APP-PXS-M3C-163 Rev.2,REFERENCE_FOUND,"PRHR AOV functional-requirements calculation identity is controlled","Recover required opening/modulation behavior if any; actuator torque/air-pressure basis; fail action; stroke/travel limits; leakage; qualification interfaces; reconcile to PV20 ball-valve assembly","Cross-check against the current PV20 rotary-ball-valve family, not PV14"
PXS-ACT-CFG-009,PXS-PL-V108A/B PRHR HX control AOV family,"APP-PV20-Z0-001 Passive Residual Heat Removal Discharge Valve; APP-PV20-VMM-001 Piston Operated Rotary Ball Valves; PV20 Fisher SS-264 valve qualification and Bettis actuator qualification; SV3-PV20-V2-101001 Datasheet 101 assembly drawing",AP1000/VOGTLE,VERIFIED_PUBLIC,SRC-0406;SRC-0413;SRC-0429,"ML19135A691 PRHR outlet-line inspection / ML18226A348 direct V108B ball-valve observation / ML20042E292 PV20 index",ACTIVE,"PRHR V108A/B are tied to the PV20 piston-operated rotary-ball-valve family; V108B is directly verified as installed Unit-3 ball valve","Recover V108A and V108B installed actuator model/size/serial independently; pneumatic accessory set; valve travel/torque; air supply/setpoints; ball/stem/seat/seal internals; current tag-specific assembly serials; full wiring packages","PV20/Bettis qualification belongs here, not to the CMT V014/V015 family"
PXS-ACT-CFG-010,PXS-PL-V042 nitrogen containment isolation valve,"PV14 Fisher commodity is confirmed; exact datasheet/assembly mapping remains unresolved",VOGTLE-3-CURRENT-PUBLIC,VERIFIED_PUBLIC,SRC-0417;SRC-0425,"ML17132A345 explicitly identifies V042 as PV14-Fisher commodity; ML22193A291 EQ package trail",ACTIVE,"V042 belongs to the PV14 Fisher qualified commodity family","Recover exact PV14 datasheet number, valve style/body size, actuator make/model, fail action, serials, accessories, and wiring/pneumatic interfaces","Previous project association of V042 with PV14 Datasheet 104 is reopened; no datasheet number is frozen without tag-specific evidence"
