record_id,zone,target_object_or_boundary,controlled_drawing_or_record,evidence_state,source_ids,status,resolved_now,remaining_closure,promotion_rule,do_not_infer,notes
"PXS-U3-RNS-PLGEO-001","DRAWING_CONTROL","Unit-3 RNS site P&ID","SV3-RNS-M6-001 Rev.4",VERIFIED_PUBLIC,"SRC-0759",ACTIVE_RETRIEVAL_ROUTE,"NRC directly identifies the Unit-3 site RNS P&ID revision used in the integrated functional-arrangement inspection","Recover the actual Rev.4 sheet content and all later site revisions/change notices; extract tag-to-line connections, branch nodes, line numbers, valve symbols, flow directions, off-sheet references and isometric references","Promote exact topology only from the site P&ID or a directly controlled successor drawing","Do not substitute APP-RNS-M6-001 Rev.13 for the site as-built P&ID","This is the highest-value single topology record for the final common-suction/P19/V022/V020/V021/V061 arrangement."
"PXS-U3-RNS-PLGEO-002","DRAWING_CONTROL","Unit-3 RNS functional-arrangement sketch","SV3-RNS-M6K-FA201 Rev.0",VERIFIED_PUBLIC,"SRC-0759",ACTIVE_RETRIEVAL_ROUTE,"NRC directly identifies the site functional-arrangement sketch derived from SV3-RNS-M6-001","Recover sketch content and compare against P&ID Rev.4; extract functional path sequence and any containment/branch grouping visible on the sketch","Use the sketch to corroborate topology; use detailed P&ID/isometrics for physical geometry","Do not treat a functional sketch as a dimensional or weld-level drawing","Useful bridge for confirming sequence when the P&ID and isometrics are recovered."
"PXS-U3-RNS-PLGEO-003","DRAWING_CONTROL","Standard-design RNS P&ID reconciliation","APP-RNS-M6-001 Rev.13",VERIFIED_PUBLIC,"SRC-0760",DESIGN_RECONCILIATION_ROUTE,"NRC directly identifies APP-RNS-M6-001 Rev.13 in the Unit-3 review population","Recover Rev.13 content plus revision/change history through later APP revisions; identify which post-LAR changes affect V020/V021/V061/P19/V022 and trace implementation into the SV3 drawing set","Promote only those standard-design details with an explicit Unit-3 implementation bridge","Do not call APP Rev.13 the Unit-3 as-built P&ID","This closes the design-side half of the APP↔SV3 reconciliation chain."
"PXS-U3-RNS-PLGEO-004","INSIDE_CONTAINMENT","B-side Class-1 branch downstream of V002B","RNS-PL-V002B outlet → B-branch recombination node",CORROBORATED_PUBLIC,"SRC-0733;SRC-0759",RETRIEVAL_REQUIRED,"U.S. AP1000 topology establishes that the V001/V002 A/B branches recombine before the common suction penetration; V002B remains the outer B-side RCPB MOV","Recover V002B outlet line number, branch spool, tee/wye or header-combining fitting, adjacent welds, supports and coordinates from the site P&ID/isometric","Promote a fitting/line only when explicitly printed on a Unit-3 drawing","Do not model V002B as directly connected to P19 or V022","This is the corrected physical boundary replacing the older B-train-only containment-transition shorthand."
"PXS-U3-RNS-PLGEO-005","INSIDE_CONTAINMENT","A/B suction branch recombination","V002A outlet + V002B outlet → common RNS suction header",CORROBORATED_PUBLIC,"SRC-0733;SRC-0759",RETRIEVAL_REQUIRED,"NRC design text establishes a common suction header after the two parallel RCPB branches","Recover exact Unit-3 combining fitting/header spool, line number, size/class/material, welds, support restraints and centerline coordinates","Promote only from current site P&ID/isometric/line table","Do not infer tee orientation, branch angle or equal-length symmetry","This node is the key transition from parallel RCPB branches to the common containment-crossing path."
"PXS-U3-RNS-PLGEO-006","LTOP_INLET","V020 inlet branch/takeoff","RNS-PL-V020",VERIFIED_PUBLIC,"SRC-0735;SRC-0736;SRC-0752;SRC-0759;SRC-0762;SRC-0765;SRC-0766",RETRIEVAL_REQUIRED,"Final Vogtle configuration includes the added 1-in relief valve in parallel with V021 and plant-specific piping changes intended in part to reduce inlet losses; PLW-021 is now a direct Unit-3 isometric route carrying L040/L061/L062; Amendment 104 changed the Tier-1 RNS piping table; Plant-Specific Tier 1 Rev.9 is a preferred post-amendment master route","Recover final post-LAR tag-to-line mapping and exact inlet takeoff node, line number/size/schedule/class/material, branch fitting, run length, elevation changes, elbows/reducers, supports and valve installation orientation","Promote V020 placement only when PLW-021, the amended/current Tier-1 table, or another post-LAR controlled drawing/change package explicitly prints V020","Do not back-calculate branch geometry or assume V020 occupies L062 or the pre-change L040 path","PLW-021 narrows the search but its October-2017 state predates final Amendment-104 implementation."
"PXS-U3-RNS-PLGEO-007","LTOP_INLET","V021 retained inlet branch/takeoff","RNS-PL-V021",VERIFIED_PUBLIC,"SRC-0739;SRC-0759;SRC-0762;SRC-0764",RETRIEVAL_REQUIRED,"V021 is the retained 3-in hot-leg suction relief valve with a direct PV16 qualification/data-sheet route; PLW-021 carries Unit-3 L040 and generic AP1000 evidence identifies the L040 family as LTOP relief","Recover site drawing/change-package evidence explicitly bridging V021 to L040 or another final line and extract final inlet geometry after V020 addition","Promote exact V021 line/fitting geometry only from final Unit-3 controlled drawings","Do not convert the generic L040 family role into a V021 site tag-to-line assignment without the site bridge","PLW-021 is now the strongest physical-drawing candidate for the retained relief branch."
"PXS-U3-RNS-PLGEO-008","LTOP_OUTLET","V020/V021 relief discharge routing to WLS containment sump","RNS-PL-V020 / RNS-PL-V021 → WLS containment sump",VERIFIED_PUBLIC,"SRC-0741;SRC-0742;SRC-0743;SRC-0759;SRC-0762;SRC-0765;SRC-0766",RETRIEVAL_REQUIRED,"Final receiving boundary is the WLS containment sump; PLW-021 carries L040/L061/L062 but does not publicly expose which are inlet versus outlet portions or whether relief outlets combine; Amendment 104 changed the Tier-1 RNS piping table and Plant-Specific Tier 1 Rev.9 is a current master retrieval route","Recover each relief-valve outlet line number/size/class/material, whether the outlets recombine, branch fittings, supports, discharge nozzle/interface, drain/test hardware and exact WLS P&ID/isometric bridge","Promote physical routing only from post-LAR RNS/WLS drawings or the issued/current line-table records","Do not assign L062 as the relief outlet merely because its function is currently unresolved","Destination is resolved; route is not."
"PXS-U3-RNS-PLGEO-009","CVS_INTERFACE","V061 CVS-return tie-in to RNS suction","RNS-PL-V061",VERIFIED_PUBLIC,"SRC-0750;SRC-0751;SRC-0759;SRC-0762;SRC-0764;SRC-0771",RETRIEVAL_REQUIRED,"V061 is the CVS Return to RNS Suction in-containment containment-isolation valve; PLW-021 carries Unit-3 L061 and generic AP1000 evidence identifies the L061 family as RNS suction from CVS; NRC identifies V061 as a 3-in globe AOV and provides a tag-specific 2020 dynamic-diagnostic work package","Recover the explicit Unit-3 V061↔line/isometric bridge, exact RNS/CVS tie-in fitting, side of P19, class-break weld, actuator orientation, local tubing/supports and coordinates","Promote V061→L061 only when PLW-021/P&ID/change package explicitly prints the relationship","Do not treat the semantic match between V061 and L061 as proof","The evidence now converges strongly on PLW-021 as the key V061-region isometric, but the final tag placement remains gated."
"PXS-U3-RNS-PLGEO-010","PENETRATION","Common suction penetration P19 process-pipe route","SV3-RNS-PY-C01 / P19",VERIFIED_PUBLIC,"SRC-0730;SRC-0731;SRC-0734;SRC-0759",RETRIEVAL_REQUIRED,"P19 is the Unit-3 RCS-to-RHR-pump-out common suction penetration with a resolved sleeve/guard/flued-head pressure-boundary weld stack","Recover process-pipe line through P19, spool/weld identifiers tying the process line to the penetration assembly, exact elevation/azimuth and nearby supports/restraints","Promote coordinates and process line only from penetration-location/list drawings plus site RNS drawings","Do not use the mechanical penetration weld stack as a substitute for process-pipe connectivity","P19 mechanical identity is closed more strongly than its process-pipe geometry."
