document_map_id,configuration,document_id,document_title_or_scope,revision_or_status,document_type,plant_area_or_system,source_ids,source_locator,evidence_state,status,notes
PXS-DOC-001,AP1000-DCD-R19-GENERIC,ML11171A459,AP1000 DCD Revision 19 Tier 2 Section 6.3 Passive Core Cooling System,Revision 19,DCD chapter,PXS,SRC-0402,ADAMS ML11171A459,VERIFIED_PUBLIC,PRIMARY,Controlling generic PXS topology/design-feature source
PXS-DOC-002,AP1000-DCD-R19-GENERIC,APP-PXS-M6-001,Passive Core Cooling System P&ID,public inspection-cited revision,P&ID,PXS,SRC-0206;SRC-0402,NRC construction inspection document trail,VERIFIED_PUBLIC,REFERENCE_FOUND,Retrieve highest public revision before assigning final valve/line tags
PXS-DOC-003,AP1000-DCD-R19-GENERIC,APP-PXS-M6-002,Passive Core Cooling System P&ID,public inspection-cited revision,P&ID,PXS,SRC-0206;SRC-0402,NRC construction inspection document trail,VERIFIED_PUBLIC,REFERENCE_FOUND,
PXS-DOC-004,AP1000-DCD-R19-GENERIC,APP-PXS-M6-003,Passive Core Cooling System P&ID,public inspection-cited revision,P&ID,PXS,SRC-0206;SRC-0402,NRC construction inspection document trail,VERIFIED_PUBLIC,REFERENCE_FOUND,
PXS-DOC-005,AP1000/VOGTLE,APP-MW01-Z0-001,Design Specification for ADS Sparger,public specification index,design_specification,PXS ADS sparger,SRC-0407,Westinghouse design-reference/Tier-3 index,VERIFIED_PUBLIC,REFERENCE_FOUND,High priority for materials pressure loads nozzles welds supports and hole-layout details if content is publicly retrievable
PXS-DOC-006,AP1000/VOGTLE,APP-MY03-Z0-001,Design Specification for Passive Core Cooling System Screens,public specification index,design_specification,PXS screens,SRC-0405;SRC-0407,NRC ITAAC inspection / Westinghouse index,VERIFIED_PUBLIC,REFERENCE_FOUND,Use with as-built screen drawings and ITAAC dimensions
PXS-DOC-007,VOGTLE-3-CURRENT-PUBLIC,SV3-PXS-MW-01A,ADS Sparger A as-built equipment tag,as-built verified,equipment_tag,PXS ADS sparger,SRC-0404,NRC inspection ML17044A539,VERIFIED_PUBLIC,AS_BUILT_VERIFIED,Four arms; 350 holes/arm; 1400 total
PXS-DOC-008,VOGTLE-3-CURRENT-PUBLIC,SV3-PXS-MW-01B,ADS Sparger B as-built equipment tag,as-built verified,equipment_tag,PXS ADS sparger,SRC-0404,NRC inspection ML17044A539,VERIFIED_PUBLIC,AS_BUILT_VERIFIED,Four arms; 350 holes/arm; 1400 total
PXS-DOC-009,VOGTLE-3-CURRENT-PUBLIC,APP-PXS-MY-Y01A,IRWST Screen A equipment tag/as-built drawing trail,as-built verified,equipment_tag_or_drawing,PXS IRWST screen,SRC-0405,NRC screen ITAAC inspection ML21314A277,VERIFIED_PUBLIC,AS_BUILT_VERIFIED,Exact referenced drawing revision to extract from inspection attachments
PXS-DOC-010,VOGTLE-3-CURRENT-PUBLIC,APP-PXS-MY-Y01B,IRWST Screen B equipment tag/as-built drawing trail,as-built verified,equipment_tag_or_drawing,PXS IRWST screen,SRC-0405,NRC screen ITAAC inspection ML21314A277,VERIFIED_PUBLIC,AS_BUILT_VERIFIED,
