record_id,tag_or_mark,equipment_name,component_type,parent_or_path,configuration,evidence_state,source_ids,source_locator,status,notes
PXS-U3-001,PXS-PL-V002A,CMT A inlet isolation motor-operated valve,motor_operated_valve,CMT A pressure-balance/inlet line,VOGTLE-3-CURRENT-PUBLIC,VERIFIED_PUBLIC,SRC-0415,ML17226A034 Unit-3/4 EQ inspection; PXS-PL-V002A explicitly sampled for Unit 3,ACTIVE,Confirms Unit-3 installation/tag; exact body pattern size operator and line sequence still require P&ID/datasheet closure
PXS-U3-002,PXS-PL-V015A,CMT A discharge isolation air-operated valve,air_operated_valve,CMT A injection train,VOGTLE-3-CURRENT-PUBLIC,VERIFIED_PUBLIC,SRC-0419,ML22040A213 Sec.3T02 component test B-GEN-ITPCI-039-F075 PXS-PL-V015A-S1,ACTIVE,Unit-3 active-function test evidence; counterpart valves V014A/B V015B remain controlled by DCD/COL and other plant records until Unit-3-specific confirmation is added
PXS-U3-003,PXS-PL-V016A,CMT A discharge check valve,nozzle_or_tilt_disc_check_valve,CMT A injection train,VOGTLE-3-CURRENT-PUBLIC,VERIFIED_PUBLIC,SRC-0417;SRC-0412,ML17132A345 active-equipment qualification plus ML20287A408 transfer-open/closed family evidence,ACTIVE,Inspection identifies commodity PV03 ERZ nozzle check; reconcile exact final type terminology with current P&ID/vendor data
PXS-U3-004,PXS-PL-V022A,Accumulator A pressure relief valve,pressure_relief_valve,Accumulator A gas/pressure boundary,VOGTLE-3-CURRENT-PUBLIC,VERIFIED_PUBLIC,SRC-0416,ML18226A348 Sec.1A23 APP-PV16-Z0D-104 relief-valve qualification,ACTIVE,Public record exposes AP1000 PV16 datasheet/manual/design-report trail; set pressure capacity discharge termination and installed line still unresolved
PXS-U3-005,PXS-PL-V028A,Accumulator A discharge check valve,swing_check_valve,Accumulator A injection train,VOGTLE-3-CURRENT-PUBLIC,VERIFIED_PUBLIC,SRC-0417;SRC-0412,ML17132A345 identifies PV03 swing-check commodity; ML20287A408 transfer testing,ACTIVE,Unit-3 confirmation of tag/type family
PXS-U3-006,PXS-PL-V042,Nitrogen supply containment isolation valve,isolation_valve,Accumulator nitrogen supply boundary,VOGTLE-3-CURRENT-PUBLIC,VERIFIED_PUBLIC,SRC-0417,ML17132A345 Unit-3/4 EQ inspection identifies PV14 Fisher valve,ACTIVE,Exact body pattern size fail position actuator and upstream nitrogen source/regulation chain remain unresolved
PXS-U3-007,PXS-PL-V043,Nitrogen supply containment isolation check valve,check_valve,Accumulator nitrogen supply boundary,VOGTLE-3-CURRENT-PUBLIC,VERIFIED_PUBLIC,SRC-0412,ML20287A408 Attachment A lists nitrogen supply containment isolation check valve V043,ACTIVE,Exact physical order relative V042/penetration still requires current P&ID
PXS-U3-008,PXS-PL-V101,PRHR HX inlet isolation motor-operated valve,motor_operated_valve,PRHR inlet line / RCS-PL-L134,VOGTLE-3-CURRENT-PUBLIC,VERIFIED_PUBLIC,SRC-0418,ML19135A691 Sec.1A12 Unit-3 14-in MOV installation/weld inspection,ACTIVE,Observed welded to RCS-PL-L134 316LN piping with ER316L filler; exact upstream/downstream spool sequence and operator details remain unresolved
PXS-U3-009,PXS-PL-V108A,PRHR HX control valve,air_operated_valve,PRHR inlet/control path,VOGTLE-3-CURRENT-PUBLIC,VERIFIED_PUBLIC,SRC-0422,ML20128J831 combined wiring drawing SV3-PXS-E5-PLV108A02,ACTIVE,Unit-3 wiring evidence confirms installed tag/control interface; mechanical body type to resolve separately
PXS-U3-010,PXS-PL-V108B,PRHR HX control valve,air_operated_ball_valve,PRHR line PXS-L104B,VOGTLE-3-CURRENT-PUBLIC,VERIFIED_PUBLIC,SRC-0413,ML18226A348 Sec.1A40 field weld to PXS-PL-V108B,ACTIVE,Unit-3 fabrication inspection identifies ball-valve body
PXS-U3-011,PXS-PL-V109,PRHR HX return maintenance isolation valve,gate_valve,PRHR return line PXS-L104B,VOGTLE-3-CURRENT-PUBLIC,VERIFIED_PUBLIC,SRC-0413,ML18226A348 Sec.1A40 PRHR return line PXS-L104B upstream of gate valve V109,ACTIVE,Administrative position/operator details unresolved
PXS-U3-012,PXS-PL-V117A,Containment recirculation A isolation valve,motor_operated_valve,Containment recirculation train A,VOGTLE-3-CURRENT-PUBLIC,VERIFIED_PUBLIC,SRC-0422,ML20128J831 combined wiring drawing SV3-PXS-E5-PLV117A04,ACTIVE,Unit-3 wiring evidence confirms installed tag; mechanical diagnostic/as-built line mapping still pending
PXS-U3-013,PXS-PL-V117B,Containment recirculation B isolation valve,motor_operated_valve,Containment recirculation train B,VOGTLE-3-CURRENT-PUBLIC,VERIFIED_PUBLIC,SRC-0419,ML22040A213 static diagnostic work package SV3-PXS-T0W-1045343,ACTIVE,Unit-3 diagnostic testing directly confirms installed tag
PXS-U3-014,PXS-PL-V118A,Containment recirculation A squib valve,squib_valve,Containment recirculation train A,VOGTLE-3-CURRENT-PUBLIC,VERIFIED_PUBLIC,SRC-0415;SRC-0420,ML17226A034 8-in PXS squib-valve design inspection; ML17363A285 COL risk-significant list,ACTIVE,Exact branch spool and serial-number mapping still pending
PXS-U3-015,PXS-PL-V118B,Containment recirculation B squib valve,squib_valve,Containment recirculation train B,VOGTLE-3-CURRENT-PUBLIC,VERIFIED_PUBLIC,SRC-0415;SRC-0420,ML17226A034 and ML17363A285,ACTIVE,
PXS-U3-016,PXS-PL-V119A,Containment recirculation A check valve,check_valve,Containment recirculation train A,VOGTLE-3-CURRENT-PUBLIC,VERIFIED_PUBLIC,SRC-0412,ML19161A102 Unit-3 preoperational recirculation transfer-open/closed testing,ACTIVE,Test path explicitly references SV3-PXS-M6-002 P&ID
PXS-U3-017,PXS-PL-V119B,Containment recirculation B check valve,check_valve,Containment recirculation train B,VOGTLE-3-CURRENT-PUBLIC,VERIFIED_PUBLIC,SRC-0412,ML19161A102 Unit-3 preoperational recirculation transfer-open/closed testing,ACTIVE,Test path explicitly references SV3-PXS-M6-002 P&ID
PXS-U3-018,PXS-PL-V120A,Containment recirculation A squib valve,squib_valve,Containment recirculation train A,VOGTLE-3-CURRENT-PUBLIC,VERIFIED_PUBLIC,SRC-0415;SRC-0420,ML17226A034 and ML17363A285,ACTIVE,
PXS-U3-019,PXS-PL-V120B,Containment recirculation B squib valve,squib_valve,Containment recirculation train B,VOGTLE-3-CURRENT-PUBLIC,VERIFIED_PUBLIC,SRC-0415;SRC-0419;SRC-0420,ML17226A034 design inspection plus ML22040A213 Unit-3 component test and COL list,ACTIVE,Strong Unit-3 confirmation
PXS-U3-020,PXS-PL-V122A,IRWST injection A check valve,check_valve,IRWST injection train A,VOGTLE-3-CURRENT-PUBLIC,VERIFIED_PUBLIC,SRC-0412;SRC-0420,ML19161A102 transfer-open/closed testing; ML17363A285 COL list,ACTIVE,
PXS-U3-021,PXS-PL-V122B,IRWST injection B check valve,check_valve,IRWST injection train B,VOGTLE-3-CURRENT-PUBLIC,VERIFIED_PUBLIC,SRC-0412;SRC-0420,ML19161A102; ML17363A285,ACTIVE,
PXS-U3-022,PXS-PL-V123A,IRWST injection A squib valve,squib_valve,IRWST injection train A,VOGTLE-3-CURRENT-PUBLIC,VERIFIED_PUBLIC,SRC-0415;SRC-0419;SRC-0422;SRC-0423,ML17226A034 design inspection; ML22040A213 component test; ML20128J831 wiring; ML23129A022 installed-valve repair history,ACTIVE,Multiple independent Unit-3 records confirm installed valve and electrical/mechanical interfaces
PXS-U3-023,PXS-PL-V123B,IRWST injection B squib valve,squib_valve,IRWST injection train B,VOGTLE-3-CURRENT-PUBLIC,VERIFIED_PUBLIC,SRC-0415;SRC-0420,ML17226A034; ML17363A285,ACTIVE,
PXS-U3-024,PXS-PL-V124A,IRWST injection A check valve,check_valve,IRWST injection train A,VOGTLE-3-CURRENT-PUBLIC,VERIFIED_PUBLIC,SRC-0412;SRC-0420,ML19161A102; ML17363A285,ACTIVE,
PXS-U3-025,PXS-PL-V124B,IRWST injection B check valve,check_valve,IRWST injection train B,VOGTLE-3-CURRENT-PUBLIC,VERIFIED_PUBLIC,SRC-0412;SRC-0420,ML19161A102; ML17363A285,ACTIVE,
PXS-U3-026,PXS-PL-V125A,IRWST injection A squib valve,squib_valve,IRWST injection train A,VOGTLE-3-CURRENT-PUBLIC,VERIFIED_PUBLIC,SRC-0415;SRC-0420,ML17226A034; ML17363A285,ACTIVE,
PXS-U3-027,PXS-PL-V125B,IRWST injection B squib valve,squib_valve,IRWST injection train B,VOGTLE-3-CURRENT-PUBLIC,VERIFIED_PUBLIC,SRC-0415;SRC-0419;SRC-0420,ML17226A034 design inspection; ML22040A213 component test; ML17363A285,ACTIVE,
PXS-U3-028,PXS-PL-V130A,IRWST gutter bypass/isolation valve A,isolation_valve,IRWST gutter drain/condensate recovery,VOGTLE-3-CURRENT-PUBLIC,VERIFIED_PUBLIC,SRC-0420;SRC-0422,ML17363A285 COL list; ML20128J831 wiring drawing SV3-PXS-E5-PLV130A02,ACTIVE,Unit-3 electrical evidence plus licensing tag confirmation
