system_id,system_code,system_name,functional_group,configuration,evidence_state,source_ids,source_locator,status,notes
SYS-CVS,CVS,Chemical and Volume Control System,Reactivity/Inventory Control,AP1000-DCD-R19-GENERIC,VERIFIED_PUBLIC,SRC-0006,NUREG-2103 Table 1,SEED,Operator-taxonomy seed; DCD/UFSAR decomposition pending
SYS-DRCS,DRCS,Digital Rod Control System,Reactivity Control,AP1000-DCD-R19-GENERIC,VERIFIED_PUBLIC,SRC-0006,NUREG-2103 Table 1,SEED,
SYS-RPIS,RPIS,Rod Position Indication System,Reactivity Control,AP1000-DCD-R19-GENERIC,VERIFIED_PUBLIC,SRC-0006,NUREG-2103 Table 1,SEED,
SYS-ESAS,ESAS,Engineered Safeguards Actuation System,Inventory/Protection,AP1000-DCD-R19-GENERIC,VERIFIED_PUBLIC,SRC-0006,NUREG-2103 Table 1,SEED,
SYS-PLCS,PLCS,Pressurizer Level Control System,Inventory Control,AP1000-DCD-R19-GENERIC,VERIFIED_PUBLIC,SRC-0006,NUREG-2103 Table 1,SEED,
SYS-PXS,PXS,Passive Core Cooling System,Inventory/Heat Removal,AP1000-DCD-R19-GENERIC,VERIFIED_PUBLIC,SRC-0006,NUREG-2103 Table 1,SEED,
SYS-RCS,RCS,Reactor Coolant System,Primary Heat Transport,AP1000-DCD-R19-GENERIC,VERIFIED_PUBLIC,SRC-0006,NUREG-2103 Table 1,SEED,
SYS-ADS,ADS,Automatic Depressurization System,Reactor Pressure Control,AP1000-DCD-R19-GENERIC,VERIFIED_PUBLIC,SRC-0006,NUREG-2103 Table 1,SEED,
SYS-PPCS,PPCS,Pressurizer Pressure Control System,Reactor Pressure Control,AP1000-DCD-R19-GENERIC,VERIFIED_PUBLIC,SRC-0006,NUREG-2103 Table 1,SEED,
SYS-PRHR,PRHR,Passive Residual Heat Removal System,Primary Heat Removal,AP1000-DCD-R19-GENERIC,VERIFIED_PUBLIC,SRC-0006,NUREG-2103 Table 1,SEED,
SYS-RCP,RCP,Reactor Coolant Pump System,Primary Heat Transport,AP1000-DCD-R19-GENERIC,VERIFIED_PUBLIC,SRC-0006,NUREG-2103 Table 1,SEED,
SYS-RNS,RNS,Normal Residual Heat Removal System,Primary Heat Removal,AP1000-DCD-R19-GENERIC,VERIFIED_PUBLIC,SRC-0006,NUREG-2103 Table 1,SEED,
SYS-SGS,SGS,Steam Generator System,Primary/Secondary Heat Transfer,AP1000-DCD-R19-GENERIC,VERIFIED_PUBLIC,SRC-0006,NUREG-2103 Table 1,SEED,
SYS-CDS,CDS,Condensate System,Secondary Heat Removal,AP1000-DCD-R19-GENERIC,VERIFIED_PUBLIC,SRC-0006,NUREG-2103 Table 1,SEED,
SYS-CMS,CMS,Condenser Air Removal System,Secondary Heat Removal,AP1000-DCD-R19-GENERIC,VERIFIED_PUBLIC,SRC-0006,NUREG-2103 Table 1,SEED,
SYS-FWS,FWS,Main and Startup Feedwater System,Secondary Heat Removal,AP1000-DCD-R19-GENERIC,VERIFIED_PUBLIC,SRC-0006,NUREG-2103 Table 1,SEED,
SYS-MSS,MSS,Main Steam System,Secondary Heat Removal,AP1000-DCD-R19-GENERIC,VERIFIED_PUBLIC,SRC-0006,NUREG-2103 Table 1,SEED,
SYS-MTS,MTS,Main Turbine and Main Turbine Control Systems,Power Conversion,AP1000-DCD-R19-GENERIC,VERIFIED_PUBLIC,SRC-0006,NUREG-2103 Table 1,SEED,
SYS-SDCS,SDCS,Steam Dump Control System,Secondary Heat Removal,AP1000-DCD-R19-GENERIC,VERIFIED_PUBLIC,SRC-0006,NUREG-2103 Table 1,SEED,
SYS-SWS,SWS,Service Water System,Heat Rejection/Service,AP1000-DCD-R19-GENERIC,VERIFIED_PUBLIC,SRC-0006,NUREG-2103 Table 1,SEED,
SYS-CNS,CNS,Containment System,Containment Integrity,AP1000-DCD-R19-GENERIC,VERIFIED_PUBLIC,SRC-0006,NUREG-2103 Table 1,SEED,
SYS-PCS,PCS,Passive Containment Cooling System,Containment Integrity,AP1000-DCD-R19-GENERIC,VERIFIED_PUBLIC,SRC-0006,NUREG-2103 Table 1,SEED,
SYS-VLS,VLS,Containment Hydrogen Control System,Containment Integrity,AP1000-DCD-R19-GENERIC,VERIFIED_PUBLIC,SRC-0006,NUREG-2103 Table 1,SEED,
SYS-ECS,ECS,AC Electrical Distribution Systems,Electrical,AP1000-DCD-R19-GENERIC,VERIFIED_PUBLIC,SRC-0006,NUREG-2103 Table 1,SEED,
SYS-IDS,IDS,Class 1E and Non 1E DC and UPS Systems,Electrical,AP1000-DCD-R19-GENERIC,VERIFIED_PUBLIC,SRC-0006,NUREG-2103 Table 1,SEED,
SYS-ZOS,ZOS,Onsite Standby Power System,Electrical,AP1000-DCD-R19-GENERIC,VERIFIED_PUBLIC,SRC-0006,NUREG-2103 Table 1,SEED,
SYS-DAS,DAS,Diverse Actuation System,Instrumentation/Protection,AP1000-DCD-R19-GENERIC,VERIFIED_PUBLIC,SRC-0006,NUREG-2103 Table 1,SEED,
SYS-IIS,IIS,Incore Instrumentation System,Instrumentation,AP1000-DCD-R19-GENERIC,VERIFIED_PUBLIC,SRC-0006,NUREG-2103 Table 1,SEED,
SYS-NIS,NIS,Nuclear Instrumentation System,Instrumentation,AP1000-DCD-R19-GENERIC,VERIFIED_PUBLIC,SRC-0006,NUREG-2103 Table 1,SEED,
