record_id,parent_support,component_or_feature,component_type,quantity,confirmed_detail,configuration,evidence_state,source_ids,source_locator,status,remaining_targets,notes
PXS-SMD-001,PXS-PH-11R2107,vertical I-beam column A,structural_member,1,"One of two vertical I-beam columns in ASME Class 3 JBC stainless support at bottom of IRWST",VOGTLE-3-CURRENT-PUBLIC,VERIFIED_PUBLIC,SRC-0413,"ML18226A348 Sec.1A17; SV3-PXS-PH-11R2107; SV3-PXS-PHK-876822",ACTIVE,"Exact section designation; web/flange thickness; length; stainless grade/heat; end preparation; pipe-restraint connection; coordinates","Keep column A/B separate because each base weld and geometry can differ"
PXS-SMD-002,PXS-PH-11R2107,vertical I-beam column B,structural_member,1,"Second of two vertical I-beam columns",VOGTLE-3-CURRENT-PUBLIC,VERIFIED_PUBLIC,SRC-0413,"ML18226A348 Sec.1A17; SV3-PXS-PH-11R2107; SV3-PXS-PHK-876822",ACTIVE,"Exact section designation; dimensions; length; material/heat; end preparation; restraint connection; coordinates","Do not collapse with column A in CAD/BOM"
PXS-SMD-003,PXS-PH-11R2107,base fillet weld FW-1,weld,1,"Base weld FW-1; GTAW; support weld-data-sheet family SV3-PXS-PH-11R2107-1",VOGTLE-3-CURRENT-PUBLIC,VERIFIED_PUBLIC,SRC-0413,"ML18226A348 Sec.1A17; WDS SV3-PXS-PH-11R2107-1",ACTIVE,"Which column/base edge; weld size; effective length; joint preparation; exact ER309L heat used; acceptance/NDE record; final coordinates","Model as physical weld bead/joint after geometry is recovered"
PXS-SMD-004,PXS-PH-11R2107,base fillet weld FW-4,weld,1,"Base weld FW-4; GTAW; support weld-data-sheet family SV3-PXS-PH-11R2107-4",VOGTLE-3-CURRENT-PUBLIC,VERIFIED_PUBLIC,SRC-0413,"ML18226A348 Sec.1A17; WDS SV3-PXS-PH-11R2107-4",ACTIVE,"Which column/base edge; weld size; effective length; joint preparation; exact ER309L heat used; acceptance/NDE; coordinates","Maintain independently from FW-1"
PXS-SMD-005,PXS-PH-11R2107,base plate or structural substrate interface,structural_attachment,1,"Support is welded at bottom of IRWST; exact substrate/plate geometry not yet recovered",VOGTLE-3-CURRENT-PUBLIC,UNRESOLVED,SRC-0413,"ML18226A348 Sec.1A17",ACTIVE,"Base plate quantity; length/width/thickness; material; embed/liner/structural substrate identity; attachment coordinates; weld layout; anchors if any; surface finish/coating","No anchor bolts are assumed unless drawing shows them"
PXS-SMD-006,PXS-PH-11R2107,L180B pipe restraint/clamp interface,pipe_support_interface,UNRESOLVED,"Support serves IRWST screen cross-connect line L180B",VOGTLE-3-CURRENT-PUBLIC,VERIFIED_PUBLIC,SRC-0413,"ML18226A348 Sec.1A17 / SV3-PXS-PLW-100-R2",ACTIVE,"Clamp/saddle/lug type; count; pipe contact geometry; liner/pad; bolts/nuts/washers; gap; restraint direction; welds; allowable movement","Required before support can be physically complete"
PXS-SMD-007,PXS-PH-11R0269,square-tube support member set,structural_member,UNRESOLVED,"ASME Class 1 carbon-steel square-tube support upstream of V109",VOGTLE-3-CURRENT-PUBLIC,VERIFIED_PUBLIC,SRC-0413,"ML18226A348 Sec.1A16; SV3-PXS-PH-11R0269",ACTIVE,"Member count; square-tube section; wall thickness; lengths; carbon-steel grade/heats; miters/end cuts; gussets/stiffeners; coordinates","Do not infer number of tubes from generic support practice"
PXS-SMD-008,PXS-PH-11R0269,support fillet weld set 1,weld,1,"Controlled by WDS SV3-PXS-PH-11R0269-1; E7018 electrode record available",VOGTLE-3-CURRENT-PUBLIC,VERIFIED_PUBLIC,SRC-0413,"ML18226A348 Sec.1A16",ACTIVE,"Joint members; weld size/length; exact electrode lot allocation; NDE/VT; coordinates; demand/margin","One of two NRC-observed carbon-steel fillet welds"
PXS-SMD-009,PXS-PH-11R0269,support fillet weld set 2,weld,1,"Controlled by WDS SV3-PXS-PH-11R0269-2; E7018 electrode record available",VOGTLE-3-CURRENT-PUBLIC,VERIFIED_PUBLIC,SRC-0413,"ML18226A348 Sec.1A16",ACTIVE,"Joint members; weld size/length; exact electrode lot allocation; NDE/VT; coordinates; demand/margin","Track separately from weld set 1"
PXS-SMD-010,PXS-PH-11R0269,base or structural attachment,structural_attachment,1,"Support attachment exists; exact base/plate/structural interface unresolved",VOGTLE-3-CURRENT-PUBLIC,UNRESOLVED,SRC-0413,"ML18226A348 Sec.1A16",ACTIVE,"Base plate; structural steel or concrete/embed identity; bolts/anchors or welds; shims; grout if any; coating; coordinates; reactions","Do not assume baseplate anchor bolts"
