bom_item_id,applies_to,baker_hughes_ref_no,part_name,quantity_per_valve,object_type,evidence_state,source_ids,source_locator,status,notes
PSV-3707S-001,PZR-RLF-001,1,Base inlet facing,1,valve_base_inlet_facing,VERIFIED_PUBLIC,SRC-0204,Baker Hughes AP1000 3707S manual Fig.2C p.11,ACTIVE,AP1000-specific nomenclature figure
PSV-3707S-002,PZR-RLF-001,1A,Base,1,valve_base,VERIFIED_PUBLIC,SRC-0204,Baker Hughes AP1000 3707S manual Fig.2C p.11,ACTIVE,
PSV-3707S-003,PZR-RLF-001,1B,Nozzle,1,valve_nozzle,VERIFIED_PUBLIC,SRC-0204,Baker Hughes AP1000 3707S manual Fig.2C p.11,ACTIVE,Pressure-containing inlet flow passage/fixed seat element
PSV-3707S-004,PZR-RLF-001,3,Bonnet,1,valve_bonnet,VERIFIED_PUBLIC,SRC-0204,Baker Hughes AP1000 3707S manual Fig.2C p.11,ACTIVE,
PSV-3707S-005,PZR-RLF-001,4,Spindle,1,valve_spindle,VERIFIED_PUBLIC,SRC-0204,Baker Hughes AP1000 3707S manual Fig.2C p.11,ACTIVE,
PSV-3707S-006,PZR-RLF-001,5,Disc,1,valve_disc,VERIFIED_PUBLIC,SRC-0204,Baker Hughes AP1000 3707S manual Fig.2C p.11,ACTIVE,Pressure-containing moving closure element
PSV-3707S-007,PZR-RLF-001,6,Disc collar,1,disc_collar,VERIFIED_PUBLIC,SRC-0204,Baker Hughes AP1000 3707S manual Fig.2C p.11,ACTIVE,
PSV-3707S-008,PZR-RLF-001,7,Disc holder,1,disc_holder,VERIFIED_PUBLIC,SRC-0204,Baker Hughes AP1000 3707S manual Fig.2C p.11,ACTIVE,
PSV-3707S-009,PZR-RLF-001,8,Lower adjusting ring,1,adjusting_ring,VERIFIED_PUBLIC,SRC-0204,Baker Hughes AP1000 3707S manual Fig.2C p.11,ACTIVE,
PSV-3707S-010,PZR-RLF-001,9,Upper adjusting ring,1,adjusting_ring,VERIFIED_PUBLIC,SRC-0204,Baker Hughes AP1000 3707S manual Fig.2C p.11,ACTIVE,
PSV-3707S-011,PZR-RLF-001,10,Spring and washers assembly,1,spring_assembly,VERIFIED_PUBLIC,SRC-0204,Baker Hughes AP1000 3707S manual Fig.2C p.11,ACTIVE,Parent assembly for spring and two spring washers
PSV-3707S-012,PZR-RLF-001,10A,Spring,1,compression_spring,VERIFIED_PUBLIC,SRC-0204,Baker Hughes AP1000 3707S manual Fig.2C p.11,ACTIVE,
PSV-3707S-013,PZR-RLF-001,10B,Bottom spring washer,1,spring_washer,VERIFIED_PUBLIC,SRC-0204,Baker Hughes AP1000 3707S manual Fig.2C p.11,ACTIVE,
