record_id,target_document,document_role_or_hypothesis,evidence_state,source_ids,source_locator,status,why_high_value,remaining_closure,do_not_infer,notes
PXS-U3-RNSDOCIDX-001,APP-PV01-VFX-001,"AP1000 PV01 3-inch and Larger Motor Operated Gate and Globe Valves; candidate released-document-list/index role based on VFX coding demonstrated for other AP1000 commodities/modules",CORROBORATED_PUBLIC,SRC-0499,"ML12275A341 reviewed-document list; ML18226A348/ML19135A691 cross-family VFX examples",SEARCH_REQUIRED,"A PV01 release/index document could enumerate approved vendor drawings, datasheets, qualification reports, test procedures and revisions, providing a controlled route from the commodity family toward Z0D-116 or another V002B datasheet","Recover exact title/revision/content; determine whether it is in fact a Released Document List; search its entries for Z0D-116, VBR-011/-012, VPR reports, RAL-1097/RAL-5674, vendor drawings and order/release records","Do not call APP-PV01-VFX-001 an RDL as a resolved fact from the public PV01 title alone; do not infer any listed document applies to V002B without a tag/set bridge","The VFX=RDL convention is corroborating search logic from other AP1000 document families, not a semantic promotion of this PV01 file."
PXS-U3-RNSDOCIDX-002,APP-PV01-Z0R-001,"PV01 3-inch and Larger Motor Operated Gate and Globe Valves ASME Section III Class 1/2/3 report; candidate datasheet-report/index route based on Z0R coding in other AP1000 valve commodities",CORROBORATED_PUBLIC,SRC-0499,"ML12275A341; ML17132A345 and other NRC Z0R document-family examples",SEARCH_REQUIRED,"A Z0R report/index may provide the commodity's datasheet population or report structure and could place Z0D-116 in a controlled class/size/service grouping","Recover exact current revision and contents; determine whether Z0D-116 is indexed and whether RNS V001/V002 tags or applicable valve class/size are printed","Do not equate Z0R-001 with a V002B tag-to-datasheet mapping merely from document-code convention; do not assign class/material/model/operator from neighboring datasheets","The 2012 inspection prints the identifier as ZOR-001 while later NRC PV01 records use Z0R-001; preserve this as an identifier-transcription/revision search issue until the controlled document is recovered."
PXS-U3-RNSDOCIDX-003,Flowserve MS 9034,"Hydrostatic and Functional Test Procedure for Motor Operated Gate and Globe Valves - Westinghouse AP1000 PV01, Revision 9 dated 2012-07-25",VERIFIED_PUBLIC,SRC-0499,"ML12275A341 test-procedure reviewed-document list",SEARCH_REQUIRED,"Once V002B's exact production valve/drawing is identified, MS 9034 can define shop hydrostatic/functional test sequence, acceptance checks, instrumentation and potentially torque/assembly controls needed for physical and simulation reconstruction","Recover procedure contents and later/current revisions; identify referenced drawings/data sheets, pressure test values, stroke/functional checks, bolting/adapter requirements and production data sheets; establish whether Unit-3 V002B final records cite this procedure or successor","Do not transfer V.C. Summer sales-order identifiers, sample valve measurements, assembly-drawing values or test results from the 2012 inspection to Vogtle V002B","This is a commodity-level manufacturing/test-process target, not individual installed-hardware evidence."
PXS-U3-RNSDOCIDX-004,"SV3-PV01-GNR-000028 / CR 50054618 / CAR 80003016","Unit-3 PV01 live-load packing-configuration nonconformance/corrective-action chain",VERIFIED_PUBLIC,SRC-0460,"ML22040A213 Sec.3P03 pp.23-24; reviewed-document list pp.31-33",SEARCH_REQUIRED,"Packing configuration and packing load are explicit missing inputs in any defensible MOV thrust/torque reconstruction. NRC states that inspectors confirmed resolution of discrepancies in PV01 live-load packing-configuration datasheets and identifies GNR-000028, CR 50054618 and CAR 80003016 as the controlling corrective-action chain.","Recover the GNR/CR/CAR contents and affected-valve list; determine whether RNS-PL-V002B or the complete V001/V002 set is included; recover packing type/material, ring count and arrangement, live-load spring stack/hardware, gland/stud configuration, target compression or load, friction/setup assumptions, acceptance criteria, corrective changes and referenced setup/sizing documents.","Do not assign this condition to V002B, copy a packing load/friction value, or alter V002B thrust/torque requirements unless the recovered records explicitly include V002B or the complete V001/V002 set.","V002B is independently in the same NRC Section-3P03 MOV PST sample, but the public report does not state that V002B was among the valves affected by the packing-datasheet discrepancy. Inspection-context adjacency is not an affected-population bridge."
PXS-U3-RNSDOCIDX-005,SV3-PV01-GNR-000038,"Unit-3 PV01 MOV faster-valve-stroke-times-during-setup nonconformance/disposition report, Revision 0",VERIFIED_PUBLIC,SRC-0460,"ML22040A213 Sec.3P03 reviewed-document list pp.31-33",SEARCH_REQUIRED,"The report title directly targets MOV setup/stroke-time behavior and may expose affected valve/datasheet populations, actuator setup values, switch settings, stem travel/gearing or setup-calculation corrections. Those are among the remaining inputs needed to reconstruct V002B's exact electromechanical setup.","Recover GNR-000038 contents and affected-valve list; determine whether RNS-PL-V002B, Datasheet 116 or the V001/V002 set appears; recover causal analysis, measured versus expected stroke times, motor voltage/current if recorded, gear/stem data, torque/limit-switch settings, setup changes and cross-references to SV3-PV01-VDR-000002, APP-PV01-VDR-000001, SPDS/Z0C/M3C records or diagnostic work packages.","Do not infer V002B was affected, change the verified 30-second Unit-3 closure-time constraint, assign an actuator model/ratio, or copy any setup value until a tag-specific or complete-set link is recovered.","The record is listed in the same Section-3P03 PST review that explicitly sampled V002B, but NRC public text exposes no affected-valve mapping. Treat the shared inspection context as a retrieval aid only."
PXS-U3-RNSDOCIDX-006,APP-GW-GEE-829,"AP1000 design change proposal titled PV01 Motor Operated Gate and Globe Valve - Envelope Change, Revision 0",VERIFIED_PUBLIC,SRC-0463;SRC-0605,"ML112440588 reviewed design-change proposal list; Westinghouse UKP-GW-GL-060 Rev.10 Table 4a",SEARCH_REQUIRED,"The project ultimately needs exact physical/CAD envelopes, maintenance clearances and actuator/valve bounding dimensions. A PV01 envelope-change record may identify revised commodity bounding dimensions, orientation/clearance assumptions, affected datasheets or vendor drawings and therefore can constrain the V002B physical model even if an installed assembly drawing remains nonpublic.","Recover GEE-829 contents, before/after envelope dimensions, affected PV01 datasheets/valves, implementation drawings and supersession trail; determine whether Datasheet 116 or the V001/V002 hot-leg suction set is explicitly included and whether the change propagated into current Vogtle configuration.","Do not apply any envelope dimension, actuator height/width, maintenance clearance or affected-datasheet list to V002B until the change record explicitly includes Datasheet 116/V002B or a complete applicable PV01 set and current configuration is reconciled.","Westinghouse's design-reference-point ledger confirms Rev.0 final approval on 5-Oct-2009 and inclusion in the implemented AP1000 design history. It still does not disclose what dimensions changed or whether V002B/Datasheet 116 was affected."
PXS-U3-RNSDOCIDX-007,APP-GW-GEE-2969,"AP1000 design change proposal titled PV01 Valve Pigtail Extensions, Revision 0",VERIFIED_PUBLIC,SRC-0605,"Westinghouse UKP-GW-GL-060 Rev.10 Table 6; final approval 7-Aug-2014",SEARCH_REQUIRED,"V002B's exact motor/limit-switch terminal plan, actuator lead lengths, pigtail construction, local connector/JB interface and transition into the plant Class-1E cable route remain unresolved. A PV01-wide pigtail-extension change may identify the vendor lead architecture and affected actuator/interface drawings.","Recover GEE-2969 contents; identify original/revised pigtail lengths, conductor counts/sizes, insulation/environmental class, connector/terminal details, strain relief, routing/support requirements, affected PV01 datasheets/valves and implementation drawings; determine whether V002B/Datasheet 116 is in scope and reconcile to Unit-3 wiring.","Do not assign a pigtail length, conductor construction, connector, terminal, or extension configuration to V002B from the DCP title alone.","This is an implemented AP1000 PV01 family design-history target. It is especially relevant to closing the physical boundary between the Limitorque operator/limit-switch assembly and the known Unit-3 P31Y power-cable path."
PXS-U3-RNSDOCIDX-008,APP-GW-GEE-3021,"AP1000 design change proposal titled RNS B Cable Tray Routing, Revision 0",VERIFIED_PUBLIC,SRC-0605,"Westinghouse UKP-GW-GL-060 Rev.10 Table 6; final approval 28-Oct-2011",SEARCH_REQUIRED,"V002B is resolved to the Division-B/Class-1E source family, but the complete source-to-load raceway path, tray transitions, conduit/free-air segments, supports and physical separation remain open. This RNS-specific routing change is a direct design-history target for the missing spatial electrical route.","Recover GEE-3021 contents, affected rooms/elevations/trays/conduits, before/after routing, separation/segregation criteria, penetration/interface changes and referenced ER/EW drawings; determine whether the V001/V002 power/control circuits or P31Y path are explicitly affected and reconcile to Unit-3 cable-manager records.","Do not assign any tray number, room path, conduit, length, support, separation distance or V002B applicability from the DCP title alone.","The title establishes an RNS Division-B cable-routing design change but not its detailed circuit population. Use as a controlled route to the as-designed electrical geometry, not as current as-built routing evidence."
PXS-U3-RNSDOCIDX-009,APP-GW-GEE-1852,"AP1000 design change proposal titled RNS P&ID Changes to Support Piping Isometrics, Revision 0",VERIFIED_PUBLIC,SRC-0463;SRC-0605,"ML112440588 reviewed design-change list; Westinghouse UKP-GW-GL-060 Rev.10 design-reference-point ledger; final approval 13-Aug-2010",SEARCH_REQUIRED,"The V001/V002 suction-valve process topology is functionally resolved but exact spools, fittings, line-number transitions, penetrations, supports and room geometry remain open. A change explicitly reconciling the RNS P&ID to piping isometrics is a high-value route from functional schematic to physical construction geometry.","Recover GEE-1852 contents and marked-up P&ID/isometric references; identify affected RNS lines/tags, line classes/sizes, spool/isometric drawing numbers, support/penetration changes and any V001/V002 callouts; reconcile with current APP-RNS-M6-001 Rev.14 and Unit-3 isometrics before promoting geometry.","Do not infer any V002B spool, line class, coordinate, support, weld, or exact P&ID revision change solely from the DCP title.","The final-approval record confirms implemented AP1000 design history, but current Vogtle-3 physical geometry still requires plant-specific drawing reconciliation."
PXS-U3-RNSDOCIDX-010,"SV3-PV01-VQQ-018 / SV3-PV01-VQQ-030","Flowserve Unit-3 PV01 QA/final-data-package retrieval route",VERIFIED_PUBLIC,SRC-0492,"ML19045A614 reviewed QA document packages; Flowserve package identities in Unit-3 ASME construction inspection",SEARCH_REQUIRED,"VQQ/final-data packages are the vendor manufacturing-record class most likely to carry certificate-of-conformance records, NPV-1/code data reports, serial/heat/material traceability, inspection releases, shop-test records and an index back to the applicable PV01 datasheet or production valve. A direct Z0D-116/V001-V002 entry would provide an independent manufacturing bridge to the exact RNS suction population.","Recover both package indices and contents; identify purchase-order line/release, Flowserve serial/order numbers, applicable PV01 datasheets, NPV-1/code-data reports, CoC/quality-release records, CMTR/heat traceability, body/bonnet/wedge/stem records, shop hydro/functional test references and any 10-inch BTA/RNS/V001/V002 population. Reconcile any sales-order identifiers against the SRC-0470 conflict before promotion.","Do not infer either VQQ package applies to RNS-PL-V002B, Datasheet 116, or the RNS population merely because both are Unit-3 Flowserve PV01 records. The public NRC context that exposes these package IDs is RCS/ADS material/fabrication inspection, not a V002B manufacturing record.","Use these packages as controlled manufacturing-data recovery routes. If either index explicitly maps Datasheet 116 or the complete V001/V002 set, it can bridge production serial/material records to V002B without relying on sibling inference; absent that mapping, keep all ADS/RCS package values quarantined."
