port_id,object_id,port_name,port_class,service_or_medium,nominal_size,direction,evidence_state,source_ids,source_locator,status,notes
PXS-CMT-A-INJ-OUT,PXS-CMT-A,CMT A lower-head injection outlet,process_outlet,borated reactor coolant,,out,VERIFIED_PUBLIC,SRC-0011;SRC-0401,NUREG-1793 Ch.5 Sec.5.4.13 / Ch.6 Sec.6.3.2.1,ACTIVE,
PXS-CMT-A-BAL-IN,PXS-CMT-A,CMT A cold-leg pressure-balance inlet,process_inlet,reactor coolant/steam,,in,VERIFIED_PUBLIC,SRC-0011;SRC-0401,NUREG-1793 Ch.5 Sec.5.4.13 / Ch.6 Sec.6.3.2.1,BOUNDARY,Open boundary to associated RCS cold-leg pressure-balance connection
PXS-CMT-A-CVS-FILL,PXS-CMT-A,CMT A CVS fill connection,process_inlet,borated water,,in,VERIFIED_PUBLIC,SRC-0011,NUREG-1793 Ch.5 Sec.5.4.13.1,BOUNDARY,Owned downstream by CVS work package
PXS-CMT-A-VENT,PXS-CMT-A,CMT A high-point vent outlet,vent,reactor coolant/noncondensable gas,,out,VERIFIED_PUBLIC,SRC-0011,NUREG-1793 Ch.5 Sec.5.4.13.1,BOUNDARY,Two manual valves to reactor coolant drain tank to be canonicalized with WLS boundary
PXS-CMT-A-SAMPLE-U,PXS-CMT-A,CMT A upper sample connection,sample,reactor coolant,,out,VERIFIED_PUBLIC,SRC-0011,NUREG-1793 Ch.5 Sec.5.4.13.1,BOUNDARY,Sampling-system destination pending
PXS-CMT-A-SAMPLE-L,PXS-CMT-A,CMT A lower sample connection,sample,reactor coolant,,out,VERIFIED_PUBLIC,SRC-0011,NUREG-1793 Ch.5 Sec.5.4.13.1,BOUNDARY,Sampling-system destination pending
PXS-CMT-B-INJ-OUT,PXS-CMT-B,CMT B lower-head injection outlet,process_outlet,borated reactor coolant,,out,VERIFIED_PUBLIC,SRC-0011;SRC-0401,NUREG-1793 Ch.5 Sec.5.4.13 / Ch.6 Sec.6.3.2.1,ACTIVE,
PXS-CMT-B-BAL-IN,PXS-CMT-B,CMT B cold-leg pressure-balance inlet,process_inlet,reactor coolant/steam,,in,VERIFIED_PUBLIC,SRC-0011;SRC-0401,NUREG-1793 Ch.5 Sec.5.4.13 / Ch.6 Sec.6.3.2.1,BOUNDARY,Open boundary to associated RCS cold-leg pressure-balance connection
PXS-CMT-B-CVS-FILL,PXS-CMT-B,CMT B CVS fill connection,process_inlet,borated water,,in,VERIFIED_PUBLIC,SRC-0011,NUREG-1793 Ch.5 Sec.5.4.13.1,BOUNDARY,Owned downstream by CVS work package
PXS-CMT-B-VENT,PXS-CMT-B,CMT B high-point vent outlet,vent,reactor coolant/noncondensable gas,,out,VERIFIED_PUBLIC,SRC-0011,NUREG-1793 Ch.5 Sec.5.4.13.1,BOUNDARY,Two manual valves to reactor coolant drain tank to be canonicalized with WLS boundary
PXS-CMT-B-SAMPLE-U,PXS-CMT-B,CMT B upper sample connection,sample,reactor coolant,,out,VERIFIED_PUBLIC,SRC-0011,NUREG-1793 Ch.5 Sec.5.4.13.1,BOUNDARY,Sampling-system destination pending
PXS-CMT-B-SAMPLE-L,PXS-CMT-B,CMT B lower sample connection,sample,reactor coolant,,out,VERIFIED_PUBLIC,SRC-0011,NUREG-1793 Ch.5 Sec.5.4.13.1,BOUNDARY,Sampling-system destination pending
PXS-CMT-INJ-A-IN,PXS-CMT-INJ-A,CMT injection path A inlet,pipe_end,borated reactor coolant,,in,VERIFIED_PUBLIC,SRC-0401,NUREG-1793 Ch.6 Sec.6.3.2.1,ACTIVE,
PXS-CMT-INJ-A-OUT,PXS-CMT-INJ-A,CMT injection path A outlet,pipe_end,borated reactor coolant,,out,VERIFIED_PUBLIC,SRC-0401,NUREG-1793 Ch.6 Sec.6.3.2.1,ACTIVE,
PXS-CMT-INJ-B-IN,PXS-CMT-INJ-B,CMT injection path B inlet,pipe_end,borated reactor coolant,,in,VERIFIED_PUBLIC,SRC-0401,NUREG-1793 Ch.6 Sec.6.3.2.1,ACTIVE,
PXS-CMT-INJ-B-OUT,PXS-CMT-INJ-B,CMT injection path B outlet,pipe_end,borated reactor coolant,,out,VERIFIED_PUBLIC,SRC-0401,NUREG-1793 Ch.6 Sec.6.3.2.1,ACTIVE,
PXS-ACC-A-OUT,PXS-ACC-A,Accumulator A injection outlet,process_outlet,borated water,,out,VERIFIED_PUBLIC,SRC-0401,NUREG-1793 Ch.6 Sec.6.3.2.2,ACTIVE,
PXS-ACC-A-GAS-VENT,PXS-ACC-A,Accumulator A remote nitrogen vent,vent,nitrogen,,out,VERIFIED_PUBLIC,SRC-0401,NUREG-1793 Ch.6 Sec.6.3.2.2,BOUNDARY,Gas handling/vent termination to be resolved
PXS-ACC-A-GAS-RELIEF,PXS-ACC-A,Accumulator A gas relief outlet,relief,nitrogen,,out,VERIFIED_PUBLIC,SRC-0401,NUREG-1793 Ch.6 Sec.6.3.2.2,BOUNDARY,Relief setpoint/device details remain in pressure-boundary register
PXS-ACC-B-OUT,PXS-ACC-B,Accumulator B injection outlet,process_outlet,borated water,,out,VERIFIED_PUBLIC,SRC-0401,NUREG-1793 Ch.6 Sec.6.3.2.2,ACTIVE,
PXS-ACC-B-GAS-VENT,PXS-ACC-B,Accumulator B remote nitrogen vent,vent,nitrogen,,out,VERIFIED_PUBLIC,SRC-0401,NUREG-1793 Ch.6 Sec.6.3.2.2,BOUNDARY,Gas handling/vent termination to be resolved
PXS-ACC-B-GAS-RELIEF,PXS-ACC-B,Accumulator B gas relief outlet,relief,nitrogen,,out,VERIFIED_PUBLIC,SRC-0401,NUREG-1793 Ch.6 Sec.6.3.2.2,BOUNDARY,Relief setpoint/device details remain in pressure-boundary register
PXS-ACC-INJ-A-IN,PXS-ACC-INJ-A,Accumulator injection path A inlet,pipe_end,borated water,,in,VERIFIED_PUBLIC,SRC-0401,NUREG-1793 Ch.6 Sec.6.3.2.2,ACTIVE,
PXS-ACC-INJ-A-OUT,PXS-ACC-INJ-A,Accumulator injection path A outlet,pipe_end,borated water,,out,VERIFIED_PUBLIC,SRC-0401,NUREG-1793 Ch.6 Sec.6.3.2.2,ACTIVE,
PXS-ACC-INJ-B-IN,PXS-ACC-INJ-B,Accumulator injection path B inlet,pipe_end,borated water,,in,VERIFIED_PUBLIC,SRC-0401,NUREG-1793 Ch.6 Sec.6.3.2.2,ACTIVE,
PXS-ACC-INJ-B-OUT,PXS-ACC-INJ-B,Accumulator injection path B outlet,pipe_end,borated water,,out,VERIFIED_PUBLIC,SRC-0401,NUREG-1793 Ch.6 Sec.6.3.2.2,ACTIVE,
PXS-IRWST-INJ-A-SRC,PXS-IRWST,IRWST injection source A,process_outlet,borated water,,out,VERIFIED_PUBLIC,SRC-0401;SRC-0402,NUREG-1793 Ch.6 Sec.6.3.2.3 / DCD Fig.6.3-1,ACTIVE,
