class_id,class_name,search_scope,closure_requirement,applies_to
FC-001,isolation_and_alignment,"manual isolation; MOV; AOV; solenoid; squib; check; locked valves; maintenance/test/containment isolation; blinds/plugs where permanent","Enumerate each documented device or explicitly disposition search as no public evidence / unresolved",all fluid gas HVAC treatment and process paths
FC-002,bypass_and_alternate_paths,"equipment bypass; valve bypass; HX/filter/strainer bypass; startup/warmup; cross-connect; alternate train; emergency cross-connect","Every documented alternate path receives its own objects ports and connections",all process utility and treatment paths
FC-003,balancing_restriction_and_equalization,"balancing/throttling valves; tuning/calibrated/restriction orifices; flow limiters; equalization/balance lines; DP control; pressure regulators; backpressure devices; minimum-flow devices","Document actual hardware name/function and hydraulic relationship; do not substitute generic balancing terminology",all parallel branches controlled-flow services pump trains and injection paths
FC-004,pressure_and_vacuum_protection,"safety/relief/thermal relief/vacuum relief valves; rupture disks; surge suppressors; water-hammer protection; accumulators/dampeners","Relief/vacuum path must resolve from protected volume through device to final discharge/intake destination",pressurized and vacuum-sensitive systems
FC-005,vents_drains_fills_samples_and_test,"high-point vents; low-point/equipment/leakoff drains; fill/makeup; flush; purge; sample; chemistry; decon; hydrotest/test; instrument root valves","Every branch requires a named destination and intermediate isolation/root hardware",all process equipment piping vessels and heat exchangers
FC-006,filtration_separation_and_conditioning,"strainers; filters; demineralizers; separators; coalescers; dryers; heaters/coolers; mixers; diffusers; spargers","Resolve inlet/outlet plus bypass drain vent DP instrumentation regeneration/backwash/waste interfaces where applicable",water gas HVAC chemistry and service systems
FC-007,instrumentation_and_actuation,"P/T/F/L/DP sensing; thermowells; position switches; root valves/manifolds; impulse tubing; pneumatics; hydraulics; motors; solenoids; power/control/data/JB/cable/raceway","Process tap and signal/power/actuation chain must be represented or explicitly handed to the owning I&C/electrical package",all active equipment and monitored passive equipment
FC-008,mechanical_construction,"pipe/duct segments; elbows; tees; reducers; flanges; couplings; nozzles; safe ends; expansion/flexible joints; welds; gaskets; packing; seals; supports; insulation; penetrations","No run may terminate without physical joining/support/penetration disposition; fabrication items promoted as public evidence permits",all physical runs and equipment interfaces
FC-009,maintenance_and_handling,"manways; covers; lifting lugs; hoists; rails; platforms; clearances; disconnects; drains/vents for maintenance; permanent tooling","Represent documented permanent plant hardware and interfaces required to access remove inspect or service equipment",maintainable plant equipment
FC-010,electrical_equivalent,"transformers; switchgear; breakers; disconnects; buses; MCCs; panels; cables; trays/conduit; JBs; grounding; relays; control power; redundant feeds","Trace load to source and protection/termination/grounding without orphan cable or unnamed power source",all electrical loads generators transformers I&C and actuators
