document_map_id,configuration,document_id,document_title_or_scope,revision_or_status,document_type,source_ids,source_locator,evidence_state,status,notes
RV-DOC-001,AP1000/VOGTLE,APP-MV01-V1-001,AP1000 Reactor Vessel Outline Elevation,Rev 9 cited,fabrication_drawing,SRC-0209,NRC IR ML19135A691 supplemental document list,VERIFIED_PUBLIC,REFERENCE_FOUND,Priority geometry source for overall vessel elevations and nozzle elevations
RV-DOC-002,AP1000/VOGTLE,APP-MV01-V1-002,AP1000 Reactor Vessel Outline Plan,Rev 7 cited,fabrication_drawing,SRC-0209,NRC IR ML19135A691 supplemental document list,VERIFIED_PUBLIC,REFERENCE_FOUND,Priority source for plan orientation/nozzle azimuths
RV-DOC-003,AP1000/VOGTLE,APP-MV01-V2-001,AP1000 Reactor Vessel and Closure Head General Assembly,Rev 5 cited,general_assembly_drawing,SRC-0209,NRC IR ML19135A691 supplemental document list,VERIFIED_PUBLIC,REFERENCE_FOUND,Priority source for vessel/head assembly hierarchy
RV-DOC-004,AP1000/VOGTLE,APP-MV01-V2-002,AP1000 Reactor Vessel and Closure Head Assembly Elevation Through Outlet Nozzles,Rev 5 cited,fabrication_drawing,SRC-0209,NRC IR ML19135A691 supplemental document list,VERIFIED_PUBLIC,REFERENCE_FOUND,Use to resolve hot-leg outlet nozzle geometry/support relationships if public content obtainable
RV-DOC-005,AP1000/VOGTLE,APP-MV01-V2-003,AP1000 Reactor Vessel and Closure Head Assembly Elevation Through Inlet Nozzles,Rev 5 cited,fabrication_drawing,SRC-0209;SRC-0210,NRC IR ML19135A691 and NRC material-verification record ML16210A448,VERIFIED_PUBLIC,REFERENCE_FOUND,Use to resolve cold-leg inlet-nozzle/support-pad geometry
RV-DOC-006,AP1000/VOGTLE,APP-MV01-V2-004,AP1000 Reactor Vessel and Closure Head Assembly Vessel Details,Rev 5 cited,fabrication_drawing,SRC-0209,NRC IR ML19135A691 supplemental document list,VERIFIED_PUBLIC,REFERENCE_FOUND,High-priority source for shell/head/flange/nozzle detail breakup
RV-DOC-007,AP1000/VOGTLE,APP-MV01-V2-005,AP1000 Reactor Vessel and Closure Head Assembly Head Plan View,Rev 4 cited,fabrication_drawing,SRC-0209,NRC IR ML19135A691 supplemental document list,VERIFIED_PUBLIC,REFERENCE_FOUND,Priority source for CRDM/Quickloc/head-penetration layout
RV-DOC-008,AP1000/VOGTLE,APP-MV01-V2-006,AP1000 Reactor Vessel and Closure Head Assembly Head Details,Rev 7 cited,fabrication_drawing,SRC-0209,NRC IR ML19135A691 supplemental document list,VERIFIED_PUBLIC,REFERENCE_FOUND,Use to resolve closure fasteners seals penetrations and lifting interfaces if public content obtainable
RV-DOC-009,AP1000/VOGTLE,APP-MV01-V2-007,AP1000 Reactor Vessel and Closure Head Assembly Closure Head Details,Rev 2 cited,fabrication_drawing,SRC-0209,NRC IR ML19135A691 supplemental document list,VERIFIED_PUBLIC,REFERENCE_FOUND,Use to resolve dome/flange/penetration/weld geometry
RV-DOC-010,AP1000/VOGTLE,APP-MV01-V2-008,AP1000 Reactor Vessel and Closure Head Assembly DVI Nozzle Details,Rev 0 cited,fabrication_drawing,SRC-0209,NRC IR ML19135A691 supplemental document list,VERIFIED_PUBLIC,REFERENCE_FOUND,Priority PXS boundary geometry source
RV-DOC-011,AP1000/VOGTLE,APP-MV01-V6-126,AP1000 Reactor Vessel Vent Pipe,Rev 4 cited,fabrication_or_installation_drawing,SRC-0209,NRC IR ML19135A691 supplemental document list,VERIFIED_PUBLIC,REFERENCE_FOUND,Priority source for head-vent pressure-boundary geometry before downstream head-vent valves
RV-DOC-012,AP1000/VOGTLE,APP-MV01-V6-131,AP1000 Reactor Vessel Latch Housing Penetrations,Rev 4 cited,fabrication_drawing,SRC-0209,NRC IR ML19135A691 supplemental document list,VERIFIED_PUBLIC,REFERENCE_FOUND,Do not infer latch/penetration internals from title alone
RV-DOC-013,AP1000/VOGTLE,APP-MV01-V6-202,AP1000 Reactor Vessel Upper Vessel Machining and Cladding,Rev 4 cited,machining_cladding_drawing,SRC-0209,NRC IR ML19135A691 supplemental document list,VERIFIED_PUBLIC,REFERENCE_FOUND,Priority for cladding extent and upper-vessel machining interfaces
RV-DOC-014,AP1000/VOGTLE,APP-MV01-V6-204,AP1000 Reactor Vessel Upper Vessel Machining,Rev 3 cited,machining_drawing,SRC-0209,NRC IR ML19135A691 supplemental document list,VERIFIED_PUBLIC,REFERENCE_FOUND,Use to resolve machined features only when underlying content obtained
