template_item_id,applies_to,part_or_assembly_name,object_type,quantity,ownership,relationship,evidence_state,source_ids,source_locator,status,notes
PZR-RLF-001,RCS-PZR,Pressurizer safety valve,safety_valve,2,RCS,Mounted on top of pressurizer for RCS overpressure protection,VERIFIED_PUBLIC,SRC-0011,NUREG-1793 Ch.5 Sec.5.4.9.1/5.4.11 pp.5-89 to 5-90,ACTIVE,Totally enclosed pop-type spring-loaded self-actuated by direct fluid pressure; ASME Class 1 / seismic Category I / equipment Class A per NRC evaluation
PZR-RLF-002,each pressurizer safety valve,Safety-valve inlet connection,pressure_boundary_connection,1,RCS,Pressurizer-to-PSV inlet path has no loop seal that could collect condensate,VERIFIED_PUBLIC,SRC-0011,NUREG-1793 Ch.5 Sec.5.4.9.1 p.5-89,ACTIVE,Exact nozzle pipe size fittings welds and support unresolved
PZR-RLF-003,each pressurizer safety valve,Safety-valve discharge piping,discharge_pipe_run,1,RCS,Routes PSV discharge toward terminal rupture disk and containment atmosphere,VERIFIED_PUBLIC,SRC-0011,NUREG-1793 Ch.5 Sec.5.4.9.1 pp.5-89 to 5-90,ACTIVE,Exact route diameter material fittings supports and welds unresolved
PZR-RLF-004,each pressurizer safety valve,Terminal rupture disk,rupture_disk,1,RCS,Located at end of PSV discharge piping and discharges to containment atmosphere,VERIFIED_PUBLIC,SRC-0011,NUREG-1793 Ch.5 Sec.5.4.9.1 p.5-89,ACTIVE,Exact disk type size material holder/flange/bolting unresolved
PZR-RLF-005,each pressurizer safety valve,Leakage drain branch to RCDT,small_bore_pipe_branch,1,WLS,Connected to PSV discharge piping and directed to reactor coolant drain tank to drain condensed leakage,VERIFIED_PUBLIC,SRC-0011,NUREG-1793 Ch.5 Sec.5.4.9.1 pp.5-89 to 5-90,BOUNDARY,Ownership is liquid radwaste/RCDT side after defined boundary; size valves fittings slope/supports unresolved
PZR-RLF-006,each pressurizer safety valve,Valve position indication,instrumentation_function,1,I&C,Provides direct open/closed valve-position indication to main control room,VERIFIED_PUBLIC,SRC-0011,NUREG-1793 Ch.5 Sec.5.4.9.1 p.5-90,BOUNDARY,Sensor/transmitter/switch/cable/channel hardware unresolved
PZR-RLF-007,each pressurizer safety valve,Discharge-line temperature measurement,temperature_instrumentation,1,I&C,Measures associated discharge-line temperature with indication and high-temperature alarm in control room,VERIFIED_PUBLIC,SRC-0011,NUREG-1793 Ch.5 Sec.5.4.9.1 p.5-90,BOUNDARY,Exact sensor type count location thermowell wiring and alarm logic unresolved
PZR-RLF-008,RCS-PZR,Pressurizer relief discharge system,absent_design_feature,0,RCS,AP1000 has no separate pressurizer relief discharge system,VERIFIED_PUBLIC,SRC-0011,NUREG-1793 Ch.5 Sec.5.4.11 p.5-90,CONFIRMED_ABSENT,Do not create legacy-PWR pressurizer relief tank system
PZR-RLF-009,RCS-PZR,Power-operated pressurizer relief valve,absent_design_feature,0,RCS,AP1000 has no power-operated pressurizer relief valves,VERIFIED_PUBLIC,SRC-0011,NUREG-1793 Ch.5 Sec.5.4.11 p.5-90,CONFIRMED_ABSENT,ADS valves are distinct and owned by PXS/ADS
PZR-RLF-010,RCS-PZR,Pressurizer relief discharge tank,absent_design_feature,0,RCS,AP1000 has no pressurizer relief discharge tank,VERIFIED_PUBLIC,SRC-0011,NUREG-1793 Ch.5 Sec.5.4.11 p.5-90,CONFIRMED_ABSENT,Reactor coolant drain tank is a different WLS component
