record_id,train,path_group,sequence_index,tag_or_mark,component_name,component_type,normal_or_standby_state,function,upstream_scope,downstream_scope,configuration,evidence_state,source_ids,source_locator,status,notes
PXS-TOPO-RCA-001,A,recirculation_MOV_branch,1,PXS-PL-V117A,Containment recirculation A isolation valve,motor_operated_valve,normally open / power controlled,Provides normally open isolation in first parallel recirculation branch,PXS containment recirculation screen/sump source,PXS-PL-V118A,AP1000-DCD-R19-GENERIC,VERIFIED_PUBLIC,SRC-0402;SRC-0412;SRC-0420,DCD R19 PXS description / Unit-3 preop evidence / COL Table 3.7-1,ACTIVE,Exact spool/tee coordinates remain unresolved
PXS-TOPO-RCA-002,A,recirculation_MOV_branch,2,PXS-PL-V118A,Containment recirculation A squib valve,squib_valve,normally closed / transfer open,Opens first parallel recirculation branch after V117A,PXS-PL-V117A,recirculation A branch recombination,AP1000-DCD-R19-GENERIC,VERIFIED_PUBLIC,SRC-0402;SRC-0415;SRC-0420,DCD R19 PXS description / NRC EQ inspection / COL Table 3.7-1,ACTIVE,Branch pairing follows DCD architecture MOV+squib
PXS-TOPO-RCA-003,A,recirculation_check_branch,1,PXS-PL-V119A,Containment recirculation A check valve,check_valve,passive / normally seated as pressure dictates,Provides passive isolation/opening in second parallel recirculation branch,PXS containment recirculation screen/sump source,PXS-PL-V120A,AP1000-DCD-R19-GENERIC,VERIFIED_PUBLIC,SRC-0402;SRC-0412,DCD R19 PXS description / Unit-3 check-valve preop evidence,ACTIVE,Check orientation and exact installation spool remain to resolve
PXS-TOPO-RCA-004,A,recirculation_check_branch,2,PXS-PL-V120A,Containment recirculation A squib valve,squib_valve,normally closed / transfer open,Opens second parallel recirculation branch after V119A,PXS-PL-V119A,recirculation A branch recombination,AP1000-DCD-R19-GENERIC,VERIFIED_PUBLIC,SRC-0402;SRC-0419;SRC-0420,DCD R19 / Unit-3 ITAAC testing / COL Table 3.7-1,ACTIVE,Branch pairing follows DCD architecture check+squib
PXS-TOPO-RCB-001,B,recirculation_MOV_branch,1,PXS-PL-V117B,Containment recirculation B isolation valve,motor_operated_valve,normally open / power controlled,Provides normally open isolation in first parallel recirculation branch,PXS containment recirculation screen/sump source,PXS-PL-V118B,AP1000-DCD-R19-GENERIC,VERIFIED_PUBLIC,SRC-0402;SRC-0412;SRC-0420,DCD R19 PXS description / Unit-3 preop evidence / COL Table 3.7-1,ACTIVE,
PXS-TOPO-RCB-002,B,recirculation_MOV_branch,2,PXS-PL-V118B,Containment recirculation B squib valve,squib_valve,normally closed / transfer open,Opens first parallel recirculation branch after V117B,PXS-PL-V117B,recirculation B branch recombination,AP1000-DCD-R19-GENERIC,VERIFIED_PUBLIC,SRC-0402;SRC-0415;SRC-0420,DCD R19 / NRC EQ inspection / COL Table 3.7-1,ACTIVE,
PXS-TOPO-RCB-003,B,recirculation_check_branch,1,PXS-PL-V119B,Containment recirculation B check valve,check_valve,passive / normally seated as pressure dictates,Provides passive isolation/opening in second parallel recirculation branch,PXS containment recirculation screen/sump source,PXS-PL-V120B,AP1000-DCD-R19-GENERIC,VERIFIED_PUBLIC,SRC-0402;SRC-0412,DCD R19 / Unit-3 check-valve preop evidence,ACTIVE,
PXS-TOPO-RCB-004,B,recirculation_check_branch,2,PXS-PL-V120B,Containment recirculation B squib valve,squib_valve,normally closed / transfer open,Opens second parallel recirculation branch after V119B,PXS-PL-V119B,recirculation B branch recombination,AP1000-DCD-R19-GENERIC,VERIFIED_PUBLIC,SRC-0402;SRC-0419;SRC-0420,DCD R19 / Unit-3 ITAAC testing / COL Table 3.7-1,ACTIVE,
PXS-TOPO-IWA-001,A,IRWST_common,1,PXS-PL-V121A,IRWST line A isolation valve,motor_operated_valve,normally open / power removed during required operation,Common upstream isolation for IRWST injection A,PXS IRWST source,IRWST A branch split,AP1000-DCD-R19-GENERIC,CORROBORATED_PUBLIC,SRC-0007;SRC-0402,AP1000 Tech Spec Bases / DCD R19 PXS description,ACTIVE,Earlier public tag-function discrepancy is resolved in favor of current DCD/STS isolation function; retain CHG-004 history
PXS-TOPO-IWA-002,A,IRWST_branch_1,1,PXS-PL-V122A,IRWST injection A check valve,check_valve,passive,First element in one of two parallel actuation branches,IRWST A branch split,PXS-PL-V123A,AP1000-DCD-R19-GENERIC,VERIFIED_PUBLIC,SRC-0402;SRC-0412;SRC-0420,DCD R19 / Unit-3 preop evidence / COL Table 3.7-1,ACTIVE,
PXS-TOPO-IWA-003,A,IRWST_branch_1,2,PXS-PL-V123A,IRWST injection A squib valve,squib_valve,normally closed / transfer open,Opens branch 1 for gravity injection,PXS-PL-V122A,IRWST A branch recombination,AP1000-DCD-R19-GENERIC,VERIFIED_PUBLIC,SRC-0402;SRC-0419;SRC-0423,DCD R19 / Unit-3 valve testing / Unit-3 operating history,ACTIVE,
PXS-TOPO-IWA-004,A,IRWST_branch_2,1,PXS-PL-V124A,IRWST injection A check valve,check_valve,passive,First element in second parallel actuation branch,IRWST A branch split,PXS-PL-V125A,AP1000-DCD-R19-GENERIC,VERIFIED_PUBLIC,SRC-0402;SRC-0412;SRC-0420,DCD R19 / Unit-3 preop evidence / COL Table 3.7-1,ACTIVE,
PXS-TOPO-IWA-005,A,IRWST_branch_2,2,PXS-PL-V125A,IRWST injection A squib valve,squib_valve,normally closed / transfer open,Opens branch 2 for gravity injection,PXS-PL-V124A,IRWST A branch recombination,AP1000-DCD-R19-GENERIC,VERIFIED_PUBLIC,SRC-0402;SRC-0419;SRC-0420,DCD R19 / Unit-3 valve testing / COL Table 3.7-1,ACTIVE,
PXS-TOPO-IWB-001,B,IRWST_common,1,PXS-PL-V121B,IRWST line B isolation valve,motor_operated_valve,normally open / power removed during required operation,Common upstream isolation for IRWST injection B,PXS IRWST source,IRWST B branch split,AP1000-DCD-R19-GENERIC,CORROBORATED_PUBLIC,SRC-0007;SRC-0402,AP1000 Tech Spec Bases / DCD R19 PXS description,ACTIVE,Retain CHG-004 history regarding older conflicting wording
PXS-TOPO-IWB-002,B,IRWST_branch_1,1,PXS-PL-V122B,IRWST injection B check valve,check_valve,passive,First element in one of two parallel actuation branches,IRWST B branch split,PXS-PL-V123B,AP1000-DCD-R19-GENERIC,VERIFIED_PUBLIC,SRC-0402;SRC-0412;SRC-0420,DCD R19 / Unit-3 preop evidence / COL Table 3.7-1,ACTIVE,
PXS-TOPO-IWB-003,B,IRWST_branch_1,2,PXS-PL-V123B,IRWST injection B squib valve,squib_valve,normally closed / transfer open,Opens branch 1 for gravity injection,PXS-PL-V122B,IRWST B branch recombination,AP1000-DCD-R19-GENERIC,VERIFIED_PUBLIC,SRC-0402;SRC-0415;SRC-0420,DCD R19 / NRC EQ inspection / COL Table 3.7-1,ACTIVE,
PXS-TOPO-IWB-004,B,IRWST_branch_2,1,PXS-PL-V124B,IRWST injection B check valve,check_valve,passive,First element in second parallel actuation branch,IRWST B branch split,PXS-PL-V125B,AP1000-DCD-R19-GENERIC,VERIFIED_PUBLIC,SRC-0402;SRC-0412;SRC-0420,DCD R19 / Unit-3 preop evidence / COL Table 3.7-1,ACTIVE,
PXS-TOPO-IWB-005,B,IRWST_branch_2,2,PXS-PL-V125B,IRWST injection B squib valve,squib_valve,normally closed / transfer open,Opens branch 2 for gravity injection,PXS-PL-V124B,IRWST B branch recombination,AP1000-DCD-R19-GENERIC,VERIFIED_PUBLIC,SRC-0402;SRC-0419;SRC-0425,DCD R19 / Unit-3 valve testing / Unit-3 installed work package evidence,ACTIVE,
