record_id,scope,tag_or_drawing,installation_feature,parent_or_interface,configuration,evidence_state,source_ids,source_locator,status,resolved_now,remaining_targets,notes
PXS-SCR-INST-001,IRWST screens,PXS-MY-Y01A/B/C,"risk-significant installed screen assemblies",PXS-IRWST,VOGTLE-3,VERIFIED_PUBLIC,SRC-0420,"ND-17-2126 / ML17363A285 Attachment A Table 3.7-1",ACTIVE,"Installed tag family and safety significance","Exact Unit-3 coordinates; frame member geometry; cartridge count; anchors; bolts; welds; removable-panel hardware; lifting/handling features","Tag family is plant licensing-basis evidence"
PXS-SCR-INST-002,IRWST screens,SV3-MY03-V0-100,"IRWST screen envelope drawing",PXS-MY-Y01A/B/C,VOGTLE-3-CURRENT-PUBLIC,VERIFIED_PUBLIC,SRC-0405,"ML19220B678 Sec.1A08 Rev.2",ACTIVE,"Plant-specific envelope-drawing identity/revision","Recover dimensional envelope; member sections; screen-cartridge arrangement; attachment points; maintenance clearance","Do not infer dimensions from drawing title"
PXS-SCR-INST-003,IRWST screens,SV3-MY03-V0-101,"IRWST screens layout drawing",PXS-MY-Y01A/B/C,VOGTLE-3-CURRENT-PUBLIC,VERIFIED_PUBLIC,SRC-0405,"ML19220B678 Sec.1A08 Rev.2",ACTIVE,"Plant-specific layout-drawing identity/revision","Recover exact screen A/B/C coordinates; orientation; cross-connect locations; clearances; support/anchor callouts","Priority source for 1:1 placement"
PXS-SCR-INST-004,Containment recirculation screen,SV3-MY03-V0-001,"containment recirculation screen envelope drawing",PXS-CONTAINMENT-SUMP,VOGTLE-3-CURRENT-PUBLIC,VERIFIED_PUBLIC,SRC-0405,"ML19220B678 Sec.1A08 Rev.2",ACTIVE,"Plant-specific envelope-drawing identity/revision","Recover envelope dimensions; frame/mesh/cartridge details; anchor/support interfaces; access/removal hardware","Keep distinct from IRWST screen geometry"
PXS-SCR-INST-005,Containment recirculation screen,SV3-MY03-V0-002,"containment recirculation screen layout drawing",PXS-CONTAINMENT-SUMP,VOGTLE-3-CURRENT-PUBLIC,VERIFIED_PUBLIC,SRC-0405,"ML19220B678 Sec.1A08 Rev.2",ACTIVE,"Plant-specific layout-drawing identity/revision","Recover exact coordinates/orientation; weir relation; support tags; attachment points; service access","Priority source for sump-side geometry"
PXS-SCR-INST-006,IRWST screen cross-connect,PXS-PH-11R2107,"ASME Class 3 stainless-steel support at bottom of IRWST",PXS-L180B / SV3-PXS-PLW-100-R2,VOGTLE-3-CURRENT-PUBLIC,VERIFIED_PUBLIC,SRC-0413,"ML18226A348 Sec.1A17; support drawing SV3-PXS-PH-11R2107-R1; weld map SV3-PXS-PHK-876822",ACTIVE,"Support tag; location context; parent isometric; weld-map/WDS family; ER309L weld-consumable trail","Support member dimensions/material; exact floor/tank-bottom attachment; weld dimensions; anchor/plate geometry; load reactions; coordinates","Cross-connect support must ultimately be joined to both screen and IRWST structural models"
PXS-SCR-INST-007,IRWST screen cross-connect,SV3-PXS-PLW-100-R2,"screen Y01C-to-Y01B cross-connect piping isometric",PXS-L180B,VOGTLE-3-CURRENT-PUBLIC,VERIFIED_PUBLIC,SRC-0413,"ML18226A348 Sec.1A17",ACTIVE,"Cross-connect service; room/tank context; revision","Recover spool IDs; line size/material; fittings; welds; supports; screen nozzle/connection details; drains/vents if any","Do not terminate cross-connect at a screen label; resolve screen-side nozzles/interfaces"
PXS-PH-INST-001,pH adjustment baskets,SV3-MY07-V1-001,"Type-1 basket clip installation detail",PH-HW-001,VOGTLE-3-CURRENT-PUBLIC,VERIFIED_PUBLIC,SRC-0405,"ML19220B678 Sec.1A08 Rev.0",ACTIVE,"Dedicated clip-installation drawing exists","Recover clip count; clip geometry/material; bolts/anchors/welds; basket-to-structure interface; torque/weld requirements; coordinates","Clips are modeled as physical attachment hardware, not a note"
PXS-PH-INST-002,pH adjustment baskets,SV3-MY07-V1-002,"Type-2 basket clip installation detail",PH-HW-001,VOGTLE-3-CURRENT-PUBLIC,VERIFIED_PUBLIC,SRC-0405,"ML19220B678 Sec.1A08 Rev.0",ACTIVE,"Dedicated clip-installation drawing exists","Recover clip count; clip geometry/material; bolts/anchors/welds; basket-to-structure interface; torque/weld requirements; coordinates","Keep Type 1 and Type 2 attachment hardware separate"
PXS-PH-INST-003,pH adjustment baskets,SV3-MY07-Z0-001,"Unit-3 pH basket arrangement drawing",PH-HW-001,VOGTLE-3-CURRENT-PUBLIC,VERIFIED_PUBLIC,SRC-0405,"ML19220B678 Sec.1A08 Rev.0",ACTIVE,"Plant arrangement drawing identity/revision","Recover tag-to-Type-1/Type-2 mapping; exact installed locations/elevations; clearances; attachment surfaces; basket orientation","Primary source for plant-specific basket placement once drawing content is recovered"
PXS-PH-INST-004,pH adjustment baskets,APP-MY07-Z0C-002,"structural/seismic basket evaluation",PH-HW-001,AP1000/VOGTLE-3,VERIFIED_PUBLIC,SRC-0405,"ML19220B678 Sec.1A08 Rev.1",ACTIVE,"Qualification-analysis document identity","Recover basket/clip loads; member stresses; seismic inputs; attachment reactions; acceptance margins","Needed to validate final clip/anchor model instead of only drawing geometry"
