trace_id,configuration,equipment_scope,record_or_feature,record_type,identifier,revision_or_date,evidence_state,source_ids,source_locator,status,notes
PXS-FAB-001,VOGTLE-4-CURRENT-PUBLIC,CMT B,Manway-to-shell weld,weld_joint,CW-035,as inspected 2018-2019,VERIFIED_PUBLIC,SRC-0406,ML19135A691 NRC fabrication inspection,AS_BUILT_REFERENCE,"Category A full-penetration weld; NRC record cites ASME NB-3351 and fabrication specification SV4-MT01-Z0-200 Rev.0; use as Unit-4 fabrication evidence only until Unit-3 weld map confirms corresponding ID"
PXS-FAB-002,VOGTLE-3/VOGTLE-4,CMT,Core Makeup Tank weld location map,weld_map,W3-WLM-00-00-001,Rev 2,VERIFIED_PUBLIC,SRC-0406,ML19135A691 supplemental document list,REFERENCE_FOUND,"Priority source for enumerating every CMT pressure-boundary weld; title carries W3 identifier but record was reviewed in combined Vogtle fabrication context"
PXS-FAB-003,VOGTLE-4-CURRENT-PUBLIC,CMT,Parts information and general requirements,fabrication_drawing,SV4-MT01-V2-040,Rev 0,VERIFIED_PUBLIC,SRC-0406,ML19135A691 Section 1A38/1A42,REFERENCE_FOUND,Expected to expose component parts materials dimensions and fabrication notes
PXS-FAB-004,VOGTLE-4-CURRENT-PUBLIC,CMT,Design specification,design_specification,SV4-MT01-Z0-100,Rev 4,VERIFIED_PUBLIC,SRC-0406,ML19135A691,REFERENCE_FOUND,
PXS-FAB-005,VOGTLE-4-CURRENT-PUBLIC,CMT,Fabrication specification,fabrication_specification,SV4-MT01-Z0-200,Rev 0,VERIFIED_PUBLIC,SRC-0406,ML19135A691,REFERENCE_FOUND,Controls fabrication/examination requirements including CW-035 RT basis cited by NRC
PXS-FAB-006,VOGTLE-4-CURRENT-PUBLIC,CMT,ASME N-1 Manufacturer Data Report,ASME_data_report,"CMT serial 4598",2015-07-16,VERIFIED_PUBLIC,SRC-0406,ML19135A691,REFERENCE_FOUND,Exact N-1 form identifier beyond serial/date should be captured when underlying package is retrieved
PXS-FAB-007,VOGTLE-4-CURRENT-PUBLIC,CMT,ASME N-2 Installation Data Report,ASME_data_report,"CMT serial 4589",2015-07-15,VERIFIED_PUBLIC,SRC-0406,ML19135A691,REFERENCE_FOUND,Record wording/serial association should be checked against original package before final unit assignment
PXS-FAB-008,VOGTLE-3/VOGTLE-4,CMT,Released Document List,document_index,APP-MT01-VFX-001,Rev 22,VERIFIED_PUBLIC,SRC-0406,ML19135A691,REFERENCE_FOUND,High-value index for locating remaining CMT drawings/material reports
PXS-FAB-009,VOGTLE-3-CURRENT-PUBLIC,CMT,Lower-head modification/reassembly work package,work_record,W3-PCF-00-12-031R,Rev 4,VERIFIED_PUBLIC,SRC-0406,ML19135A691,REFERENCE_FOUND,Preparation of lower head for CMT elongation fit-up/re-welding and reassembly; extract exact affected welds before applying geometry
PXS-FAB-010,VOGTLE-3-CURRENT-PUBLIC,CMT,Intermediate shell preparation record,work_record,W3-PCF-10-12-001,Rev 1,VERIFIED_PUBLIC,SRC-0406,ML19135A691,REFERENCE_FOUND,
PXS-FAB-011,VOGTLE-3-CURRENT-PUBLIC,CMT,Lower head preparation record,work_record,W3-PCF-10-12-002,Rev 2,VERIFIED_PUBLIC,SRC-0406,ML19135A691,REFERENCE_FOUND,
PXS-FAB-012,VOGTLE-3-CURRENT-PUBLIC,CMT,Upper head preparation record,work_record,W3-PCF-10-12-009,Rev 2,VERIFIED_PUBLIC,SRC-0406,ML19135A691,REFERENCE_FOUND,
PXS-FAB-013,VOGTLE-3-CURRENT-PUBLIC,CMT,Hydrostatic test,test_report,N021-HY-W3-PCF-00-12-004-43,2015-02-25,VERIFIED_PUBLIC,SRC-0406,ML19135A691,REFERENCE_FOUND,
PXS-FAB-014,VOGTLE-4-CURRENT-PUBLIC,Accumulator,Final assembly drawing,fabrication_drawing,APP-MT02-V2-001,Rev 7,VERIFIED_PUBLIC,SRC-0406,ML19135A691,REFERENCE_FOUND,Primary accumulator geometry/nozzle/support source
PXS-FAB-015,VOGTLE-4-CURRENT-PUBLIC,Accumulator,Weld location map,weld_map,N015-W4-WLM-00-00-001,2013-05-06,VERIFIED_PUBLIC,SRC-0406,ML19135A691,REFERENCE_FOUND,Unit-4 weld IDs must not be silently copied to Unit 3
PXS-FAB-016,VOGTLE-4-CURRENT-PUBLIC,Accumulator,As-built drawing,as_built_drawing,N015-W4-DWF-00-12-050,2013-03-04,VERIFIED_PUBLIC,SRC-0406,ML19135A691,REFERENCE_FOUND,
PXS-FAB-017,VOGTLE-4-CURRENT-PUBLIC,Accumulator,Carbon-steel nozzle preparation record,work_record,W4-PCF-00-12-006,Rev 6,VERIFIED_PUBLIC,SRC-0406,ML19135A691,REFERENCE_FOUND,
PXS-FAB-018,VOGTLE-4-CURRENT-PUBLIC,Accumulator,Shell preparation record,work_record,W4-PCF-10-12-001,Rev 5,VERIFIED_PUBLIC,SRC-0406,ML19135A691,REFERENCE_FOUND,
PXS-FAB-019,VOGTLE-4-CURRENT-PUBLIC,Accumulator,Lower-head preparation record,work_record,W4-PCF-10-12-002,revision unresolved in extracted record,VERIFIED_PUBLIC,SRC-0406,ML19135A691,REFERENCE_FOUND,
PXS-FAB-020,VOGTLE-4-CURRENT-PUBLIC,Accumulator,Shell-and-heads assembly record,work_record,W4-PCF-10-12-003,Rev 6,VERIFIED_PUBLIC,SRC-0406,ML19135A691,REFERENCE_FOUND,
PXS-FAB-021,VOGTLE-4-CURRENT-PUBLIC,Accumulator,Hydrostatic test,test_report,N015-HY-W4-PCF-00-12-004-31,2013-01-22,VERIFIED_PUBLIC,SRC-0406,ML19135A691,REFERENCE_FOUND,
PXS-FAB-022,AP1000/VOGTLE,Accumulator,Released Document List,document_index,APP-MT02-VFX-001,Rev 11,VERIFIED_PUBLIC,SRC-0406,ML19135A691,REFERENCE_FOUND,Use to discover missing fabrication drawings and material certificates
