record_id,target_tag,geometry_boundary,document_or_line,evidence_state,source_ids,source_locator,status,resolved_now,remaining_closure,do_not_infer,notes
PXS-U3-RNSV002B-ISO-001,SV3-RNS-PL-V002B,Upstream hot-leg suction boundary,"RNS-L001 / RNS-L002A-B",CORROBORATED_PUBLIC,SRC-0606,"EPS-GW-GL-700 Rev.1 Table 2.3.6-2",RECONCILE_TO_CURRENT,"Westinghouse generic topology places L001/L002A-B from the RCS hot-leg connection only to the RCS side of inner valves V001A/B","Recover current Unit-3 line-number retention and isometric/P&ID arrangement around V001A/B","Do not place V002B on L001/L002 solely because these lines are part of the hot-leg suction path","This is a negative topology boundary: V002B is the outer series isolation valve and belongs downstream of the inner V001 boundary in the generic design."
PXS-U3-RNSV002B-ISO-002,SV3-RNS-PL-V002B,Unit-3 upstream-suction construction isometric,"SV3-RNS-P0W-ME5494 / SV3-RNS-PLW-013 / RNS-PL-L001",VERIFIED_PUBLIC,SRC-0608,"2017 Construction Completion Agreement Exhibit V work-package inventory",RETRIEVAL_REQUIRED,"Date-specific Unit-3 work-package mapping identifies ASME Section III fabrication/installation package ME5494 for site isometric PLW-013 on L001","Recover PLW-013 and ME5494 contents; spool IDs/fittings/welds/supports/elevations/coordinates; current revision and completion/as-built status","Do not assign V002B to PLW-013; generic topology places L001 upstream of V001","Use this isometric to reconstruct the common hot-leg-to-inner-valve approach only after current configuration reconciliation."
PXS-U3-RNSV002B-ISO-003,SV3-RNS-PL-V002B,Unit-3 upstream-suction construction isometric,"SV3-RNS-P0W-ME5496 / SV3-RNS-PLW-018 and -019 / RNS-PL-L001",VERIFIED_PUBLIC,SRC-0608,"2017 Construction Completion Agreement Exhibit V work-package inventory",RETRIEVAL_REQUIRED,"Date-specific Unit-3 work-package mapping identifies ASME Section III fabrication/installation package ME5496 for site isometrics PLW-018/-019 on L001","Recover PLW-018/-019 and ME5496 contents; determine physical segmentation relative to PLW-013 and the RCS hot-leg nozzle/V001 branches; current revisions and completion records","Do not treat these L001 isometrics as evidence for V002B placement, dimensions or adjacent welds","These are upstream network geometry anchors useful for closing the entire V001/V002 suction train later."
PXS-U3-RNSV002B-ISO-004,SV3-RNS-PL-V002B,Downstream V001-to-pump suction-line family,"RNS-L004A-B / L005A-B / L006A-B / L007A-B / L009A-B",CORROBORATED_PUBLIC,SRC-0606,"EPS-GW-GL-700 Rev.1 Table 2.3.6-2",RECONCILE_TO_CURRENT,"Westinghouse generic topology explicitly groups these lines from the V001 pressure-boundary valves onward to the RNS pumps; V002A/B must lie somewhere within this downstream suction network in the generic arrangement","Recover current Unit-3 RNS P&ID/site interface functional-arrangement sketch or site isometrics showing exact V001B→V002B→downstream line-number transitions","Do not choose L004/L005/L006/L007/L009 as V002B inlet or outlet line from network membership alone","This row narrows the correct line family without inventing the exact line on either side of V002B."
PXS-U3-RNSV002B-ISO-005,SV3-RNS-PL-V002B,Downstream candidate Unit-3 site isometric,"SV3-RNS-P0W-ME5495 / SV3-RNS-PLW-015 / RNS-PL-L005 plus L029/L080",VERIFIED_PUBLIC,SRC-0607;SRC-0608,"ML17044A539 Sec.1A09; 2017 Construction Completion Agreement Exhibit V",SEARCH_REQUIRED,"NRC independently identifies APP-RNS-PLW-015 Rev.8 as an RNS isometric design drawing; the Unit-3 construction inventory maps site isometric SV3-RNS-PLW-015 to line L005 plus L029/L080 under ME5495. L005 belongs to the generic V001-to-pump suction-line family, making PLW-015 a high-value candidate for the V001/V002 suction geometry.","Recover APP-RNS-PLW-015 Rev.8 and SV3-RNS-PLW-015/ME5495; establish APP-to-SV3 translation/revision chain; identify which train/branch L005 represents; locate V001/V002 tags, spools, valve welds/flanges, fittings, supports and coordinates; reconcile to current APP/SV3 RNS P&ID","Do not assert that V002B is on PLW-015 or that L005 is its inlet/outlet line until the recovered drawing explicitly shows the tag or a complete line-sequence bridge","This is currently the strongest public construction-isometric candidate for resolving exact V002B process geometry, but it remains a candidate rather than a placement."
PXS-U3-RNSV002B-ISO-006,SV3-RNS-PL-V002B,PLW-015 support-hardware boundary,"SV3-RNS-PHW-861876 / SV3-RNS-PLW-015",VERIFIED_PUBLIC,SRC-0608,"2017 Construction Completion Agreement public work-package inventory",SEARCH_REQUIRED,"The public work-package inventory identifies a dedicated ASME Section III pipe-support fabrication/installation package for site isometric PLW-015","Recover PHW-861876 contents; individual support tags/types/members/anchors/weld maps/embedments/locations/reactions and revisions; establish which supports serve the V001/V002 segment if V002B is proven on PLW-015","Do not assign any support tag, anchor, member size, coordinate or reaction to V002B from the package title alone","If PLW-015 is confirmed to contain V002B, this package becomes the direct route to its adjacent piping support geometry and maintenance-clearance constraints."
PXS-U3-RNSV002B-ISO-007,SV3-RNS-PL-V002B,B-train downstream pump-suction terminus,"APP-RNS-PLW-09B Rev.3 / SV3-RNS-PLW-09B Rev.1 / SV3-RNS-PLW-ME0569 / SV3-RNS-PLW-09B-15 / RNS-L009B → RNS-MP-01B",VERIFIED_PUBLIC,SRC-0609;SRC-0611,"ML16312A506 drawing list; ML17044A539 drawing and RNS work-package/welding-record lists",ACTIVE,"NRC names both APP-RNS-PLW-09B Rev.3 and the site-specific SV3-RNS-PLW-09B Rev.1 with the same Auxiliary Building Room 12163 RNS Pump Suction Lines (Pump MP-01B) title; Unit-3 L009B terminates at RNS Pump MP-01B through 10-inch Schedule-80 CJP weld SV3-RNS-PLW-09B-15 under ME0569","Recover the APP/SV3 PLW-09B drawing contents and change history; L009B spool material/heat traceability; upstream line transitions; supports/coordinates; complete V002B-to-pump sequence","Do not infer that APP Rev.3 was simply renumbered as SV3 Rev.1; do not infer that V002B is directly adjacent to L009B or that its body-end pipe is Schedule 80","This closes the B-train suction terminus and gives a controlled standard-design/site-specific drawing lineage for the pump-suction sheet."
PXS-U3-RNSV002B-ISO-008,SV3-RNS-PL-V002B,B-train suction line-designation and shop-weld change route,"SV3-RNS-M6X-004 Rev.1 / APP-RNS-M6X-004 Rev.2 / APP-RNS-GEF-850028 Rev.0",VERIFIED_PUBLIC,SRC-0611;SRC-0613,"ML17044A539 drawing/specification/E&DCR lists; ML23198A380 reviewed-document list",RETRIEVAL_REQUIRED,"NRC identifies the Unit-3 site RNS Pipe Line Designation Table at SV3 Rev.1 and later the standard APP table at Rev.2; the same 2016 inspection identifies the design change Revise RNS Isos for Shop Welds. Together these are the controlled routes to exact line-number transitions and isometric shop/field-weld revisions.","Recover both M6X-004 table contents and their site-implementation/change-control relationship plus GEF-850028 affected-drawing/weld list; resolve L004B/L005B/L006B/L007B/L009B sequence, pipe classes/sizes and corresponding isometric sheets; reconcile with current RNS P&ID","Do not infer that APP Rev.2 supersedes SV3 Rev.1 on Unit 3 or infer any line sequence, shop-weld conversion, spool boundary or V002B joint from document titles alone","This is one of the strongest public routes for turning the grouped downstream line family into an exact Unit-3 B-train sequence."
PXS-U3-RNSV002B-ISO-009,SV3-RNS-PL-V002B,L006 dynamic-support reconciliation,"SV3-RNS-PH-12Y2060 / APP-RNS-PH-12Y2060 / RNS-L006",CORROBORATED_PUBLIC,SRC-0612,"ML21133A105 snubber PST reviewed record; AP1000 standard safety-related snubber table",RECONCILE_TO_CURRENT,"Unit-3 records prove SV3-RNS-PH-12Y2060 was preservice visually examined; standard AP1000 snubber tables assign APP-RNS-PH-12Y2060 to RNS line L006","Recover Unit-3 support drawing/work package and current M6X-004 line assignment; determine branch suffix, exact location, support type/hardware/anchor/reaction and whether its current line remains L006","Do not use the matching support number alone to place V002B on L006 or to assign the support to the valve","This supplies a current Unit-3 physical-support anchor for the generic L006 line family, but exact site line/branch and V002B adjacency remain open."
PXS-U3-RNSV002B-ISO-010,SV3-RNS-PL-V002B,Unit-3 RNS interface P&ID / RCS-functional-arrangement-sketch route,"SV3-RNS-M6-001 Rev.2→Rev.4 / SV3-RNS-M6K-FA201 Rev.0 / APP-RNS-M6-001 Rev.13→Rev.14",VERIFIED_PUBLIC,SRC-0471;SRC-0613,"ML17044A539; ML21041A051 Sec.1A01; ML21133A105; ML23033A397 Sec.1A01; ML22158A025",RETRIEVAL_REQUIRED,"NRC records show the site-specific RNS P&ID at Rev.2 in 2016 and Rev.4 among interface/supporting records for the 2020 Unit-3 **RCS** functional-arrangement ITAAC inspection; that RCS inspection also identifies site sketch SV3-RNS-M6K-FA201 tied to SV3-RNS-M6-001. The separate RNS functional-arrangement ITAAC 2.3.06.01 had been deleted by License Amendment 170. Later NRC reviews use APP-RNS-M6-001 Rev.13 and Rev.14, providing a controlled standard-design revision trail.","Recover SV3-RNS-M6K-FA201 and the relevant SV3/APP P&ID sheets; extract V001B→V002B→pump sequence, immediate inlet/outlet line numbers, tees/reducers/reliefs/cross-connects and drawing references; establish APP-to-SV3 implementation history","Do not characterize ML21041A051 as a standalone RNS functional-arrangement inspection; do not merge APP and SV3 revision numbers into a single revision sequence; do not assume APP Rev.14 is the Unit-3 as-built P&ID without the implementation bridge","The site RNS sketch remains high-value because the NRC used it with the RNS P&ID during RCS boundary/interface functional-arrangement verification, but its inspection scope must not be overstated."
