record_id,document_id,document_title,configuration,role,evidence_state,source_ids,source_locator,status,what_it_resolves,remaining_targets,notes
PXS-Q223-DOC-001,APP-Q223-P2-001,"Module 1123-Q2-23 DVI B Valve Module Isometric View (Piping Only) Looking North/West",AP1000-Q223-MODULE,"piping isometric view",VERIFIED_PUBLIC,SRC-0406,"ML18226A348 Sec.1A42",ACTIVE,"Module-level piping arrangement and relative equipment placement","Recover drawing content; exact dimensions; line/spool IDs; valve orientation; elevations; support interfaces","Generic APP drawing cited in public Vogtle inspection; not yet a Unit-3 as-built drawing"
PXS-Q223-DOC-002,APP-Q223-SS-500,"Module 1123-Q2-23 DVI B Valve Module Welded Connection Details",AP1000-Q223-MODULE,"welded connection details",VERIFIED_PUBLIC,SRC-0406,"ML18226A348 Sec.1A42",ACTIVE,"Welded structural/piping connection detail family","Recover connection geometry; weld symbols/sizes; materials; member IDs; inspection requirements","Use only after reconciling to Unit-3 module configuration"
PXS-Q223-DOC-003,APP-Q223-SS-501,"Module 1123-Q2-23 DVI B Valve Module Welded Connection Details",AP1000-Q223-MODULE,"welded connection details",VERIFIED_PUBLIC,SRC-0406,"ML18226A348 Sec.1A42",ACTIVE,"Second welded-connection detail family","Recover connection geometry; weld symbols/sizes; materials; member IDs; inspection requirements","Keep separate from SS-500"
PXS-Q223-DOC-004,APP-Q223-V0-001,"Module 1123-Q2-23 DVI B Valve Module Drawing Index",AP1000-Q223-MODULE,"drawing index",VERIFIED_PUBLIC,SRC-0406,"ML18226A348 Sec.1A42",ACTIVE,"Controlled module-document hierarchy","Recover full drawing index and current revisions","High-value discovery source for every module detail drawing"
PXS-Q223-DOC-005,APP-Q223-V1-201,"Module 1123-Q2-23 DVI B Valve Module Field Connections",AP1000-Q223-MODULE,"field connection drawing",VERIFIED_PUBLIC,SRC-0406,"ML18226A348 Sec.1A42",ACTIVE,"Field connection locations/interfaces","Recover each field-joint ID; flange/weld type; bolts/gaskets; coordinates; mating plant spool","Critical bridge between shop module and field-installed piping"
PXS-Q223-DOC-006,APP-Q223-V1-401,"Module 1123-Q2-23 DVI B Valve Module General Outline Plan and Section",AP1000-Q223-MODULE,"general outline plan/section",VERIFIED_PUBLIC,SRC-0406,"ML18226A348 Sec.1A42",ACTIVE,"Module envelope and relative internal arrangement","Recover dimensions; elevations; centerlines; support-frame geometry; maintenance clearances","Will anchor Roblox/CAD placement only after content is recovered"
PXS-Q223-DOC-007,APP-Q223-V2-402,"Module 1123-Q2-23 DVI B Valve Module Pipe Support Locations",AP1000-Q223-MODULE,"pipe support location drawing",VERIFIED_PUBLIC,SRC-0406,"ML18226A348 Sec.1A42",ACTIVE,"Module internal pipe-support location scheme","Recover support tags; coordinates; restraint type; attachment members; support loads","Directly relevant to support network closure"
PXS-Q223-DOC-008,APP-PXS-PH-11R0139,"Pipe Support Drawing PXS System APP-PXS-PH-11R0139",AP1000-Q223-MODULE,"individual pipe support drawing",VERIFIED_PUBLIC,SRC-0406,"ML18226A348 Sec.1A42",ACTIVE,"One Q223-related support design","Recover member sections/materials; welds; attachment hardware; dimensions; supported spool mapping","Public inspection cites Unit-4 installed homolog; retain generic drawing identity separately"
PXS-Q223-DOC-009,APP-PXS-PH-11R0278,"Pipe Support Drawing PXS System APP-PXS-PH-11R0278",AP1000-Q223-MODULE,"individual pipe support drawing",VERIFIED_PUBLIC,SRC-0406,"ML18226A348 Sec.1A42",ACTIVE,"One Q223-related support design","Recover member sections/materials; welds; attachment hardware; dimensions; supported spool mapping","Do not assign to Unit-3 without plant-specific evidence"
PXS-Q223-DOC-010,APP-PXS-PH-11R0580,"Pipe Support Drawing PXS System APP-PXS-PH-11R0580",AP1000-Q223-MODULE,"individual pipe support drawing",VERIFIED_PUBLIC,SRC-0406,"ML18226A348 Sec.1A42",ACTIVE,"One Q223-related support design","Recover member sections/materials; welds; attachment hardware; dimensions; supported spool mapping","Unit-4 N-5 record ties homolog to module piping; Unit-3 reconciliation pending"
