item_id,parent_scope,part_or_assembly_name,object_type,quantity,nominal_data,upstream,downstream,normal_state_or_function,configuration,evidence_state,source_ids,source_locator,status,notes
PXS-IRWST-001,PXS-001,In-containment Refueling Water Storage Tank,water_storage_tank,1,"Minimum credited water volume 73,900 ft3; FSER nominal water inventory 78,900 ft3; boron approximately 2600 ppm",PXS fill/makeup interfaces,IRWST injection / PRHR / ADS spargers / refueling interfaces,Passive water source and heat sink,AP1000-DCD-R19-GENERIC,VERIFIED_PUBLIC,SRC-0401;SRC-0402,NUREG-1793 Ch.6 Sec.6.3.2.3 / DCD Rev.19 Table 6.3-2,ACTIVE,Credited minimum volume and nominal described inventory are separate data fields and must not be conflated
PXS-IRWST-ELEV,PXS-IRWST-001,IRWST bottom elevation relationship,geometry_requirement,1,"Inside bottom surface at least 3.4 ft above DVI nozzle centerline",PXS-IRWST-001,PXS-DVI-A/B,Provides gravity-driving head for injection,AP1000-DCD-R19-GENERIC,VERIFIED_PUBLIC,SRC-0402,DCD Rev.19 Sec.6.3 / ITAAC design feature,ACTIVE,Exact plant elevation coordinates to resolve from Vogtle layout drawings
PXS-IRWST-INJ-A,PXS-IRWST-001,IRWST gravity-injection line A,gravity_injection_line,1,UNRESOLVED,PXS-IRWST-001,PXS-DVI-A,Normally isolated until low-RCS-pressure/gravity injection conditions,AP1000-DCD-R19-GENERIC,VERIFIED_PUBLIC,SRC-0401;SRC-0402,NUREG-1793 Ch.6 / DCD Fig.6.3-1,ACTIVE,Exact line size/material/route/supports pending P&ID/isometrics
PXS-IRWST-INJ-B,PXS-IRWST-001,IRWST gravity-injection line B,gravity_injection_line,1,UNRESOLVED,PXS-IRWST-001,PXS-DVI-B,Normally isolated until low-RCS-pressure/gravity injection conditions,AP1000-DCD-R19-GENERIC,VERIFIED_PUBLIC,SRC-0401;SRC-0402,NUREG-1793 Ch.6 / DCD Fig.6.3-1,ACTIVE,
PXS-IRWST-MOV-A,PXS-IRWST-INJ-A,IRWST injection line A motor-operated isolation valve,motor_operated_valve,1,UNRESOLVED,PXS-IRWST-001,PXS-IRWST-BRANCH-A,Normally open with power removed/locked out for safety function,AP1000-DCD-R19-GENERIC,VERIFIED_PUBLIC,SRC-0401,NUREG-1793 Ch.6 Sec.6.3.2.3,ACTIVE,Exact tag/operator details unresolved
PXS-IRWST-MOV-B,PXS-IRWST-INJ-B,IRWST injection line B motor-operated isolation valve,motor_operated_valve,1,UNRESOLVED,PXS-IRWST-001,PXS-IRWST-BRANCH-B,Normally open with power removed/locked out for safety function,AP1000-DCD-R19-GENERIC,VERIFIED_PUBLIC,SRC-0401,NUREG-1793 Ch.6 Sec.6.3.2.3,ACTIVE,
PXS-IRWST-BRANCH-A,PXS-IRWST-INJ-A,IRWST injection A parallel squib/check branch set,parallel_valve_branch_set,2,Each branch contains one check valve and one squib valve in series,PXS-IRWST-MOV-A,PXS-DVI-A,Squib valves normally closed until ADS Stage 4 signal; check valves open when RCS pressure permits gravity injection,AP1000-DCD-R19-GENERIC,VERIFIED_PUBLIC,SRC-0401,NUREG-1793 Ch.6 Sec.6.3.2.3,ACTIVE,Instantiate two individual branches and exact tags after P&ID/ITAAC mapping
PXS-IRWST-BRANCH-B,PXS-IRWST-INJ-B,IRWST injection B parallel squib/check branch set,parallel_valve_branch_set,2,Each branch contains one check valve and one squib valve in series,PXS-IRWST-MOV-B,PXS-DVI-B,Squib valves normally closed until ADS Stage 4 signal; check valves open when RCS pressure permits gravity injection,AP1000-DCD-R19-GENERIC,VERIFIED_PUBLIC,SRC-0401,NUREG-1793 Ch.6 Sec.6.3.2.3,ACTIVE,
PXS-SPARGER-A,PXS-IRWST-001,ADS discharge sparger A,ads_sparger,1,"Vogtle Unit 3 tag SV3-PXS-MW-01A; 4 arms; 350 holes/arm; 1400 holes total; each hole 0.500 in +0.015/-0.000; total discharge area >274 in2",ADS-COMMON-A,PXS-IRWST-001,Condenses/disperses ADS stages 1-3 discharge beneath IRWST water surface,VOGTLE-3-CURRENT-PUBLIC,VERIFIED_PUBLIC,SRC-0404,NRC ITAAC inspection ML17044A539,ACTIVE,Generic minimum discharge-area requirement is ≥274 in2 per sparger; plant-specific geometry retained as Vogtle overlay
PXS-SPARGER-B,PXS-IRWST-001,ADS discharge sparger B,ads_sparger,1,"Vogtle Unit 3 tag SV3-PXS-MW-01B; 4 arms; 350 holes/arm; 1400 holes total; each hole 0.500 in +0.015/-0.000; total discharge area >274 in2",ADS-COMMON-B,PXS-IRWST-001,Condenses/disperses ADS stages 1-3 discharge beneath IRWST water surface,VOGTLE-3-CURRENT-PUBLIC,VERIFIED_PUBLIC,SRC-0404,NRC ITAAC inspection ML17044A539,ACTIVE,
PXS-SPARGER-HUB-A,PXS-SPARGER-A,Sparger A hub/header,sparger_hub,1,UNRESOLVED,ADS-COMMON-A,PXS-SPARGER-ARMS-A,Distributes incoming ADS flow to four arms,VOGTLE-3-CURRENT-PUBLIC,VERIFIED_PUBLIC,SRC-0404,NRC ITAAC inspection / APP-MW01-Z0-001 reference,ACTIVE,Diameter/material/nozzle/weld/support details unresolved
PXS-SPARGER-HUB-B,PXS-SPARGER-B,Sparger B hub/header,sparger_hub,1,UNRESOLVED,ADS-COMMON-B,PXS-SPARGER-ARMS-B,Distributes incoming ADS flow to four arms,VOGTLE-3-CURRENT-PUBLIC,VERIFIED_PUBLIC,SRC-0404,NRC ITAAC inspection / APP-MW01-Z0-001 reference,ACTIVE,
PXS-SPARGER-ARMS-A,PXS-SPARGER-A,Sparger A arm set,sparger_arm_set,4,"350 discharge holes per arm",PXS-SPARGER-HUB-A,PXS-IRWST-001,Downward/immersed discharge distribution,VOGTLE-3-CURRENT-PUBLIC,VERIFIED_PUBLIC,SRC-0404,NRC ITAAC inspection ML17044A539,ACTIVE,Exact arm dimensions/orientation/supports to resolve from sparger drawing/spec
PXS-SPARGER-ARMS-B,PXS-SPARGER-B,Sparger B arm set,sparger_arm_set,4,"350 discharge holes per arm",PXS-SPARGER-HUB-B,PXS-IRWST-001,Downward/immersed discharge distribution,VOGTLE-3-CURRENT-PUBLIC,VERIFIED_PUBLIC,SRC-0404,NRC ITAAC inspection ML17044A539,ACTIVE,
PXS-IRWST-SCR-A,PXS-IRWST-001,IRWST screen A,debris_screen,1,"Vogtle tag APP-PXS-MY-Y01A; frontal face area >=25 ft2; screen surface area >=575 ft2; mesh <=0.0625 in",IRWST pool,PXS-IRWST-INJ-A/B,Limits debris entry into safety injection flow,VOGTLE-3-CURRENT-PUBLIC,VERIFIED_PUBLIC,SRC-0405,NRC ITAAC/inspection ML21314A277,ACTIVE,Exact allocation to injection line/manifold to verify against as-built piping; bottom located 6 in above IRWST tank bottom
PXS-IRWST-SCR-B,PXS-IRWST-001,IRWST screen B,debris_screen,1,"Vogtle tag APP-PXS-MY-Y01B; frontal face area >=25 ft2; screen surface area >=575 ft2; mesh <=0.0625 in",IRWST pool,PXS-IRWST-INJ-A/B,Limits debris entry into safety injection flow,VOGTLE-3-CURRENT-PUBLIC,VERIFIED_PUBLIC,SRC-0405,NRC ITAAC/inspection ML21314A277,ACTIVE,Bottom located 6 in above IRWST tank bottom
PXS-IRWST-SCR-C,PXS-IRWST-001,IRWST screen C,debris_screen,1,"Vogtle tag APP-PXS-MY-Y01C; frontal face area >=50 ft2; screen surface area >=1150 ft2; mesh <=0.0625 in",IRWST pool,PXS safety flow interfaces,Limits debris entry into PXS flow,VOGTLE-3-CURRENT-PUBLIC,VERIFIED_PUBLIC,SRC-0405,NRC ITAAC/inspection ML21314A277,ACTIVE,Functional allocation and manifold connection to resolve from as-built drawing; bottom located 6 in above tank bottom
PXS-IRWST-POCKETS,PXS-IRWST-001,IRWST screen pocket/cartridge construction,screen_pocket_set,UNRESOLVED,"Each pocket frontal face area >=6.2 in2; screen surface >=140 in2",IRWST water,PXS-IRWST-SCR-A/B/C,Provides high-surface-area fine debris filtration,VOGTLE-3-CURRENT-PUBLIC,VERIFIED_PUBLIC,SRC-0405,NRC PXS screen ITAAC inspection,ACTIVE,Pocket count per screen and detailed frame/mesh fastening hardware to extract from APP-MY03 drawings
PXS-SUMP,PXS-001,Containment sump/floodup collection volume,containment_sump,1,UNRESOLVED,Containment floor/flooded compartments,PXS-RECIRC-A/B,Collects post-LOCA containment water for long-term gravity recirculation,AP1000-DCD-R19-GENERIC,VERIFIED_PUBLIC,SRC-0401;SRC-0402,NUREG-1793 Ch.6 / DCD Sec.6.3,ACTIVE,Exact civil sump boundaries/elevations/volumes coordinated with containment civil package
PXS-RECIRC-A,PXS-SUMP,Containment recirculation line A,gravity_recirculation_line,1,UNRESOLVED,PXS-SUMP,PXS-IRWST-INJ-A,Long-term gravity recirculation after containment floodup/IRWST depletion,AP1000-DCD-R19-GENERIC,VERIFIED_PUBLIC,SRC-0401,NUREG-1793 Ch.6 Sec.6.3.2.3,ACTIVE,Exact line size/route/supports pending P&ID/isometrics
PXS-RECIRC-B,PXS-SUMP,Containment recirculation line B,gravity_recirculation_line,1,UNRESOLVED,PXS-SUMP,PXS-IRWST-INJ-B,Long-term gravity recirculation after containment floodup/IRWST depletion,AP1000-DCD-R19-GENERIC,VERIFIED_PUBLIC,SRC-0401,NUREG-1793 Ch.6 Sec.6.3.2.3,ACTIVE,
PXS-RECIRC-BR-A1,PXS-RECIRC-A,Recirculation A branch 1,valve_branch,1,"Normally open MOV plus squib valve in series",PXS-SUMP,PXS-IRWST-INJ-A,Squib opens on low-IRWST-level recirculation actuation; MOV normally open,AP1000-DCD-R19-GENERIC,VERIFIED_PUBLIC,SRC-0401,NUREG-1793 Ch.6 Sec.6.3.2.3,ACTIVE,Individual valve tags/details unresolved
PXS-RECIRC-BR-A2,PXS-RECIRC-A,Recirculation A branch 2,valve_branch,1,"Check valve plus squib valve in series",PXS-SUMP,PXS-IRWST-INJ-A,Squib opens on low-IRWST-level recirculation actuation; check valve prevents reverse flow,AP1000-DCD-R19-GENERIC,VERIFIED_PUBLIC,SRC-0401,NUREG-1793 Ch.6 Sec.6.3.2.3,ACTIVE,
PXS-RECIRC-BR-B1,PXS-RECIRC-B,Recirculation B branch 1,valve_branch,1,"Normally open MOV plus squib valve in series",PXS-SUMP,PXS-IRWST-INJ-B,Squib opens on low-IRWST-level recirculation actuation; MOV normally open,AP1000-DCD-R19-GENERIC,VERIFIED_PUBLIC,SRC-0401,NUREG-1793 Ch.6 Sec.6.3.2.3,ACTIVE,
PXS-RECIRC-BR-B2,PXS-RECIRC-B,Recirculation B branch 2,valve_branch,1,"Check valve plus squib valve in series",PXS-SUMP,PXS-IRWST-INJ-B,Squib opens on low-IRWST-level recirculation actuation; check valve prevents reverse flow,AP1000-DCD-R19-GENERIC,VERIFIED_PUBLIC,SRC-0401,NUREG-1793 Ch.6 Sec.6.3.2.3,ACTIVE,
PXS-RECIRC-SCR,PXS-SUMP,Containment recirculation screen,debris_screen,1,"Frontal face area >=105 ft2; screen surface area >=2500 ft2; mesh <=0.0625 in",Containment sump,PXS-RECIRC-A/B,Limits debris entering long-term recirculation flow,VOGTLE-3-CURRENT-PUBLIC,VERIFIED_PUBLIC,SRC-0405,NRC ITAAC/inspection ML21314A277,ACTIVE,Debris curb and overhead plate geometry captured separately
PXS-RECIRC-CURB,PXS-RECIRC-SCR,Recirculation-screen debris curb,debris_barrier,1,"Top 2 ft above loop-compartment floor",Containment floor flow,PXS-RECIRC-SCR,Reduces debris transport to screen,VOGTLE-3-CURRENT-PUBLIC,VERIFIED_PUBLIC,SRC-0405,NRC ITAAC/inspection,ACTIVE,Length/thickness/reinforcement/material coordinated with civil/as-built screen drawing
PXS-RECIRC-PLATE,PXS-RECIRC-SCR,Recirculation-screen overhead plate,debris_control_plate,1,"No more than 1 ft 3 in above top of screen face; extends >=8 ft 3 in perpendicular and >=7 ft laterally per credited geometry",Containment debris transport,PXS-RECIRC-SCR,Controls debris approach/settling geometry,VOGTLE-3-CURRENT-PUBLIC,VERIFIED_PUBLIC,SRC-0405,NRC ITAAC inspection design-feature verification,ACTIVE,Exact plate thickness/support frame/anchors unresolved
