record_id,train_or_path,path_group,sequence_index,tag_or_mark,component_name,component_type,normal_or_standby_state,function,upstream_scope,downstream_scope,configuration,evidence_state,source_ids,source_locator,status,notes
ACC-TOPO-A-001,A,accumulator_discharge,1,PXS-PL-V027A,Accumulator A discharge isolation valve,motor_operated_gate_valve,normally open at power / de-energized for required alignment,Administrative isolation of accumulator A from DVI path,Accumulator A outlet,Accumulator A tuned discharge path,AP1000-DCD-R19-GENERIC,CORROBORATED_PUBLIC,SRC-0401;SRC-0411;SRC-0417,NUREG-1793 accumulator description / Vogtle as-built tag listing / Unit-3 EQ inspection,ACTIVE,Exact tuning-orifice position relative to V027/V028/V029 remains unresolved
ACC-TOPO-A-002,A,accumulator_discharge,2,PXS-PL-V028A,Accumulator A discharge check valve 1,swing_check_valve,passive closed while RCS pressure exceeds accumulator pressure,First of two series accumulator A discharge checks,Accumulator A tuned discharge path,PXS-PL-V029A,AP1000-DCD-R19-GENERIC,VERIFIED_PUBLIC,SRC-0401;SRC-0417;SRC-0420,NUREG-1793 / Unit-3 EQ inspection / COL Table 3.7-1,ACTIVE,8-in swing-check family confirmed; exact spool/orientation unresolved
ACC-TOPO-A-003,A,accumulator_discharge,3,PXS-PL-V029A,Accumulator A discharge check valve 2,swing_check_valve,passive closed while RCS pressure exceeds accumulator pressure,Second series accumulator A discharge check,PXS-PL-V028A,DVI A accumulator connection,AP1000-DCD-R19-GENERIC,VERIFIED_PUBLIC,SRC-0401;SRC-0411;SRC-0420,NUREG-1793 / Vogtle tag listing / COL Table 3.7-1,ACTIVE,
ACC-TOPO-B-001,B,accumulator_discharge,1,PXS-PL-V027B,Accumulator B discharge isolation valve,motor_operated_gate_valve,normally open at power / de-energized for required alignment,Administrative isolation of accumulator B from DVI path,Accumulator B outlet,Accumulator B tuned discharge path,AP1000-DCD-R19-GENERIC,CORROBORATED_PUBLIC,SRC-0401;SRC-0411,NUREG-1793 accumulator description / Vogtle as-built tag listing,ACTIVE,
ACC-TOPO-B-002,B,accumulator_discharge,2,PXS-PL-V028B,Accumulator B discharge check valve 1,swing_check_valve,passive closed while RCS pressure exceeds accumulator pressure,First of two series accumulator B discharge checks,Accumulator B tuned discharge path,PXS-PL-V029B,AP1000-DCD-R19-GENERIC,VERIFIED_PUBLIC,SRC-0401;SRC-0411;SRC-0420,NUREG-1793 / Vogtle tag listing / COL Table 3.7-1,ACTIVE,
ACC-TOPO-B-003,B,accumulator_discharge,3,PXS-PL-V029B,Accumulator B discharge check valve 2,swing_check_valve,passive closed while RCS pressure exceeds accumulator pressure,Second series accumulator B discharge check,PXS-PL-V028B,DVI B accumulator connection,AP1000-DCD-R19-GENERIC,VERIFIED_PUBLIC,SRC-0401;SRC-0411;SRC-0420,NUREG-1793 / Vogtle tag listing / COL Table 3.7-1,ACTIVE,
ACC-GAS-TOPO-001,common,nitrogen_boundary,1,PXS-PL-V042,Nitrogen supply containment isolation valve,isolation_valve,closed/open per nitrogen service alignment,Active containment isolation on accumulator nitrogen supply,outside-containment nitrogen source/P18 penetration,PXS-PL-V043,VOGTLE-3-CURRENT-PUBLIC,VERIFIED_PUBLIC,SRC-0417;SRC-0425,Unit-3 EQ/construction evidence,ACTIVE,Exact valve body type and upstream regulator/header remain unresolved
ACC-GAS-TOPO-002,common,nitrogen_boundary,2,PXS-PL-V043,Nitrogen supply containment isolation check valve,check_valve,passive,Passive containment isolation/check function downstream of V042,PXS-PL-V042,inside-containment accumulator nitrogen distribution,VOGTLE-3-CURRENT-PUBLIC,VERIFIED_PUBLIC,SRC-0417;SRC-0425,Unit-3 EQ/construction evidence,ACTIVE,Test branch V052 tracked separately
PRHR-TOPO-001,PRHR,inlet,1,PXS-PL-V101,PRHR HX inlet isolation valve,motor_operated_valve,normally open / no active safety transfer required,Maintenance/administrative inlet isolation on PRHR supply path,RCS hot-leg PRHR supply boundary,PRHR HX inlet,VOGTLE-3-CURRENT-PUBLIC,VERIFIED_PUBLIC,SRC-0418;SRC-0425,Unit-3 V101 installation/weld evidence / integrated inspection,ACTIVE,14-in MOV; exact adjacent spool geometry remains tied to RCS/PXS isometrics
PRHR-TOPO-002,PRHR,heat_exchanger,2,PXS-ME-01,PRHR heat exchanger,heat_exchanger,passive,Removes RCS heat by natural circulation to IRWST,PXS-PL-V101,PRHR HX outlet line,AP1000-DCD-R19-GENERIC,VERIFIED_PUBLIC,SRC-0011;SRC-0406,NUREG-1793 / NRC fabrication inspection,ACTIVE,689 C-shaped 0.75-in-OD tubes
PRHR-TOPO-003,PRHR,outlet_parallel_branch_A,3,PXS-PL-V108A,PRHR HX control valve A,air_operated_control_valve,normally closed / fail open,One of two parallel fail-open outlet/control branches,PRHR HX outlet header,PRHR outlet branch recombination,VOGTLE-3-CURRENT-PUBLIC,VERIFIED_PUBLIC,SRC-0413;SRC-0420;SRC-0422,Unit-3 fabrication/wiring evidence / COL Table 3.7-1,ACTIVE,Exact branch line ID to preserve from current isometric
PRHR-TOPO-004,PRHR,outlet_parallel_branch_B,3,PXS-PL-V108B,PRHR HX control valve B,air_operated_control_valve,normally closed / fail open,Second parallel fail-open outlet/control branch,PRHR HX outlet header,PRHR outlet branch recombination,VOGTLE-3-CURRENT-PUBLIC,VERIFIED_PUBLIC,SRC-0413;SRC-0420,Unit-3 fabrication evidence / COL Table 3.7-1,ACTIVE,Unit-3 evidence identifies air-operated ball/globe commodity trail; exact final body family to keep source-controlled
PRHR-TOPO-005,PRHR,return_common,4,PXS-PL-V109,PRHR HX/RCS return maintenance isolation valve,manual_gate_valve,administratively aligned open,Manual maintenance isolation downstream of recombined V108 branches,PRHR outlet branch recombination,RCS PRHR return boundary,VOGTLE-3-CURRENT-PUBLIC,VERIFIED_PUBLIC,SRC-0413,Unit-3 PRHR return fabrication inspection line PXS-L104B / V109,ACTIVE,Current construction record identifies manual gate valve; support/packing/bonnet/handwheel details unresolved
