record_id,tag_or_mark,description,area,configuration,evidence_state,source_ids,source_locator,current_disposition,target_confirmation,status,notes
PXS-MIN-001,PXS-PL-V010A,CMT A upper sample valve,CMT sample,VOGTLE-UFSAR-REV8-HISTORY,UNRESOLVED,,VEGP UFSAR Rev.8 Table 3I.6-3 / AP1000 reference classification table,HISTORY_CONFIRMED_CURRENT_FUNCTION_PENDING,Current Unit-3 UFSAR/PXS P&ID,SEARCH_REQUIRED,Must close sample tubing destination and sample panel
PXS-MIN-002,PXS-PL-V010B,CMT B upper sample valve,CMT sample,VOGTLE-UFSAR-REV8-HISTORY,UNRESOLVED,,VEGP UFSAR Rev.8 Table 3I.6-3 / AP1000 reference classification table,HISTORY_CONFIRMED_CURRENT_FUNCTION_PENDING,Current Unit-3 UFSAR/PXS P&ID,SEARCH_REQUIRED,
PXS-MIN-003,PXS-PL-V011A,CMT A lower sample valve,CMT sample,VOGTLE-UFSAR-REV8-HISTORY,UNRESOLVED,,VEGP UFSAR Rev.8 Table 3I.6-3 / AP1000 reference classification table,HISTORY_CONFIRMED_CURRENT_FUNCTION_PENDING,Current Unit-3 UFSAR/PXS P&ID,SEARCH_REQUIRED,
PXS-MIN-004,PXS-PL-V011B,CMT B lower sample valve,CMT sample,VOGTLE-UFSAR-REV8-HISTORY,UNRESOLVED,,VEGP UFSAR Rev.8 Table 3I.6-3 / AP1000 reference classification table,HISTORY_CONFIRMED_CURRENT_FUNCTION_PENDING,Current Unit-3 UFSAR/PXS P&ID,SEARCH_REQUIRED,
PXS-MIN-005,PXS-PL-V012A,CMT A drain valve,CMT drain,VOGTLE-UFSAR-REV8-HISTORY,UNRESOLVED,,VEGP UFSAR Rev.8 Table 3I.6-3; Unit-3 public N-5 description identifies a 1-in drain branch on CMT-A discharge line,HISTORY_STRONGLY_CORROBORATED,Current Unit-3 PXS P&ID/isometric,SEARCH_REQUIRED,Final drain destination must be explicit
PXS-MIN-006,PXS-PL-V012B,CMT B drain valve,CMT drain,VOGTLE-UFSAR-REV8-HISTORY,UNRESOLVED,,VEGP UFSAR Rev.8 Table 3I.6-3,HISTORY_CONFIRMED_CURRENT_FUNCTION_PENDING,Current Unit-3 PXS P&ID/isometric,SEARCH_REQUIRED,
PXS-MIN-007,PXS-PL-V013A,CMT A discharge manual isolation,CMT discharge,VOGTLE-UFSAR-REV8-HISTORY,UNRESOLVED,,VEGP UFSAR Rev.8 Table 3I.6-3 / AP1000 reference classification table,HISTORY_CONFIRMED_CURRENT_FUNCTION_PENDING,Current Unit-3 PXS P&ID/isometric,SEARCH_REQUIRED,Determine exact location relative to tank outlet and AOV split
PXS-MIN-008,PXS-PL-V013B,CMT B discharge manual isolation,CMT discharge,VOGTLE-UFSAR-REV8-HISTORY,UNRESOLVED,,VEGP UFSAR Rev.8 Table 3I.6-3 / AP1000 reference classification table,HISTORY_CONFIRMED_CURRENT_FUNCTION_PENDING,Current Unit-3 PXS P&ID/isometric,SEARCH_REQUIRED,
PXS-MIN-009,PXS-PL-V019A,RNS-to-CMT injection line A drain,CMT/RNS boundary,VOGTLE-UFSAR-REV8-HISTORY,UNRESOLVED,,VEGP UFSAR Rev.8 Table 3I.6-3,HISTORY_CONFIRMED_CURRENT_FUNCTION_PENDING,Current Unit-3 PXS/RNS P&IDs,SEARCH_REQUIRED,Cross-system ownership and drain destination required
PXS-MIN-010,PXS-PL-V019B,RNS-to-CMT injection line B drain,CMT/RNS boundary,VOGTLE-UFSAR-REV8-HISTORY,UNRESOLVED,,VEGP UFSAR Rev.8 Table 3I.6-3,HISTORY_CONFIRMED_CURRENT_FUNCTION_PENDING,Current Unit-3 PXS/RNS P&IDs,SEARCH_REQUIRED,
PXS-MIN-011,PXS-PL-V020A,IRWST injection line A drain,IRWST injection,VOGTLE-UFSAR-REV8-HISTORY,UNRESOLVED,,VEGP UFSAR Rev.8 Table 3I.6-3,HISTORY_CONFIRMED_CURRENT_FUNCTION_PENDING,Current Unit-3 PXS P&ID/isometric,SEARCH_REQUIRED,
PXS-MIN-012,PXS-PL-V020B,IRWST injection line B drain,IRWST injection,VOGTLE-UFSAR-REV8-HISTORY,UNRESOLVED,,VEGP UFSAR Rev.8 Table 3I.6-3,HISTORY_CONFIRMED_CURRENT_FUNCTION_PENDING,Current Unit-3 PXS P&ID/isometric,SEARCH_REQUIRED,
PXS-MIN-013,PXS-PL-V021A,Accumulator A nitrogen vent isolation,accumulator gas,VOGTLE-UFSAR-REV8-HISTORY,UNRESOLVED,,VEGP UFSAR Rev.8 equipment list,HISTORY_CONFIRMED_CURRENT_FUNCTION_PENDING,Current Unit-3 UFSAR/PXS P&ID,SEARCH_REQUIRED,Resolve vent termination and solenoid/limit-switch subcomponents
