record_id,scope,document_id,document_title_or_role,vendor_or_owner,configuration,evidence_state,source_ids,source_locator,status,confirmed_now,remaining_targets,notes
PXS-EPA-DOC-001,AP1000 Class 1E power/control EPA,APP-EY01-Z0-001,Electrical Penetration Assemblies design specification,Westinghouse / EY01,AP1000/VOGTLE,VERIFIED_PUBLIC,SRC-0434;SRC-0435;SRC-0436,"ML17013A658; ML19135A691; ML18226A348",ACTIVE,"Controlled EY01 EPA design-specification family; public revisions include Rev.6/7 in Unit-3 inspection records","Recover current Unit-3 controlling revision and full dimensions/material/qualification requirements; map each EPA type and individual penetration to applicable datasheet","Revision varies with inspection date; do not flatten historical revisions into one as-built revision without current document control"
PXS-EPA-DOC-002,Class 1E power/control EPA,APP-EY01-Z0D-010,Specification Datasheet for Class 1E Power and Control Electrical Penetration Assemblies,Westinghouse / Mirion interface,AP1000/VOGTLE,VERIFIED_PUBLIC,SRC-0434;SRC-0435,"ML17013A658 penetration-protection verification; ML19135A691 EPA document list",ACTIVE,"Datasheet controls conductor fill tables, conductor sizes/feeder designations and isolation basis used in NRC review","Recover table contents; penetration type/model; conductor quantity/size ranges; assembly dimensions; current revision; exact applicability to P30Z/P31Y","Do not assume P30Z/P31Y are power/control rather than I&C solely from tag format; classify by cable schedule/datasheet mapping"
PXS-EPA-DOC-003,Class 1E I&C EPA,APP-EY01-Z0D-020,Specification Datasheet for Class 1E I&C Electrical Penetration Assemblies,Westinghouse / EY01,AP1000/VOGTLE,VERIFIED_PUBLIC,SRC-0436,"ML18226A348 p.102 / pp.137-138",ACTIVE,"Public Unit-3 inspection identifies the Class 1E I&C penetration datasheet","Recover dimensions, conductor/feedthrough types, fill, isolation, materials, qualification and exact penetration applicability","Keep separate from Z0D-010 power/control family"
PXS-EPA-DOC-004,AP1000 EPA conductor thermal/electrical basis,APP-EY01-V7Y-001,Archival of Mirion IPS-2402 EPA Conductor Parameters,Mirion Technologies (Conax Nuclear),AP1000/VOGTLE,VERIFIED_PUBLIC,SRC-0434,"ML17013A658 penetration-protection section",ACTIVE,"Mirion conductor-parameter document is NRC-reviewed source for penetration thermal-limit I-squared-t curves","Recover conductor materials/cross-sections/resistance/thermal constants; individual penetration conductor configurations; revision-controlled values","Do not derive fuse sizes or current limits numerically until the actual parameter tables are public"
PXS-EPA-DOC-005,AP1000 EPA installation/maintenance,SV0-EY01-V0M-100,Vogtle 3&4 EPA Multipurpose Manual: EPA Installation and Maintenance Manual,Westinghouse / Mirion Technologies (Conax Nuclear),VOGTLE-3/VOGTLE-4,VERIFIED_PUBLIC,SRC-0435,"ML19135A691 document list",ACTIVE,"Plant-specific public manual identity and revision trail","Recover assembly exploded views; installation sequence; seals/gaskets; bolting/torque; supports; cable termination/splice steps; inspection; maintenance; test ports; replacement criteria; grounding/bonding","Use manual hardware only when configuration/type applicability to the target EPA is demonstrated"
PXS-EPA-DOC-006,Unit-3 EY01 final fabrication records,SV3-EY01-VQQ-001,QR and QAPD Unit-3 EY01 final data package,Westinghouse / Mirion Technologies (Conax Nuclear),VOGTLE-3-CONSTRUCTION-PUBLIC,VERIFIED_PUBLIC,SRC-0435;SRC-0436,"ML19135A691 Sec.1A11; ML18226A348 p.103",ACTIVE,"Unit-3 EY01 final fabrication/acceptance data-package family","Recover penetration serial-by-tag matrix; materials; pressure/voltage/resistance test sheets; weld/material records; dimensional inspections; module/conductor population; deviations/nonconformances","Highest-value source for assigning specific P30Z/P31Y hardware if underlying pages become public/searchable"
PXS-EPA-DOC-007,Unit-3 EY01 common records,SV3-EY01-VQQ-002,Common Records for EY01,Westinghouse / Mirion Technologies (Conax Nuclear),VOGTLE-3-CONSTRUCTION-PUBLIC,VERIFIED_PUBLIC,SRC-0436,"ML18226A348 p.103",ACTIVE,"Common Unit-3 EY01 record set identity","Recover common procedures, material specs, qualification records, standard parts, drawings and acceptance criteria","Do not apply a common record to an individual penetration unless its configuration calls it up"
PXS-EPA-DOC-008,Unit-3 EY01 final fabrication records,SV3-EY01-VQQ-003,QR and QAPD / final Unit-3 EY01 records,Westinghouse / Mirion Technologies (Conax Nuclear),VOGTLE-3-CONSTRUCTION-PUBLIC,VERIFIED_PUBLIC,SRC-0435;SRC-0436,"ML19135A691 Sec.1A11; ML18226A348 p.103",ACTIVE,"Unit-3 final EPA records explicitly used by NRC to evaluate fabrication/acceptance testing","Recover individual P30Z/P31Y data sheets and serials; pressure/voltage/resistance test values; material composition; dimensional/fill records; module locations","Keep serial-level configuration unresolved until individual records are recovered"
PXS-EPA-DOC-009,Unit-3 containment EPA weld map,SV3-EY01-MLK-886761,Containment Vessel Electrical Penetrations Weld Map sheet 1 of 2,Westinghouse / construction,VOGTLE-3-CONSTRUCTION-PUBLIC,VERIFIED_PUBLIC,SRC-0436,"ML18226A348 p.103",ACTIVE,"Unit-3 weld-map identity for containment electrical penetrations","Recover both sheets; map each Pxx penetration to weld IDs; shell/nozzle/header-plate interfaces; weld type/size; materials; NDE; field/shop split","Necessary before containment-shell penetration geometry can be frozen"
PXS-EPA-DOC-010,Unit-3 EPA construction geometry,SV3-1100-P0-909-R3,Electrical Penetration Assembly Details for AP1000,Westinghouse / construction,VOGTLE-3-CONSTRUCTION-PUBLIC,VERIFIED_PUBLIC,SRC-0436,"ML18226A348 p.103",ACTIVE,"Unit-3 EPA detail drawing identity","Recover view dimensions/elevations; penetration sleeve/flange/frame geometry; attachment/weld details; orientation; individual Pxx callouts; fasteners/gaskets/covers where shown","Do not confuse with similarly titled APP-1100-P0-903 records without drawing-level reconciliation"
PXS-EPA-DOC-011,Class 1E low-voltage penetration protection,APP-IDS-E0C-014,Verification of IDS Low Voltage Class 1E Safety-Related Electrical Penetrations,Westinghouse / IDS,AP1000/VOGTLE,VERIFIED_PUBLIC,SRC-0434,"ML17013A658 penetration-protection section",ACTIVE,"Calculation establishes primary/backup electrical protection and thermal-limit comparison for reviewed Class-1E penetrations","Recover penetration-by-penetration primary/backup fuse sizes, upstream panels, time-current curves, thermal I2t limits and acceptance margins","Protective-device values must remain unresolved until actual calculation tables are available"
PXS-EPA-DOC-012,Unit-3 EPA installation/maintenance,SV3-EY01-V0M-100,Vogtle Unit 3&4 Electrical Penetration Assembly Multipurpose Manual: EPA Installation and Maintenance Manual,Westinghouse / Mirion Technologies (Conax Nuclear),VOGTLE-3-CONSTRUCTION-PUBLIC,VERIFIED_PUBLIC,SRC-0437,"ML18317A395 Sec.1A06 / document list p.69",ACTIVE,"Rev.1 plant-specific manual was directly used during Unit-3 EPA installation inspection; inspection observed lifting/alignment, penetration-sleeve-to-canister field welding and cable feedthrough installation","Recover complete manual; assembly views; field-weld details; bolting/torque; seals; cable handling; grounding; inspection/maintenance criteria; determine P30Z/P31Y-specific manual sections","Preserve this SV3-controlled document separately from the SV0 document identity recorded in later inspection records until document-control relationship is reconciled"
PXS-EPA-DOC-013,Unit-3 Class 1E I&C EPA,SV3-EY01-Z0D-020,Specification Datasheet for Class 1E I&C Electrical Penetration Assemblies,Westinghouse / EY01,VOGTLE-3-CONSTRUCTION-PUBLIC,VERIFIED_PUBLIC,SRC-0437,"ML18317A395 Sec.1A06 document list p.69",ACTIVE,"Unit-3 controlled Class 1E I&C EPA datasheet Rev.3 is public by document identity; inspectors used the I&C specification-datasheet family to verify P27Z feedthrough cable placement","Recover Rev.3 tables/drawings; feedthrough types; conductor counts/sizes; module positions; fill/isolation; dimensions; materials; exact Pxx applicability including whether P30Z or P31Y are governed by this datasheet","P27Z is a sampled I&C penetration; do not transfer its electrical type or feedthrough population to P30Z/P31Y"
PXS-EPA-DOC-014,Unit-3 containment EPA ASME design report,SV3-CNS-S3R-001,Vogtle Unit 3 Containment System Penetration Assemblies (CNS) ASME III As-Built Design Report,Westinghouse / Southern Nuclear,VOGTLE-3-CURRENT-PUBLIC,VERIFIED_PUBLIC,SRC-0438,"ND-21-0802 / ML21355A376 Ref.14 and Attachment A",ACTIVE,"Rev.1 is the controlling as-built ASME III design-report family explicitly mapped to Unit-3 electrical penetrations P30Z and P31Y","Recover report pages for P30Z/P31Y geometry; materials; pressure-boundary boundaries; design loads; weld details; nozzle/sleeve/canister interfaces; code classification details; support/attachment design","This closes the Unit-3 code-design-report mapping but not manufacturer serial/module or electrical configuration"
PXS-EPA-DOC-015,Unit-3 containment EPA ASME code/N-5 data report,SV3-CNS-MUR-001,AP1000 Vogtle Unit 3 ASME Section III System Code Data Report for the Containment System Penetration Assemblies (CNS),Westinghouse / Southern Nuclear,VOGTLE-3-CURRENT-PUBLIC,VERIFIED_PUBLIC,SRC-0438,"ND-21-0802 / ML21355A376 Ref.1 and Attachment A",ACTIVE,"Rev.1 code-data/N-5 report family is explicitly mapped to Unit-3 P30Z and P31Y","Recover individual N-5/report pages and manufacturer certificate identifiers for P30Z/P31Y; serials; materials; examination/test references; exact code boundary","Do not treat the system-level report identity as the missing individual Mirion final-data-package serial record"
PXS-EPA-DOC-016,Unit-3 low-voltage EPA equipment qualification,SV3-EY01-VBR-003,Equipment Qualification Summary Report for Low Voltage Power Control and I&C Electrical Penetration Assemblies for Use in the AP1000,Westinghouse / EY01,VOGTLE-3-CURRENT-PUBLIC,VERIFIED_PUBLIC,SRC-0425,"ML22193A291 document list",ACTIVE,"Current-public Unit-3 EQ summary report Rev.3 covers the low-voltage power/control/I&C EPA qualification family","Recover qualification envelope; environmental profiles; seismic loads; aging; interfaces; applicable EPA models/tags; P30Z/P31Y applicability matrix","Qualification-family evidence does not identify individual feedthrough population or serial"
