record_id,assembly_zone,object_tag_or_boundary,object_type,function_or_connection,configuration,evidence_state,source_ids,source_locator,status,resolved_now,remaining_closure,do_not_infer,notes
"PXS-U3-RNSLTOP2-001","CONFIGURATION_HISTORY","Original AP1000 / pre-LAR single RNS suction relief","Historical LTOP configuration","Provides original single-relief design basis against which Vogtle Amendment 104 must be reconciled","PRE_AMENDMENT_DESIGN_HISTORY",CORROBORATED_PUBLIC,"SRC-0712;SRC-0717;SRC-0735","NUREG-1793 / pilot ITAAC / LAR-17-022","SUPERSEDED_FOR_FINAL_VOGTLE_TOPOLOGY","Original design centered on one RNS suction relief valve, V021, with single-valve LTOP sizing and setpoint basis","Exact revision point at which each affected drawing/calculation changed; any portions of original sizing retained after LAR","Do not use the single-relief topology, its old destination ambiguity, or its 850/500/550 values as final Vogtle geometry/performance without post-LAR reconciliation","Retained only as controlled configuration history."
"PXS-U3-RNSLTOP2-002","FINAL_CONFIGURATION","RNS-PL-V020 + RNS-PL-V021","Parallel RNS LTOP relief-valve pair","Protects RCS/RNS from low-temperature overpressure with two parallel spring-loaded relief paths terminating at the WLS containment-sump receiving boundary","VOGTLE-3-FINAL_PLANT_SPECIFIC",VERIFIED_PUBLIC,"SRC-0735;SRC-0737;SRC-0738;SRC-0741","Amendment 104; UFSAR Rev.8; ML23097A006; 82 FR 42853","ACTIVE_FINAL_CONFIGURATION","Both V020 and V021 are final Vogtle RNS Hot Leg Suction Relief tags; current TS implementation requires two RNS suction relief valves operable in the applicable LTOP state or an alternative depressurized-RCS configuration. Plant-specific LAR text identifies the added valve as also discharging to the WLS containment sump, strongly corroborating that sump as the final receiving boundary for the retained parallel relief path.","Exact post-LAR inlet/outlet branch geometry; whether outlets combine before the sump; individual setpoints/capacities; serials; data sheets; code-data reports; current surveillance results","Do not omit V020, treat it as a spare, or resurrect the generic IRWST destination as final Vogtle configuration","This row supersedes any final-state model containing only V021 or an unresolved IRWST-versus-sump final receiving boundary."
"PXS-U3-RNSLTOP2-003","SMALL_RELIEF_BRANCH","RNS-PL-V020","Added 1-inch RNS suction relief valve","Low-flow LTOP relief path; opens at lower pressure than V021 and discharges to the WLS containment sump","VOGTLE-3-PLANT_SPECIFIC",VERIFIED_PUBLIC,"SRC-0735;SRC-0736;SRC-0738;SRC-0741","LAR-17-022 / 82 FR 42852-42853 / UFSAR Rev.8","FUNCTION_SIZE_AND_RECEIVING_BOUNDARY_RESOLVED","V020 is the added 1-inch relief valve in parallel with V021; it has lower capacity and lower setpoint than V021; the plant-specific licensing basis explicitly states V020 discharges to the liquid radwaste system WLS containment sump","Exact manufacturer/model/serial; commodity family/data sheet; inlet/outlet class/schedule; numeric setpoint; capacity; accumulation/blowdown; materials/internals; branch line, outlet routing and supports","Do not copy V021 PV16 Z0D-105, model, serial, setpoint, spring or capacity onto V020; do not turn the resolved final receiving sump into an invented outlet-pipe route","V020's exact vendor-document bridge remains the highest-value valve-specific gap."
"PXS-U3-RNSLTOP2-004","LARGE_RELIEF_BRANCH","RNS-PL-V021","Existing 3-inch RNS suction relief valve","Higher-capacity LTOP relief path retained after Amendment 104","VOGTLE-3-FINAL_RETAINED",VERIFIED_PUBLIC,"SRC-0716;SRC-0736;SRC-0739;SRC-0741","82 FR 42852-42853; ML18226A348","FUNCTION_SIZE_DATASHEET_AND_RECEIVING_BOUNDARY_CORROBORATED","V021 is the existing 3-inch valve; licensing basis states it is sufficient to terminate identified LTOP transients; direct PV16 Datasheet-105/QME-1 route exists. The amendment text says added V020 also discharges to the WLS containment sump while comparing it to the existing V021 path, strongly corroborating the same final receiving boundary for V021.","Post-LAR setpoint/capacity; current Z0D revision; installed serial; exact AG-Crosby model; inlet/outlet dimensions; exact outlet line/recombination geometry; test history","Do not assume the old 500-psig nominal setpoint survived unchanged or claim the exact V021 outlet route from the word also","V021 remains physically and hydraulically distinct from the added V020."
"PXS-U3-RNSLTOP2-005","INLET_TOPOLOGY","Inside-containment RNS suction header → V020/V021 parallel inlet branches","Parallel inlet piping boundary","Feeds both LTOP relief valves from the RNS suction header inside containment","POST_LAR_SITE_TOPOLOGY",CORROBORATED_PUBLIC,"SRC-0733;SRC-0735","NUREG-1793 suction-header location + Amendment 104 parallel-valve change","RETRIEVAL_REQUIRED","The relief subsystem is on the inside-containment RNS suction header and final Vogtle design has V020 parallel to V021","Exact common takeoff versus separate takeoffs; line numbers; tee/header geometry; valve order/orientation; pipe sizes/classes; reducers; welds; supports; coordinates","Do not assume both valves share one inlet tee, equal-length branches, identical inlet losses or generic L040 line numbers","Recover post-LAR SV3-RNS-M6-003 / M6-001 and affected isometrics."
"PXS-U3-RNSLTOP2-006","OUTLET_TOPOLOGY","V020/V021 outlet branch(es) → WLS containment sump","Relief discharge piping boundary","Routes relieved RCS/RNS inventory from the dual LTOP valves to the liquid radwaste system containment sump","VOGTLE-3-POST_LAR_RECEIVING_BOUNDARY",CORROBORATED_PUBLIC,"SRC-0735;SRC-0741","82 FR 42853 plant-specific LAR basis","RECEIVING_BOUNDARY_RESOLVED_GEOMETRY_OPEN","V020 is explicitly stated to discharge to the WLS containment sump; the licensing text uses also while comparing V020 with the retained V021 path, strongly corroborating the same final receiving boundary for both relief paths. The old generic/initial-FSER IRWST-versus-sump conflict is therefore superseded for final Vogtle receiving-boundary purposes.","Whether V020/V021 outlets remain separate or combine; exact outlet line numbers/sizes/classes; fittings; supports/restraints; drain/test connections; sump discharge nozzle/location; discharge reaction basis","Do not infer a shared outlet header, tee location, line numbers or exact V021 pipe path from the common receiving boundary","Current post-Amendment-104 Unit-3 P&ID/isometric is still mandatory for physical routing closure."
"PXS-U3-RNSLTOP2-007","DESIGN_ANALYSIS","Post-LAR APP-RNS-M3C-002 revision","LTOP sizing/transient calculation","Demonstrates dual-valve relief performance against limiting mass- and heat-input transients and P/T limits","VOGTLE-3-POST_LAR_REQUIRED",UNRESOLVED,"SRC-0717;SRC-0735;SRC-0740","APP-RNS-M3C-002 / LDCR-2017-114 route","RETRIEVAL_REQUIRED","Original sizing analysis is identified; LAR and LDCR prove final parameters/configuration changed","Post-LAR calculation revision; transient cases; branch pressure losses; V020/V021 capacity participation; setpoints; accumulation; allowable inlet pressure; uncertainties/margins","Do not run a final hydraulic model using only pre-LAR 850/500/550 inputs","This calculation should become the governing simulation basis when recovered."
"PXS-U3-RNSLTOP2-008","OPERABILITY","TS 3.4.14 dual-relief requirement","Technical Specification operating boundary","Requires dual RNS suction relief availability during applicable low-temperature conditions unless alternate RCS depressurization/venting condition is established","VOGTLE-3-OPERATING_BASIS",VERIFIED_PUBLIC,"SRC-0737","ML23097A006","FUNCTIONAL_REQUIREMENT_RESOLVED","NRC correspondence explicitly describes the Unit-3 LTOP condition as requiring two RNS suction relief valves operable or alternatively the RCS depressurized","Exact current TS wording/surveillance frequencies; individual valve alignment requirements; PTLR setpoint ranges; allowed outage actions","Do not use original AP1000 single-relief TS Bases as current Vogtle final requirements","Current COL Appendix A / TS and PTLR should be recovered as final operating-rule sources."
"PXS-U3-RNSLTOP2-009","MASS_INPUT_CONTROL","CVS-PL-V091 interaction","LTOP mass-input restriction interface","Limits CVS makeup capability when RCS is aligned to RNS so the relief subsystem can reliably control mass-input transients","VOGTLE-3-LAR17-022",CORROBORATED_PUBLIC,"SRC-0736","82 FR 42852","FUNCTIONAL_INTERFACE_RESOLVED_IMPLEMENTATION_OPEN","LAR basis explicitly adds restrictions involving closure of CVS-PL-V091 when RCS is aligned to RNS for LTOP; if V091 is open, licensing basis calls for depressurized RCS with qualifying vent","Current control/procedure implementation; whether automatic or administrative; signal/interlock logic; position indication; test requirements","Do not create an automatic interlock from licensing prose alone","Carry as an operational/control boundary for later control-system reconstruction."
"PXS-U3-RNSLTOP2-010","V020_DOCUMENT_GATE","V020 exact vendor/data-sheet/code package","Valve qualification/manufacturing record family","Defines final V020 body/spring/disc/seat/nozzle construction, model, code class and qualified performance","VOGTLE-3-EXACT_HARDWARE",UNRESOLVED,"SRC-0735;SRC-0738;SRC-0740;SRC-0741","LAR/UFSAR/LDCR routes","HIGH_PRIORITY_RETRIEVAL_GATE","Public evidence fixes V020 tag/function/1-inch nominal functional size and WLS containment-sump receiving boundary but no exact V020 data-sheet identifier has been exposed in the recovered PV16 sample","Data sheet number/revision; commodity code; manufacturer/model/serial; ASME NV-1/code data; QME-1 report; EQRR; receipt/final-data package; installed orientation","Do not assume V020 belongs to PV16 or to Z0D-105 unless a direct bridge is recovered","Search post-2017 vendor/EQ inspections and final RNS EQRR/ITAAC packages."
