record_id,parent_valve,child_or_test_identifier,interface_class,current_public_evidence,configuration,evidence_state,source_ids,source_locator,status,resolved_now,remaining_targets,notes
PXS-U3-VCI-001,PXS-PL-V015A,PXS-PL-V015A-S1,component-test child identifier,Unit-3 ITAAC/component test explicitly identifies this child/test identifier for the CMT-A discharge isolation valve,VOGTLE-3-CURRENT-PUBLIC,VERIFIED_PUBLIC,SRC-0419,ML22040A213 Sec.3T02 / B-GEN-ITPCI-039-F075,ACTIVE,Identifier and parent valve association,Determine whether S1 is a solenoid/operator/switch/test-point designation; retrieve combined wiring diagram; exact terminals/cable IDs; manufacturer/model; mounting; connector; replacement/maintenance procedure,Do not infer the semantic meaning of suffix S1 from naming alone
PXS-U3-VCI-002,PXS-PL-V117A,SV3-PXS-E5-PLV117A04,combined wiring sheet,Current Unit-3 combined wiring package exists for containment recirculation isolation MOV,VOGTLE-3-CURRENT-PUBLIC,VERIFIED_PUBLIC,SRC-0422,ML20128J831 cites sheet 4 of 5 Rev.3,ACTIVE,Valve-to-wiring-package association,Retrieve all sheets; motor leads; contactors; torque/limit switches; space heater if present; terminal blocks; cable IDs; power source; PMS command and indication circuits; grounding,Child hardware becomes canonical only after sheet-level interpretation
PXS-U3-VCI-003,PXS-PL-V108A,SV3-PXS-E5-PLV108A02,combined wiring sheet,Current Unit-3 combined wiring package exists for PRHR HX control AOV,VOGTLE-3-CURRENT-PUBLIC,VERIFIED_PUBLIC,SRC-0422,ML20128J831 cites sheet 2 of 3 Rev.2,ACTIVE,Valve-to-wiring-package association,Retrieve all sheets; solenoid valves if present; position switches/transmitter; air-set/filter-regulator; terminal blocks; cable IDs; PMS control and indication; grounding,Do not assume pneumatic accessory count from generic Fisher practice
PXS-U3-VCI-004,PXS-PL-V123A,SV3-PXS-E5-PLV123A01,combined wiring sheet,Current Unit-3 combined wiring package exists for IRWST injection squib valve,VOGTLE-3-CURRENT-PUBLIC,VERIFIED_PUBLIC,SRC-0422,ML20128J831 cites sheet 1 of 2 Rev.2,ACTIVE,Valve-to-wiring-package association,Retrieve complete firing circuit; connector/terminal details; indication circuit; cable IDs; PMS divisions; continuity/test interfaces; grounding,Keep energetic actuator internals limited to public engineering documentation
PXS-U3-VCI-005,PXS-PL-V130A,SV3-PXS-E5-PLV130A02,combined wiring sheet,Current Unit-3 combined wiring package exists for IRWST gutter bypass isolation valve,VOGTLE-3-CURRENT-PUBLIC,VERIFIED_PUBLIC,SRC-0422,ML20128J831 cites sheet 2 of 3 Rev.2,ACTIVE,Valve-to-wiring-package association,Retrieve full package; actuator power/control; open/closed switches; terminals; cable IDs; PMS/DAS interfaces; grounding; local junction/termination hardware,Physical cable/raceway separation evidence is tracked separately
PXS-U3-VCI-006,PXS-PL-V014B,PXS-PL-V014B-S1,component-test child identifier,Unit-3 initial-test record explicitly identifies PXS-PL-V014B-S1 component test B-GEN-ITPCI-039-F074,VOGTLE-3-CURRENT-PUBLIC,VERIFIED_PUBLIC,SRC-0430,ML21133A105 Sec.1P03 / B-GEN-ITPCI-039-F074,ACTIVE,Identifier and parent valve association,Determine S1 hardware meaning from wiring/test-point documentation; link to actual solenoid/position switch/operator accessory if established; terminals/cable/JB IDs; maintenance interface,Do not infer S1 meaning from suffix or companion V015A record
PXS-U3-VCI-007,PXS-PL-V002B,PXS-PL-V002B-1,component-test child identifier,Unit-3 test record explicitly identifies PXS-PL-V002B-1 component test B-GEN-ITPCI-039-F071,VOGTLE-3-CURRENT-PUBLIC,VERIFIED_PUBLIC,SRC-0430,ML21133A105 Sec.1A03 / B-GEN-ITPCI-039-F071,ACTIVE,Identifier and parent CMT-B inlet MOV association,Resolve whether -1 denotes motor/operator train switch group or test channel; retrieve valve combined wiring and component-test form; terminals/cables/switches,Separate from -2 until circuitry proves relationship
PXS-U3-VCI-008,PXS-PL-V002B,PXS-PL-V002B-2,component-test child identifier,Unit-3 test record explicitly identifies PXS-PL-V002B-2 component test B-GEN-ITPCI-039-F072,VOGTLE-3-CURRENT-PUBLIC,VERIFIED_PUBLIC,SRC-0430,ML21133A105 Sec.1A03 / B-GEN-ITPCI-039-F072,ACTIVE,Identifier and parent CMT-B inlet MOV association,Resolve exact hardware/test-channel meaning; retrieve combined wiring and component-test form; terminals/cables/switches,Do not collapse -1 and -2 into one accessory without evidence
PXS-U3-VCI-009,PXS-PL-V014A,SV3-PXS-T0W-1100122,dynamic-diagnostic test work order,Unit-3 record identifies dynamic diagnostic testing of CMT-A discharge AOV V014A dated 2020-05-27,VOGTLE-3-CURRENT-PUBLIC,VERIFIED_PUBLIC,SRC-0430,ML21133A105 Supplemental Information / SV3-PXS-T0W-1100122,ACTIVE,Current Unit-3 valve-to-diagnostic-work-order association,Recover measured stroke time; actuator pressure; travel signature; seating/unseating forces; accessory operation; acceptance criteria; as-tested setpoints,Use as-built measured behavior rather than generic vendor values when available
PXS-U3-VCI-010,PXS-PL-V014B,SV3-PXS-T0W-1100124,dynamic-diagnostic test work order,Unit-3 record identifies dynamic diagnostic testing of CMT-B discharge AOV V014B dated 2020-04-14,VOGTLE-3-CURRENT-PUBLIC,VERIFIED_PUBLIC,SRC-0430,ML21133A105 Supplemental Information / SV3-PXS-T0W-1100124,ACTIVE,Current Unit-3 valve-to-diagnostic-work-order association,Recover measured stroke time; actuator pressure; travel signature; seating/unseating forces; accessory operation; acceptance criteria; as-tested setpoints,Reconcile with V014B-S1 test identifier and final actuator configuration
