audit_id,scope_id,scope_name,domain,audit_state,known_public_basis,remaining_targets,evidence_state,source_ids,source_locator,status,notes
ADS-COMP-001,ADS-PZR-HDR,ADS pressurizer inlet header,mechanical_construction,IN_PROGRESS,"Header feeds six Stage 1-3 branches and has documented instrumentation relationship","Resolve header diameter material wall thickness source nozzle branch tees reducers bends weld map supports insulation drains vents NDE and exact pressurizer connection",VERIFIED_PUBLIC,SRC-0011;SRC-0007,NUREG-1793 Ch.5 / NUREG-2194 ADS description,SEARCH_REQUIRED,
ADS-COMP-002,ADS-PZR-HDR,ADS pressurizer inlet header,instrumentation,IN_PROGRESS,"Pressurizer wide-range level sensing has an upper tap relationship to ADS inlet header","Resolve exact tap nozzle root valves impulse tubing manifold transmitter channel support heat tracing if any cable/JB and maintenance/test fittings",CORROBORATED_PUBLIC,SRC-0002,DCD Rev.19 pressurizer instrumentation references,SEARCH_REQUIRED,Do not treat header as process-only piping
ADS-COMP-003,RCS-PL-V011A/B;V012A/B;V013A/B,ADS Stage 1-3 isolation MOVs,valve_internal_actuator,IN_PROGRESS,"Certified tags nominal sizes normal position and Unit-3 opening-time evidence captured","Resolve manufacturer/model body pattern pressure class body/bonnet/trim/stem/seat materials motor gear train torque/limit switches handwheel power feed breaker cable support packing gaskets fasteners and removal access",VERIFIED_PUBLIC,SRC-0002;SRC-0410,DCD Rev.19 / Unit-3 ADS ITAAC,SEARCH_REQUIRED,
ADS-COMP-004,RCS-PL-V001A/B;V002A/B;V003A/B,ADS Stage 1-3 depressurization MOVs,valve_internal_actuator,IN_PROGRESS,"Certified tags nominal sizes normal position and Unit-3 opening-time evidence captured","Resolve complete valve internals actuator/control power cabling position switches Stage-1 modulation hardware supports restraints leakage requirements packing/gaskets and maintenance access",VERIFIED_PUBLIC,SRC-0002;SRC-0410,DCD Rev.19 / Unit-3 ADS ITAAC,SEARCH_REQUIRED,
ADS-COMP-005,ADS-S1/S2/S3-PATHS,ADS Stage 1-3 branch piping,flowpath_construction,IN_PROGRESS,"Six separate two-valve series paths and common-header destinations represented","Resolve each spool line number elbows reducers tees field/shop welds supports anchors restraints insulation vents drains hydrotest/test connections bypass/equalization provisions and exact tie-in coordinates",VERIFIED_PUBLIC,SRC-0007;SRC-0011,NUREG-2194 / NUREG-1793 Ch.5,SEARCH_REQUIRED,
ADS-COMP-006,ADS-COMMON-A/B,ADS common discharge headers,header_auxiliaries,IN_PROGRESS,"Two headers receive Stage 1-3 paths and discharge to separate IRWST spargers; V010A/B vacuum relief identified","Resolve all header spools tees reducers supports/restraints slope/drainability vacuum-breaker connection fittings vents drains thermal movement condensation collection test points and sparger inlet joints",VERIFIED_PUBLIC,SRC-0011;SRC-0409,NUREG-1793 Ch.5 / Unit-3 as-built equipment listing,SEARCH_REQUIRED,
ADS-COMP-007,RCS-PL-V010A/B,ADS header vacuum relief valves,valve_complete,IN_PROGRESS,"Certified tags and function to limit post-condensation vacuum/backflow captured","Resolve valve size type cracking/set pressure capacity body/trim materials inlet screen/fitting discharge orientation supports environmental qualification inspection/testing and maintenance removal hardware",VERIFIED_PUBLIC,SRC-0011;SRC-0409,NUREG-1793 Ch.5 / Unit-3 as-built listing,SEARCH_REQUIRED,
ADS-COMP-008,RCS-PL-V014A-D,ADS Stage-4 isolation MOVs,valve_internal_actuator,IN_PROGRESS,"Four certified normally-open MOV tags captured","Resolve size if different from downstream squib body/trim actuator motor gearbox power/control source limit switches manual override supports restraints packing/gaskets fasteners and maintenance/test provisions",VERIFIED_PUBLIC,SRC-0002;SRC-0409,DCD Rev.19 / Unit-3 as-built listing,SEARCH_REQUIRED,
ADS-COMP-009,RCS-PL-V004A-D,ADS Stage-4 squib valves,valve_internal_actuator,IN_PROGRESS,"Four certified normally-closed 14-in squib valves and Unit-3 location evidence captured","Resolve valve body/closure mechanism pyrotechnic actuator assembly initiators electrical leads connectors firing circuits status indication power/control separation support/restraint replaceability seals fasteners and post-actuation maintenance requirements where public",VERIFIED_PUBLIC,SRC-0002;SRC-0408;SRC-0410,DCD Rev.19 / Unit-3 Stage-4 ITAAC / ADS completion evidence,SEARCH_REQUIRED,
ADS-COMP-010,ADS-S4-SRC-A-D,ADS Stage-4 hot-leg branches,mechanical_construction,IN_PROGRESS,"Four hot-leg depressurization branches established","Resolve exact loop/hot-leg mapping branch nozzles/tees line numbers pipe size/material before V014 welds elbows supports restraints insulation drains/vents and branch-to-hot-leg weld/NDE",VERIFIED_PUBLIC,SRC-0011,NUREG-1793 Ch.5 Sec.5.1.3.7,SEARCH_REQUIRED,Generic mapping remains deliberately unresolved
