record_id,analysis_document,revision,scope,analysis_role,configuration,evidence_state,source_ids,source_locator,status,resolved_now,remaining_targets,notes
PXS-SUP-ANL-001,APP-PXS-PHC-11Y2057,2,"PXS support 11Y2057","pipe-support hanger report / support calculation",AP1000/VOGTLE-3,VERIFIED_PUBLIC,SRC-0404,"ML17044A539 document list",ACTIVE,"Controlled calculation identity/revision","Recover support reactions; load combinations; member stresses; weld forces; OLP 04-017 attachment demand; allowable margins; coordinates; restraint directions","Critical for reconciling field NCR at overlay-plate attachment"
PXS-SUP-ANL-002,APP-PXS-PHC-11Y2059,1,"PXS support 11Y2059","pipe-support hanger report / support calculation",AP1000/VOGTLE-3,VERIFIED_PUBLIC,SRC-0404,"ML17044A539 document list",ACTIVE,"Controlled calculation identity/revision","Recover support reactions; deadweight/thermal/seismic loads; member stresses; weld demand; attachment force components; restraint directions; margins","Tie to Unit-3 installed support and weld-map records"
PXS-SUP-ANL-003,APP-PXS-PHC-11Y0020,2,"PXS support 11Y0020","pipe-support hanger report / support calculation",AP1000/VOGTLE-3,VERIFIED_PUBLIC,SRC-0404,"ML17044A539 document list",ACTIVE,"Controlled calculation identity/revision","Map supported line/isometric; recover loads/reactions; geometry; member sizes; weld/anchor demand","Support service mapping still unresolved"
PXS-SUP-ANL-004,APP-PXS-PHC-11R0008,2,"PXS support 11R0008","pipe-support hanger report / support calculation",AP1000/VOGTLE-3,VERIFIED_PUBLIC,SRC-0404,"ML17044A539 document list",ACTIVE,"Controlled calculation identity/revision","Map supported line/isometric; recover reactions; restraint directions; member stress; weld/anchor forces; margins","Support service mapping still unresolved"
PXS-SUP-ANL-005,APP-PXS-PHC-11R0359,1,"PXS support 11R0359","pipe-support hanger report / support calculation",AP1000/VOGTLE-3,VERIFIED_PUBLIC,SRC-0404,"ML17044A539 document list",ACTIVE,"Controlled calculation identity/revision","Map supported line/isometric; recover reactions; restraint directions; member stress; weld/anchor forces; margins","Support service mapping still unresolved"
PXS-SUP-ANL-006,APP-GW-PHC-004,0,"generic AP1000 pipe-support weld evaluation","support-weld calculation template",AP1000,VERIFIED_PUBLIC,SRC-0404,"ML17044A539 document list",ACTIVE,"Governing template identity","Recover equations; weld configurations; material allowables; eccentricity treatment; load-combination rules; applicability limits","Discrete issue 100071369 records a MathCAD weld-spreadsheet error; configuration history must be reconciled before using template numerically"
PXS-SUP-ANL-007,APP-GW-PHC-005,2,"generic AP1000 pipe/tubing support design","seismic acceleration input methodology",AP1000,VERIFIED_PUBLIC,SRC-0404,"ML17044A539 document list",ACTIVE,"Governing seismic-support input document identity","Recover acceleration values by elevation/zone; damping assumptions; directionality; combination rules; support qualification applicability","Do not invent floor accelerations from generic spectra before recovering this document"
PXS-SUP-ANL-008,APP-GW-PLC-254,0,"local pipe stress from support interactions","pipe/support interaction procedure",AP1000,VERIFIED_PUBLIC,SRC-0404,"ML17044A539 document list",ACTIVE,"Procedure identity for support-induced local pipe stresses","Recover local stress equations; attachment geometries; allowable limits; fatigue treatment; applicability to clamps/lugs/attachments","Needed when supports are finally modeled as explicit pipe interfaces"
PXS-SUP-ANL-009,APP-PXS-PLC-002,1,"AP1000 DVI piping","DVI piping component fatigue analysis",AP1000-DCD-R19-GENERIC,VERIFIED_PUBLIC,SRC-0404,"ML17044A539 document list",ACTIVE,"Fatigue-analysis document identity","Recover component list; stress indices; transient cycles; CUF results; support/load inputs; weld/fitting geometry references","Will validate DVI fittings/welds once geometry is recovered"
PXS-SUP-ANL-010,APP-PXS-PLC-005,0,"AP1000 CMT-A and CMT-B piping","CMT piping component fatigue evaluation",AP1000-DCD-R19-GENERIC,VERIFIED_PUBLIC,SRC-0404,"ML17044A539 document list",ACTIVE,"Fatigue-evaluation document identity","Recover component/weld list; transient cycles; stress ranges; CUF; support/load inputs; fitting geometry references","Important cross-check for CMT branch/fitting completeness"
