audit_id,scope_id,scope_name,domain,audit_state,known_public_basis,remaining_targets,evidence_state,source_ids,source_locator,status,notes
IHP-COMP-001,IHP-002,IHP lifting rig,load_path_hardware,IN_PROGRESS,"Lift rig lift legs sling block clevises and sling rods identified","Resolve member count cross-sections materials pins bushings clevis pin retainers rod diameters threads nuts washers locking devices welds NDE rated loads crane-hook interface and lift-point attachments",VERIFIED_PUBLIC,SRC-0002;SRC-0003,DCD Rev.19 Sec.3.9.7 / NUREG-1793 Ch.3,SEARCH_REQUIRED,Every pin/retainer/fastener becomes an object if public drawings expose it
IHP-COMP-002,IHP-007,CRDM seismic restraint structure,structural_members_joints,IN_PROGRESS,"Seismic restraint structure and load path into vessel head established","Resolve every beam/ring/brace member section material gusset bracket plate bolt weld pin shim support lug restraint contact interface and attachment to CRDM housings/head",VERIFIED_PUBLIC,SRC-0002;SRC-0003,DCD Rev.19 Sec.3.9.7 / NUREG-1793 Ch.3,SEARCH_REQUIRED,
IHP-COMP-003,IHP-008,Protective/cooling shroud,enclosure_panels_access,IN_PROGRESS,"Protective shroud provides missile protection and cooling-flow enclosure","Resolve panel count thickness material stiffeners seams hinges latches access doors removable panels fasteners seals brackets penetrations coatings and attachment to seismic-support structure",VERIFIED_PUBLIC,SRC-0002;SRC-0004,DCD Rev.19 Sec.4.6 / Vogtle UFSAR Ch.4,SEARCH_REQUIRED,
IHP-COMP-004,IHP-009;IHP-010,CRDM cooling airflow system,cooling_HVAC,IN_PROGRESS,"Current configuration uses shroud/duct airflow with cooling fans supported adjacent to IHP rather than mounted on it","Resolve fan quantity tags fan wheels motors bearings guards dampers ducts transitions flexible joints supports inlet/outlet grilles filters if any local instrumentation temperature/flow alarms power/control cables disconnects and exact airflow path",VERIFIED_PUBLIC,SRC-0002;SRC-0302,DCD Rev.19 IHP change basis / APP-GW-GLN-014,SEARCH_REQUIRED,HVAC package will own fan plant objects but IHP boundary cannot close until connected
IHP-COMP-005,IHP-011;IHP-012,Reactor-head vent support and quick disconnect,process_support_interface,IN_PROGRESS,"IHP supports reactor-head vent piping and rapid-disconnect interface","Resolve support clamps guides anchors brackets bolts pipe break location disconnect body halves seal/gasket locking mechanism caps/plugs leak-test provisions insulation removal and load transfer into IHP",VERIFIED_PUBLIC,SRC-0002;SRC-0004,DCD Rev.19 Sec.3.9.7 / Vogtle UFSAR,SEARCH_REQUIRED,Actual process pipe/valves remain RCS-owned
IHP-COMP-006,IHP-013;IHP-014;IHP-015;IHP-016;IHP-017,IHP cable and connector architecture,electrical_I&C,IN_PROGRESS,"Separate CRDM power rod-position incore cable support/removable-guide and connector-panel functions identified","Resolve every cable identifier conductor size connector plug/receptacle pinout clamp guide messenger tray bracket bend-control device separation barrier strain relief gland grounding/bonding panel enclosure terminal and quick-disconnect mating interface",VERIFIED_PUBLIC,SRC-0002;SRC-0004,DCD Rev.19 Sec.3.9.7 / Vogtle UFSAR Ch.4,SEARCH_REQUIRED,Obsolete cable bridge must remain excluded from current configuration
IHP-COMP-007,IHP-018;IHP-019,Stud-hoist/tensioning support system,maintenance_hardware,IN_PROGRESS,"Stud-hoist rail and tensioner support interface identified","Resolve rail section length supports brackets end stops trolley/hoist interfaces bolts welds rated load travel limits local storage/parking position tensioner mating points electrical/pneumatic/hydraulic supplies if permanent and maintenance clearances",VERIFIED_PUBLIC,SRC-0002,DCD Rev.19 IHP configuration,SEARCH_REQUIRED,
IHP-COMP-008,IHP-020,Reactor-head insulation package,thermal_insulation,IN_PROGRESS,"Head insulation package identified within IHP","Resolve insulation material thickness panel segmentation jackets seams support clips pins fasteners removable sections penetrations clearances temperature rating inspection-removal sequence and storage during head work",VERIFIED_PUBLIC,SRC-0002;SRC-0003,DCD Rev.19 Sec.3.9.7 / NUREG-1793,SEARCH_REQUIRED,
IHP-COMP-009,IHP-021,IHP shielding covers,radiation_shielding,IN_PROGRESS,"Shielded covers around head-mounted work interfaces identified in current IHP configuration","Resolve count location shielding material thickness cover shells hinges/latches handles supports fasteners lifting/handling provisions dose-basis interfaces and removal/stowage path",VERIFIED_PUBLIC,SRC-0002;SRC-0302,DCD Rev.19 / APP-GW-GLN-014 change basis,SEARCH_REQUIRED,
IHP-COMP-010,IHP-022,IHP inspection/access panels,maintenance_access,IN_PROGRESS,"Inspection/access provisions are part of current IHP arrangement","Resolve each door/panel position size hinges pins latches handles locks restraints seals fasteners interlocks if any removable-panel storage and bare-metal vessel-head inspection access envelope",VERIFIED_PUBLIC,SRC-0002,DCD Rev.19 IHP/refueling provisions,SEARCH_REQUIRED,
IHP-COMP-011,IHP-023,IHP storage stand/storage interface,mechanical_handling,IN_PROGRESS,"Head/IHP is stored in containment during refueling","Resolve storage stand frame supports pads alignment features anchors seismic restraints drip/drain provisions load rating head/IHP mating points access platforms and crane transfer path",VERIFIED_PUBLIC,SRC-0004,Vogtle UFSAR/refueling basis,SEARCH_REQUIRED,Will become separate mechanical-handling object graph
IHP-COMP-012,IHP-001,Integrated Head Package,identification_materials_fabrication,IN_PROGRESS,"Generic IHP component families and configuration-control history established","Resolve actual Westinghouse/Vogtle assembly drawing numbers member materials coatings nameplates tags fabrication weld maps fastener schedules inspection/NDE requirements weights/CG dimensions tolerance stack and plant-specific as-built deviations",CORROBORATED_PUBLIC,SRC-0002;SRC-0302;SRC-0304,DCD Rev.19 / IHP design-change basis / Vogtle public construction milestone,SEARCH_REQUIRED,
