work_package_id,scope_name,lifecycle_state,decomposition_state,strict_graph_state,component_audit_state,cross_system_closure_state,public_baseline_state,notes
WP-00,Source register schemas validator and configuration rules,ACTIVE,IN_PROGRESS,FOUNDATION_ACTIVE,IN_PROGRESS,IN_PROGRESS,NOT_COMPLETE,Foundation exists but completeness/progress validation and schemas will continue evolving
WP-01,Plant site building elevation room zone and external-boundary hierarchy,PLANNED,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_COMPLETE,PBS exists but full spatial hierarchy/coordinates/rooms/zones not yet decomposed
WP-02,Reactor Coolant System and pressure boundary,ACTIVE,IN_PROGRESS,STRICT_GRAPH_PARTIAL,IN_PROGRESS,IN_PROGRESS,NOT_COMPLETE,RCS topology exists; vessel SG RCP pressurizer piping supports I&C internals and common hardware remain incomplete
WP-03,Reactor vessel internals core CRDM and IHP interfaces,ACTIVE,IN_PROGRESS,RESEARCH_TABLES,IN_PROGRESS,IN_PROGRESS,NOT_COMPLETE,IHP decomposition/audit active; reactor internals/core/CRDM still require major decomposition
WP-04,PXS ADS PRHR and passive safety systems,ACTIVE,IN_PROGRESS,STRICT_GRAPH_PARTIAL,IN_PROGRESS,IN_PROGRESS,NOT_COMPLETE,PXS and ADS strict graphs exist but component-level construction/auxiliary/interface detail remains incomplete
WP-05,CVS RNS sampling and connected primary auxiliaries,ACTIVE,IN_PROGRESS,STRICT_GRAPH_PARTIAL,IN_PROGRESS,IN_PROGRESS,NOT_COMPLETE,RNS suction/common-header/LTOP/test topology and initial room/HVAC/electrical/maintenance overlays are active; CVS and complete RNS physical-area closure remain incomplete
WP-06,Containment PCS and hydrogen-control systems,PLANNED,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_COMPLETE,Containment boundaries touched by active work but owning systems not decomposed
WP-07,I&C protection control and radiation monitoring,PLANNED,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_COMPLETE,Signal/control boundaries are being preserved but full system architecture not yet decomposed
WP-08,Generator output offsite power switchyard and major transformers,PLANNED,SEED_ONLY,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_COMPLETE,Major transformer quantities/functions seeded; complete transformer/switchyard/grid decomposition pending
WP-09,Plant AC DC UPS switchgear buses MCC grounding and raceways,PLANNED,SEED_ONLY,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_COMPLETE,System taxonomy seeded; detailed electrical distribution/raceway graph pending
WP-10,Standby diesel generators and complete auxiliaries,PLANNED,SEED_ONLY,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_COMPLETE,Two standby DGs/day-tank architecture publicly established; component graph pending
WP-11,Fuel handling spent fuel and mechanical handling,PLANNED,SEED_ONLY,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_COMPLETE,IHP storage/lifting boundaries expose future dependencies
WP-12,HVAC filtration chilled water hot-water heating and environmental control,PLANNED,SEED_ONLY,NOT_STARTED,IN_PROGRESS,IN_PROGRESS,NOT_COMPLETE,RNS pump-room VAS/VWS fan cooling and control interfaces plus CRDM cooling boundaries are seeded; full HVAC plant decomposition has not started
WP-13,Main steam turbine generator condenser and turbine-generator auxiliaries,PLANNED,SEED_ONLY,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_COMPLETE,Chapter 10 source registered; detailed system graph pending
WP-14,Condensate feedwater heater drains and SG secondary systems,PLANNED,SEED_ONLY,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_COMPLETE,Taxonomy/source basis only
WP-15,Circulating water cooling towers heat sink condenser auxiliaries,PLANNED,SEED_ONLY,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_COMPLETE,Whole-station boundary/source basis only
WP-16,Component cooling service water and turbine-building closed cooling,PLANNED,SEED_ONLY,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_COMPLETE,RCP/heat-exchanger dependencies identified but owning graphs pending
WP-17,Demineralized water treatment storage transfer condensate cleanup and chemistry,PLANNED,SEED_ONLY,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_COMPLETE,Chapter 9 source registered; stage-by-stage treatment decomposition pending
WP-18,Raw potable sanitary wastewater stormwater and site drainage,PLANNED,SEED_ONLY,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_COMPLETE,Whole-station scope/source basis only
WP-19,Fire protection fire water detection and suppression,PLANNED,SEED_ONLY,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_COMPLETE,Taxonomy/public source trail only
WP-20,Compressed service instrument air and plant gas,PLANNED,SEED_ONLY,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_COMPLETE,Pneumatic actuator dependencies identified; compressor/dryer/receiver/distribution graphs pending
WP-21,Liquid gaseous solid radwaste radioactive drains and effluent,PLANNED,SEED_ONLY,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_COMPLETE,CMT/RCS drain boundaries exist; owning waste graphs pending
WP-22,Conventional drains oily waste chemical waste and environmental discharge,PLANNED,SEED_ONLY,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_COMPLETE,Minor gutter/downspout/drain paths now explicitly queued but plant-wide drainage graph pending
WP-23,Civil structural architectural penetrations and support steel,PLANNED,SEED_ONLY,NOT_STARTED,IN_PROGRESS,IN_PROGRESS,NOT_COMPLETE,RNS Room 11208 Q240 wall-panel conduit-support and maintenance-opening boundaries plus equipment support/load paths are seeded; full building/civil graph pending
WP-24,Maintenance shops warehouses laboratories cranes hoists elevators and site support,PLANNED,SEED_ONLY,NOT_STARTED,IN_PROGRESS,IN_PROGRESS,NOT_COMPLETE,RNS valve-room hatch/padeyes pump-room monorails and pump-disassembly tooling join IHP/polar-crane/storage dependencies; broader support infrastructure pending
WP-25,Global heat-exchanger registry and two-sided dependency closure,ACTIVE,IN_PROGRESS,NOT_APPLICABLE,IN_PROGRESS,IN_PROGRESS,NOT_COMPLETE,Global HX seed exists; every exchanger and both fluid sides still require exhaustive closure
WP-26,Global pipe fitting valve and support completeness pass,PLANNED,IN_PROGRESS,NOT_APPLICABLE,IN_PROGRESS,IN_PROGRESS,NOT_COMPLETE,Flowpath standard/audits active on pilot systems; station-wide pass comes after system decompositions
WP-27,Global cable conduit tray JB and instrument-tubing completeness pass,PLANNED,IN_PROGRESS,NOT_APPLICABLE,IN_PROGRESS,IN_PROGRESS,NOT_COMPLETE,IHP and ADS audits expose requirements; station-wide inventory pending
WP-28,Equipment internal common hardware and fastener completeness pass,PLANNED,IN_PROGRESS,NOT_APPLICABLE,IN_PROGRESS,IN_PROGRESS,NOT_COMPLETE,Plant-object completeness standard established; exhaustive station-wide hardware pass pending
WP-29,External utility site-boundary and shared-service closure,PLANNED,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_COMPLETE,Boundary rule exists; site-specific closure pending
WP-30,Vogtle Unit 3 public as-built ITAAC and inspection reconciliation,ACTIVE,IN_PROGRESS,NOT_APPLICABLE,IN_PROGRESS,IN_PROGRESS,NOT_COMPLETE,Unit-3 RCS/PXS/IHP evidence being accumulated and kept separate from generic/Unit4
WP-31,Cross-system dependency audit and zero-orphan whole-station validation,ACTIVE,IN_PROGRESS,VALIDATOR_ACTIVE,IN_PROGRESS,IN_PROGRESS,NOT_COMPLETE,Strict local graph/zero-orphan rules active; global compiler and whole-station closure pending
WP-32,Roblox export model and simulation abstraction,BLOCKED,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_COMPLETE,Blocked until engineering database is sufficiently stable and configuration-controlled
