item_id,parent_scope,part_or_assembly_name,object_type,quantity,nominal_data,upstream,downstream,normal_state_or_function,configuration,evidence_state,source_ids,source_locator,status,notes
PRHR-001,PXS-001,Passive Residual Heat Removal subsystem,passive_heat_removal_subsystem,1,"One 100%-capacity PRHR HX; natural circulation",RCS hot leg,RCS steam-generator lower/channel-head return,Removes decay heat from full-pressure RCS to IRWST without pump operation,AP1000-DCD-R19-GENERIC,VERIFIED_PUBLIC,SRC-0011;SRC-0401;SRC-0402,NUREG-1793 Ch.5 Sec.5.4.14 / Ch.6 Sec.6.3,ACTIVE,
PRHR-INLET,PRHR-001,PRHR inlet/supply line,pipe_run,1,UNRESOLVED,One RCS hot leg,PRHR-INLET-AOV-PAIR,Hot RCS water rises toward HX under natural circulation when aligned,AP1000-DCD-R19-GENERIC,VERIFIED_PUBLIC,SRC-0011;SRC-0402,NUREG-1793 Ch.5 Sec.5.4.14 / DCD Fig.6.3-1,ACTIVE,Connection shares/relates to hot-leg ADS4 branch region; exact tee/line ID from P&ID
PRHR-INLET-AOV-PAIR,PRHR-INLET,PRHR redundant parallel inlet air-operated valve set,air_operated_valve_set,2,Fail-open air-operated valves in parallel,PRHR-INLET,PRHR-HX-IN,Normally isolated/aligned as design requires; valves open on actuation and on loss of instrument air,AP1000-DCD-R19-GENERIC,VERIFIED_PUBLIC,SRC-0002;SRC-0402,DCD Rev.19 Sec.6.3 / initial-test design features,ACTIVE,Individual valve tags/body types/operators/air lines/solenoids to resolve from P&ID
PRHR-HX-IN,PRHR-001,PRHR upper inlet channel head,channel_head,1,UNRESOLVED,PRHR-INLET-AOV-PAIR,PRHR-TUBES,Receives full-pressure hot RCS coolant,AP1000-DCD-R19-GENERIC,VERIFIED_PUBLIC,SRC-0011,NUREG-1793 Ch.5 Sec.5.4.14.1,ACTIVE,
PRHR-UPPER-TS,PRHR-001,PRHR upper tubesheet,tubesheet,1,UNRESOLVED,PRHR-HX-IN,PRHR-TUBES,Supports/seals upper ends of C-shaped heat-transfer tubes through IRWST wall arrangement,AP1000-DCD-R19-GENERIC,VERIFIED_PUBLIC,SRC-0011,NUREG-1793 Ch.5 Sec.5.4.14.1,ACTIVE,
PRHR-TUBES,PRHR-001,PRHR C-shaped tube bundle,tube_bundle,1,"Tube outside diameter 0.75 in",PRHR-UPPER-TS,PRHR-LOWER-TS,Transfers RCS heat by boiling/natural convection on IRWST side,AP1000-DCD-R19-GENERIC,VERIFIED_PUBLIC,SRC-0011;SRC-0401,NUREG-1793 Ch.5 Sec.5.4.14 / Ch.6,ACTIVE,Tube count wall thickness alloy bend radii pitch and support-grid details unresolved
PRHR-LOWER-TS,PRHR-001,PRHR lower tubesheet,tubesheet,1,UNRESOLVED,PRHR-TUBES,PRHR-HX-OUT,Supports/seals lower ends of C-shaped tubes,AP1000-DCD-R19-GENERIC,VERIFIED_PUBLIC,SRC-0011,NUREG-1793 Ch.5 Sec.5.4.14.1,ACTIVE,
PRHR-HX-OUT,PRHR-001,PRHR lower outlet channel head,channel_head,1,UNRESOLVED,PRHR-LOWER-TS,PRHR-RETURN,Collects cooled RCS coolant leaving HX,AP1000-DCD-R19-GENERIC,VERIFIED_PUBLIC,SRC-0011,NUREG-1793 Ch.5 Sec.5.4.14.1,ACTIVE,
PRHR-RETURN,PRHR-001,PRHR return line,pipe_run,1,"Revision-19 LBB table identifies L113 at 14-in nominal SA-312 TP316LN",PRHR-HX-OUT,Associated steam-generator cold-side/lower channel head or RCP suction plenum,Returns cooled primary coolant to RCS completing natural-circulation loop,AP1000-DCD-R19-GENERIC,VERIFIED_PUBLIC,SRC-0002;SRC-0011,Rev.19 Appendix 3B / NUREG-1793 Ch.5 Sec.5.4.14,ACTIVE,Exact terminal nozzle terminology/location to close from P&ID/SG drawing
PRHR-HPV,PRHR-INLET,PRHR high-point vent/gas-collection chamber,high_point_vent,1,"Vertical pipe stub at inlet-piping high point",PRHR inlet high point,IRWST,Collects noncondensable gas and permits local manual venting to IRWST,AP1000-DCD-R19-GENERIC,VERIFIED_PUBLIC,SRC-0011;SRC-0401,NUREG-1793 Ch.5 Sec.5.4.12.3 / Ch.6,ACTIVE,Exact stub size and routing require P&ID/isometric
