record_id,target_tag,bridge_level,claim_or_candidate,evidence_state,source_ids,source_locator,status,remaining_closure,do_not_infer,notes
PXS-U3-RNSPV01-001,RNS-PL-V002B,1_TAG_SET,RNS V002B is explicitly one of the four V001A/B and V002A/B hot-leg suction isolation MOVs governed by APP-RNS-M3C-050,VERIFIED_PUBLIC,SRC-0463,ML112440588 reviewed-document list,ACTIVE,"Recover APP-RNS-M3C-050 contents and current Unit-3 reconciliation","Do not derive the individual datasheet/model/serial from the tag set alone","Direct tag-set membership."
PXS-U3-RNSPV01-002,RNS-PL-V002B,2_COMMODITY_SPEC,"The RNS V001/V002 MOV requirement set is engineered against the PV01 master specification APP-PV01-Z0-001",CORROBORATED_PUBLIC,SRC-0465,ML112440588 design-review narrative,ACTIVE,"Recover the V002B-specific PV01 datasheet/setup cross-reference","PV01 master-spec applicability does not identify an individual datasheet/model/serial","NRC explicitly compared APP-RNS-M3C-100 with APP-PV01-Z0-001 for consistency."
PXS-U3-RNSPV01-003,RNS-PL-V002B,3_VOGTLE_PROCUREMENT_VENDOR,"Westinghouse PO 4500319052 procured 98 AP1000 PV01 motor-operated valves for Vogtle from Flowserve; V002B is independently in the PV01 design population",VERIFIED_PUBLIC,SRC-0469,"ML16307A159 purchase-order list; ML20042E292 identifies SV0-PV01-Z5-010 change to the same PO",ACTIVE,"Recover V002B datasheet/model/serial and verify Unit-3 installed serial/release record","Do not infer APP-PV01-Z0D-116, a specific Flowserve model, valve serial, exact Limitorque actuator model, or motor data from the population-level PO","Flowserve is resolved as the Vogtle PV01 prime valve supplier/vendor family through complete-population procurement evidence, not sibling inference."
PXS-U3-RNSPV01-004,RNS-PL-V001A,4_SIBLING_TAG_VENDOR_EQ,"RNS V001A is directly identified as commodity PV01 and was reviewed using the Flowserve flex-wedge/Limitorque EQ summary and data package",VERIFIED_PUBLIC,SRC-0466,"ML17226A034 ITAAC 2.3.06.05a.ii, p.41 and document list",ACTIVE,"Retain as independent corroboration for the direct V002B VBR-011/-012 mapping","Do not transfer V001A datasheet, valve model, serial, actuator size/model or setup values to V002B solely because the valves share the RNS functional-requirement set","Sibling evidence is no longer needed to establish the V002B qualification family; SRC-0497 provides direct V002B applicability."
PXS-U3-RNSPV01-005,RNS-PL-V002B,5_DATASHEET_CANDIDATE,"APP-PV01-Z0D-116 Rev.5 is the strongest candidate datasheet; NRC confirms the datasheet exists within the PV01 qualification population, while a secondary AP1000 valve schedule describes Z0D-116 as four RCS hot-leg suction isolation motor-operated gate valves",UNRESOLVED,SRC-0464;SRC-0469,"ML20042E292 PV01 document list and PO-change lineage; secondary AP1000 valve schedule",SEARCH_REQUIRED,"Primary record placing RNS-PL-V002B or the complete V001A/B-V002A/B tag set on APP-PV01-Z0D-116; acceptable sources include APP-RNS-M3C-050/-100 cross-reference, final Unit-3 RNS EQRR/closure package, SV3-PV01-VDR-000002, confirmed -116 SPDS/setup calculation, APP-PV01-VDR-000001/WCAP-18549 row, VQQ/assembly drawing, or SV3-RNS-T0W-1237493 diagnostic package","Do not promote APP-PV01-Z0D-116, exact Flowserve model/serial, BTA specification code, exact Limitorque actuator model, motor data or materials from the secondary schedule. Direct VBR-011/-012 applicability proves the Flowserve flex-wedge/Limitorque qualification family but does not identify the datasheet.","This remains the unresolved tag-to-datasheet bridge."
PXS-U3-RNSPV01-006,RNS-PL-V002B,6_ACTUATOR_QUALIFICATION_FAMILY,"Southern Nuclear's post-consolidation RNS Index-361 completion plan directly maps RNS-PL-V002B to APP-PV01-VBR-012 / APP-PV01-VBR-011; VBR-011 is the Flowserve flex-wedge gate valve with Limitorque motor-operator EQ summary and VBR-012 its corresponding data package",VERIFIED_PUBLIC,SRC-0497,"ML18054A426 Attachment A; ML21041A051 VBR-011/-012 document titles",ACTIVE,"Recover final V002B EQRR/setup records for installed valve and actuator make/model/serial, exact Limitorque model/size, motor identity/ratings, stem/gear data and switch settings","Do not infer SMB/SB model, actuator size/serial, motor vendor/model, torque-switch package, valve model/serial or Datasheet 116 from qualification-family applicability alone","Flowserve flex-wedge/Limitorque is now resolved at the direct V002B design/EQ qualification-family level. Exact installed hardware remains open."
PXS-U3-RNSPV01-007,RNS-PL-V002B,7_PROMOTION_RULE,"Datasheet, exact valve model/serial and exact actuator model/serial may be promoted only after a primary V002B-specific or complete-V001/V002-set current/as-built cross-reference is recovered",UNRESOLVED,SRC-0463;SRC-0464;SRC-0465;SRC-0468;SRC-0469;SRC-0497,"Controlled evidence ladder",SEARCH_REQUIRED,"Recover one qualifying tag-to-datasheet/current as-built bridge and reconcile it to the final Unit-3 installed configuration","No paired-valve inference; no Unit-4 substitution; no population-level PO-to-individual-model assumption; no conversion of the resolved qualification family into an exact installed actuator model","PV01 commodity family, Flowserve vendor family, and V002B Flowserve-flex-wedge/Limitorque qualification family are resolved. Individual datasheet, exact valve model/serial, exact actuator model/serial and motor/setup details remain open."
PXS-U3-RNSPV01-008,RNS-PL-V002B,3A_FLOWSERVE_INTERNAL_ORDER_CONFLICT,"ML12275A341 contains a potentially useful but internally conflicting Flowserve procurement trail: its attachment ties WEC PO 4500319052 to Flowserve PO 110813 / SO 911175 and item 911175-11, while the report body identifies SO 91175 as the V.C. Summer PV01 package; the attachment also prints PO 111813 / SO 91175-11 on the associated Aruna material certificate",UNRESOLVED,SRC-0470,"ML12275A341 design-control narrative and attachment pp.34-36; cross-check ML16307A159",SEARCH_REQUIRED,"Recover a primary Flowserve/Westinghouse order-control or quality-release record that reconciles 110813 vs 111813, 911175 vs 91175, and the project allocation of WEC PO 4500319052 before using any internal item as a Vogtle retrieval key","Do not assign PO 110813/111813, SO/item 911175-11 or 91175-11, Aruna gate/bonnet castings, M4393/SRL7, material heats, valve serials, APP-PV01-Z0D-116 or any hardware to V002B from this conflicting record","The conflict itself is the controlled finding. SRC-0469 remains the clean authority that WEC PO 4500319052 is the Vogtle PV01 population; SRC-0470 is quarantined until its vendor-internal identifiers are reconciled."
PXS-U3-RNSPV01-009,RNS-PL-V002B,5A_SETUP_ARTIFACT_PATTERN,"Confirmed Vogtle PV01 setup records for datasheets 099 and 110 use M3C/T9/Z0C suffix families; analogous -116 identifiers are targeted search keys only",UNRESOLVED,SRC-0472,"ML21133A105 pp.56-60 reviewed PV01 calculation/set-point list",SEARCH_REQUIRED,"Determine whether SV0-PV01-M3C-116, SV0-PV01-T9-116, SV0-PV01-Z0C-116 or differently named datasheet-116 setup/SPDS/thrust records exist; if recovered, establish whether they explicitly cover V002B or the complete V001/V002 set","Do not claim the candidate -116 filenames exist from naming symmetry; do not transfer setup values from datasheets 099 or 110; a datasheet-116 setup record still does not become V002B evidence without tag/set applicability","This rung converts an observed controlled-document naming convention into a narrow discovery path while keeping document existence and V002B applicability separate."
PXS-U3-RNSPV01-010,RNS-PL-V002B,5B_ACTUATOR_SIZING_THRUST_TARGETS,"APP-PV01-VDR-000001 Rev.2 contains PV01 motor-actuator sizing calculations including RAL-1097, and WCAP-18549 is the Vogtle 3/4 minimum-required-thrust report; both are controlled candidates for recovering an individual V002B/datasheet/operator sizing row",UNRESOLVED,SRC-0478,"ML21133A105 pp.56 and 59-60",SEARCH_REQUIRED,"Recover internal tables/rows from APP-PV01-VDR-000001 and WCAP-18549; establish whether RNS-PL-V002B or the complete V001/V002 set is included; recover any datasheet, actuator model/size, stem/gear, required/available thrust/torque, motor capability and setup-document cross-references","Do not treat the document titles or their presence in the Vogtle MOV PST review as proof V002B is included. Do not assign RAL-1097, a Limitorque model/size, thrust/torque values, motor data or Datasheet 116 without an explicit row/cross-reference.","Public searches expose the document identities but not the internal sizing/thrust tables. This is a primary engineering retrieval route, not an applicability promotion."
