audit_id,scope_id,scope_name,domain,audit_state,known_public_basis,remaining_targets,evidence_state,source_ids,source_locator,status,notes
PXS-COMP-001,PXS-CMT-A/B,Core Makeup Tanks,internal_working_parts,IN_PROGRESS,"Shell heads cladding inlet diffuser and vessel interfaces identified","Complete internal attachments diffuser perforations support welds internal guides and any anti-vortex/distribution hardware",VERIFIED_PUBLIC,SRC-0011;SRC-0401,NUREG-1793 Ch.5 Sec.5.4.13 / Ch.6 Sec.6.3.2.1,SEARCH_REQUIRED,No internal part may be assumed absent without source audit
PXS-COMP-002,PXS-CMT-A/B,Core Makeup Tanks,process_utility_interfaces,IN_PROGRESS,"Balance injection sample fill and vent interfaces identified","Instantiate V002A/B inlet isolation; V014/V015 parallel AOVs; V016/V017 checks; tuning orifices; CVS fill root isolation/checks; sample root valves and destinations; vent path to RCDT",VERIFIED_PUBLIC,SRC-0011;SRC-0401;SRC-0411,NUREG-1793 / Unit-4 PXS as-built listing,SEARCH_REQUIRED,Current generic/Unit-3 tag reconciliation remains open
PXS-COMP-003,PXS-CMT-A/B,Core Makeup Tanks,instrumentation_control,IN_PROGRESS,"Level/pressure monitoring functions and sample interfaces are documented","Resolve every level tap instrument root/isolation vent/drain manifold transmitter cable/JB channel alarm and calibration connection",CORROBORATED_PUBLIC,SRC-0002;SRC-0401,DCD Rev.19 Sec.6.3 / NUREG-1793 Ch.6,SEARCH_REQUIRED,Older UFSAR candidate V080-V099 family retained separately for confirmation
PXS-COMP-004,PXS-CMT-A/B,Core Makeup Tanks,electrical_actuation,IN_PROGRESS,"Motor-operated inlet valves and fail-open pneumatic discharge valves documented","Resolve motor operators MCC/DC source cables breakers torque/limit switches AOV solenoids air supply exhaust position indication and control channels",CORROBORATED_PUBLIC,SRC-0002;SRC-0411,DCD Rev.19 Tier 1 / Unit-4 PXS equipment listing,SEARCH_REQUIRED,
PXS-COMP-005,PXS-CMT-A/B,Core Makeup Tanks,supports_structure_fasteners,IN_PROGRESS,"Column supports and fabrication/weld maps identified","Resolve column count sections baseplates anchors grout shims vessel lugs seismic load path insulation supports platform steel bolts studs welds and support-to-building interfaces",VERIFIED_PUBLIC,SRC-0011;SRC-0406,NUREG-1793 Ch.5 / NRC CMT fabrication inspection set,SEARCH_REQUIRED,
PXS-COMP-006,PXS-CMT-A/B,Core Makeup Tanks,maintenance_handling,IN_PROGRESS,"Manway/fabrication access and support documentation trail identified","Resolve manway cover studs nuts gasket lifting lugs insulation removal access NDE zones platforms ladders laydown/removal path and permanent maintenance fixtures",VERIFIED_PUBLIC,SRC-0406,NRC CMT fabrication inspection set,SEARCH_REQUIRED,
PXS-COMP-007,PXS-ACC-A/B,Accumulators,pressure_vessel_internals,IN_PROGRESS,"Spherical pressure vessels nitrogen space injection nozzle relief and vent functions identified","Resolve sphere plate/segment geometry wall thickness weld seams internal attachments anti-vortex hardware gas/water interface internals and nozzle reinforcements",VERIFIED_PUBLIC,SRC-0401;SRC-0406,NUREG-1793 Ch.6 / NRC accumulator fabrication records,SEARCH_REQUIRED,
PXS-COMP-008,PXS-ACC-A/B,Accumulators,process_gas_interfaces,IN_PROGRESS,"Injection isolation tuning orifice dual checks gas relief and remote vent documented","Promote V027A/B V028A/B V029A/B V022A/B; resolve V042/V043 nitrogen supply sequence source regulator header fill/drain/sample branches and every terminal destination",VERIFIED_PUBLIC,SRC-0401;SRC-0411,NUREG-1793 Ch.6 / Unit-4 PXS as-built listing,SEARCH_REQUIRED,
PXS-COMP-009,PXS-ACC-A/B,Accumulators,instrumentation_control,IN_PROGRESS,"Pressure/level operating requirements established","Resolve pressure transmitter isolation manifolds level indication temperature if used gas pressure indication switches alarms calibration/test fittings cabling JBs and control-room channels",CORROBORATED_PUBLIC,SRC-0401,NUREG-1793 Ch.6 Sec.6.3.2.2,SEARCH_REQUIRED,Older public candidate V023/V024 family requires R19/current confirmation
PXS-COMP-010,PXS-ACC-A/B,Accumulators,supports_maintenance_fasteners,IN_PROGRESS,"Installed relation and fabrication records identified","Resolve support legs/skirt/saddles if applicable anchors baseplates grout seismic restraints insulation access platforms manway/nozzle covers lifting attachments valve supports fasteners gaskets and NDE access",CORROBORATED_PUBLIC,SRC-0406,NRC accumulator fabrication inspection set,SEARCH_REQUIRED,
PXS-COMP-011,PXS-PRHR,Passive Residual Heat Removal Heat Exchanger,heat_exchanger_internals,IN_PROGRESS,"689 C-shaped 0.75-in-OD tubes channel heads tubesheets support plates support shell frame/cover identified","Resolve tube wall alloy pitch bend radii individual tube map tube-to-tubesheet joints baffle/support geometry channel partitioning cladding internal vent paths and every fabrication weld",VERIFIED_PUBLIC,SRC-0011;SRC-0406,NUREG-1793 Ch.5 Sec.5.4.14 / NRC PRHR fabrication inspection,SEARCH_REQUIRED,
