record_id,target_or_edge,controlled_record_or_endpoint,configuration,evidence_state,source_ids,status,resolved_now,remaining_closure,promotion_rule,do_not_infer,notes
"RNS-U4-L090-001","RNS-L090 endpoint","ITAAC 2.3.06.02a / Index 355 RNS Suction Line LTOP Relief row","VOGTLE-4-FINAL_LICENSING_LINE",VERIFIED_PUBLIC,"SRC-0914","GREEN_ENDPOINT","Unit-4 licensing evidence carries RNS-L090 in the LTOP-relief line group with RNS-L040","Recover final ICN Attachment-B report identifiers and any downstream drawing/isometric traceability","Endpoint remains green independently of construction-isometric identity","Do not infer its isometric from the shared 090 suffix","Source basis already controlled in project Index-355 research; attach final public source ID when the final ICN/table source is promoted."
"RNS-U4-L090-002","SV4-RNS-PLW-090 endpoint","SV4-RNS-P0W-861630","VOGTLE-4-CONSTRUCTION",VERIFIED_PUBLIC,"","GREEN_ENDPOINT","The Unit-4 construction inventory directly maps work package SV4-RNS-P0W-861630 to isometric SV4-RNS-PLW-090 for ASME III CA20 large-bore piping","Recover full package/isometric header and line-number field; revision/final-completion state; spool/weld/support population","Endpoint remains green independently of logical-line identity","Do not infer RNS-L090 because the isometric suffix is 090",""
"RNS-U4-L090-003","Line-designation-table route","APP-RNS-M6X-004 Rev.2","VOGTLE-4_NRC_REVIEWED_CONFIGURATION_TABLE",VERIFIED_PUBLIC,"SRC-0916","HIGH_PRIORITY_RETRIEVAL","NRC directly identifies APP-RNS-M6X-004 Rev.2 as the RNS Pipe Line Designation Table","Recover table body and locate RNS-L090 row including drawing/isometric/design conditions/class/specification fields","Promote any line-to-isometric mapping only if the table explicitly prints the relationship or provides a controlled drawing key","Do not reconstruct missing columns from other systems' designation tables",""
"RNS-U4-L090-004","As-built-design-report route","SV4-RNS-P0R-0102 Rev.1 / APP-RNS-PLR-010","VOGTLE-4_ASMEIII_ASBUILT_REPORT",VERIFIED_PUBLIC,"","ACTIVE_RETRIEVAL_ROUTE","Unit-4 RNS ASME III as-built design-report family is identified","Recover report line list/index and determine whether RNS-L090 is within APP-RNS-PLR-010; then recover referenced isometric population","Promote L090-to-report only from an explicit line/report listing","Do not assume all RNS Class-2/3 lines belong to PLR-010",""
"RNS-U4-L090-005","PLW numbering semantics","Unit-3 direct co-isometric examples","CROSS_UNIT_NOMENCLATURE_CONSTRAINT",VERIFIED_PUBLIC,"","NUMBERING_RULE_RESOLVED","Public construction packages prove one PLW isometric can carry multiple logical RNS line numbers whose suffixes differ from the isometric number","No further proof needed for the negative rule; continue collecting examples only as corroboration","N/A","Never use matching numeric suffixes as identity evidence","Examples include PLW-021 carrying L040/L061/L062."
"RNS-U4-L090-006","TARGET EDGE: RNS-L090 ↔ SV4-RNS-PLW-090","Direct controlled cross-reference not yet recovered","VOGTLE-4_FINAL_ASBUILT_REQUIRED",CORROBORATED_PUBLIC,"","AMBER_UNPROVEN","Both endpoints and their controlled document families are independently established; no retrieved public record yet explicitly prints both identifiers as the same piping assignment","Final Index-355 Attachment B; APP-RNS-M6X-004 Rev.2 row; full P0W-861630 header/line list; PLW-090 title block/line list; or another controlled NDE/test/support package containing both identifiers","Turn GREEN only when one controlled Unit-4 record explicitly links RNS-L090 to SV4-RNS-PLW-090 or gives an unambiguous controlled chain through report/drawing identifiers","Do not promote from numerical suffix match, physical plausibility, Unit-3 analogs, or report-family membership alone","This remains the principal line/isometric closure gate."
"RNS-U4-L090-007","Final Index-355 ICN route","Unit-4 2.3.06.02a completion package / Attachment B","VOGTLE-4_FINAL_ITAAC",CORROBORATED_PUBLIC,"SRC-0914","ACTIVE_RETRIEVAL_ROUTE","Index 355 is known to have closed before the Unit-4 all-ITAAC-complete notification; earlier UIN defines the completion-record fields","Recover final ICN accession/content and Attachment B; extract final ASME III design report, pipe-break evaluation and N-5/code-data entries for L040/L090","Use only final completed Attachment-B values, preserving any line-by-line distinctions","Do not substitute the uncompleted-ITAAC XXX/YYY placeholders as document numbers",""

"RNS-U4-L090-008","Unit-3 final Index-355 analog route","ND-21-0744 / Unit-3 2.3.06.02a Index 355 ICN","VOGTLE-3_ANALOG_ONLY",CORROBORATED_PUBLIC,"SRC-0912;SRC-0913","HIGH_PRIORITY_RETRIEVAL","The exact Unit-3 ICN document number is now indexed and NRC independently confirms Unit-3 Index 355 successful completion","Recover ND-21-0744 ADAMS accession/body/Attachment B; inspect how final ASME design-report, pipe-break and N-5 fields were populated; use only as evidence-architecture guidance for Unit 4","Promote only Unit-3-specific facts from the Unit-3 ICN; use its structure to target the corresponding Unit-4 package","Do not copy Unit-3 report numbers, line mappings or isometric assignments into Unit 4","This is now the shortest analog route for learning the final Index-355 closure-package population."
"RNS-U4-L090-009","RNS line-list document lineage","APP-GW-GEE-4190 → individual system CFC line-list family → APP-RNS-M6X-004 candidate lineage","STANDARD_DESIGN_TO_VOGTLE_DOCUMENT_CONTROL",CORROBORATED_PUBLIC,"SRC-0967;SRC-0916","LINEAGE_HYPOTHESIS_RETRIEVAL","GEE-4190 establishes creation of individual system CFC line lists in 2013; later NRC inspection directly uses APP-RNS-M6X-004 Rev.2 as the RNS Pipe Line Designation Table","Recover GEE-4190 body and APP-RNS-M6X-004 revision history/title block to prove or reject direct lineage; then extract L090 row","Promote lineage only if controlled revision history or DCP affected-document list explicitly connects the documents","Do not treat temporal sequence or similar function as proof that GEE-4190 created M6X-004","If confirmed, this becomes a strong route to the final L090 line-to-drawing/report crosswalk."
