item_id,parent_scope,part_or_assembly_name,object_type,quantity,nominal_data,upstream,downstream,normal_state_or_actuation,configuration,evidence_state,source_ids,source_locator,status,notes
ADS-001,PXS-001,Automatic Depressurization System,functional_subsystem,1,"10 total depressurization flow paths arranged in 4 stages",RCS pressurizer/hot legs,IRWST spargers or containment atmosphere,Sequential staged actuation,AP1000-DCD-R19-GENERIC,VERIFIED_PUBLIC,SRC-0002;SRC-0007;SRC-0401,DCD Rev.19 / AP1000 Technical Specifications / NUREG-1793 Ch.6,ACTIVE,Stages 1-3 discharge to IRWST spargers; Stage 4 discharges to containment
ADS-HDR-PZR,ADS-001,ADS pressurizer inlet header,steam_header,1,UNRESOLVED,Pressurizer steam space,ADS stages 1-3 inlet branches,Pressurized with RCS,AP1000-DCD-R19-GENERIC,VERIFIED_PUBLIC,SRC-0002;SRC-0007,DCD Rev.19 / AP1000 Tech Spec Bases,ACTIVE,Exact header geometry/nozzles/supports/welds unresolved
ADS-S1-A,ADS-001,ADS Stage 1 flow path A,depressurization_flow_path,1,"4-in valve basis",ADS-HDR-PZR,ADS-COMMON-A,Two normally closed DC motor-operated valves in series,AP1000-DCD-R19-GENERIC,VERIFIED_PUBLIC,SRC-0007,AP1000 Tech Spec Bases ADS description,ACTIVE,Individual valve tags require DCD/Vogtle P&ID reconciliation
ADS-S1-A-V1,ADS-S1-A,Stage 1A upstream isolation/depressurization valve,motor_operated_valve,1,"4 in; DC motor operated",ADS-HDR-PZR,ADS-S1-A-V2,Normally closed; opens on Stage 1 ADS actuation,AP1000-DCD-R19-GENERIC,VERIFIED_PUBLIC,SRC-0007,AP1000 Tech Spec Bases ADS description,ACTIVE,Valve make/model/body/trim/operator details unresolved
ADS-S1-A-V2,ADS-S1-A,Stage 1A downstream isolation/depressurization valve,motor_operated_valve,1,"4 in; DC motor operated",ADS-S1-A-V1,ADS-COMMON-A,Normally closed; opens on Stage 1 ADS actuation,AP1000-DCD-R19-GENERIC,VERIFIED_PUBLIC,SRC-0007,AP1000 Tech Spec Bases ADS description,ACTIVE,
ADS-S1-B,ADS-001,ADS Stage 1 flow path B,depressurization_flow_path,1,"4-in valve basis",ADS-HDR-PZR,ADS-COMMON-B,Two normally closed DC motor-operated valves in series,AP1000-DCD-R19-GENERIC,VERIFIED_PUBLIC,SRC-0007,AP1000 Tech Spec Bases ADS description,ACTIVE,
ADS-S1-B-V1,ADS-S1-B,Stage 1B upstream isolation/depressurization valve,motor_operated_valve,1,"4 in; DC motor operated",ADS-HDR-PZR,ADS-S1-B-V2,Normally closed; opens on Stage 1 ADS actuation,AP1000-DCD-R19-GENERIC,VERIFIED_PUBLIC,SRC-0007,AP1000 Tech Spec Bases ADS description,ACTIVE,
ADS-S1-B-V2,ADS-S1-B,Stage 1B downstream isolation/depressurization valve,motor_operated_valve,1,"4 in; DC motor operated",ADS-S1-B-V1,ADS-COMMON-B,Normally closed; opens on Stage 1 ADS actuation,AP1000-DCD-R19-GENERIC,VERIFIED_PUBLIC,SRC-0007,AP1000 Tech Spec Bases ADS description,ACTIVE,
ADS-S2-A,ADS-001,ADS Stage 2 flow path A,depressurization_flow_path,1,"8-in valve basis",ADS-HDR-PZR,ADS-COMMON-A,Two normally closed DC motor-operated valves in series,AP1000-DCD-R19-GENERIC,VERIFIED_PUBLIC,SRC-0007,AP1000 Tech Spec Bases ADS description,ACTIVE,
ADS-S2-A-V1,ADS-S2-A,Stage 2A upstream depressurization valve,motor_operated_valve,1,"8 in; DC motor operated",ADS-HDR-PZR,ADS-S2-A-V2,Normally closed; opens on Stage 2 ADS actuation,AP1000-DCD-R19-GENERIC,VERIFIED_PUBLIC,SRC-0007,AP1000 Tech Spec Bases ADS description,ACTIVE,
