item_id,parent_scope,component_or_feature,object_type,quantity,nominal_data,relationship,configuration,evidence_state,source_ids,source_locator,status,notes
PRHR-FAB-001,PXS-PRHR-HX,PRHR heat exchanger assembly,heat_exchanger,1,"Design heat transfer 2.00E8 Btu/hr; design flow 5.03E5 lb/hr; design environment 2500 psia / 650 F / 60 years",Passive natural-circulation decay heat removal in IRWST,AP1000-DCD-R19-GENERIC,VERIFIED_PUBLIC,SRC-0011;SRC-0401,NUREG-1793 Ch.5 Sec.5.4.14 and Ch.6 Sec.6.3.2.5,ACTIVE,ASME Class 1 RCPB component
PRHR-FAB-002,PRHR-FAB-001,Upper tubesheet,tubesheet,1,UNRESOLVED,Upper termination of 689 C-shaped tubes and interface to inlet channel head,AP1000-DCD-R19-GENERIC,VERIFIED_PUBLIC,SRC-0011;SRC-0406,NUREG-1793 Ch.5 Sec.5.4.14 / ML19135A691 PRHR design records,ACTIVE,CMTR 14129/09 identified publicly for upper tubesheet; exact material properties and dimensions to transcribe from CMTR/drawing if public
PRHR-FAB-003,PRHR-FAB-001,Lower tubesheet,tubesheet,1,UNRESOLVED,Lower termination of 689 C-shaped tubes and interface to outlet channel head,AP1000-DCD-R19-GENERIC,VERIFIED_PUBLIC,SRC-0011;SRC-0406,NUREG-1793 Ch.5 Sec.5.4.14 / ML19135A691 PRHR design records,ACTIVE,CMTR 14141/09 identified publicly for lower tubesheet
PRHR-FAB-004,PRHR-FAB-001,C-shaped heat-transfer tube set,heat_exchanger_tube_set,689,"0.75 in outside diameter; vertical C-shaped tubes",Carries RCS coolant through submerged IRWST heat sink,AP1000-DCD-R19-GENERIC,VERIFIED_PUBLIC,SRC-0401;SRC-0406,NUREG-1793 Ch.6 Sec.6.3.2.5 / ML18226A348 fabrication inspection,ACTIVE,CMTR OM194862/4 heat RH062 identified for PRHR tubes; wall thickness bend radii and exact pitch remain unresolved
PRHR-FAB-005,PRHR-FAB-001,Upper/inlet channel head,channel_head,1,UNRESOLVED,Connects upper tubesheet to PRHR inlet piping from RCS hot leg/ADS-4 tee,AP1000-DCD-R19-GENERIC,VERIFIED_PUBLIC,SRC-0011;SRC-0406,NUREG-1793 Ch.5 Sec.5.4.14 / ML18226A348,ACTIVE,CMTR 14153/09 identified for upper channel head
PRHR-FAB-006,PRHR-FAB-001,Lower/outlet channel head,channel_head,1,UNRESOLVED,Connects lower tubesheet to return piping toward SG cold-leg plenum/RCP suction,AP1000-DCD-R19-GENERIC,VERIFIED_PUBLIC,SRC-0011;SRC-0406,NUREG-1793 Ch.5 Sec.5.4.14 / ML18226A348,ACTIVE,CMTR 14165/09 identified for lower channel head
PRHR-FAB-007,PRHR-FAB-001,Upper support plate,support_plate,1,UNRESOLVED,Structural support element associated with upper exchanger assembly,AP1000/VOGTLE,VERIFIED_PUBLIC,SRC-0406,ML18226A348 PRHR fabrication inspection record,REFERENCE_FOUND,CMTR 14177/09 identified; exact geometry and attachment require assembly drawing
PRHR-FAB-008,PRHR-FAB-001,Lower support plate,support_plate,1,UNRESOLVED,Structural support element associated with lower exchanger assembly,AP1000/VOGTLE,VERIFIED_PUBLIC,SRC-0406,ML18226A348 PRHR fabrication inspection record,REFERENCE_FOUND,CMTR 15473/09 identified; public inspection identifies weld CW-006/2 connecting lower channel head to lower support plate
PRHR-FAB-009,PRHR-FAB-001,Upper support shell,support_shell,1,UNRESOLVED,Transfers/supports upper exchanger loads,AP1000/VOGTLE,VERIFIED_PUBLIC,SRC-0406,ML18226A348 PRHR fabrication inspection record,REFERENCE_FOUND,CMTR NLAM010174 identified for upper support shell
PRHR-FAB-010,PRHR-FAB-001,Lower safe end,pressure_boundary_safe_end,1,UNRESOLVED,Pressure-boundary piping interface at lower exchanger connection,AP1000/VOGTLE,VERIFIED_PUBLIC,SRC-0406,ML18226A348 PRHR fabrication inspection record,REFERENCE_FOUND,CMTR 15485/09 identified for lower safe end
PRHR-FAB-011,PRHR-FAB-001,IRWST internal support frame,structural_frame,1,UNRESOLVED,Supports tube bundle inside IRWST and controls tube spacing/thermal movement,AP1000-DCD-R19-GENERIC,VERIFIED_PUBLIC,SRC-0011,NUREG-1793 Ch.5 Sec.5.4.14.1,ACTIVE,Exact frame members guides clamps and welds unresolved
PRHR-FAB-012,PRHR-FAB-011,Upper steam-trap/condensation cover,cover_structure,1,UNRESOLVED,Mounted on top of support structure to trap/condense steam during initial PRHR activation,AP1000-DCD-R19-GENERIC,VERIFIED_PUBLIC,SRC-0011,NUREG-1793 Ch.5 Sec.5.4.14.1,ACTIVE,Exact shape material and attachment unresolved
PRHR-FAB-013,PRHR-FAB-001,IRWST wall welded attachment,structural_pressure_boundary_interface,1,UNRESOLVED,PRHR HX is welded to IRWST structure/wall,AP1000-DCD-R19-GENERIC,VERIFIED_PUBLIC,SRC-0011,NUREG-1793 Ch.5 Sec.5.4.14.1,ACTIVE,Weld map/embedment geometry and boundary ownership require assembly/support drawings
PRHR-DOC-001,PRHR-FAB-001,Design specification,document_reference,1,"APP-ME02-ZZ0-101 Rev.13",Defines AP1000 PRHR HX design requirements,AP1000/VOGTLE,VERIFIED_PUBLIC,SRC-0406,ML19135A691 Section 1A13,REFERENCE_FOUND,Retrieve underlying public document if accessible
PRHR-DOC-002,PRHR-FAB-001,Assembly drawing,document_reference,1,"APP-ME02-V2-001 Rev.3",PRHR HX assembly drawing,AP1000/VOGTLE,VERIFIED_PUBLIC,SRC-0406,ML19135A691 Section 1A13,REFERENCE_FOUND,Highest-priority source for detailed 1:1 geometry and BOM
PRHR-DOC-003,PRHR-FAB-001,Lower support assembly drawing,document_reference,1,"APP-ME02-V2-006 Rev.4",PRHR HX lower support assembly,AP1000/VOGTLE,VERIFIED_PUBLIC,SRC-0406,ML19135A691 Section 1A13,REFERENCE_FOUND,
PRHR-DOC-004,PRHR-FAB-001,Lower support modification E&DCR,document_reference,1,"APP-ME02-GEF-077 Rev.0",Lower-support modification and baseplate-to-embedment-plate weld attachment,AP1000/VOGTLE,VERIFIED_PUBLIC,SRC-0406,ML19135A691 Section 1A13,REFERENCE_FOUND,
PRHR-DOC-005,PRHR-FAB-001,Fabrication specification,document_reference,1,"APP-ME02-Z0-200 Rev.2",Fabrication and examination requirements for PRHR HX,AP1000/VOGTLE,VERIFIED_PUBLIC,SRC-0406,ML18226A348 NRC fabrication inspection,REFERENCE_FOUND,NRC inspection specifically cites radiographic requirements for full-penetration weld CW-006/2
PRHR-DOC-006,PRHR-FAB-001,Vogtle Unit 3 ASME Code design report,document_reference,1,"SV3-ME02-Z0R-001 Rev.1",Unit-specific ASME design basis, VOGTLE-3-CURRENT-PUBLIC,VERIFIED_PUBLIC,SRC-0406,ML18226A348 NRC fabrication inspection,REFERENCE_FOUND,
PRHR-DOC-007,PRHR-FAB-001,Standard technical manual,document_reference,1,"APP-ME02-Z0M-101 Rev.2",Vendor technical/manual information for PRHR HX,AP1000/VOGTLE,VERIFIED_PUBLIC,SRC-0406,ML18226A348 NRC fabrication inspection,REFERENCE_FOUND,
PRHR-WELD-001,PRHR-FAB-008,CW-006/2,weld_joint,1,"Category A full-penetration weld",Connects lower channel head to lower support plate,VOGTLE/AP1000 fabrication,VERIFIED_PUBLIC,SRC-0406,ML18226A348 NRC fabrication inspection,ACTIVE,Public NRC inspection identifies weld classification and required radiographic examination; weld geometry/filler/process map remains to resolve
