trace_id,configuration,component_or_scope,public_record_identifier,heat_or_serial_or_report,document_type,evidence_state,source_ids,source_locator,status,notes
RV-MAT-001,VOGTLE-4-CURRENT-PUBLIC,Reactor vessel upper shell,CMTR CN2010100008,Heat Nos. 2C06966;2B06967;2C06968,certified_material_test_report,VERIFIED_PUBLIC,SRC-0210,NRC material-verification record ML16210A448,REFERENCE_FOUND,Public record text identifies this CMTR as upper-shell material evidence; obtain underlying CMTR before assigning chemistry/mechanical properties
RV-MAT-002,VOGTLE-4-CURRENT-PUBLIC,Reactor vessel outlet nozzle,CMTR CN2010020008,Heat No. 2C95859,certified_material_test_report,VERIFIED_PUBLIC,SRC-0210,NRC material-verification record ML16210A448,REFERENCE_FOUND,Do not infer alloy chemistry beyond separately sourced vessel material specification
RV-MAT-003,VOGTLE-4-CURRENT-PUBLIC,Reactor vessel DVI nozzle,CMTR CN2010030041,Heat No. 2C96127,certified_material_test_report,VERIFIED_PUBLIC,SRC-0210,NRC material-verification record ML16210A448,REFERENCE_FOUND,PXS direct-vessel-injection nozzle material traceability
RV-MAT-004,VOGTLE-4-CURRENT-PUBLIC,Reactor vessel inlet nozzle,CMTR CN2011010001,Heat No. 2C07611,certified_material_test_report,VERIFIED_PUBLIC,SRC-0210,NRC material-verification record ML16210A448,REFERENCE_FOUND,Cold-leg inlet nozzle traceability
RV-MAT-005,VOGTLE-4-CURRENT-PUBLIC,Reactor vessel transition ring,CMTR CN2011040031,Heat Nos. 2B07975;2C07976,certified_material_test_report,VERIFIED_PUBLIC,SRC-0210,NRC material-verification record ML16210A448,REFERENCE_FOUND,Resolve exact forging/material subdivision from underlying CMTR/as-built drawing
RV-MAT-006,VOGTLE-4-CURRENT-PUBLIC,CRDM nozzles,CMTR 22945,Heat No. 216908264,certified_material_test_report,VERIFIED_PUBLIC,SRC-0210,NRC material-verification record ML16210A448,REFERENCE_FOUND,Public record text identifies CRDM-nozzle material report; map to individual nozzle lot/count only from underlying fabrication records
RV-MAT-007,VOGTLE-4-CURRENT-PUBLIC,Reactor vessel filler metal weld locations 101-10A/101-10D,CMTR 118786-001A,Heat No. NX8955TK Rev 1,certified_material_test_report,VERIFIED_PUBLIC,SRC-0210,NRC material-verification record ML16210A448,REFERENCE_FOUND,Weld-seam mapping requires weld map/as-built drawing
RV-MAT-008,VOGTLE-4-CURRENT-PUBLIC,Reactor vessel filler metal weld locations 101-10A/101-10D,CMTR-T10-DS06,Heat No. M21673 Rev 1,certified_material_test_report,VERIFIED_PUBLIC,SRC-0210,NRC material-verification record ML16210A448,REFERENCE_FOUND,Retain multiple filler-metal records rather than collapsing them
RV-MAT-009,VOGTLE-4-CURRENT-PUBLIC,Reactor vessel filler metal weld locations 101-10A/101-10D,CMTR-T10-DS14,Heat No. M21673 Rev 0,certified_material_test_report,VERIFIED_PUBLIC,SRC-0210,NRC material-verification record ML16210A448,REFERENCE_FOUND,Revision relationship requires underlying record review
RV-MAT-010,VOGTLE-4-CURRENT-PUBLIC,Reactor vessel filler metal weld locations 101-10A/101-10D,CMTR-T13-DS21,Heat No. L1616 Rev 0,certified_material_test_report,VERIFIED_PUBLIC,SRC-0210,NRC material-verification record ML16210A448,REFERENCE_FOUND,Exact seam/use allocation unresolved
RV-MAT-011,VOGTLE-4-CURRENT-PUBLIC,Complete reactor vessel,Form N-1 Certificate Holder Data Report,Serial No. SV4-RCS-MV-01,ASME_data_report,VERIFIED_PUBLIC,SRC-0210,NRC material-verification record ML16210A448,REFERENCE_FOUND,High-priority as-built certification source
RV-MAT-012,VOGTLE-4-CURRENT-PUBLIC,Identical nuclear parts/appurtenances,Form N-2 Certificate Holder Data Report,Serial No. N07049-20101,ASME_data_report,VERIFIED_PUBLIC,SRC-0210,NRC material-verification record ML16210A448,REFERENCE_FOUND,Underlying part scope unresolved
RV-MAT-013,VOGTLE-4-CURRENT-PUBLIC,Identical nuclear parts/appurtenances,Form N-2 Certificate Holder Data Report,Serial No. N07049-20102,ASME_data_report,VERIFIED_PUBLIC,SRC-0210,NRC material-verification record ML16210A448,REFERENCE_FOUND,Underlying part scope unresolved
