item_id,configuration,feature_or_object,public_value_or_configuration,evidence_state,source_ids,source_locator,status,notes
IHP-CFG-001,AP1000-DCD-R19-GENERIC,Installed reactor-head package name,Integrated Head Package (IHP),VERIFIED_PUBLIC,SRC-0002;SRC-0301,DCD Rev.19 / NUREG-1793 Ch.12,ACTIVE,Use IHP for AP1000 model; SHA is retrofit-reference terminology only
IHP-CFG-002,AP1000-DCD-R19-GENERIC,CRDM cooling fans,Fans removed from IHP itself and supported on structure adjacent to IHP,VERIFIED_PUBLIC,SRC-0302,APP-GW-GLN-014-NS Rev.0,ACTIVE,Do not model obsolete early IHP-mounted fan arrangement
IHP-CFG-003,AP1000-DCD-R19-GENERIC,Cable bridge,Not present in current IHP configuration,VERIFIED_PUBLIC,SRC-0302,APP-GW-GLN-014-NS Rev.0,CONFIRMED_ABSENT,Replaced by cable support structure with removable cable guides
IHP-CFG-004,AP1000-DCD-R19-GENERIC,Cable support structure,CRDM power and digital rod-position cables disconnect at connector plates retract and are temporarily stored below operating deck during refueling,VERIFIED_PUBLIC,SRC-0302,APP-GW-GLN-014-NS Rev.0,ACTIVE,Individual guide/clamp/connector components unresolved
IHP-CFG-005,AP1000-DCD-R19-GENERIC,IHP lifting method,IHP lifted using lift legs sling block clevises and sling rods through CRDM seismic-support structure to polar-crane hook,VERIFIED_PUBLIC,SRC-0302,APP-GW-GLN-014-NS Rev.0,ACTIVE,Stud tensioners/studs/nuts/washers are not part of IHP lifting load path
IHP-CFG-006,AP1000-DCD-R19-GENERIC,Stud-hoist rail,Stud-hoist rail included in revised IHP configuration,VERIFIED_PUBLIC,SRC-0302,APP-GW-GLN-014-NS Rev.0,ACTIVE,Detailed rail/support geometry unresolved
IHP-CFG-007,REFERENCE-ONLY,Simplified Head Assembly (SHA),Westinghouse retrofit head-package product for existing plants that incorporates IHP-like outage/maintenance improvements,VERIFIED_PUBLIC,SRC-0303,Westinghouse SHA product page,REFERENCE_ONLY,Do not instantiate in AP1000 configuration without plant-specific evidence
IHP-V3-001,VOGTLE-3-CURRENT-PUBLIC,Unit 3 IHP overall height,Approximately 48 ft,VERIFIED_PUBLIC,SRC-0304,Georgia Power/Southern Company public construction milestone,PLANT_OVERLAY,Plant-specific public construction figure; not automatically generic
IHP-V3-002,VOGTLE-3-CURRENT-PUBLIC,Unit 3 IHP assembly weight,Approximately 475000 lb,VERIFIED_PUBLIC,SRC-0304,Georgia Power/Southern Company public construction milestone,PLANT_OVERLAY,Includes assembled IHP as publicized; exact lifting configuration/boundary of quoted weight unresolved
IHP-V3-003,VOGTLE-3-CURRENT-PUBLIC,Unit 3 IHP electrical cable length,More than 3 miles total cable,VERIFIED_PUBLIC,SRC-0304,Georgia Power/Southern Company public construction milestone,PLANT_OVERLAY,Do not derive cable count or routing from aggregate length alone
IHP-V3-004,VOGTLE-3-CURRENT-PUBLIC,Unit 3 IHP installed position,Placed atop Unit 3 reactor vessel during construction,VERIFIED_PUBLIC,SRC-0304,Georgia Power public Vogtle milestone,PLANT_OVERLAY,Final operating/refueling interfaces still require UFSAR/as-built reconciliation
