audit_id,flowpath_or_scope,from,to,isolation_and_alignment,bypass_and_alternate,balancing_restriction_equalization,pressure_vacuum_protection,vents_drains_fill_sample_test,instrumentation_and_actuation,mechanical_construction,maintenance_handling,completion_state,source_ids,notes
ADS-AUD-001,ADS-S1-A,Pressurizer inlet header,Common discharge header A,"VERIFIED: V011A + V001A series MOVs","SEARCH_REQUIRED","SEARCH_REQUIRED","N/A on branch; downstream header vacuum protection tracked separately","SEARCH_REQUIRED","PARTIAL: valve position/control evidence exists; full power/control/JB/cable chain unresolved","PARTIAL: 4-in branch basis; exact spools/fittings/welds/supports unresolved","SEARCH_REQUIRED",INCOMPLETE,SRC-0002;SRC-0007;SRC-0410,Do not close until drains/vents/instrument taps/supports and any bypass/equalization features are dispositioned
ADS-AUD-002,ADS-S1-B,Pressurizer inlet header,Common discharge header B,"VERIFIED: V011B + V001B series MOVs","SEARCH_REQUIRED","SEARCH_REQUIRED","N/A on branch; downstream header vacuum protection tracked separately","SEARCH_REQUIRED","PARTIAL: valve position/control evidence exists; full power/control/JB/cable chain unresolved","PARTIAL: 4-in branch basis; exact spools/fittings/welds/supports unresolved","SEARCH_REQUIRED",INCOMPLETE,SRC-0002;SRC-0007;SRC-0410,
ADS-AUD-003,ADS-S2-A,Pressurizer inlet header,Common discharge header A,"VERIFIED: V012A + V002A series MOVs","SEARCH_REQUIRED","SEARCH_REQUIRED","N/A on branch; downstream header vacuum protection tracked separately","SEARCH_REQUIRED","PARTIAL","PARTIAL: 8-in branch basis; exact spools/fittings/welds/supports unresolved","SEARCH_REQUIRED",INCOMPLETE,SRC-0002;SRC-0007;SRC-0410,
ADS-AUD-004,ADS-S2-B,Pressurizer inlet header,Common discharge header B,"VERIFIED: V012B + V002B series MOVs","SEARCH_REQUIRED","SEARCH_REQUIRED","N/A on branch; downstream header vacuum protection tracked separately","SEARCH_REQUIRED","PARTIAL","PARTIAL: 8-in branch basis; exact spools/fittings/welds/supports unresolved","SEARCH_REQUIRED",INCOMPLETE,SRC-0002;SRC-0007;SRC-0410,
ADS-AUD-005,ADS-S3-A,Pressurizer inlet header,Common discharge header A,"VERIFIED: V013A + V003A series MOVs","SEARCH_REQUIRED","SEARCH_REQUIRED","N/A on branch; downstream header vacuum protection tracked separately","SEARCH_REQUIRED","PARTIAL","PARTIAL: 8-in branch basis; exact spools/fittings/welds/supports unresolved","SEARCH_REQUIRED",INCOMPLETE,SRC-0002;SRC-0007;SRC-0410,
ADS-AUD-006,ADS-S3-B,Pressurizer inlet header,Common discharge header B,"VERIFIED: V013B + V003B series MOVs","SEARCH_REQUIRED","SEARCH_REQUIRED","N/A on branch; downstream header vacuum protection tracked separately","SEARCH_REQUIRED","PARTIAL","PARTIAL: 8-in branch basis; exact spools/fittings/welds/supports unresolved","SEARCH_REQUIRED",INCOMPLETE,SRC-0002;SRC-0007;SRC-0410,
ADS-AUD-007,ADS-COMMON-A,Stage 1A/2A/3A outlets,PXS sparger A,"Upstream stage isolation verified","SEARCH_REQUIRED","SEARCH_REQUIRED","VERIFIED: V010A vacuum relief","SEARCH_REQUIRED","SEARCH_REQUIRED: header taps/pressure/temperature/position interfaces to extract","PARTIAL: branch tees/header/sparger connection known; sizes/materials/spools/supports unresolved","SEARCH_REQUIRED",INCOMPLETE,SRC-0007;SRC-0011;SRC-0401;SRC-0409,Vacuum relief is explicit; do not infer absence of drain/vent/test fittings
ADS-AUD-008,ADS-COMMON-B,Stage 1B/2B/3B outlets,PXS sparger B,"Upstream stage isolation verified","SEARCH_REQUIRED","SEARCH_REQUIRED","VERIFIED: V010B vacuum relief","SEARCH_REQUIRED","SEARCH_REQUIRED","PARTIAL","SEARCH_REQUIRED",INCOMPLETE,SRC-0007;SRC-0011;SRC-0401;SRC-0409,
ADS-AUD-009,ADS-S4-A,RCS hot-leg boundary,Containment atmosphere,"VERIFIED: V014A normally-open MOV + V004A normally-closed squib","SEARCH_REQUIRED","SEARCH_REQUIRED","DISCHARGE_TO_CONTAINMENT","SEARCH_REQUIRED","PARTIAL: actuation/position evidence exists; complete electrical/control chain unresolved","PARTIAL: discharge line represented; exact hot-leg tee/spools/fittings/welds/supports/outlet unresolved","SEARCH_REQUIRED",INCOMPLETE,SRC-0002;SRC-0011;SRC-0408;SRC-0409;SRC-0410,Exact source hot leg must be confirmed before path completion
ADS-AUD-010,ADS-S4-B,RCS hot-leg boundary,Containment atmosphere,"VERIFIED: V014B + V004B","SEARCH_REQUIRED","SEARCH_REQUIRED","DISCHARGE_TO_CONTAINMENT","SEARCH_REQUIRED","PARTIAL","PARTIAL","SEARCH_REQUIRED",INCOMPLETE,SRC-0002;SRC-0011;SRC-0408;SRC-0409;SRC-0410,
ADS-AUD-011,ADS-S4-C,RCS hot-leg boundary,Containment atmosphere,"VERIFIED: V014C + V004C","SEARCH_REQUIRED","SEARCH_REQUIRED","DISCHARGE_TO_CONTAINMENT","SEARCH_REQUIRED","PARTIAL","PARTIAL","SEARCH_REQUIRED",INCOMPLETE,SRC-0002;SRC-0011;SRC-0408;SRC-0409;SRC-0410,
ADS-AUD-012,ADS-S4-D,RCS hot-leg boundary,Containment atmosphere,"VERIFIED: V014D + V004D","SEARCH_REQUIRED","SEARCH_REQUIRED","DISCHARGE_TO_CONTAINMENT","SEARCH_REQUIRED","PARTIAL","PARTIAL","SEARCH_REQUIRED",INCOMPLETE,SRC-0002;SRC-0011;SRC-0408;SRC-0409;SRC-0410,
ADS-AUD-013,ADS-PZR-HDR,Pressurizer steam space,Six Stage 1-3 branches,"Branch isolation occurs in each downstream path","SEARCH_REQUIRED","SEARCH_REQUIRED","N/A","SEARCH_REQUIRED","SEARCH_REQUIRED: wide-range pressurizer level upper-tap interface identified in public NRC inspection guidance; controlled-source ingestion pending","PARTIAL: header existence confirmed; nozzle/branches/tees/welds/supports unresolved","SEARCH_REQUIRED",INCOMPLETE,SRC-0002;SRC-0007,Explicitly audit every instrument/root-valve and vent/drain connection on the header
ADS-AUD-014,RCS-PL-V010A,Containment atmosphere,Common discharge A,"Valve itself is vacuum-protection device","N/A","N/A","VERIFIED vacuum relief","SEARCH_REQUIRED","PARTIAL: valve status/position indication details unresolved","PARTIAL: body/end connection/support unresolved","SEARCH_REQUIRED",INCOMPLETE,SRC-0011;SRC-0409,Need size/setpoint/body/trim/end-connection/support details
ADS-AUD-015,RCS-PL-V010B,Containment atmosphere,Common discharge B,"Valve itself is vacuum-protection device","N/A","N/A","VERIFIED vacuum relief","SEARCH_REQUIRED","PARTIAL","PARTIAL","SEARCH_REQUIRED",INCOMPLETE,SRC-0011;SRC-0409,
