record_id,assembly_zone,object_tag_or_boundary,object_type,function_or_connection,configuration,evidence_state,source_ids,source_locator,status,resolved_now,remaining_closure,do_not_infer,notes
"PXS-U3-RNSBSA-001","RCS_INTERFACE","RCS hot-leg RNS suction connection","Pressure-boundary nozzle / pipe connection","Origin of the RNS hot-leg suction path at the reactor coolant hot leg","AP1000-GENERIC-DESIGN","CORROBORATED_PUBLIC","SRC-0618","Westinghouse AP1000 generic RCS/RNS connection geometry basis","GENERIC_BOUNDARY","Generic hot-leg RNS suction connection uses a 20-inch Schedule-140 pipe basis","Unit-3 nozzle/spool coordinates; weld map; material heat; exact site isometric; penetration/room relationship","Do not promote 20-inch Schedule-140 to a complete Unit-3 as-built nozzle/spool geometry without the site drawing and material record","This row fixes the upstream functional boundary while leaving plant-specific geometry open."
"PXS-U3-RNSBSA-002","RCS_INTERFACE","RNS-L001 / RNS-L002B","Upstream hot-leg suction line family","Carries RCS hot-leg inventory from the hot-leg connection to the RCS side of inner isolation valve V001B","AP1000-GENERIC-LINE-TOPOLOGY","CORROBORATED_PUBLIC","SRC-0606;SRC-0705","Westinghouse RNS construction-verification line tables","GENERIC_TOPOLOGY","L001 and L002A/B belong upstream of the V001 inner isolation valves","Current Unit-3 line routing; L001/L002B exact spool split; fittings; welds; supports; dimensions; line class/material; exact V001B end connection","Do not place V002B on L001/L002B and do not invent the Unit-3 L001-to-L002B spool transition","This prevents the outer valve from being incorrectly moved into the upstream RCS-side segment."
"PXS-U3-RNSBSA-003","INNER_ISOLATION","RNS-PL-V001B","RCS inner hot-leg suction motor-operated isolation valve","First series motor-operated isolation valve in B hot-leg suction path; RCS pressure-boundary isolation function","VOGTLE-3-DIRECT-EQ-POPULATION-PLUS-PV01-FAMILY","VERIFIED_PUBLIC","SRC-0701;SRC-0497","ML18054A426 Attachment A; PV01 VBR-011/-012 family","ACTIVE","Unit-3 tag and EQ population are direct; V001B belongs to the PV01 qualified family used for the inner/outer RNS suction MOV set","Completed V001B EQRR row; exact Flowserve valve model/serial; exact Limitorque model/serial; datasheet; motor; internal dimensions/materials; installation orientation; setup and diagnostic records","Do not copy V002B installed serial/setup values onto V001B and do not assume identical installed actuator size merely because both are PV01 family members","V001B is retained as its own assembly object rather than treated as a duplicate of V002B."
"PXS-U3-RNSBSA-004","INNER_ISOLATION","RNS-PL-V001B-M","Motor-operator child tag","Electromechanical actuator boundary for V001B","VOGTLE-3-UFSAR-HISTORY","VERIFIED_PUBLIC","SRC-0704","VEGP 3&4 UFSAR Rev.8 Appendix 3I","RECONCILE_TO_CURRENT","Public UFSAR explicitly identifies the V001B motor-operator child function","Current child-tag retention; actuator make/model/serial; motor data; gear train; limit/torque switches; terminal plan; power cable and MCC branch","Do not infer V001B uses V002B cable PLV002BBXB, V002B actuator serial, or V002B setup settings","Treat as a real historical/current-design child boundary pending current Unit-3 wiring/EQRR confirmation."
"PXS-U3-RNSBSA-005","INNER_ISOLATION","RNS-PL-V001B-L","Limit/position-switch child tag","Open/closed position sensing and remote indication for V001B","VOGTLE-3-UFSAR-HISTORY","VERIFIED_PUBLIC","SRC-0704","VEGP 3&4 UFSAR Rev.8 Appendix 3I","RECONCILE_TO_CURRENT","Public UFSAR explicitly identifies the V001B limit-switch child function","Current child-tag retention; switch count/type; cam settings; contacts; terminals; PMS channels; cables","Do not transfer V002B switch hardware, terminal numbers, or PMS channel assignments to V001B","The child interface is explicit even though its current Unit-3 implementation details are not."
"PXS-U3-RNSBSA-006","CONTAINMENT_TRANSITION","RCS/RNS pressure-boundary and containment-isolation transition","Mechanical containment / pressure-boundary transition","Defines the functional and spatial transition from the two series hot-leg suction isolation MOVs to the suction containment penetration","AP1000-CERTIFIED-PLUS-WESTINGHOUSE-SPATIAL-BASIS","VERIFIED_PUBLIC","SRC-0702;SRC-0703;SRC-0714;SRC-0715","AP1000 DCD Rev.19 Tables 3.9-16/6.2.3-1; Westinghouse UKR-GW-GL-793NP Rev.1; ML21221A034","FUNCTIONALLY_RESOLVED_GEOMETRY_OPEN","The B suction path has V001B as the inner series RCS pressure-boundary MOV and V002B as the outer RCS-pressure-boundary/containment-isolation MOV; Westinghouse places the containment-isolation member of each pair closest to the containment penetration. Unit-3 containment inspection identifies SV3-RNS-M6-003 Rev.4 and SV3-MV50-V1-016 Rev.1 as the controlling retrieval route for RNS/penetration location geometry","Exact Unit-3 containment penetration number; V002B-to-shell distance and side-of-shell placement; shell/nozzle/embedment geometry; sleeve/liner; line/spool through penetration; welds; supports; room/elevation; V001B-to-V002B centerline distance; current site drawing relationship","Do not invent the penetration identifier, treat closest-to-penetration as immediately adjacent, or use the generic statement that outside isolation valves are close to containment as the spatial description of V002B","This row now separates the resolved V001-inner/V002-outer-nearest-penetration ordering from the still-unresolved Unit-3 shell-crossing geometry."
"PXS-U3-RNSBSA-007","OUTER_ISOLATION","SV3-RNS-PL-V002B","Motor-operated flex-wedge gate valve / outer hot-leg suction containment isolation","Second series suction MOV; RCS pressure boundary and containment isolation; remote closure and position feedback","VOGTLE-3-DIRECT-TAG-PLUS-CERTIFIED-DESIGN","VERIFIED_PUBLIC","SRC-0473;SRC-0474;SRC-0497;SRC-0701;SRC-0702;SRC-0703","DCD Rev.19 Tables 3.9-16/6.2.3-1; ML18054A426 Attachment A","ACTIVE_WITH_CLOSURE_GATES","Tag/function, PV01 qualification family, Flowserve flex-wedge/Limitorque design family, certified Class-1/IST-A function, and containment-isolation role are resolved","Exact V002B VDR/setup-table row; completed EQRR/PCD row; APP-PV01-Z0D-116 tag bridge; installed Flowserve/Limitorque/motor make-model-serial; diagnostic traces/settings; assembly drawing; exact site geometry/materials/bolting/packing","Do not close any VDR, EQRR, diagnostic, assembly, model/serial, setup, or internal-geometry field by sibling inference or generic PV01 data","The explicit closure gates are normalized separately in unit3_rns_b_train_suction_closure_gates.csv."
"PXS-U3-RNSBSA-008","THERMAL_RELIEF_BRANCH","RCS pressure-boundary thermal-relief branch takeoff","Branch boundary","Provides the dedicated RCS pressure-boundary thermal-relief path associated with V003B/V004B","AP1000-DESIGN-TOPOLOGY-UNIT3-TAGS","CORROBORATED_PUBLIC","SRC-0701;SRC-0704;SRC-0705","ML18054A426 Attachment A; UFSAR Rev.8; Westinghouse generic RNS tables","RECONCILE_TO_CURRENT","The B-side thermal-relief check valve and its isolation-valve function are real controlled RNS objects","Exact branch takeoff line/spool; line number; restrictor/orifice; piping size/class/material; branch fitting; support; V003B/V004B sequence and physical spacing; final downstream relief interface","Do not place the branch on a specific L004/L005/L006 segment until the current Unit-3 P&ID/isometric proves the takeoff","Keep this branch separate from the LTOP relief branch through V021."
"PXS-U3-RNSBSA-009","THERMAL_RELIEF_BRANCH","RNS-PL-V003B","RCS pressure-boundary thermal-relief check valve","Passive check valve in the RCS pressure-boundary thermal-relief path","VOGTLE-3-DIRECT-EQ-POPULATION","VERIFIED_PUBLIC","SRC-0701","ML18054A426 Attachment A; V003B mapped to PV02 VBR-011/-012","ACTIVE","V003B tag, thermal-relief check-valve function, Unit-3 EQ population, and PV02 qualification-family route are direct","Exact installed valve make/model/serial; PV02 datasheet; size/class/materials; cracking/backflow characteristics; seat/disc/hinge internals; orientation; welds; branch location","Do not infer V003B dimensions or installed serial from another PV02 valve","The check-valve identity is also independently present in Unit-3 certification records."
"PXS-U3-RNSBSA-010","THERMAL_RELIEF_BRANCH","RNS-PL-V004B","RCS pressure-boundary valve thermal-relief isolation valve","Isolation for the B-side RCS pressure-boundary thermal-relief path","VOGTLE-3-UFSAR-IDENTITY","VERIFIED_PUBLIC","SRC-0704","VEGP 3&4 UFSAR Rev.8 Appendix 3I","RECONCILE_TO_CURRENT","Tag and functional description are public for the Unit-3/4 design","Exact Unit-3 valve type/size/operator; current tag status; line placement; normal position; materials; vendor/serial; actuation/indication; support and electrical interfaces if any","Do not infer valve type, actuation, electrical source, or exact position in the branch from the description alone","This is not merged with V003B; the check and isolation functions remain separate."
