record_id,target_component,document_or_record,document_role,evidence_state,source_ids,status,known_now,required_extraction,promotion_rule,blocked_inferences,notes
"PXS-U3-RNSMP01B-DOC-001","RNS-MP-01B","APP-MP08-V1-002 Rev.0","Pump-B vendor outline / dimensional drawing",VERIFIED_PUBLIC,"SRC-0713",RETRIEVAL_REQUIRED,"NRC reviewed the exact Pump-B outline drawing identifier/title","Overall pump/baseplate/coupling envelope; suction/discharge nozzle orientation and coordinates; shaft centerline; mounting-hole pattern; base dimensions; maintenance clearances; component callouts; drawing/vendor references","Promote dimensional geometry only from the recovered V1-002 drawing and reconcile with the final installed EQRR/site survey","No Pump-A V1-001 dimensional substitution; no dimensions inferred from 6X19WD designation or drawing title","Highest-value dimensional record for the pump package itself."
"PXS-U3-RNSMP01B-DOC-002","RNS-MP-01B","APP-MP08-VDR-001","MP08 RNS pump design report",VERIFIED_PUBLIC,"SRC-0701;SRC-0709",RETRIEVAL_REQUIRED,"Unit-3 RNS completion-plan route maps MP-01B to this VDR and NRC EQ review identifies the document family","Design point(s); rated flow/head; speed; pressure/temperature; NPSH basis; nozzle loads; hydraulic/mechanical margins; pump/motor/coupling configuration; referenced vendor drawings/calculations","Promote Unit-3 design-family values when the VDR explicitly applies to MP-01B/MP08; distinguish design values from installed test results","Do not treat a design report value as an as-tested Unit-3 value or installed serial","Critical bridge from physical geometry to pump simulation/performance basis."
"PXS-U3-RNSMP01B-DOC-003","RNS-MP-01B","APP-MP08-Z0-001 Rev.8 (publicly reviewed current-family revision; Rev.7 also appears in earlier QA inspection)","MP08 RNS centrifugal-pump design specification",VERIFIED_PUBLIC,"SRC-0709;SRC-0713",RECONCILE_REVISION,"NRC records establish both Rev.7 in the 2014 QA inspection and Rev.8 in later Unit-3 EQ review","Revision history/change basis; design/service conditions; codes/classes; materials; mechanical/electrical requirements; testing; documentation; qualification and interface requirements","Use the applicable revision only after configuration/revision applicability to the delivered/installed MP-01B is established","Do not silently replace Rev.7 receipt/procurement basis with Rev.8 or assume every later requirement was retroactively applied","Preserve procurement/configuration chronology."
"PXS-U3-RNSMP01B-DOC-004","RNS-MP-01B","APP-MP08-Z0R-001 Rev.5","ASME Section III Class 3 pump datasheet report",VERIFIED_PUBLIC,"SRC-0709",RETRIEVAL_REQUIRED,"NRC EQ inspection identifies the MP08 Z0R report and revision","Pressure-boundary design data; nozzle sizes/ratings; design pressure/temperature; materials; code data; hydrotest/design report references; equipment-specific datasheet entries","Promote only the fields explicitly applicable to MP-01B/MP08 and reconcile to VDR/V1/EQRR","Do not invent nozzle dimensions/materials from ASME Class 3 classification alone","Potentially closes exact pressure-boundary inputs for simulation and fabrication model."
"PXS-U3-RNSMP01B-DOC-005","RNS-MP-01B","APP-MP08-VBR-001 Rev.0 / APP-MP08-VBR-002","Equipment-qualification summary and data package",VERIFIED_PUBLIC,"SRC-0709",ACTIVE_RETRIEVAL,"Public records identify the qualified family as Flowserve Flow Solutions Group 6X19WD coupled pumps","Qualified pump/motor/coupling configuration; model population; environmental/seismic test or analysis basis; mounting restrictions; interfaces; qualification limits; referenced drawings","Use qualification-family data as design/EQ-family evidence until final EQRR confirms installed model/serial and mounting","Do not equate the family designation with the exact Unit-3 installed serial/nameplate","Already establishes a strong family identity but not final installed identity."
"PXS-U3-RNSMP01B-DOC-006","RNS-MP-01B","APP-MP08-VPH-001 Rev.0","Equipment qualification plan",VERIFIED_PUBLIC,"SRC-0709",RETRIEVAL_REQUIRED,"NRC reviewed-document list identifies the MP08 EQ plan","Qualification configuration; test/analysis sequence; acceptance criteria; equipment boundaries; instrumentation; mounting; aging/environment assumptions; required records","Use to interpret VBR/VPR results and establish what hardware was inside/outside qualification boundary","Do not infer final installed options/accessories merely because they were allowed by the plan","Important for decomposing the pump package beyond the hydraulic casing."
"PXS-U3-RNSMP01B-DOC-007","RNS-MP-01B","APP-MP08-VPR-001 Rev.0","Environmental-qualification report",VERIFIED_PUBLIC,"SRC-0709",RETRIEVAL_REQUIRED,"NRC identifies the MP08 environmental qualification report","Environmental profile; component materials/accessories within EQ boundary; aging; temperature/humidity/radiation limits if applicable; qualification margins; deviations","Promote only configuration-relevant limits and reconcile to installed EQRR","Do not extrapolate qualification environmental limits into normal operating process conditions","Supports environmental/degradation simulation."
"PXS-U3-RNSMP01B-DOC-008","RNS-MP-01B","Q445-014-14-0001 / Q445-014-14-0002 (`PUMPXX` receipt-inspection records)","Receipt inspection / delivered pump population record",VERIFIED_PUBLIC,"SRC-0713",RETRIEVAL_REQUIRED,"NRC reviewed receipt-inspection records for the RNS pump procurement population during 2014 QA inspection","Purchase-order/release line; manufacturer serial; received configuration; packing/preservation; damage/inspection results; nameplate; CoC; NPV/code documents; referenced vendor drawings; receipt disposition","Promote an installed MP-01B identity only if a receipt record is explicitly bridged to MP-01B through turnover/EQRR/site installation records","Do not convert the generic public `PUMPXX` labels into a Pump-B serial or assume the order in the reviewed-document list maps A/B","Potential manufacturing-identity bridge but not yet tag-specific."
"PXS-U3-RNSMP01B-DOC-009","RNS-MP-01B","Final RNS Index-361 EQRR / PCD - exact identifier unresolved","Final installed equipment qualification reconciliation",CORROBORATED_PUBLIC,"SRC-0701",RETRIEVAL_REQUIRED,"MP-01B is explicitly in the RNS completion-plan population and the EQRR process verifies installed identity/location/mounting/interfaces","Exact installed pump/motor/coupling make-model-serial; orientation/location; V1/VDR/datasheet references; anchorage; clearances; electrical/mechanical interfaces; deviations; installation work packages; photographs/sketches","Installed identity and final as-built configuration require the MP-01B final row or an equally explicit turnover/as-built record","Do not guess the PCD number or promote 6X19WD family/receipt serials to installed status","Single highest-value final-state identity record."
"PXS-U3-RNSMP01B-DOC-010","RNS-MP-01B","APP-1215-CE-003 Rev.6","Pump-B anchor-bolt location plan",VERIFIED_PUBLIC,"SRC-0707",RETRIEVAL_REQUIRED,"NRC identifies the dedicated MP-01B anchor-bolt plan at Auxiliary Building Area 5 / Room 112163 / elevation 66 ft 6 in","Anchor count/diameter/coordinates/embedment; template/sleeves; tolerances; base interface; foundation references; as-built survey references","Promote installed anchor geometry only after drawing/site revision and post-disassembly final-state reconciliation","Do not infer anchor pattern or dimensions from the drawing title","Needed for 1:1 mounting geometry and seismic load path."
