record_id,zone,target_object_or_boundary,unit3_tag_or_line,site_drawing_or_isometric,work_package_or_record,support_or_structural_route,evidence_state,source_ids,status,resolved_now,remaining_closure,do_not_infer,notes
"PXS-U3-RNSB-GEO-001","RCS_APPROACH","Common hot-leg suction approach","RNS-L001","SV3-RNS-PLW-013","SV3-RNS-P0W-ME5494","SV3-RNS-PHW-861875",VERIFIED_PUBLIC,"SRC-0608",RETRIEVAL_REQUIRED,"Unit-3 construction inventory explicitly maps ME5494 to PLW-013 on L001 and identifies the associated support-installation package for PLW-013","Recover PLW-013/ME5494/PHW-861875 contents; spool IDs; reducers/elbows/tees; welds; line class/materials; centerline coordinates/elevations; support tags/types/anchors; completion/as-built revision","Do not place V002B on PLW-013; generic topology places L001 upstream of V001","This closes the document route for the common RCS-side approach while preserving the V001/V002 boundary."
"PXS-U3-RNSB-GEO-002","RCS_APPROACH","Additional L001 approach segmentation","RNS-L001","SV3-RNS-PLW-018 / SV3-RNS-PLW-019","SV3-RNS-P0W-ME5496","Support packages unresolved",VERIFIED_PUBLIC,"SRC-0608",RETRIEVAL_REQUIRED,"Unit-3 construction inventory explicitly maps ME5496 to PLW-018/-019 on L001","Recover both isometrics and ME5496; establish physical relationship to PLW-013, the hot-leg connection and V001A/B branches; recover supports and current completion records","Do not infer PLW-018/-019 contain V001B or any V002B hardware until the drawings print those tags","Treat the multiple L001 isometrics as separate spatial segments pending drawing recovery."
"PXS-U3-RNSB-GEO-003","INNER_ISOLATION","Exact V001B placement and joints","RNS-PL-V001B","Current SV3/APP RNS suction isometric sheet unresolved","SV3-RNS-M6-001 / SV3-RNS-M6K-FA201 / M6X line table routes","V001B local supports unresolved",CORROBORATED_PUBLIC,"SRC-0613;SRC-0701",RETRIEVAL_REQUIRED,"V001B identity and its position as the inner series hot-leg suction isolation valve are controlled; L001/L002 lie on its RCS side in the generic design","Recover current Unit-3 P&ID/sketch plus the site isometric that prints V001B; obtain inlet/outlet line numbers, end connections, valve orientation, adjacent spool/weld IDs, supports and coordinates","Do not assign a specific PLW sheet or local L004/L005 line to V001B from generic ordering alone","V001B exact geometry is an independent gate and must not be copied from V002B."
"PXS-U3-RNSB-GEO-004","CONTAINMENT_TRANSITION","V001B-to-V002B pressure-boundary / containment transition","RNS-PL-V001B → RNS-PL-V002B","Current Unit-3 mechanical-penetration/isometric record unresolved","SV3-RNS-M6-001 / SV3-RNS-M6K-FA201","Containment penetration/support records unresolved",CORROBORATED_PUBLIC,"SRC-0613;SRC-0702;SRC-0703",RETRIEVAL_REQUIRED,"Certified design establishes the inner/outer suction isolation functions and V002B containment-isolation role","Recover exact Unit-3 penetration identifier, inside/outside spool arrangement, line transitions, liner/sleeve/embedment, welds, supports, centerline spacing and room/elevation","Do not invent a penetration number or assume V001B and V002B are immediately adjacent without an intervening spool/penetration assembly","Keep functional containment evidence separate from physical penetration geometry."
"PXS-U3-RNSB-GEO-005","OUTER_ISOLATION","Exact V002B inlet/outlet line assignment","SV3-RNS-PL-V002B","Site isometric unresolved; PLW-015 is a candidate only","SV3-RNS-M6K-FA201 / SV3-RNS-M6X-004 / APP-RNS-M6X-004","Local valve/piping supports unresolved",CORROBORATED_PUBLIC,"SRC-0613;SRC-0607;SRC-0608;SRC-0701",RETRIEVAL_REQUIRED,"V002B tag/function is direct and the downstream suction line family is constrained; Unit-3 PLW-015 is known to include L005 but public prose does not print V002B on it","Recover P&ID/sketch/line-table contents and the isometric that explicitly prints V002B; identify both body-end line numbers, joint/weld/flange IDs, valve orientation and supports","Do not assert V002B is on L005 or PLW-015 merely because L005 is a downstream suction-family line and PLW-015 contains L005","This is the central unresolved process-geometry gate for V002B."
"PXS-U3-RNSB-GEO-006","DOWNSTREAM_SUCTION","L005 Unit-3 candidate suction isometric","RNS-PL-L005","SV3-RNS-PLW-015 / APP-RNS-PLW-015 Rev.8","SV3-RNS-P0W-ME5495","SV3-RNS-PHW-861876",VERIFIED_PUBLIC,"SRC-0607;SRC-0608",SEARCH_REQUIRED,"Unit-3 inventory maps PLW-015 under ME5495 to L005 plus L029/L080; NRC independently identifies the APP-RNS-PLW-015 design drawing; a dedicated support package exists for the site isometric","Recover APP/SV3 PLW-015 contents and revision translation; identify train/branch, every tag on L005, spool/fitting/weld/support geometry and coordinates","Do not promote V002B, V005B, V033B, V036B or any relief takeoff onto PLW-015 until printed on the recovered drawing","PLW-015 remains the strongest public candidate for the V001/V002-region geometry but is not yet a tag-placement source."
"PXS-U3-RNSB-GEO-007","DOWNSTREAM_SUCTION","L004B exact site geometry","RNS-L004B","Site isometric unresolved","M6X/P&ID retrieval route","Support package unresolved",CORROBORATED_PUBLIC,"SRC-0606;SRC-0613;SRC-0617",RETRIEVAL_REQUIRED,"Generic certified design places L004B in the V001-to-pump suction family and marks the L004/L005 population as functionally credited","Recover Unit-3 line-table row and site isometric; endpoints, size/class/material, fittings, welds, supports, coordinates and relationship to V001B/V002B","Do not infer L004B is V002B inlet or outlet from the functional-capability split","This row exists so an exact site line can be promoted later without restructuring the graph."
"PXS-U3-RNSB-GEO-008","DOWNSTREAM_SUCTION","L006B convergence geometry","RNS-L006B","Site isometric unresolved","SV3/APP M6X and P&ID routes","SV3-RNS-PH-12Y2060 reconciliation route",CORROBORATED_PUBLIC,"SRC-0612;SRC-0613;SRC-0616;SRC-0705",RETRIEVAL_REQUIRED,"Generic design explicitly terminates L065B common suction and L052B HX-bypass return at L006B; Unit-3 support tag PH-12Y2060 exists and standard design associates its counterpart with L006","Recover Unit-3 L006B isometric and line-table row; junction fitting geometry, branch order, sizes/classes/materials, welds, centerline coordinates and support hardware","Do not infer a tee type/angle or place V002B adjacent to L006B from endpoint relationships or support-number correspondence","L006B is a proven network convergence at design level, but its Unit-3 physical junction is still open."
"PXS-U3-RNSB-GEO-009","DOWNSTREAM_SUCTION","L065B common-suction tie at L006B","RNS-L065B → RNS-L006B","Site isometric unresolved","M6X/P&ID retrieval route","Tie-in support hardware unresolved",CORROBORATED_PUBLIC,"SRC-0616;SRC-0705",RETRIEVAL_REQUIRED,"Generic line table explicitly terminates L065B at L006B","Recover Unit-3 source endpoint/valve lineup, tee/reducer geometry, size/class/material, welds, coordinates and supports","Do not infer current Unit-3 common-suction valve lineup or exact tie location from the generic endpoint alone","Cross-system/common-suction ownership must eventually close the upstream L065B boundary."
"PXS-U3-RNSB-GEO-010","DOWNSTREAM_SUCTION","L052B HX-bypass return at L006B","RNS-L052B → RNS-L006B","Site isometric unresolved","M6X/P&ID retrieval route","Tie-in support hardware unresolved",CORROBORATED_PUBLIC,"SRC-0616;SRC-0705",RETRIEVAL_REQUIRED,"Generic line table explicitly terminates the B heat-exchanger-bypass path at L006B","Recover Unit-3 bypass route, valve/control hardware, tee/reducer geometry, size/class/material, welds, coordinates and supports","Do not place V008B or other bypass hardware solely from the endpoint description","Carry as an independent branch into the suction convergence."
