object_id,name,object_type,quantity,parent_scope,configuration,evidence_state,source_ids,source_locator,status,notes
ELEC-MSU-1,Main step-up transformer phase A,power_transformer,1,main_generator_to_grid,AP1000-DCD-R19-GENERIC,VERIFIED_PUBLIC,SRC-0013,NUREG-1793 Ch.8 Sec.8.2.2,SEED,"Three single-phase main step-up transformers total; actual phase/tag/location/cooling details pending"
ELEC-MSU-2,Main step-up transformer phase B,power_transformer,1,main_generator_to_grid,AP1000-DCD-R19-GENERIC,VERIFIED_PUBLIC,SRC-0013,NUREG-1793 Ch.8 Sec.8.2.2,SEED,
ELEC-MSU-3,Main step-up transformer phase C,power_transformer,1,main_generator_to_grid,AP1000-DCD-R19-GENERIC,VERIFIED_PUBLIC,SRC-0013,NUREG-1793 Ch.8 Sec.8.2.2,SEED,
ELEC-MSU-SPARE,Spare single-phase main transformer,power_transformer,1,main_generator_to_grid,AP1000-DCD-R19-GENERIC,VERIFIED_PUBLIC,SRC-0013,NUREG-1793 Ch.8 Sec.8.2.2,SEED,"Can replace one failed phase; transfer/install hardware pending"
ELEC-UAT-1,Unit auxiliary transformer 1,power_transformer,1,plant_auxiliary_power,AP1000-DCD-R19-GENERIC,VERIFIED_PUBLIC,SRC-0013,NUREG-1793 Ch.8 Sec.8.2.2,SEED,"One of two identical-rating UATs"
ELEC-UAT-2,Unit auxiliary transformer 2,power_transformer,1,plant_auxiliary_power,AP1000-DCD-R19-GENERIC,VERIFIED_PUBLIC,SRC-0013,NUREG-1793 Ch.8 Sec.8.2.2,SEED,"One of two identical-rating UATs"
ELEC-RAT,Reserve auxiliary transformer,power_transformer,1,maintenance_power_source,AP1000-DCD-R19-GENERIC,VERIFIED_PUBLIC,SRC-0013,NUREG-1793 Ch.8 Sec.8.2.2,SEED,"Maintenance source is site-specific; 6.9-kV maintenance power noted in generic evaluation"
DG-STBY-1,Onsite standby diesel generator 1,diesel_generator_set,1,onsite_standby_power,AP1000-DCD-R19-GENERIC,VERIFIED_PUBLIC,SRC-0013;SRC-0014,NUREG-1793 Ch.8 / Ch.9,SEED,"Non-Class 1E/non-safety standby source; complete engine/generator/support-system decomposition required"
DG-STBY-2,Onsite standby diesel generator 2,diesel_generator_set,1,onsite_standby_power,AP1000-DCD-R19-GENERIC,VERIFIED_PUBLIC,SRC-0013;SRC-0014,NUREG-1793 Ch.8 / Ch.9,SEED,
DG-DAY-1,Standby DG 1 fuel-oil day tank,day_tank,1,DG-STBY-1,AP1000-DCD-R19-GENERIC,VERIFIED_PUBLIC,SRC-0014,NUREG-1793 Ch.9 Sec.9.4.10/9.5.1.7j/9.5.9,SEED,"Generic FSER gives total capacity 5678 L / 1500 gal; vault ventilation and fire/drainage interfaces required"
DG-DAY-2,Standby DG 2 fuel-oil day tank,day_tank,1,DG-STBY-2,AP1000-DCD-R19-GENERIC,VERIFIED_PUBLIC,SRC-0014,NUREG-1793 Ch.9 Sec.9.4.10/9.5.1.7j/9.5.9,SEED,"Generic FSER gives total capacity 5678 L / 1500 gal; vault ventilation and fire/drainage interfaces required"
DG-BULK-1,Standby DG 1 bulk fuel-oil storage tank,fuel_storage_tank,1,DG-STBY-1,AP1000-DCD-R19-GENERIC,VERIFIED_PUBLIC,SRC-0014,NUREG-1793 Ch.9 Sec.9.5.9,SEED,"7-day standby-DG supply basis; also interfaces with auxiliary-boiler fuel supply per generic design"
DG-BULK-2,Standby DG 2 bulk fuel-oil storage tank,fuel_storage_tank,1,DG-STBY-2,AP1000-DCD-R19-GENERIC,VERIFIED_PUBLIC,SRC-0014,NUREG-1793 Ch.9 Sec.9.5.9,SEED,"7-day standby-DG supply basis; also interfaces with auxiliary-boiler fuel supply per generic design"
DG-XFER-1,Standby DG 1 diesel-oil transfer module,fuel_transfer_module,1,DG-STBY-1,AP1000-DCD-R19-GENERIC,VERIFIED_PUBLIC,SRC-0014,NUREG-1793 Ch.9 Sec.9.4.10/9.5.9,SEED,"Located in yard; dedicated enclosure/ventilation/heating; contains transfer-pump train details to be decomposed"
DG-XFER-2,Standby DG 2 diesel-oil transfer module,fuel_transfer_module,1,DG-STBY-2,AP1000-DCD-R19-GENERIC,VERIFIED_PUBLIC,SRC-0014,NUREG-1793 Ch.9 Sec.9.4.10/9.5.9,SEED,"Located in yard; dedicated enclosure/ventilation/heating; contains transfer-pump train details to be decomposed"
