record_id,target_tag,model_input_group,required_parameter,engineering_role,public_anchor,evidence_state,source_ids,status,promotion_rule,remaining_retrieval
PXS-U3-RNSV002B-MODEL-001,SV3-RNS-PL-V002B,Valve geometry,"Valve size; seat/port area; stem major/root diameter; thread form/pitch/lead; wedge/stem load geometry","Converts pressure and friction terms into required axial stem load and establishes stem structural capacity and motion per actuator revolution","Westinghouse generic basis identifies the V002A/B design family as 250-mm DN / 10-in flex-wedge gate service; MIDAS publicly models stem geometry/strength terms",UNRESOLVED,SRC-0494;SRC-0497;SRC-0603,RETRIEVAL_REQUIRED,"Do not infer detailed geometry from nominal 10-in size or another Flowserve PV01 valve","Recover V002B/Z0D-116 valve drawing or VDR/setup row; stem/seat/wedge dimensions; stem thread data; valve model; design stem root diameter"
PXS-U3-RNSV002B-MODEL-002,SV3-RNS-PL-V002B,Stem structural inputs,"Stem material; yield strength; unsupported length; orientation; stem torque correction; buckling basis","Supports stem stress/buckling checks and converts actuator torque/thrust without exceeding stem limits","MIDAS revision history explicitly includes stem material yield strength, unsupported length, torque correction factor and minimum design/buckling stem diameter outputs",UNRESOLVED,SRC-0603,RETRIEVAL_REQUIRED,"Do not assign material or allowable stress from another PV01 test article","Recover Flowserve valve drawing/material record and applicable sizing calculation inputs/allowables"
PXS-U3-RNSV002B-MODEL-003,SV3-RNS-PL-V002B,Valve friction methodology,"Open/close design valve factor; stem coefficient of friction/stem factor; seating and unseating friction terms","Controls required gate-valve thrust and handwheel/actuator torque conversion; a principal MOV sizing uncertainty","MIDAS exposes gate-valve factor/COF inputs and outputs; NRC GL 96-05 requires design-basis capability rather than unsupported generic friction assumptions",UNRESOLVED,SRC-0601;SRC-0603,RETRIEVAL_REQUIRED,"Do not use generic Limitorque stem factors or another valve's measured COF as V002B values","Recover APP-PV01-VDR-000001/WCAP-18549 V002B row and its calculation references; identify open/close factors and uncertainty treatment"
PXS-U3-RNSV002B-MODEL-004,SV3-RNS-PL-V002B,Packing and running load,"Packing type/material; ring arrangement; live-load hardware; gland load; measured/calculated packing/running thrust","Separates pressure-driven gate load from persistent stem/packing friction and reconciles static diagnostic running load","NRC documents a PV01 live-load packing-configuration corrective-action chain while the V002B diagnostic package can potentially provide running-load evidence",UNRESOLVED,SRC-0460;SRC-0601;SRC-0602,RETRIEVAL_REQUIRED,"Do not assign GNR-000028 to V002B until the affected-valve roster explicitly includes V002B or the complete V001/V002 set","Recover GNR-000028/CR50054618/CAR80003016 affected population and corrected packing datasheet; recover V002B diagnostic running-load segments"
PXS-U3-RNSV002B-MODEL-005,SV3-RNS-PL-V002B,System load conditions,"Normal/design opening and closing differential pressure; upstream/downstream/line pressure; temperature; flow state","Defines hydraulic load cases for required thrust and pressure-locking/unwedging evaluation","Westinghouse generic V001A/B-V002A/B basis gives 450-psig normal and 600-psig design opening/closing differential pressure; MIDAS models maximum HELB DP and line pressure",CORROBORATED_PUBLIC,SRC-0498;SRC-0603,RECONCILE_TO_CURRENT,"Do not treat the generic 600-psig value as a measured Unit-3 condition or assume the sizing calculation used no additional load cases","Recover current V002B sizing/setup calculation load cases and line pressures/temperatures; reconcile with RNS P&ID and operating/test envelopes"
PXS-U3-RNSV002B-MODEL-006,SV3-RNS-PL-V002B,Operator mechanical train,"Exact Limitorque model/size; overall ratio; worm/worm-gear and intermediate gearing; HBC configuration; efficiency and torque multipliers/derates","Converts motor torque into actuator output torque/thrust and sets mechanical capability/efficiency limits","V002B is directly in the Limitorque qualification family; MIDAS explicitly models HBC efficiency/torque multipliers/derates and SMB gear-set ratios",UNRESOLVED,SRC-0497;SRC-0603,RETRIEVAL_REQUIRED,"Do not select an SB/SMB model or gear ratio from the 3/6/14-in PV01 qualification articles","Recover V002B setup/VDR/EQRR row, actuator nameplate and assembly/setup records"
PXS-U3-RNSV002B-MODEL-007,SV3-RNS-PL-V002B,Spring pack and mechanical torque limit,"Spring-pack curve/source; preload/range; minimum/maximum TSS/torque; OEM recommended and valve/actuator maximum TSS; installed limiter plate","Establishes torque-switch calibration, actuator load indication and mechanical protection limits","MIDAS explicitly tracks custom/generic spring-pack curves, TSS limits, OEM limits and limiter-plate status",UNRESOLVED,SRC-0603,RETRIEVAL_REQUIRED,"Do not infer V002B spring-pack geometry or TSS limits from generic Limitorque actuator literature","Recover actuator setup sheet, spring-pack calibration/test record and V002B T9/Z0C or equivalent data"
PXS-U3-RNSV002B-MODEL-008,SV3-RNS-PL-V002B,Switch control settings,"Open/close torque-switch setting; torque-switch active/bypass flags; limit-switch travel positions; seating mode","Defines electrical-mechanical stop logic and the available/limited thrust at seating and unseating","MIDAS tracks close torque-switch active/bypass logic; NRC MOV guidance emphasizes correct switch settings; V002B has tag-specific PMS/PST records",UNRESOLVED,SRC-0458;SRC-0460;SRC-0601;SRC-0603,RETRIEVAL_REQUIRED,"Do not assign dial settings, bypass range or limit-switch cams from another Limitorque unit","Recover V002B set-point data sheet, setup calculation, switch calibration and synchronized diagnostic contact/travel traces"
PXS-U3-RNSV002B-MODEL-009,SV3-RNS-PL-V002B,Motor characteristics,"Motor manufacturer/model; AC/DC type; nameplate voltage; rated current/horsepower/speed; torque-current curve; temperature derate; starting/running/stall characteristics","Defines prime mover output and electrical demand feeding actuator capability calculations","Current plant architecture resolves a 250-Vdc Class-1E source family while MIDAS BWROG-DC models motor curves, temperature derates and degraded-voltage torque",UNRESOLVED,SRC-0449;SRC-0603;SRC-0604,RETRIEVAL_REQUIRED,"Do not convert 250-Vdc system nominal into a motor nameplate assignment and do not use the 600-V cable rating as motor voltage","Recover V002B motor nameplate/VDR row, vendor motor curve, DK01 load entry and diagnostic current/voltage trace"
PXS-U3-RNSV002B-MODEL-010,SV3-RNS-PL-V002B,DC distribution impedance,"Source minimum voltage; cable length/material/size; cable resistance at design temperature; terminations; fuse/contact resistance; calculated motor-terminal degraded voltage","Couples the Division-B battery/MCC/cable system to available DC motor torque under worst-case conditions","MIDAS BWROG-DC explicitly supports calculated/input cable resistance, voltage pull-down and degraded voltage at the motor; V002B's 4/C 240-kcmil P31Y cable segment is publicly identified",UNRESOLVED,SRC-0449;SRC-0447;SRC-0603;SRC-0604,RETRIEVAL_REQUIRED,"Do not calculate final V002B voltage drop from the known cable size alone because total length, conductor path, source condition and contact/fuse resistance remain unresolved","Recover DK01 branch, complete source-to-motor cable route/length, Appendix-F load/fuse row, voltage-drop calculation and motor-terminal test voltage"
