document_map_id,configuration,document_id,document_title_or_scope,revision_or_status,document_type,system_scope,source_ids,source_locator,evidence_state,status,notes
RCS-CSTR-001,AP1000/VOGTLE,APP-RCS-M6-001,Piping and Instrumentation Diagram Reactor Coolant System,Rev 20 cited,P&ID,RCS,SRC-0211,ML23033A397 document list,VERIFIED_PUBLIC,REFERENCE_FOUND,Use with APP-RCS-M6-002/-003 for current generic topology reconciliation
RCS-CSTR-002,AP1000/VOGTLE,APP-RCS-M6-002,Piping and Instrumentation Diagram Reactor Coolant System,Rev 22 cited,P&ID,RCS,SRC-0211,ML23033A397 document list,VERIFIED_PUBLIC,REFERENCE_FOUND,
RCS-CSTR-003,AP1000/VOGTLE,APP-RCS-M6-003,Piping and Instrumentation Diagram Reactor Coolant System,Rev 17 cited,P&ID,RCS,SRC-0211,ML23033A397 document list,VERIFIED_PUBLIC,REFERENCE_FOUND,
RCS-CSTR-004,AP1000/VOGTLE,APP-PXS-M6-001,Piping and Instrumentation Diagram Passive Core Cooling System,Rev 16 cited,P&ID,PXS/RCS boundary,SRC-0211,ML23033A397 document list,VERIFIED_PUBLIC,REFERENCE_FOUND,Needed to close DVI/ADS/PRHR boundaries
RCS-CSTR-005,AP1000/VOGTLE,APP-PXS-M6-002,Piping and Instrumentation Diagram Passive Core Cooling System,Rev 21 cited,P&ID,PXS/RCS boundary,SRC-0211,ML23033A397 document list,VERIFIED_PUBLIC,REFERENCE_FOUND,
RCS-CSTR-006,AP1000/VOGTLE,APP-PXS-M6-003,Piping and Instrumentation Diagram Passive Core Cooling System,Rev 14 cited,P&ID,PXS/RCS boundary,SRC-0211,ML23033A397 document list,VERIFIED_PUBLIC,REFERENCE_FOUND,
RCS-CSTR-007,AP1000/VOGTLE,APP-RNS-M6-001,Piping and Instrumentation Diagram Normal Residual Heat Removal System,Rev 14 cited,P&ID,RNS/RCS boundary,SRC-0211,ML23033A397 document list,VERIFIED_PUBLIC,REFERENCE_FOUND,Needed to resolve L139 suction and RNS return/isolation topology
RCS-CSTR-008,AP1000/VOGTLE,APP-CVS-M6-001,Piping and Instrumentation Diagram Chemical and Volume Control System,Rev 16 cited,P&ID,CVS/RCS boundary,SRC-0211,ML23033A397 document list,VERIFIED_PUBLIC,REFERENCE_FOUND,Needed to resolve auxiliary spray/charging/letdown/sample/chemistry interfaces
RCS-CSTR-009,VOGTLE-3-CURRENT-PUBLIC,SV3-RCS-M6-001,Piping and Instrumentation Diagram Reactor Coolant System,Rev 7 cited,P&ID,RCS,SRC-0211,ML21041A242 document list,VERIFIED_PUBLIC,REFERENCE_FOUND,Plant-specific revision trail; retain older/later revision history instead of overwriting
RCS-CSTR-010,VOGTLE-3-CURRENT-PUBLIC,SV3-RCS-M6-004,Piping and Instrumentation Diagram Reactor Coolant System,Rev 4 cited,P&ID,RCS,SRC-0212,ML16312A506 design drawing list,VERIFIED_PUBLIC,REFERENCE_FOUND,Fourth RCS sheet identified in plant-specific construction record
RCS-CSTR-011,VOGTLE-3-CURRENT-PUBLIC,SV3-GW-P0-007,AP1000 Specification for Shop Fabricated Piping,Rev 4 cited,fabrication_specification,RCS piping,SRC-0212,ML16312A506 design specification list,VERIFIED_PUBLIC,REFERENCE_FOUND,Controls shop-fabricated piping requirements; underlying content required before assigning generic fabrication details
RCS-CSTR-012,VOGTLE-3-CURRENT-PUBLIC,SV3-GW-P0-008,"AP1000 Specification for Field Fabricated Piping and Installation, ASME III Classes 1/2/3 and ASME B31.1",Rev 4 cited,installation_specification,RCS piping,SRC-0212,ML16312A506 design specification list,VERIFIED_PUBLIC,REFERENCE_FOUND,High-priority source for field joints/install tolerances/installation practices if publicly accessible
RCS-CSTR-013,VOGTLE-3-CURRENT-PUBLIC,SV3-GW-VLR-002,Technical Requirements for Stainless Steels Nickel-Base Alloys Carbon/Low-Alloy Steels and Welding Materials for AP1000,Rev 1 cited,material_specification,RCS pressure boundary,SRC-0212,ML16312A506 design specification list,VERIFIED_PUBLIC,REFERENCE_FOUND,Material acceptance source; do not infer chemistry from title
RCS-CSTR-014,VOGTLE-3-CURRENT-PUBLIC,SV3-GW-VLR-010,AP1000 Supplemental Fabrication and Inspection Requirement,Rev 2 cited,fabrication_inspection_specification,RCS pressure boundary,SRC-0212,ML16312A506 design specification list,VERIFIED_PUBLIC,REFERENCE_FOUND,
RCS-CSTR-015,VOGTLE-3-CURRENT-PUBLIC,SV3-PH02-Z0-001,"AP1000 ASME III Classes 1/2/3 and Seismic Category II Pipe/Tubing/Instrument Rack Supports",Rev 2 cited,support_design_specification,RCS supports,SRC-0212,ML16312A506 design specification list,VERIFIED_PUBLIC,REFERENCE_FOUND,Support families and attachment rules to be extracted if source content becomes public
RCS-CSTR-016,VOGTLE-3-CURRENT-PUBLIC,SV3-PH02-Z0-002,AP1000 ASME III Classes 1/2/3 Pipe Supports/Tubing Supports,Rev 3 cited,support_design_specification,RCS supports,SRC-0212,ML16312A506 design specification list,VERIFIED_PUBLIC,REFERENCE_FOUND,
RCS-CSTR-017,VOGTLE-3-CURRENT-PUBLIC,SV3-PL02-Z0-001,Piping Class Sheets and Standard Details,Rev 5 cited,piping_class_standard,RCS piping,SRC-0212,ML16312A506 design specification list,VERIFIED_PUBLIC,REFERENCE_FOUND,High-priority source for flange/fitting/branch/drain/vent/valve standard details when accessible
RCS-CSTR-018,VOGTLE-3-CURRENT-PUBLIC,SV3-PL02-Z0-101,AP1000 Class 1 Piping and Non-Class 1 Extensions Design Specification,Rev 3 cited,piping_design_specification,RCS pressure boundary,SRC-0212,ML16312A506 design specification list,VERIFIED_PUBLIC,REFERENCE_FOUND,
RCS-CSTR-019,AP1000/VOGTLE,APP-RNS-PLW-09A,RNS Pump MP-01A Suction Lines Auxiliary Building Room 12162,Rev 3 cited,isometric,RNS/RCS boundary,SRC-0212,ML16312A506 document list,VERIFIED_PUBLIC,REFERENCE_FOUND,Resolve RCS suction boundary through to pump A when underlying isometric is obtained
RCS-CSTR-020,AP1000/VOGTLE,APP-RNS-PLW-09B,RNS Pump MP-01B Suction Lines Auxiliary Building Room 12163,Rev 3 cited,isometric,RNS/RCS boundary,SRC-0212,ML16312A506 document list,VERIFIED_PUBLIC,REFERENCE_FOUND,
RCS-CSTR-021,AP1000/VOGTLE,APP-RNS-PLW-141,RNS MP-01A Discharge from Pump to ME-01A,Rev 3 cited,isometric,RNS,SRC-0212,ML16312A506 document list,VERIFIED_PUBLIC,REFERENCE_FOUND,Useful for pump-to-HX train-A topology
RCS-CSTR-022,AP1000/VOGTLE,APP-RNS-PLW-161,RNS MP-01B Discharge from Pump to ME-01B,Rev 3 cited,isometric,RNS,SRC-0212,ML16312A506 document list,VERIFIED_PUBLIC,REFERENCE_FOUND,Useful for pump-to-HX train-B topology
RCS-CSTR-023,AP1000/VOGTLE,APP-RCS-PLW-041,Surge Line Spool Piece 1 Containment Building Rooms 11303/1304,Rev 4 cited,isometric,RCS surge line,SRC-0213,ML20042E292 Section 1A25,VERIFIED_PUBLIC,REFERENCE_FOUND,Exact revision now resolved; supersedes earlier generic revision-unknown note
RCS-CSTR-024,AP1000/VOGTLE,APP-RCS-PLW-042,Surge Line Spool Piece 2 Containment Building Room 11303,Rev 3 cited,isometric,RCS surge line,SRC-0213,ML20042E292 Section 1A25,VERIFIED_PUBLIC,REFERENCE_FOUND,
RCS-CSTR-025,AP1000/VOGTLE,APP-RCS-PLW-043,Surge Line Spool Piece 3 Containment Building Rooms 11303/1304,Rev 4 cited,isometric,RCS surge line,SRC-0213,ML20042E292 Section 1A25,VERIFIED_PUBLIC,REFERENCE_FOUND,
RCS-CSTR-026,AP1000/VOGTLE,APP-RCS-PH-11V01011,Pipe Support Drawing RCS System RCS-PH-11V0101,Rev 3 cited,pipe_support_drawing,RCS surge line,SRC-0213,ML20042E292 Section 1A25,VERIFIED_PUBLIC,REFERENCE_FOUND,Exact support geometry/member/attachment schedule requires drawing content
RCS-CSTR-027,VOGTLE-4-CURRENT-PUBLIC,SV4-RCS-PLW-033,PRHR Supply Line Containment Building Room 11303,Rev 3 cited,isometric,RCS/PXS PRHR,SRC-0213,ML20315A455 document list,VERIFIED_PUBLIC,REFERENCE_FOUND,Plant-specific line geometry source
RCS-CSTR-028,VOGTLE-4-CURRENT-PUBLIC,SV4-RCS-PLW-034,PRHR Supply Line Containment Building Rooms 11303/11500,Rev 2 cited,isometric,RCS/PXS PRHR,SRC-0213,ML20315A455 document list,VERIFIED_PUBLIC,REFERENCE_FOUND,Associated weld data sheet publicly referenced
