record_id,penetration_id,unit3_tag_or_record,function_state,hardware_or_record,evidence_state,source_ids,status,resolved_now,remaining_closure,do_not_infer,notes
"PXS-U3-RNSPEN-001","P19","SV3-RNS-PY-C01","SUCTION_SIDE_FUNCTION_BRIDGED_FROM_UNIT4","Containment piping penetration assembly",VERIFIED_PUBLIC,"SRC-0725;SRC-0726",ACTIVE,"Unit 3 directly identifies SV3-RNS-PY-C01 as P19; homologous Unit 4 evidence identifies P19 as RCS-to-RHR-pump outlet, i.e. the RNS hot-leg-suction penetration family","Recover Unit-3 M6-003/V1-016 and applicable isometric to connect P19 to V001B/V002B, print exact line number, azimuth, elevation and room/interface geometry","Do not copy Unit-4 measured coordinates or call Unit-4 walkdown evidence Unit-3 as-built","P19 is now the controlled candidate penetration for the V002B suction containment transition, but exact valve-to-penetration geometry remains open."
"PXS-U3-RNSPEN-002","P20","SV3-RNS-PY-C02","DISCHARGE_SIDE_FUNCTION_BRIDGED_FROM_UNIT4","Containment piping penetration assembly",VERIFIED_PUBLIC,"SRC-0725;SRC-0726",NON_SUCTION_BOUNDARY,"Unit 3 directly identifies SV3-RNS-PY-C02 as P20; homologous Unit 4 evidence identifies P20 as RHR-pump-to-RCS inlet / discharge-side penetration","Recover Unit-3 discharge P&ID/isometric and V1-016 geometry for later discharge reconstruction","Do not use P20 to place V002B or the hot-leg suction isolation valves","This explicitly removes P20 from the V002B containment-transition candidate set."
"PXS-U3-RNSPEN-003","P19","SV3-RNS-MLK-881065","N/A","P19 weld map",VERIFIED_PUBLIC,"SRC-0725",RETRIEVAL_REQUIRED,"NRC identifies the Unit-3 P19 weld map by exact document number","Recover map contents, weld locations, dimensions, materials, spool/sleeve interfaces and drawing references","Do not invent weld orientation or distances from the map title","Primary fabrication map for decomposing the P19 pressure boundary."
"PXS-U3-RNSPEN-004","P19","SV3-RNS-PY-C01-1","N/A","Sleeve extension to penetration sleeve — pressure-boundary weld",VERIFIED_PUBLIC,"SRC-0725",ACTIVE,"NRC explicitly identifies weld C01-1 and both joined components; weld is pressure boundary","Recover WDS/NDE geometry, weld process, dimensions, materials/heat numbers and exact location from weld map","Do not infer groove geometry or material specification from component names alone","Physical P19 pressure-boundary joint 1."
"PXS-U3-RNSPEN-005","P19","SV3-RNS-PY-C01-2","N/A","Guard pipe to penetration sleeve — pressure-boundary weld",VERIFIED_PUBLIC,"SRC-0725",ACTIVE,"NRC explicitly identifies weld C01-2 and joined components; weld is pressure boundary","Recover WDS/NDE geometry, weld process, dimensions, materials/heat numbers and exact location","Do not assume the guard pipe is the process pipe or assign V002B-side spool geometry","Physical P19 pressure-boundary joint 2."
"PXS-U3-RNSPEN-006","P19","SV3-RNS-PY-C01-3","N/A","Flued head to guard pipe — pressure-boundary weld",VERIFIED_PUBLIC,"SRC-0725",ACTIVE,"NRC explicitly identifies weld C01-3 and joined components; weld is pressure boundary","Recover flued-head drawing, WDS/NDE geometry, dimensions, materials and shell-interface relation","Do not infer flued-head contour/thickness or guard-pipe length without drawing recovery","Physical P19 pressure-boundary joint 3."
"PXS-U3-RNSPEN-007","P19","V-16-RT-301-0242 / -0246 / -0254","N/A","Radiography/NDE record family",VERIFIED_PUBLIC,"SRC-0725",RETRIEVAL_REQUIRED,"NRC lists multiple Unit-3 P19 radiography records including sleeve-extension penetration work","Recover report-to-weld mapping, acceptance results, indications/dispositions and film/digital record identifiers","Do not infer all three RT reports apply to all three P19 welds","NDE evidence route for eventual weld-level digital twin QA metadata."
"PXS-U3-RNSPEN-008","P19","SV3-ML10-V6-003 Rev.1","N/A","AP1000 flued-head detail drawing for P19",VERIFIED_PUBLIC,"SRC-0725",RETRIEVAL_REQUIRED,"NRC explicitly identifies the Unit-3 P19 flued-head detail drawing","Recover flued-head dimensions, thicknesses/radii, materials, weld prep and attachment geometry","Do not substitute generic ML10 dimensions or another penetration's flued head","Preferred P19 local-detail drawing."
"PXS-U3-RNSPEN-009","P19/P20","SV3-1100-P0-906 Rev.0","N/A","Steel containment vessel mechanical penetration details",VERIFIED_PUBLIC,"SRC-0725",RETRIEVAL_REQUIRED,"NRC identifies the site mechanical-penetration detail drawing in the reviewed P19/P20 construction set","Recover applicable detail callouts and determine which detail numbers govern P19/P20","Do not assume every detail applies to P19","Site structural/mechanical interface route."
"PXS-U3-RNSPEN-010","P19/P20","SV3-MV50-V2-062 Rev.1","N/A","Containment vessel penetration sleeve extensions",VERIFIED_PUBLIC,"SRC-0725",RETRIEVAL_REQUIRED,"NRC identifies the sleeve-extension assembly drawing in the reviewed penetration set","Recover P19/P20 applicable sleeve-extension configuration, dimensions, materials and attachment features","Do not assume P19 and P20 share identical extension geometry","Needed to connect weld-map components to the containment shell assembly."
