record_id,assembly_zone,object_tag_or_boundary,object_type,function_or_connection,configuration,evidence_state,source_ids,source_locator,status,resolved_now,remaining_closure,do_not_infer,notes
"PXS-U3-RNSP19-001","PENETRATION_IDENTITY","SV3-RNS-PY-C01 / P19","Containment mechanical penetration assembly","Carries the common RNS suction path from the RCS side through the steel containment vessel toward the outside-containment suction header","VOGTLE-3-DIRECT","VERIFIED_PUBLIC","SRC-0730;SRC-0732","ML17044A539; SV3-RNS-MLW-860363","ACTIVE","Unit-3 penetration identity is closed as P19 / SV3-RNS-PY-C01, service RCS to RHR Pump Out","Exact process-pipe line number through P19; nominal size/schedule; centerline azimuth/elevation; spool endpoints; final turnover status","Do not call P19 a dedicated B-train or V002B penetration; U.S. topology shows the A/B RCS-boundary branches recombine to a common suction header before the containment crossing","P19 is a common-header assembly shared by the suction network."
"PXS-U3-RNSP19-002","UPSTREAM_TOPOLOGY","V001A/B + V002A/B parallel RCS-boundary branches → common suction header","Process topology boundary","Combines the two parallel RCS hot-leg suction isolation paths into the common suction header upstream of the containment crossing","AP1000-US-DESIGN","CORROBORATED_PUBLIC","SRC-0733;SRC-0714","NUREG-1793 Ch.5; Westinghouse suction spatial basis","TOPOLOGY_RESOLVED_GEOMETRY_OPEN","U.S. design text explicitly places two parallel two-MOV suction paths inside containment and states that the two lines connect to a common suction header","Exact Unit-3 combining fitting/header spool; V002A and V002B outlet line numbers; branch lengths; fitting type/angles; welds/supports/coordinates","Do not model V002A and V002B as two separate containment penetrations and do not attach P19 directly to the body outlet of V002B without the site isometric","This corrects the earlier simplified B-train-only transition model."
"PXS-U3-RNSP19-003","UPSTREAM_TOPOLOGY","RNS-PL-V002B → common suction header","B-side branch-to-common-header interface","Transfers B-side hot-leg suction flow from the outer RCS-boundary MOV into the common suction header before P19","VOGTLE-3-TAG_PLUS_US_DESIGN","CORROBORATED_PUBLIC","SRC-0702;SRC-0733","AP1000 R19 V002B functional basis; NUREG-1793 Ch.5 topology","RETRIEVAL_REQUIRED","V002B is the outer B-side RCS-boundary/containment-isolation MOV and its branch joins the common suction header before the containment crossing","Exact V002B outlet line number; junction line/header identifier; spool length; reducer/tee; welds; supports; orientation; distance to P19","Do not equate outer with immediately adjacent to the shell and do not assign L005/L004/L006 as the outlet line without the Unit-3 P&ID/isometric","P19 identity is closed, but V002B-to-P19 local geometry remains open."
"PXS-U3-RNSP19-004","PRESSURE_BOUNDARY_WELD","SV3-RNS-PY-C01-1","Containment penetration pressure-boundary weld","Joins P19 sleeve extension to penetration sleeve","VOGTLE-3-DIRECT","VERIFIED_PUBLIC","SRC-0730;SRC-0731","ML17044A539","ACTIVE","Weld ID and joint description are direct; NRC identifies it as a pressure-boundary weld and reviewed final radiography on the inside-containment side","Base-metal specification/heat per side; weld process/WPS; filler heat; dimensions; welder; complete RT/PT/VT results; repair history","Do not map unrelated CMTRs in the inspection report to this weld without the weld-data-sheet/material-traceability bridge","Recover weld data sheet and weld map before assigning materials."
"PXS-U3-RNSP19-005","PRESSURE_BOUNDARY_WELD","SV3-RNS-PY-C01-2","Containment penetration pressure-boundary weld","Joins P19 guard pipe to penetration sleeve","VOGTLE-3-DIRECT","VERIFIED_PUBLIC","SRC-0730;SRC-0731","ML17044A539","ACTIVE","Weld ID and joint description are direct; NRC identifies it as a pressure-boundary weld and reviewed final radiography on the outside-containment side","Base-metal specification/heat; WPS; filler; dimensions; welder; full NDE results; repairs; exact axial location","Do not reinterpret this weld as the process-pipe-to-sleeve joint or transfer P20/P22 material records","The guard-pipe relationship is explicit."
"PXS-U3-RNSP19-006","PRESSURE_BOUNDARY_WELD","SV3-RNS-PY-C01-3","Containment penetration pressure-boundary weld","Joins P19 flued head to guard pipe","VOGTLE-3-DIRECT","VERIFIED_PUBLIC","SRC-0730;SRC-0731","ML17044A539","ACTIVE","Weld ID and flued-head-to-guard-pipe pressure-boundary joint are direct","Base-metal specification/heat; WPS/filler; dimensions; welder; NDE result and report linkage; repair history","Do not assume the same NDE report or filler heat as weld -1/-2 without the record bridge","This is a separate physical joint from the sleeve-extension and guard-pipe-to-sleeve welds."
"PXS-U3-RNSP19-007","PENETRATION_HARDWARE","P19 penetration sleeve","Containment vessel penetration sleeve","Primary steel sleeve component through the containment-vessel penetration assembly","VOGTLE-3-DRAWING_ROUTE","VERIFIED_PUBLIC","SRC-0731;SRC-0734","SV3-1100-P0-906; SV3-MV50-V1-019; SV3-MV50-V1-018","REFERENCE_FOUND","Controlled Unit-3 drawing families for the sleeve/ring assembly are identified","OD/ID/wall thickness; length; material specification/heat; flange/ring geometry; coordinates; fabrication serial; inspection record","Do not use generic penetration sleeve dimensions or another P-number as P19 dimensions","Model as an explicit part, not merely a hole in the containment shell."
"PXS-U3-RNSP19-008","PENETRATION_HARDWARE","P19 sleeve extension","Containment penetration sleeve-extension component","Extends the penetration sleeve and forms pressure-boundary weld -1 to the penetration sleeve","VOGTLE-3-DRAWING_ROUTE","VERIFIED_PUBLIC","SRC-0730;SRC-0731","SV3-MV50-V2-062; ML17044A539","REFERENCE_FOUND","Sleeve-extension object and drawing family are directly established","Dimensions; material/heat; end preparation; internal/external orientation; support/restraint; fabrication and installation records","Do not infer sleeve-extension length/material from another mechanical penetration","Weld -1 provides the direct assembly relationship."
"PXS-U3-RNSP19-009","PENETRATION_HARDWARE","P19 guard pipe","Containment penetration guard-pipe component","Mechanical penetration pressure-boundary member joined to the penetration sleeve and flued head","VOGTLE-3-DIRECT_RELATIONSHIP","VERIFIED_PUBLIC","SRC-0730;SRC-0731","ML17044A539; SV3-1100-P0-906","REFERENCE_FOUND","Guard pipe is directly identified through welds -2 and -3","OD/ID/wall; length; material/heat; exact relation to process pipe; clearances; supports; fabrication/NDE","Do not call the guard pipe the RNS process pipe or assign its dimensions to the suction header","Guard pipe and process pipe remain separate physical objects."
"PXS-U3-RNSP19-010","PENETRATION_HARDWARE","P19 flued head","Containment-vessel flued-head component","Forms the steel containment vessel penetration transition and joins the guard pipe at weld -3","VOGTLE-3-DRAWING_ROUTE","VERIFIED_PUBLIC","SRC-0730;SRC-0731","SV3-ML10-V6-003 Rev.1","REFERENCE_FOUND","Dedicated Unit-3 P19 flued-head detail drawing identity is public","Flued-head diameter/profile/thickness; material/heat; forming details; shell attachment geometry; tolerances; final survey/NDE","Do not copy P22 or other flued-head geometry to P19","SV3-ML10-V6-003 is the preferred exact geometry source."
