record_id,target,evidence_state,source_ids,status,resolved_now,remaining_closure,promotion_rule,do_not_infer,notes
"PXS-U3-RNS-V020-001","RNS-PL-V020 plant identity and final function",VERIFIED_PUBLIC,"SRC-0735;SRC-0736;SRC-0738;SRC-0752",FINAL_CONFIGURATION_IDENTITY,"V020 is the added Vogtle 1-in RNS hot-leg suction LTOP relief valve installed in parallel with existing 3-in V021; it is ASME Section III Class 2, lower-capacity and lower-setpoint than V021, and associated piping changes reduced inlet losses","Exact commodity code; datasheet; manufacturer/model; serial; inlet/outlet rating; materials; spring/trim; certified capacity/set pressure; code-data package; branch geometry","Promote hardware identity only from a tag-specific controlled document, purchase/receipt record, EQ reconciliation, NV-1/code-data report or installed-valve record","Do not infer manufacturer/model/commodity from V021, nominal size or shared LTOP function","Functional identity is strong; hardware identity remains open."
"PXS-U3-RNS-V020-002","PV16 auxiliary-relief-valve commodity family as V020 candidate",CORROBORATED_PUBLIC,"SRC-0757;SRC-0758",CANDIDATE_NOT_BRIDGED,"PV16 is the controlled AP1000 auxiliary-relief-valve family containing V021 and multiple other safety-related relief valves; its late document population remained active after the V020 amendment","A direct V020-to-PV16 mapping in EQRR, datasheet report, procurement, code-data or completion records","Promote PV16 as V020's commodity only after an explicit V020 tag bridge is recovered","Do not assume V020 is PV16 because V021 is PV16 or because both are RNS relief valves","Search PV16 first because it is plausible and document-rich, but keep other commodity/procurement routes open."
"PXS-U3-RNS-V020-003","APP-PV16-Z0D-211 Rev.1 candidate datasheet",CORROBORATED_PUBLIC,"SRC-0757",UNASSIGNED_CANDIDATE,"NRC's 2020 PV16 reviewed-document population includes Datasheet 211 Rev.1 dated 6-Oct-2016 without printing a component tag in the reviewed-document list","Datasheet 211 title/content; covered valve tag(s); revisions after 2016; application report; QME-1 report; procurement/code-data bridge","Assign Datasheet 211 to V020 only if its contents or a controlled cross-reference explicitly names V020 or links its installed serial/configuration","Do not infer V020 applicability from the otherwise-unassigned datasheet number; its date predates the plant-specific V020 addition but does not by itself prove inclusion or exclusion","This is a search lead, not an installed-design result."
"PXS-U3-RNS-V020-004","APP-PV16-Z0D-105",VERIFIED_PUBLIC,"SRC-0716;SRC-0739;SRC-0757;SRC-0758",EXCLUDED_FROM_V020_BY_DIRECT_TAG_MAPPING,"NRC directly maps Datasheet 105 to RNS-PL-V021 and its QME-1 qualification route","No V020 closure; retain only as V021 evidence and as a comparator when interpreting the dual-relief change","Do not assign Z0D-105 to V020 unless a later controlled revision explicitly expands its applicability to V020, which has not been found publicly","Do not duplicate V021 hardware/settings onto V020","Direct tag mapping overrides functional similarity."
"PXS-U3-RNS-V020-005","PV16 sampled datasheets 102/104/106/107/108",VERIFIED_PUBLIC,"SRC-0758",EXCLUDED_FROM_V020_BY_DIRECT_SAMPLED_TAG_MAPPING,"NRC maps Z0D-102 to SFS-PL-V067, Z0D-104 to PXS-PL-V022A, Z0D-106 to CCS-PL-V220, Z0D-107 to VES-PL-V040A and Z0D-108 to VWS-PL-V080","Any later multi-tag applicability would require a controlled revision/application record; none is currently recovered for V020","Keep these as known-tag PV16 references, not V020 candidates unless a later explicit applicability statement is found","Do not choose a datasheet merely because its nominal relief-valve size appears compatible with V020","This reduces the plausible PV16 datasheet search space."
"PXS-U3-RNS-V020-006","PV16 AG-Crosby calculation/model pool",CORROBORATED_PUBLIC,"SRC-0758",MODEL_POOL_NOT_TAGGED,"PV16 inspection records identify AG-Crosby calculations for 1x1 Style 951, 1x1 Style 861, 3x4 JLT-JBS-E-75 and 1x2 JOS-E-75 relief-valve designs within the generic qualification population","Exact datasheet-to-model application matrix and V020 tag/serial bridge","Promote a model only when the V020-applicable datasheet/application report or installed/code-data record identifies it","Do not select a 1x1 model solely because V020 is described as a 1-in valve; nominal valve description is insufficient to resolve inlet/outlet combination or model","This is a bounded vendor/model candidate population, not a final selection."
"PXS-U3-RNS-V020-007","PV16 master design/data-sheet/report route",CORROBORATED_PUBLIC,"SRC-0757;SRC-0758",ACTIVE_RETRIEVAL_ROUTE,"Candidate controlled records include APP-PV16-Z0-001 master design specification, APP-PV16-Z0R-001 valve data-sheet report, APP-PV16-VBR-001/-002 qualification package and APP-PV16-VMM-001 technical manual","Search the master/data-sheet report for V020, Datasheet 211 applicability, post-LAR revisions, change notices and exact vendor/model/application references","Use master-family documents only to narrow the search; exact V020 values require a tag-applicable row/datasheet or installed record","Do not promote generic PV16 material/dimension/model ranges as V020-specific","The data-sheet report may be the most efficient document-index route if accessible."
"PXS-U3-RNS-V020-008","LDCR-2017-114 implementation bridge",VERIFIED_PUBLIC,"SRC-0740;SRC-0752",RETRIEVAL_REQUIRED,"The licensing-document change titled Change to RNS Suction Relief Valve Design Parameters postdates the V020 amendment implementation and is likely to identify affected calculations/datasheets or parameter revisions","Complete LDCR attachment/cross-reference list; affected PV16 or other commodity documents; design-change package; calculation revision; parameter table","Promote a commodity/datasheet association if the LDCR or its controlled references explicitly link V020 to that document family","Do not assume every changed RNS relief parameter applies to both V020 and V021","This is the highest-leverage configuration-change route to the new valve's document identity."
"PXS-U3-RNS-V020-009","V020 NV-1 / ASME code-data route",CORROBORATED_PUBLIC,"SRC-0754;SRC-0755;SRC-0756",RETRIEVAL_REQUIRED,"The LTOP ITAAC closure method requires vendor/code-plate and NV-1 code-data evidence for relief-valve capacity/opening-pressure qualification; final Unit-3 applicability must be separated from the shared Units 3/4 ICNs","Unit-3 V020 serial; NV-1 report number; code plate; manufacturer/model; certified capacity; set-pressure test; test tolerance/cycles; applicable datasheet","Treat an NV-1 report as V020 evidence only when the tag/serial/install bridge is explicit and Unit 3 is identified","Do not treat shared ICN accessions or pilot XXX/YYY placeholders as V020 code-data identifiers","This route can potentially close manufacturer/model/serial and numerical performance simultaneously."
"PXS-U3-RNS-V020-010","V020 procurement/receipt/final-data package",UNRESOLVED,"SRC-0735;SRC-0752",SEARCH_REQUIRED,"A new plant-specific relief valve required procurement/manufacturing/receipt/configuration records even if it reused an existing AP1000 commodity design","Westinghouse/SNC purchase order; supplier submittal; receipt inspection; ASME N/NV report; certificate of conformance; serial/nameplate; material certificates; shop test; storage/installation package","Promote exact vendor and production identity only from controlled procurement/receipt/final-data evidence","Do not infer supplier from generic PV16 calculations or from V021 without a purchase-order/tag bridge","Search change-package and vendor-document indexes around the 2017-2019 implementation window."
