record_id,train,path_group,sequence_index,tag_or_mark,component_name,component_type,normal_or_standby_state,function,upstream_scope,downstream_scope,configuration,evidence_state,source_ids,source_locator,status,notes
CMT-TOPO-A-001,A,discharge_parallel_branch_1,1,PXS-PL-V014A,CMT A discharge isolation valve AOV 1,air_operated_globe_valve,normally closed / fail open,First of two redundant parallel CMT A discharge isolation branches,CMT A bottom outlet,parallel-branch recombination,AP1000-DCD-R19-GENERIC,VERIFIED_PUBLIC,SRC-0402;SRC-0420,DCD R19 FMEA / COL Table 3.7-1,ACTIVE,Exact spool geometry unresolved
CMT-TOPO-A-002,A,discharge_parallel_branch_2,1,PXS-PL-V015A,CMT A discharge isolation valve AOV 2,air_operated_globe_valve,normally closed / fail open,Second redundant parallel CMT A discharge isolation branch,CMT A bottom outlet,parallel-branch recombination,AP1000-DCD-R19-GENERIC,VERIFIED_PUBLIC,SRC-0402;SRC-0419;SRC-0420,DCD R19 / Unit-3 valve testing / COL Table 3.7-1,ACTIVE,
CMT-TOPO-A-003,A,common_discharge,1,PXS-PL-V016A,CMT A discharge check valve 1,in_line_nozzle_check_valve,normally open,First of two series CMT A discharge checks,parallel-branch recombination,PXS-PL-V017A,AP1000-DCD-R19-GENERIC,VERIFIED_PUBLIC,SRC-0417;SRC-0424,NRC Unit-3 qualification / DCP 864,ACTIVE,Current nozzle-check design supersedes early tilt-disc description
CMT-TOPO-A-004,A,common_discharge,2,PXS-PL-V017A,CMT A discharge check valve 2,in_line_nozzle_check_valve,normally open,Second of two series CMT A discharge checks,PXS-PL-V016A,CMT A tuned discharge / DVI interface,AP1000-DCD-R19-GENERIC,VERIFIED_PUBLIC,SRC-0402;SRC-0420;SRC-0424,DCD R19 / COL Table 3.7-1 / DCP 864,ACTIVE,Exact tuning-orifice position relative to checks remains unresolved until current isometric retrieval
CMT-TOPO-B-001,B,discharge_parallel_branch_1,1,PXS-PL-V014B,CMT B discharge isolation valve AOV 1,air_operated_globe_valve,normally closed / fail open,First of two redundant parallel CMT B discharge isolation branches,CMT B bottom outlet,parallel-branch recombination,AP1000-DCD-R19-GENERIC,VERIFIED_PUBLIC,SRC-0402;SRC-0420,DCD R19 FMEA / COL Table 3.7-1,ACTIVE,
CMT-TOPO-B-002,B,discharge_parallel_branch_2,1,PXS-PL-V015B,CMT B discharge isolation valve AOV 2,air_operated_globe_valve,normally closed / fail open,Second redundant parallel CMT B discharge isolation branch,CMT B bottom outlet,parallel-branch recombination,AP1000-DCD-R19-GENERIC,VERIFIED_PUBLIC,SRC-0402;SRC-0420,DCD R19 / COL Table 3.7-1,ACTIVE,
CMT-TOPO-B-003,B,common_discharge,1,PXS-PL-V016B,CMT B discharge check valve 1,in_line_nozzle_check_valve,normally open,First of two series CMT B discharge checks,parallel-branch recombination,PXS-PL-V017B,VOGTLE-3-CURRENT-PUBLIC,VERIFIED_PUBLIC,SRC-0424;SRC-0425,DCP 864 / Unit-3 installed V016B work-package evidence,ACTIVE,
CMT-TOPO-B-004,B,common_discharge,2,PXS-PL-V017B,CMT B discharge check valve 2,in_line_nozzle_check_valve,normally open,Second of two series CMT B discharge checks,PXS-PL-V016B,CMT B tuned discharge / DVI interface,AP1000-DCD-R19-GENERIC,VERIFIED_PUBLIC,SRC-0402;SRC-0420;SRC-0424,DCD R19 / COL Table 3.7-1 / DCP 864,ACTIVE,
CMT-TEST-A-250,A,check_test_hardware,,PXS-PL-V250A,CMT A check valve test valve,manual_test_valve,normally isolated,One of three 1-in manual test valves added by DCP 864 for CMT A discharge checks,CMT A discharge check test branch,test/vent connection,AP1000-DCD-R19-GENERIC,VERIFIED_PUBLIC,SRC-0424,DCP 864 NRC inspection,ACTIVE,Exact attachment to V016A/V017A and vent/test destination held unresolved until current isometric is retrieved
CMT-TEST-A-251,A,check_test_hardware,,PXS-PL-V251A,CMT A check valve test valve,manual_test_valve,normally isolated,One of three 1-in manual test valves added by DCP 864 for CMT A discharge checks,CMT A discharge check test branch,test/vent connection,AP1000-DCD-R19-GENERIC,VERIFIED_PUBLIC,SRC-0424,DCP 864 NRC inspection,ACTIVE,
CMT-TEST-A-252,A,check_test_hardware,,PXS-PL-V252A,CMT A check valve test valve,manual_test_valve,normally isolated,One of three 1-in manual test valves added by DCP 864 for CMT A discharge checks,CMT A discharge check test branch,test/drain connection,AP1000-DCD-R19-GENERIC,VERIFIED_PUBLIC,SRC-0424,DCP 864 NRC inspection,ACTIVE,
CMT-TEST-B-250,B,check_test_hardware,,PXS-PL-V250B,CMT B check valve test valve,manual_test_valve,normally isolated,One of three 1-in manual test valves added by DCP 864 for CMT B discharge checks,CMT B discharge check test branch,test/vent connection,AP1000-DCD-R19-GENERIC,VERIFIED_PUBLIC,SRC-0424,DCP 864 NRC inspection,ACTIVE,
CMT-TEST-B-251,B,check_test_hardware,,PXS-PL-V251B,CMT B check valve test valve,manual_test_valve,normally isolated,One of three 1-in manual test valves added by DCP 864 for CMT B discharge checks,CMT B discharge check test branch,test/vent connection,AP1000-DCD-R19-GENERIC,VERIFIED_PUBLIC,SRC-0424,DCP 864 NRC inspection,ACTIVE,
CMT-TEST-B-252,B,check_test_hardware,,PXS-PL-V252B,CMT B check valve test valve,manual_test_valve,normally isolated,One of three 1-in manual test valves added by DCP 864 for CMT B discharge checks,CMT B discharge check test branch,test/drain connection,AP1000-DCD-R19-GENERIC,VERIFIED_PUBLIC,SRC-0424,DCP 864 NRC inspection,ACTIVE,
