connection_id,from_port_id,to_port_id,connection_class,service_or_medium,nominal_size,evidence_state,source_ids,source_locator,status,notes
RCS-CONN-001,RCS-RV-OUT-L1,RCS-HL-1-IN,pressure_boundary_joint,reactor coolant,31 in ID,VERIFIED_PUBLIC,SRC-0011,NUREG-1793 Ch.5 Sec.5.1.3.4 p.5-5,FOUNDATION,Exact weld geometry/identifier pending
RCS-CONN-002,RCS-HL-1-OUT,RCS-SG-1-PRI-IN,pressure_boundary_joint,reactor coolant,31 in ID,VERIFIED_PUBLIC,SRC-0011,NUREG-1793 Ch.5 Sec.5.1.3.4 p.5-5,FOUNDATION,Exact weld geometry/identifier pending
RCS-CONN-003,RCS-RV-OUT-L2,RCS-HL-2-IN,pressure_boundary_joint,reactor coolant,31 in ID,VERIFIED_PUBLIC,SRC-0011,NUREG-1793 Ch.5 Sec.5.1.3.4 p.5-5,FOUNDATION,Exact weld geometry/identifier pending
RCS-CONN-004,RCS-HL-2-OUT,RCS-SG-2-PRI-IN,pressure_boundary_joint,reactor coolant,31 in ID,VERIFIED_PUBLIC,SRC-0011,NUREG-1793 Ch.5 Sec.5.1.3.4 p.5-5,FOUNDATION,Exact weld geometry/identifier pending
RCS-CONN-005,RCS-SG-1-RCP-1A-OUT,RCS-RCP-1A-SUCT,direct_welded_equipment_interface,reactor coolant,,VERIFIED_PUBLIC,SRC-0011,NUREG-1793 Ch.5 Sec.5.1.3.3-5.1.3.4 p.5-5,FOUNDATION,RCP suction integrated with bottom of SG channel head; exact weld/nozzle details pending
RCS-CONN-006,RCS-SG-1-RCP-1B-OUT,RCS-RCP-1B-SUCT,direct_welded_equipment_interface,reactor coolant,,VERIFIED_PUBLIC,SRC-0011,NUREG-1793 Ch.5 Sec.5.1.3.3-5.1.3.4 p.5-5,FOUNDATION,RCP suction integrated with bottom of SG channel head; exact weld/nozzle details pending
RCS-CONN-007,RCS-SG-2-RCP-2A-OUT,RCS-RCP-2A-SUCT,direct_welded_equipment_interface,reactor coolant,,VERIFIED_PUBLIC,SRC-0011,NUREG-1793 Ch.5 Sec.5.1.3.3-5.1.3.4 p.5-5,FOUNDATION,RCP suction integrated with bottom of SG channel head; exact weld/nozzle details pending
RCS-CONN-008,RCS-SG-2-RCP-2B-OUT,RCS-RCP-2B-SUCT,direct_welded_equipment_interface,reactor coolant,,VERIFIED_PUBLIC,SRC-0011,NUREG-1793 Ch.5 Sec.5.1.3.3-5.1.3.4 p.5-5,FOUNDATION,RCP suction integrated with bottom of SG channel head; exact weld/nozzle details pending
RCS-CONN-009,RCS-RCP-1A-DISCH,RCS-CL-1A-IN,pressure_boundary_joint,reactor coolant,22 in ID,VERIFIED_PUBLIC,SRC-0011,NUREG-1793 Ch.5 Sec.5.1.3.4 p.5-5,FOUNDATION,Exact weld geometry/identifier pending
RCS-CONN-010,RCS-CL-1A-OUT,RCS-RV-IN-L1A,pressure_boundary_joint,reactor coolant,22 in ID,VERIFIED_PUBLIC,SRC-0011,NUREG-1793 Ch.5 Sec.5.1.3.4 p.5-5,FOUNDATION,Exact weld geometry/identifier pending
RCS-CONN-011,RCS-RCP-1B-DISCH,RCS-CL-1B-IN,pressure_boundary_joint,reactor coolant,22 in ID,VERIFIED_PUBLIC,SRC-0011,NUREG-1793 Ch.5 Sec.5.1.3.4 p.5-5,FOUNDATION,Exact weld geometry/identifier pending
RCS-CONN-012,RCS-CL-1B-OUT,RCS-RV-IN-L1B,pressure_boundary_joint,reactor coolant,22 in ID,VERIFIED_PUBLIC,SRC-0011,NUREG-1793 Ch.5 Sec.5.1.3.4 p.5-5,FOUNDATION,Exact weld geometry/identifier pending
RCS-CONN-013,RCS-RCP-2A-DISCH,RCS-CL-2A-IN,pressure_boundary_joint,reactor coolant,22 in ID,VERIFIED_PUBLIC,SRC-0011,NUREG-1793 Ch.5 Sec.5.1.3.4 p.5-5,FOUNDATION,Exact weld geometry/identifier pending
RCS-CONN-014,RCS-CL-2A-OUT,RCS-RV-IN-L2A,pressure_boundary_joint,reactor coolant,22 in ID,VERIFIED_PUBLIC,SRC-0011,NUREG-1793 Ch.5 Sec.5.1.3.4 p.5-5,FOUNDATION,Exact weld geometry/identifier pending
RCS-CONN-015,RCS-RCP-2B-DISCH,RCS-CL-2B-IN,pressure_boundary_joint,reactor coolant,22 in ID,VERIFIED_PUBLIC,SRC-0011,NUREG-1793 Ch.5 Sec.5.1.3.4 p.5-5,FOUNDATION,Exact weld geometry/identifier pending
RCS-CONN-016,RCS-CL-2B-OUT,RCS-RV-IN-L2B,pressure_boundary_joint,reactor coolant,22 in ID,VERIFIED_PUBLIC,SRC-0011,NUREG-1793 Ch.5 Sec.5.1.3.4 p.5-5,FOUNDATION,Exact weld geometry/identifier pending
