record_id,target_tag,diagnostic_item,engineering_role,v002b_public_anchor,generic_measurement_basis,evidence_state,source_ids,status,promotion_rule,remaining_retrieval
PXS-U3-RNSV002B-DIAG-001,SV3-RNS-PL-V002B,Stem thrust trace,"Directly characterize actuator-delivered axial stem load through the stroke and seating/unseating regions; required to compare available thrust with calculated required thrust and structural limits","SV3-RNS-T0W-1237493 Retest 3-RNS-V002B is explicitly in the NRC static-diagnostic/PST sample","NRC MOV guidance identifies thrust/torque output as core static-diagnostic information; QUIKLOOK-family vendor documentation supports direct stem thrust/torque measurement",UNRESOLVED,SRC-0460;SRC-0601;SRC-0602,RETRIEVAL_REQUIRED,"Do not assign peak/running/seating/unseating thrust or margin until the V002B result package/raw trace is recovered","Recover trace values engineering units timebase sign convention calibration zeroing sensor method and acceptance bands"
PXS-U3-RNSV002B-DIAG-002,SV3-RNS-PL-V002B,Stem torque trace,"Characterize torsional stem loading and support stem-factor/friction evaluation where the V002B diagnostic method provides torque directly","SV3-RNS-T0W-1237493 is the tag-specific retest package identity","QUIKLOOK-family vendor documentation supports stem torque measurement using dedicated strain-based sensors",UNRESOLVED,SRC-0460;SRC-0602,RETRIEVAL_REQUIRED,"Do not derive stem factor or actuator output torque from a generic Limitorque value or another valve's diagnostic trace","Recover measured torque trace sensor/calibration method units sign convention and synchronized thrust/travel data"
PXS-U3-RNSV002B-DIAG-003,SV3-RNS-PL-V002B,Spring-pack displacement or equivalent actuator-load proxy,"If used in the V002B test, provides an independent/indirect indication of actuator load and torque-switch action and can support calibration against stem load","NRC confirms static-diagnostic testing of V002B but does not publish the installed sensor suite","QUIKLOOK-family vendor documentation identifies spring-pack displacement measurement as an MOV diagnostic capability",UNRESOLVED,SRC-0460;SRC-0602,RETRIEVAL_REQUIRED,"Do not assume V002B used a Limitorque spring-pack sensor or any specific spring-pack geometry solely because the qualified operator family is Limitorque","Recover whether spring-pack measurement was used plus device ID calibration curve displacement trace and relation to torque-switch trip"
PXS-U3-RNSV002B-DIAG-004,SV3-RNS-PL-V002B,Stem travel / position trace,"Provides actual travel length speed profile seating point unseating point and correlation of switch operation to physical valve motion","V002B has a tag-specific PST/static-diagnostic work package and separate verified 30-s containment-isolation closure result","QUIKLOOK-family vendor documentation supports axial stem/rotary shaft travel measurement",UNRESOLVED,SRC-0448;SRC-0460;SRC-0602,RETRIEVAL_REQUIRED,"Do not treat the 30-s closure time as a stem-travel length or constant travel speed","Recover full travel trace total stem travel stroke velocity profile start/stop definitions and open/closed mechanical endpoints"
PXS-U3-RNSV002B-DIAG-005,SV3-RNS-PL-V002B,DC motor current trace,"Needed to characterize starting/running/seating current and relate actuator mechanical output to the Division-B 250-Vdc supply/protection design","V002B is a Division-B 250-Vdc Class-1E MOV with unresolved LRA/FLA/fuse values and a tag-specific diagnostic retest package","QUIKLOOK-family vendor documentation supports AC/DC current measurement on MOVs; NRC MOV guidance requires capability assessment beyond stroke time alone",UNRESOLVED,SRC-0449;SRC-0453;SRC-0460;SRC-0601;SRC-0602,RETRIEVAL_REQUIRED,"Do not use sampled DK01 current/fuse pairs or a generic Limitorque motor current as V002B data","Recover inrush/locked-rotor transient running current seating/unseating current trip current polarity sampling rate and current-probe calibration"
PXS-U3-RNSV002B-DIAG-006,SV3-RNS-PL-V002B,Motor terminal voltage trace,"Required for DC actuator capability and voltage-drop reconciliation; supports comparison of actual test voltage with worst-case design voltage and motor output","Current architecture resolves the V002B source family to 250-Vdc IDSB-DK-1 but the motor nameplate and terminal voltage are unresolved","QUIKLOOK-family vendor documentation includes voltage-based diagnostic inputs; NRC guidance identifies actuator output sensitivity to supplied conditions as part of MOV capability verification",UNRESOLVED,SRC-0449;SRC-0460;SRC-0601;SRC-0602,RETRIEVAL_REQUIRED,"Do not interpret the 600-V cable rating as motor voltage and do not assume nominal 250 Vdc equals measured motor terminal voltage","Recover terminal voltage before start during inrush during running and at seating/unseating together with test connection points and instrument uncertainty"
PXS-U3-RNSV002B-DIAG-007,SV3-RNS-PL-V002B,Open/close limit-switch contact transitions,"Establish exact physical travel points used for position indication and motor control and reconcile child tag RNS-PL-V002B-L with the actuator switch assembly","Historical/current design evidence retains the V002B limit-switch child function and the V002B test population includes component/PST testing","NRC MOV program guidance emphasizes correct switch settings; diagnostic systems can correlate contact state with travel/load traces",UNRESOLVED,SRC-0432;SRC-0458;SRC-0460;SRC-0601;SRC-0602,RETRIEVAL_REQUIRED,"Do not assume number of switch trains contact design cam settings or terminal assignments from other Limitorque actuators","Recover each open/closed contact transition travel position timing contact designation terminal numbers and acceptance tolerance"
PXS-U3-RNSV002B-DIAG-008,SV3-RNS-PL-V002B,Torque-switch trip and bypass behavior,"Determine seating protection/control setpoint and whether torque-switch bypass logic acts during unseating; critical to avoiding underthrust or overstress","V002B is directly qualified in the Limitorque operator family and is included in NRC-reviewed static-diagnostic/PST work","NRC MOV guidance specifically requires maintaining correct switch settings and distinguishes actuator output from valve required load",UNRESOLVED,SRC-0460;SRC-0497;SRC-0601,RETRIEVAL_REQUIRED,"Do not assign a torque-switch dial setting trip torque bypass range or seating mode from sampled SB/SMB hardware or generic diagrams","Recover torque-switch setting actual trip point bypass contact action direction-specific logic repeatability and any post-test adjustment"
PXS-U3-RNSV002B-DIAG-009,SV3-RNS-PL-V002B,Running load / packing contribution,"Separate running friction/packing load from seating and pressure-load terms so actuator sizing can use a defensible V002B-specific mechanical resistance basis","PV01 live-load packing configuration is a documented Unit-3 corrective-action topic but its affected-valve population remains unpublished","NRC MOV guidance recognizes that required thrust/torque can change with degradation and service; diagnostic thrust/travel traces can provide valve-specific evidence",UNRESOLVED,SRC-0460;SRC-0601,RETRIEVAL_REQUIRED,"Do not assign GNR-000028 to V002B or extract a packing load from another PV01 valve","Recover V002B affected-status under GNR-000028 and/or diagnostic running-load segments packing configuration ring/live-load data and pre/post-adjustment results"
PXS-U3-RNSV002B-DIAG-010,SV3-RNS-PL-V002B,Stroke-time segmentation,"Break the verified overall stroke into start delay acceleration steady travel deceleration/seating and switch/feedback timing for simulation and electrical-mechanical validation","Unit-3 containment-isolation testing gives V002B actual closure time of 30 s and PST records identify a separate diagnostic retest package","Static diagnostic travel/current/voltage/contact traces can resolve internal timing that a single closure-time value cannot",UNRESOLVED,SRC-0448;SRC-0460;SRC-0602,RETRIEVAL_REQUIRED,"Do not impose a linear 30-s motion profile in the digital twin","Recover synchronized command energization motor current onset motion onset switch transitions seating/stop and final indication timestamps"
