item_id,parent_scope,part_or_assembly_name,object_type,quantity,nominal_data,relationship,evidence_state,source_ids,source_locator,status,notes
PXS-001,PLANT-AP1000-R19,Passive Core Cooling System,system_assembly,1,"Subsystems: CMT; accumulators; IRWST; PRHR; associated piping/valves; pH adjustment; ADS support from RCS",Provides RCS makeup boration safety injection and decay heat removal,VERIFIED_PUBLIC,SRC-0002;SRC-0401;SRC-0402,DCD Rev.19 Sec.6.3 / NUREG-1793 Ch.6,ACTIVE,ADS is functionally coupled but owned by RCS/ADS
PXS-CMT-A,PXS-001,Core Makeup Tank A,core_makeup_tank,1,"Minimum free internal volume 2500 ft3; low-alloy steel vessel",High-pressure passive makeup/boration source,VERIFIED_PUBLIC,SRC-0011;SRC-0401;SRC-0402,NUREG-1793 Ch.5 Sec.5.4.13 / Ch.6 Sec.6.3.2.1 / DCD Table 6.3-2,ACTIVE,Plant orientation/tag overlay pending
PXS-CMT-B,PXS-001,Core Makeup Tank B,core_makeup_tank,1,"Minimum free internal volume 2500 ft3; low-alloy steel vessel",High-pressure passive makeup/boration source,VERIFIED_PUBLIC,SRC-0011;SRC-0401;SRC-0402,NUREG-1793 Ch.5 Sec.5.4.13 / Ch.6 Sec.6.3.2.1 / DCD Table 6.3-2,ACTIVE,Plant orientation/tag overlay pending
PXS-CMT-DIFF-A,PXS-CMT-A,Upper balance-line diffuser,internal_diffuser,1,"Side-drilled diffuser; plugged bottom",Turns entering steam/hot water approximately 90 degrees to limit penetration/mixing,VERIFIED_PUBLIC,SRC-0011;SRC-0401,NUREG-1793 Ch.5 Sec.5.4.13 / Ch.6,ACTIVE,Hole count/diameter/pattern unresolved
PXS-CMT-DIFF-B,PXS-CMT-B,Upper balance-line diffuser,internal_diffuser,1,"Side-drilled diffuser; plugged bottom",Turns entering steam/hot water approximately 90 degrees to limit penetration/mixing,VERIFIED_PUBLIC,SRC-0011;SRC-0401,NUREG-1793 Ch.5 Sec.5.4.13 / Ch.6,ACTIVE,Hole count/diameter/pattern unresolved
PXS-CMT-BAL-A,PXS-CMT-A,Cold-leg pressure-balance line A,pipe_run,1,UNRESOLVED,Maintains CMT at RCS pressure and provides recirculation/steam-compensation path,VERIFIED_PUBLIC,SRC-0401;SRC-0402,NUREG-1793 Ch.6 Sec.6.3.2.1 / DCD Fig.6.3-1,ACTIVE,Exact line ID size material valves supports pending P&ID extraction
PXS-CMT-BAL-B,PXS-CMT-B,Cold-leg pressure-balance line B,pipe_run,1,UNRESOLVED,Maintains CMT at RCS pressure and provides recirculation/steam-compensation path,VERIFIED_PUBLIC,SRC-0401;SRC-0402,NUREG-1793 Ch.6 Sec.6.3.2.1 / DCD Fig.6.3-1,ACTIVE,
PXS-CMT-INJ-A,PXS-CMT-A,CMT injection line A,pipe_run,1,UNRESOLVED,Connects CMT lower head to associated DVI line,VERIFIED_PUBLIC,SRC-0011;SRC-0401;SRC-0402,NUREG-1793 Ch.5 Sec.5.4.13 / Ch.6 / DCD Sec.6.3,ACTIVE,
PXS-CMT-INJ-B,PXS-CMT-B,CMT injection line B,pipe_run,1,UNRESOLVED,Connects CMT lower head to associated DVI line,VERIFIED_PUBLIC,SRC-0011;SRC-0401;SRC-0402,NUREG-1793 Ch.5 Sec.5.4.13 / Ch.6 / DCD Sec.6.3,ACTIVE,
PXS-CMT-AOV-A1,PXS-CMT-INJ-A,CMT A discharge isolation valve 1,air_operated_valve,1,"Normally closed; fail open",Parallel discharge-isolation path opens on loss of air/power or actuation signal,VERIFIED_PUBLIC,SRC-0401,NUREG-1793 Ch.6 Sec.6.3.2.1,ACTIVE,Exact tag/material/operator model pending
PXS-CMT-AOV-A2,PXS-CMT-INJ-A,CMT A discharge isolation valve 2,air_operated_valve,1,"Normally closed; fail open",Redundant parallel discharge-isolation path,VERIFIED_PUBLIC,SRC-0401,NUREG-1793 Ch.6 Sec.6.3.2.1,ACTIVE,
PXS-CMT-AOV-B1,PXS-CMT-INJ-B,CMT B discharge isolation valve 1,air_operated_valve,1,"Normally closed; fail open",Parallel discharge-isolation path opens on loss of air/power or actuation signal,VERIFIED_PUBLIC,SRC-0401,NUREG-1793 Ch.6 Sec.6.3.2.1,ACTIVE,
PXS-CMT-AOV-B2,PXS-CMT-INJ-B,CMT B discharge isolation valve 2,air_operated_valve,1,"Normally closed; fail open",Redundant parallel discharge-isolation path,VERIFIED_PUBLIC,SRC-0401,NUREG-1793 Ch.6 Sec.6.3.2.1,ACTIVE,
PXS-CMT-CV-A,PXS-CMT-INJ-A,CMT A series check valves,check_valve_set,2,Two tilt-disc check valves in series,Prevents DVI/RCS backflow to CMT after parallel AOV branches combine,VERIFIED_PUBLIC,SRC-0401,NUREG-1793 Ch.6 Sec.6.3.2.1,ACTIVE,Individual tags and spacing pending
PXS-CMT-CV-B,PXS-CMT-INJ-B,CMT B series check valves,check_valve_set,2,Two tilt-disc check valves in series,Prevents DVI/RCS backflow to CMT after parallel AOV branches combine,VERIFIED_PUBLIC,SRC-0401,NUREG-1793 Ch.6 Sec.6.3.2.1,ACTIVE,
PXS-CMT-OR-A,PXS-CMT-INJ-A,CMT A flow-tuning orifice,flow_restrictor,1,Field-adjustable resistance basis,Sets required CMT injection resistance/flow,VERIFIED_PUBLIC,SRC-0401,NUREG-1793 Ch.6 Sec.6.3.2.1,ACTIVE,Final bore/orifice plate detail set by preoperational testing
PXS-CMT-OR-B,PXS-CMT-INJ-B,CMT B flow-tuning orifice,flow_restrictor,1,Field-adjustable resistance basis,Sets required CMT injection resistance/flow,VERIFIED_PUBLIC,SRC-0401,NUREG-1793 Ch.6 Sec.6.3.2.1,ACTIVE,
PXS-ACC-A,PXS-001,Accumulator A,accumulator_tank,1,"2000 ft3; borated water about 2600 ppm; nitrogen 651–783 psia",Passive intermediate-pressure injection source,VERIFIED_PUBLIC,SRC-0401;SRC-0402,NUREG-1793 Ch.6 Sec.6.3.2.2 / DCD Table 6.3-2,ACTIVE,Spherical tank below CMT elevation
PXS-ACC-B,PXS-001,Accumulator B,accumulator_tank,1,"2000 ft3; borated water about 2600 ppm; nitrogen 651–783 psia",Passive intermediate-pressure injection source,VERIFIED_PUBLIC,SRC-0401;SRC-0402,NUREG-1793 Ch.6 Sec.6.3.2.2 / DCD Table 6.3-2,ACTIVE,
PXS-ACC-MOV-A,PXS-ACC-A,Accumulator A discharge MOV,motor_operated_valve,1,"Normally open; power removed/locked out",Administrative/isolation capability in accumulator injection line,VERIFIED_PUBLIC,SRC-0401,NUREG-1793 Ch.6 Sec.6.3.2.2,ACTIVE,
PXS-ACC-MOV-B,PXS-ACC-B,Accumulator B discharge MOV,motor_operated_valve,1,"Normally open; power removed/locked out",Administrative/isolation capability in accumulator injection line,VERIFIED_PUBLIC,SRC-0401,NUREG-1793 Ch.6 Sec.6.3.2.2,ACTIVE,
PXS-ACC-CV-A,PXS-ACC-A,Accumulator A series discharge check valves,check_valve_set,2,Swing-disc check valves in series,Open when RCS pressure falls below accumulator pressure,VERIFIED_PUBLIC,SRC-0401,NUREG-1793 Ch.6 Sec.6.3.2.2,ACTIVE,
