object_id,parent_id,name,object_type,quantity,system_id,nominal_dimension_or_description,evidence_state,source_ids,source_locator,status,notes
ADS-ASSEMBLY,PLANT-AP1000-R19,Automatic Depressurization System,system_assembly,1,SYS-ADS,"Four stages; Stages 1-3 from pressurizer to two IRWST sparger discharge headers; Stage 4 four hot-leg-to-containment paths",VERIFIED_PUBLIC,SRC-0011;SRC-0401;SRC-0402,NUREG-1793 Ch.5 Sec.5.1.3.7 / Ch.6 Sec.6.3 / DCD Rev.19 Sec.6.3,ACTIVE,ADS is RCS-owned function but has strong PXS interfaces
ADS-PZR-BND,ADS-ASSEMBLY,Pressurizer steam-space ADS source boundary,external_process_interface,1,SYS-ADS,Boundary to pressurizer top ADS inlet/header connection,VERIFIED_PUBLIC,SRC-0011,NUREG-1793 Ch.5 Sec.5.1.3.7,BOUNDARY,Exact pressurizer nozzle/header geometry remains under RCS P&ID reconciliation
ADS-PZR-HDR,ADS-ASSEMBLY,ADS pressurizer inlet header,steam_header,1,SYS-ADS,Feeds the six Stage 1-3 flow paths,VERIFIED_PUBLIC,SRC-0002;SRC-0007,DCD Rev.19 / AP1000 Technical Specification ADS description,ACTIVE,Exact branch fittings dimensions welds drains vents supports and instrumentation unresolved
ADS-S1-A,ADS-ASSEMBLY,ADS Stage 1 flow path A,pipe_run,1,SYS-ADS,4-in valve basis,VERIFIED_PUBLIC,SRC-0007,AP1000 Technical Specification ADS description,ACTIVE,Exact pipe/spool geometry unresolved
RCS-PL-V011A,ADS-S1-A,Stage 1A isolation MOV,motor_operated_valve,1,SYS-ADS,"4 in; normally closed; DC motor operated",VERIFIED_PUBLIC,SRC-0002;SRC-0410,DCD Rev.19 Tier 1 / Vogtle ADS ITAAC evidence,ACTIVE,Upstream series isolation valve for V001A
RCS-PL-V001A,ADS-S1-A,Stage 1A control/depressurization MOV,motor_operated_valve,1,SYS-ADS,"4 in; normally closed; DC motor operated; modulating capability for Stage 1",VERIFIED_PUBLIC,SRC-0002;SRC-0410,DCD Rev.19 Tier 1 / Vogtle ADS ITAAC evidence,ACTIVE,Downstream of V011A
ADS-S1-B,ADS-ASSEMBLY,ADS Stage 1 flow path B,pipe_run,1,SYS-ADS,4-in valve basis,VERIFIED_PUBLIC,SRC-0007,AP1000 Technical Specification ADS description,ACTIVE,
RCS-PL-V011B,ADS-S1-B,Stage 1B isolation MOV,motor_operated_valve,1,SYS-ADS,"4 in; normally closed; DC motor operated",VERIFIED_PUBLIC,SRC-0002;SRC-0410,DCD Rev.19 Tier 1 / Vogtle ADS ITAAC evidence,ACTIVE,Upstream series isolation valve for V001B
RCS-PL-V001B,ADS-S1-B,Stage 1B control/depressurization MOV,motor_operated_valve,1,SYS-ADS,"4 in; normally closed; DC motor operated; modulating capability for Stage 1",VERIFIED_PUBLIC,SRC-0002;SRC-0410,DCD Rev.19 Tier 1 / Vogtle ADS ITAAC evidence,ACTIVE,Downstream of V011B
ADS-S2-A,ADS-ASSEMBLY,ADS Stage 2 flow path A,pipe_run,1,SYS-ADS,8-in valve basis,VERIFIED_PUBLIC,SRC-0007,AP1000 Technical Specification ADS description,ACTIVE,
RCS-PL-V012A,ADS-S2-A,Stage 2A isolation MOV,motor_operated_valve,1,SYS-ADS,"8 in; normally closed; DC motor operated",VERIFIED_PUBLIC,SRC-0002;SRC-0410,DCD Rev.19 Tier 1 / Vogtle ADS ITAAC evidence,ACTIVE,Upstream series isolation valve for V002A
RCS-PL-V002A,ADS-S2-A,Stage 2A depressurization MOV,motor_operated_valve,1,SYS-ADS,"8 in; normally closed; DC motor operated",VERIFIED_PUBLIC,SRC-0002;SRC-0410,DCD Rev.19 Tier 1 / Vogtle ADS ITAAC evidence,ACTIVE,Downstream of V012A
ADS-S2-B,ADS-ASSEMBLY,ADS Stage 2 flow path B,pipe_run,1,SYS-ADS,8-in valve basis,VERIFIED_PUBLIC,SRC-0007,AP1000 Technical Specification ADS description,ACTIVE,
