record_id,scope_or_component,line_or_iso,spool_or_support,weld_or_joint,room_or_location,construction_record,verified_detail,evidence_state,source_ids,source_locator,status,remaining_targets,notes
PXS-U3-FAB-001,CMT-B discharge check V016B,SV3-PXS-PLW-020,SV3-PXS-PLW-020-1F,,Containment / CMT-B discharge path,SV3-PXS-P0W-800034,V016B installed with named spool 020-1F per ISO PLW-020,VERIFIED_PUBLIC,SRC-0425,ML22193A291 PXS construction records,ACTIVE,Retrieve PLW-020 drawing content; adjacent fittings; exact inlet/outlet weld IDs; pipe supports; NDE records,Valve/spool relationship is fixed; geometry is not inferred
PXS-U3-FAB-002,IRWST injection squib V125B,SV3-PXS-PLW-02U,Valve installation assembly,bolted joints inlet and outlet,Containment Bldg Room 11207 / DVI-B path,SV3-PXS-P0W-1057547,V125B installed per PLW-02U; inlet and outlet bolted-joint data sheets identified,VERIFIED_PUBLIC,SRC-0206;SRC-0425,ML21041A051 Sec.1A13 / ML22193A291,ACTIVE,Retrieve flange/gasket/bolt/stud/nut details; exact adjoining spool IDs; supports; line class; orientation,Bolted-joint sheet identifier SV3-PXS-PLW-02U-1-BC is public
PXS-U3-FAB-003,Accumulator-B isolation MOV V027B,PXS-L027B,Valve body/bonnet,SV3-PXS-PLW-024-1 and SV3-PXS-PLW-023-1,Unit-3 accumulator discharge line,Unit-3 NRC direct construction inspection,V027B orientation/type/flow direction inspected; field welds named; valve body SA-351 CF3M and bonnet SA-182 F316 verified for installed serial BN185,VERIFIED_PUBLIC,SRC-0413,ML18226A348 Sec.1A21/1A22 accumulator V027B inspection,ACTIVE,Retrieve PLW-023/024 isometric geometry; adjacent tuning-orifice/check sequence; support IDs; actuator details; weld/NDE records,Material evidence is plant-specific to installed V027B
PXS-U3-FAB-004,PRHR return isolation V109,PXS-L104B / SV3-PXS-PLW-041,PH-34 11R0269,Two carbon-steel fillet welds,Containment Bldg Room 11300 / PRHR return,Unit-3 NRC pipe-support welding inspection,Support upstream of V109 tied to PLW-041-R2 and line L104B,VERIFIED_PUBLIC,SRC-0413,ML18226A348 Sec.1A16,ACTIVE,Retrieve support drawing; member sections; base/anchor details; weld IDs; V109 upstream/downstream spool IDs; insulation interfaces,Support is ASME Class 1 BTA square-tube support per NRC inspection
PXS-U3-FAB-005,IRWST screen cross-connect line B,PXS-L180B / SV3-PXS-PLW-100,PH-11R2107,FW-1 and FW-4,Bottom of IRWST,Unit-3 NRC support welding inspection,Stainless ASME Class 3 support tied to screen cross-connect line L180B and weld map SV3-PXS-PHK-876822,VERIFIED_PUBLIC,SRC-0413,ML18226A348 Sec.1A17,ACTIVE,Retrieve PLW-100 geometry; support dimensions/anchors; screen connection flange/weld; companion L180A support map,Two vertical I-beam columns identified in public inspection narrative
PXS-U3-FAB-006,Containment recirculation A to DVI-A,SV3-PXS-PLW-01H,SV3-PXS-PH-11Y2059,SV3-PXS-PLW-01H support weld WCP-1,Containment Bldg Room 11206,SV3-PXS-PHW-ME3359 / SV3-PXS-PHK-ME6342,Support fabrication/install package and weld map identified for containment recirculation path to DVI-A,VERIFIED_PUBLIC,SRC-0206,ML21041A051 Sec.1A14,ACTIVE,Retrieve isometric and support drawing content; resolve V117/V118/V119/V120 relation to this spool set; exact anchors/restraints,Public N&DRs also identify support tags 11Y2052 and 11Y2057 requiring reconciliation
PXS-U3-FAB-007,Containment recirculation valve area,SV3-PXS-PLW-470,,,Containment Bldg Room 11206,Unit-3 integrated inspection document list,PLW-470 explicitly titled Containment Recirc. Valves Rev.1,VERIFIED_PUBLIC,SRC-0425,ML22193A291 referenced drawings,ACTIVE,Recover drawing content; valve-by-valve placement; spool IDs; reducers/tees; drains/vents; support drawing cross-reference,Functional V117→V118 and V119→V120 sequence is controlled separately
PXS-U3-FAB-008,CMT-A discharge piping,SV3-PXS-PLW-010 / -01K / -01V,,,Containment Bldg Room 11206,Unit-3 ITAAC construction drawing set,Three CMT-A discharge isometric families explicitly identified; 01K Rev.1 and 010 Rev.0 publicly listed,VERIFIED_PUBLIC,SRC-0421,ML19045A614 Sec.1A10,ACTIVE,Recover exact V014A/V015A split/recombine; V016A/V017A placement; R01A orifice; V250/V251/V252 test taps; drains/supports/welds,Do not assume symmetry for B train until B isometrics are independently recovered
PXS-U3-FAB-009,Common injection header A to DVI-A,SV3-PXS-PLW-012,,,Containment Bldg Room 11206,Unit-3 ITAAC construction drawing set,Common injection header to DVI-A isometric identified Rev.1,VERIFIED_PUBLIC,SRC-0421,ML19045A614 Sec.1A10,ACTIVE,Recover exact CMT/accumulator/IRWST/RNS tie-in tees; line IDs; reducers; welds/supports; elevation transitions,Canonical graph currently represents these as logical DVI inlet ports
PXS-U3-FAB-010,DVI-A terminal to reactor vessel,SV3-PXS-PLW-019,SV3-PXS-PLW-019-1R1,,Containment Rooms 11206/11105 to reactor vessel,QA package / shop sketch 890300-42-00366 Rev.3A,Spool 00366 maps to PLW-019-1R1 and line L021A; heat-treatment and CMTR traceability identified,VERIFIED_PUBLIC,SRC-0427,ML16312A506 Sec.1A04,ACTIVE,Recover actual spool dimensions/fittings/weld map; support IDs; vessel nozzle weld; insulation; NDE,CMTR1300035 heat 06971 applies to this spool evidence set
