record_id,configuration,tag,equipment_name,measured_opening_time_s,normal_position,loss_of_motive_power_position,control_or_display,evidence_state,source_ids,source_locator,status,notes
V3-ADS-ACT-001,VOGTLE-3-CURRENT-PUBLIC,RCS-PL-V001A,First-stage ADS control/depressurization MOV,25,Closed,As Is,Safety-related valve-position indication,VERIFIED_PUBLIC,SRC-0410,ND-20-0749 Attachment D/E,AS_BUILT_VERIFIED,Measured Unit 3 opening time; generic safety-analysis maximum remains a separate requirement
V3-ADS-ACT-002,VOGTLE-3-CURRENT-PUBLIC,RCS-PL-V001B,First-stage ADS control/depressurization MOV,23,Closed,As Is,Safety-related valve-position indication,VERIFIED_PUBLIC,SRC-0410,ND-20-0749 Attachment D/E,AS_BUILT_VERIFIED,
V3-ADS-ACT-003,VOGTLE-3-CURRENT-PUBLIC,RCS-PL-V002A,Second-stage ADS control/depressurization MOV,53,Closed,As Is,Safety-related valve-position indication,VERIFIED_PUBLIC,SRC-0410,ND-20-0749 Attachment D/E,AS_BUILT_VERIFIED,
V3-ADS-ACT-004,VOGTLE-3-CURRENT-PUBLIC,RCS-PL-V002B,Second-stage ADS control/depressurization MOV,53,Closed,As Is,Safety-related valve-position indication,VERIFIED_PUBLIC,SRC-0410,ND-20-0749 Attachment D/E,AS_BUILT_VERIFIED,
V3-ADS-ACT-005,VOGTLE-3-CURRENT-PUBLIC,RCS-PL-V003A,Third-stage ADS control/depressurization MOV,51,Closed,As Is,Safety-related valve-position indication,VERIFIED_PUBLIC,SRC-0410,ND-20-0749 Attachment D/E,AS_BUILT_VERIFIED,
V3-ADS-ACT-006,VOGTLE-3-CURRENT-PUBLIC,RCS-PL-V003B,Third-stage ADS control/depressurization MOV,52,Closed,As Is,Safety-related valve-position indication,VERIFIED_PUBLIC,SRC-0410,ND-20-0749 Attachment D/E,AS_BUILT_VERIFIED,
V3-ADS-ACT-007,VOGTLE-3-CURRENT-PUBLIC,RCS-PL-V011A,First-stage ADS isolation MOV,15,Closed,As Is,Safety-related valve-position indication,VERIFIED_PUBLIC,SRC-0410,ND-20-0749 Attachment D/E,AS_BUILT_VERIFIED,Isolation valve opens before associated control valve during ADS sequence
V3-ADS-ACT-008,VOGTLE-3-CURRENT-PUBLIC,RCS-PL-V011B,First-stage ADS isolation MOV,15,Closed,As Is,Safety-related valve-position indication,VERIFIED_PUBLIC,SRC-0410,ND-20-0749 Attachment D/E,AS_BUILT_VERIFIED,
V3-ADS-ACT-009,VOGTLE-3-CURRENT-PUBLIC,RCS-PL-V012A,Second-stage ADS isolation MOV,27,Closed,As Is,Safety-related valve-position indication,VERIFIED_PUBLIC,SRC-0410,ND-20-0749 Attachment D/E,AS_BUILT_VERIFIED,
V3-ADS-ACT-010,VOGTLE-3-CURRENT-PUBLIC,RCS-PL-V012B,Second-stage ADS isolation MOV,27,Closed,As Is,Safety-related valve-position indication,VERIFIED_PUBLIC,SRC-0410,ND-20-0749 Attachment D/E,AS_BUILT_VERIFIED,
V3-ADS-ACT-011,VOGTLE-3-CURRENT-PUBLIC,RCS-PL-V013A,Third-stage ADS isolation MOV,27,Closed,As Is,Safety-related valve-position indication,VERIFIED_PUBLIC,SRC-0410,ND-20-0749 Attachment D/E,AS_BUILT_VERIFIED,
V3-ADS-ACT-012,VOGTLE-3-CURRENT-PUBLIC,RCS-PL-V013B,Third-stage ADS isolation MOV,26,Closed,As Is,Safety-related valve-position indication,VERIFIED_PUBLIC,SRC-0410,ND-20-0749 Attachment D/E,AS_BUILT_VERIFIED,
