record_id,penetration_or_scope,protection_layer,confirmed_source_or_device,circuit_or_load,configuration,evidence_state,source_ids,source_locator,status,resolved_now,remaining_targets,notes
PXS-U3-EPROT-001,Class-1E low-voltage power/control EPA family,penetration thermal protection analysis,APP-IDS-E0C-014,Class-1E low-voltage power/control circuits routed through containment EPAs,AP1000/VOGTLE,VERIFIED_PUBLIC,SRC-0434;SRC-0447,"ML17013A658 penetration-protection section; ML20042E292 Sec.1A03",ACTIVE,"Protection calculation uses Mirion conductor thermal-limit/I2t data and time-current curves for different penetration sizes and evaluates redundant primary/backup fuse protection; Unit-3 inspection independently verified loads/fuse protection against manufacturer damage curves and fault-clearing requirements","Recover current Unit-3 applicable calculation revision; penetration-by-penetration tables; conductor thermal limits; primary and backup device IDs/ratings; coordination margins; clearing times; feeder/load mapping; exceptions and as-built reconciliation","Do not calculate or infer a fuse rating from cable ampacity alone; the design comparison is against both load requirements and EPA short-circuit thermal capacity"
PXS-U3-EPROT-002,SV3-IDSB-EY-P30Z,protection-analysis population classification,EXCLUDED_FROM_LOW_VOLTAGE_POWER_CONTROL_CURRENT_PROTECTION_POPULATION,"Installed Division-B low-voltage instrumentation/communication circuits through P30Z",VOGTLE-3-CURRENT-PUBLIC,VERIFIED_PUBLIC,SRC-0442;SRC-0422,"ML18019A181 Attachment A p.4; ML20128J831 Sec.1A08",ACTIVE,"P30Z is marked in the ITAAC protection population as spare or low-voltage instrumentation/communication; later direct installed-cable evidence removes the spare alternative. Therefore generic power/control primary/backup fuse data from APP-IDS-E0C-014 are not assigned to P30Z","Recover circuit-specific protection/isolation for each P30Z instrumentation/communication circuit; PMS/SFS source cabinets; module positions; any intrinsic or branch fusing; surge/ground/isolation devices; explicit Z0D-020/module schedule","Exclusion from the power/control penetration-current analysis does not mean P30Z circuits have no electrical protection; it only prevents importing the power/control EPA fuse architecture without circuit-specific evidence"
PXS-U3-EPROT-003,SV3-IDSB-EY-P31Y,penetration protection inclusion and installed power content,APP-IDS-E0C-014 population / exact row not recovered,"RNS cable SV3-RNS-EW-PLV002BBXB through P31Y-IRC; PXS cable SV3-PXS-EW-PLV117AAXB terminates at P31Y",VOGTLE-3-CURRENT-PUBLIC,VERIFIED_PUBLIC,SRC-0422;SRC-0434;SRC-0442;SRC-0447,"ML20128J831 Sec.1A08/1A23; ML17013A658; ML18019A181 Attachment A; ML20042E292 Sec.1A03-1A04",ACTIVE,"P31Y is not marked as an excluded instrumentation/communication penetration; installed RNS circuit PLV002BBXB is directly documented as 600 V 4/C 240 KCMIL. Unit-3 inspection verified loads and fuse protection of Class-1E penetration circuits against damage curves and operating/fault-clearing requirements","Recover P31Y row/table in APP-IDS-E0C-014 or as-built EPA protection analysis; exact primary/backup fuse IDs and ratings; feeder source; cable/module assignment; time-current curve; I2t limit and margin; V117A circuit construction/function","The known 600-V circuit confirms power content but does not identify its source device or prove every P31Y feedthrough belongs to the same protection branch"
PXS-U3-EPROT-004,Division-B Class-1E 250-VDC distribution,potential upstream protection object,IDSB-DD-1 / APP-IDSB-E3-DD101 Rev.5,"Division-B Class-1E loads requiring 250-VDC support",VOGTLE-3-CONSTRUCTION-PUBLIC,VERIFIED_PUBLIC,SRC-0444,"ML21041A051 Sec.1A10 document list",ACTIVE,"NRC EPA protection inspection used current Division-B panel schedule APP-IDSB-E3-DD101 Rev.5 while walking down low-voltage protection devices; IDSB-DD-1 is a Division-B 250-VDC distribution panel","Recover panel schedule contents; circuit numbers; fuse holders/types; fuse manufacturer/model/rating; cable/load destinations; identify any P31Y/RNS/PXS circuit relationship; upstream feeder and backup protection","This is a verified protection-inspection document and physical panel, but no P31Y circuit is assigned to it until the schedule or wiring drawing proves the connection"
PXS-U3-EPROT-005,Division-B Class-1E 250-VDC motor control,potential upstream protection object,IDSB-DK-1 / APP-IDSB-E3-DK101 Rev.5,"Division-B Class-1E motor-operated/safety-related valve loads",VOGTLE-3-CONSTRUCTION-PUBLIC,VERIFIED_PUBLIC,SRC-0444,"ML21041A051 Sec.1A10 document list",ACTIVE,"NRC EPA protection inspection used APP-IDSB-E3-DK101 Rev.5, the one-line for Class-1E 250-VDC MCC IDSB-DK-1, in the low-voltage protection review","Recover all three one-line sheets and MCC bucket schedule; feeder IDs; fuse ratings/types; contactors; disconnects; control power; cable/load destinations; determine whether RNS-PL-V002B and/or PXS-PL-V117A are fed from this MCC and through P31Y","MOV service makes an MCC interface plausible but exact IDSB-DK-1 ownership is deliberately not inferred without wiring/panel evidence"
PXS-U3-EPROT-006,Class-1E MCC penetration-protection design history,primary fuse design change,APP-DK01-GEF-014,"Class-1E MCC feeder circuits routed through low-voltage power/control EPAs",AP1000/VOGTLE,VERIFIED_PUBLIC,SRC-0434,"ML17013A658 penetration-protection section / E&DCR APP-DK01-GEF-014 Rev.0 dated 2014-05-15",ACTIVE,"NRC review identifies Engineering & Design Coordination Report APP-DK01-GEF-014 for a Class-1E MCC 250-A to 200-A fuse change as part of verifying penetration primary/backup fuse protection","Recover affected MCC/feeders/penetrations; old/new fuse manufacturer and catalog numbers; design basis for 250A-to-200A change; backup fuse relation; time-current/thermal-margin change; final Unit-3 applicability","Do not assign the 200-A value to P31Y merely because P31Y carries power; affected circuits must be recovered from the E&DCR/calculation"
PXS-U3-EPROT-007,Unit-3 Class-1E 250-VDC distribution-panel hardware,plant-specific design specification,SV3-DD01-Z0-001 Rev.2,"Unit-3 Class-1E 250-VDC distribution panels including Division-B IDSB-DD-1",VOGTLE-3-CURRENT-PUBLIC,VERIFIED_PUBLIC,SRC-0425,"ML22193A291 Sec.1A05 document list",ACTIVE,"Current Unit-3 design specification for Class-1E 250-VDC distribution panels is publicly identified; qualification trail includes SV3-DD01-VBR-001 Rev.4 and SV3-DD01-VBR-002 Rev.3","Recover internal bus layout; voltage/current ratings; cabinet construction; fuse-holder families; disconnects; terminal blocks; grounding; seismic anchorage; heat loads; panel schedule relation; maintenance/inspection requirements; IDSB-DD-1-specific assembly/configuration","This establishes the physical/specification family behind a candidate upstream protection panel but not the P31Y feeder assignment"
PXS-U3-EPROT-008,Unit-3 Class-1E 250-VDC MCC hardware,plant-specific design specification,SV3-DK01-Z0-010 Rev.7,"Unit-3 Class-1E 250-VDC motor control centers including Division-B IDSB-DK-1",VOGTLE-3-CURRENT-PUBLIC,VERIFIED_PUBLIC,SRC-0425,"ML22193A291 Sec.1A05 document list",ACTIVE,"Current Unit-3 design specification for Class-1E motor control centers is publicly identified; qualification trail includes SV3-DK01-VBR-001 Rev.4 and SV3-DK01-VBR-002 Rev.4","Recover cabinet/bus ratings and layout; bucket construction; fuse/disconnect/contactor families; control transformers/power; terminal blocks; indication/interlocks; seismic anchorage; grounding; IDSB-DK-1 bucket schedule and feeder/load mapping; maintenance and test hardware","This establishes the physical/specification family behind a candidate MOV protection source. Exact RNS-PL-V002B/PXS-PL-V117A ownership remains unresolved until wiring or MCC schedule evidence is recovered"
PXS-U3-EPROT-009,Class-1E DC-powered MOV circuits,MOV power-fuse and motor-overload protection calculations,"APP-IDS-E0C-015; APP-IDS-E0C-016; APP-IDS-E0C-017","IDS-powered DC MOVs including RNS/PXS motor-operated safety valves",AP1000/VOGTLE,VERIFIED_PUBLIC,SRC-0434,"ML17013A658 Class 1E DC and UPS Coordination Studies section",ACTIVE,"APP-IDS-E0C-015 verifies MOV protective power fuses are large enough not to open during required valve safety actuation under RG 1.106; APP-IDS-E0C-016 verifies motor-circuit-protector setpoints avoid nuisance trip while protecting contactor/starter above locked-rotor current; APP-IDS-E0C-017 establishes thermal-overload setting criteria under IEEE 741","Recover calculation load tables and circuit/tag list; exact RNS-PL-V002B and PXS-PL-V117A applicability; motor nameplate voltage/current; locked-rotor current; actuation duration; primary power fuse manufacturer/type/rating; MCP setting; TOL setting; cable and EPA-module mapping; coordination margins","These calculations define distinct protection components that must be modeled separately from the EPA conductor thermal limit. Do not assume V002B/V117A are listed until their rows are recovered"
PXS-U3-EPROT-010,Core I&C electrical penetration population,instrumentation-penetration protection design change,APP-GW-GEE-5086,"Electrical penetration assemblies associated with Core I&C systems",AP1000-DESIGN-CHANGE-HISTORY,VERIFIED_PUBLIC,SRC-0434,"ML17013A658 document list / DCP APP-GW-GEE-5086 Rev.0 dated 2015-08-07",ACTIVE,"AP1000 design-change record explicitly addresses electrical protection of EPAs associated with Core I&C systems and was included in the NRC penetration-protection inspection document set","Recover DCP content and affected penetration/circuit list; protection philosophy for instrumentation feedthroughs; fuse/current-limiter/isolation/surge devices; conductor thermal limits; exact relationship to P30Z low-voltage instrumentation/communication classification and Z0D-020; final Unit-3 implementation evidence","P30Z is a strong investigation target because Unit-3 evidence independently classifies it as low-voltage instrumentation/communication, but DCP applicability to P30Z is not promoted until the affected-penetration list is recovered"
