line_group_id,function_or_route,line_numbers,upstream_boundary,downstream_boundary,configuration,evidence_state,source_ids,source_locator,status,notes
PXS-U4-LG-001,PRHR HX inlet and outlet route,"RCS-L134;PXS-L102;PXS-L103;PXS-L104A;PXS-L104B;PXS-L105;RCS-L113",RCS hot leg,Steam generator channel head,VOGTLE-4-CURRENT-PUBLIC,VERIFIED_PUBLIC,SRC-0411,ADAMS ML23198A362 Attachment B lines 545-566,ACTIVE,As-built report associates route with SV4-PXS-P0R-0302/P0R-0402 and PXS-S3R-001/MUR-001
PXS-U4-LG-002,PRHR associated line,PXS-L107,PRHR route,PRHR route,VOGTLE-4-CURRENT-PUBLIC,VERIFIED_PUBLIC,SRC-0411,ADAMS ML23198A362 Attachment B lines 567-568,ACTIVE,Exact functional branch to resolve from current P&ID
PXS-U4-LG-003,CMT A inlet/discharge path to DVI A,"RCS-L118A;PXS-L007A;PXS-L015A;PXS-L016A;PXS-L017A;PXS-L018A;PXS-L020A;PXS-L021A",RCS cold leg C,Reactor vessel DVI nozzle A,VOGTLE-4-CURRENT-PUBLIC,VERIFIED_PUBLIC,SRC-0411,ADAMS ML23198A362 Attachment B lines 569-590,ACTIVE,Line-by-line valve/fitting ownership to extract from P&ID/isometrics
PXS-U4-LG-004,CMT A associated line,PXS-L070A,CMT A path,CMT A path,VOGTLE-4-CURRENT-PUBLIC,VERIFIED_PUBLIC,SRC-0411,ADAMS ML23198A362 Attachment B line 591,ACTIVE,Exact service/branch to resolve
PXS-U4-LG-005,CMT B inlet/discharge path to DVI B,"RCS-L118B;PXS-L007B;PXS-L015B;PXS-L016B;PXS-L017B;PXS-L018B;PXS-L020B;PXS-L021B",RCS cold leg D,Reactor vessel DVI nozzle B,VOGTLE-4-CURRENT-PUBLIC,VERIFIED_PUBLIC,SRC-0411,ADAMS ML23198A362 Attachment B lines 592-638,ACTIVE,Attachment spans page break; line-by-line ownership to extract from P&ID/isometrics
PXS-U4-LG-006,CMT B associated line,PXS-L070B,CMT B path,CMT B path,VOGTLE-4-CURRENT-PUBLIC,VERIFIED_PUBLIC,SRC-0411,ADAMS ML23198A362 Attachment B lines 636-638,ACTIVE,Exact service/branch to resolve
PXS-U4-LG-007,RNS A discharge to PXS/DVI A,PXS-L019A,RNS-PL-V017A,DVI line A,VOGTLE-4-CURRENT-PUBLIC,VERIFIED_PUBLIC,SRC-0411,ADAMS ML23198A362 Attachment B lines 639-647,ACTIVE,Cross-system RNS/PXS boundary
PXS-U4-LG-008,RNS B discharge to PXS/DVI B,PXS-L019B,RNS-PL-V017B,DVI line B,VOGTLE-4-CURRENT-PUBLIC,VERIFIED_PUBLIC,SRC-0411,ADAMS ML23198A362 Attachment B lines 648-655,ACTIVE,Cross-system RNS/PXS boundary
PXS-U4-LG-009,Accumulator A discharge to DVI A,"PXS-L025A;PXS-L027A;PXS-L029A",Accumulator A,DVI line A,VOGTLE-4-CURRENT-PUBLIC,VERIFIED_PUBLIC,SRC-0411,ADAMS ML23198A362 Attachment B lines 656-664,ACTIVE,Map V027A/V028A/V029A and tuning orifice to exact line segments from P&ID
PXS-U4-LG-010,Accumulator B discharge to DVI B,"PXS-L025B;PXS-L027B;PXS-L029B",Accumulator B,DVI line B,VOGTLE-4-CURRENT-PUBLIC,VERIFIED_PUBLIC,SRC-0411,ADAMS ML23198A362 Attachment B lines 665-673,ACTIVE,Map V027B/V028B/V029B and tuning orifice to exact line segments from P&ID
