record_id,target_document,target_scope,known_revision_or_extent,why_high_value,confirmed_public_anchor,evidence_state,source_ids,source_locator,status,closure_fields,do_not_infer,notes
PXS-U3-RNSFUNC-001,APP-RNS-M3C-050,RNS hot-leg suction MOV functional requirements for V001A/B and V002A/B,Rev.1 historical AP1000 design record,"Tag set explicitly includes RNS-PL-V002B and is the best direct design-side candidate for required thrust/torque, stroke time, differential pressure, design-basis load, motor sizing assumptions and actuator functional margins","NRC reviewed-document list explicitly names APP-RNS-M3C-050 and the covered valve set V001A/B V002A/B",VERIFIED_PUBLIC,SRC-0463,"ML112440588 reviewed-document list",SEARCH_REQUIRED,"required close/open thrust or torque; design differential pressure; flow direction and unbalanced load; stroke-time requirement; motor/actuator sizing basis; gear/operator assumptions; limit/torque switch requirements; environmental/seismic inputs; electrical voltage/current assumptions; design margins; referenced valve datasheet/vendor package","Do not treat Rev.1 numerical values as current Unit-3 as-built without reconciliation; do not assign PV01-Z0D-116 or Flowserve/Limitorque unless the document or another primary source cross-references them","Cross-check recovered values against Unit-3 diagnostic package SV3-RNS-T0W-1237493 and 30-second closure test."
PXS-U3-RNSFUNC-002,APP-RNS-M3C-100,RNS component control requirements,Rev.5 historical AP1000 design record,"Likely control-side source for V002B open/close commands, permissives, interlocks, indication and fail-state requirements","NRC reviewed-document list explicitly names APP-RNS-M3C-100 and states it was compared against the PV01 master MOV specification for consistency",VERIFIED_PUBLIC,SRC-0463;SRC-0465,"ML112440588 reviewed-document list and design-review narrative",SEARCH_REQUIRED,"V002B command sources; PMS actuation; local/remote controls; loss-of-power behavior; open/closed indication; alarms; test bypasses; control power requirements; referenced functional/logic diagrams; PV01 datasheet cross-reference if present; current reconciliation of the 450-psig/V023-V024-closed opening permissives","Do not infer present Unit-3 PMS I/O addresses or installed relay logic from a historical design requirement without current reconciliation; the PV01 master-spec bridge does not itself establish datasheet 116","NRC design evaluation now independently resolves the AP1000 opening-permissive basis as RCS <=450 psig with the IRWST cross-connects isolated; V023/V024 are resolved as the design-basis cross-connect valve tags. APP-RNS-M3C-100 remains needed for detailed control-requirement implementation and cross-references."
PXS-U3-RNSFUNC-003,APP-PMS-J1-119,RNS isolation-valve interlocks functional diagram,Rev.5 historical AP1000 design record,"Direct logic-diagram target for the RNS suction-valve pressure/opening interlock and command/feedback logic affecting V002B","NRC reviewed-document list explicitly names APP-PMS-J1-119 RNS Isolation Valve Interlocks; NRC FSER Chapters 5, 7 and 19 independently define the design-level interlock behavior and IRWST cross-connect functions",VERIFIED_PUBLIC,SRC-0463;SRC-0475;SRC-0476;SRC-0477,"ML112440588 reviewed-document list; NUREG-1793 Initial FSER Ch.5 p.5-84, Ch.7 §7.6.1 p.7-59 and Ch.19 pp.19-119/120",SEARCH_REQUIRED,"current Unit-3 implementation of the 450-psig opening threshold; exact outer-valve pressure-transmitter tag/channel and proof of diversity from the inner-valve transmitter; current Unit-3 confirmation/contact mapping for RNS-PL-V023 suction and RNS-PL-V024 return/discharge permissives; logic nodes/voting path; close actuation path; manual command path; feedback/limit-switch contacts; alarms; bypass/test logic; PMS cabinet/CIM/rack/slot/channel; current functional-diagram revision","Do not treat the initial-FSER historical 125-Vdc statement as current—it is superseded by the controlled 250-Vdc design change. Do not import European A/B-suffixed V023/V024 variants into Vogtle Unit 3, and do not assign exact current PMS points merely from design-basis logic.","Resolved at AP1000 design-basis level: opening is inhibited above 3.21 MPa (450 psig); RNS-PL-V023 is the IRWST suction cross-connect and RNS-PL-V024 is the IRWST return/discharge cross-connect; both cross-connect paths must be closed for hot-leg suction valve opening; power is administratively blocked at the MCC during conditions where inadvertent opening must be prevented; inner and outer valve interlocks use diverse pressure transmitters. The remaining task is current Unit-3 logic/hardware mapping."
PXS-U3-RNSFUNC-004,APP-PV01-Z0D-116 / APP-PV01-VBR-011 / APP-PV01-VBR-012,PV01 flex-wedge-gate/Limitorque candidate package for RNS hot-leg suction valves,"Z0D-116 Rev.5; VBR-011/-012 reviewed revisions identified by NRC","NRC directly identifies the PV01 flex-wedge gate/Limitorque qualification package and lists Z0D-116 among the reviewed PV01 datasheets; a separate secondary valve list maps Z0D-116 to four RCS hot-leg suction isolation valves, making this the strongest vendor-family candidate but not yet a tag-specific assignment","Primary NRC document list plus secondary discovery mapping",UNRESOLVED,SRC-0464;SRC-0465;SRC-0466;SRC-0469,"ML20042E292 PV01 document list and PO-change lineage; ML112440588 PV01 master-spec bridge; ML17226A034 sibling RNS-PL-V001A PV01 qualification; ML16307A159 Vogtle PV01 procurement; secondary AP1000 valve-list discovery only",SEARCH_REQUIRED,"primary V001A/B/V002A/B-to-Z0D-116 cross-reference; exact Flowserve valve model/serial; actuator Limitorque model/serial if applicable; motor voltage/current/HP; current Unit-3 confirmation of 10-inch nominal size; valve class/material; gear ratio; stem data; limit/torque switch arrangement; qualified orientation; EQ limits; setup/setpoint calculation IDs","Flowserve may be carried only as the Vogtle PV01 procurement/vendor family; Westinghouse generic design may carry 250-mm DN / 10-inch for the V002 tag family; do not promote exact Flowserve model/serial, Limitorque, materials, or datasheet 116 to Unit-3 V002B until a primary tag-specific cross-reference is recovered","PV01 itself and Flowserve as the Vogtle PV01 prime supplier are resolved through independent complete-population evidence. Westinghouse generic AP1000 documentation now independently supports 250-mm DN / 10-inch and fail-as-is for V002A/B (SRC-0494), but the V002B Z0D-116/model/serial/actuator subfamily and current Unit-3 mechanical confirmation remain open."
PXS-U3-RNSFUNC-005,APP-PV01-Z0-001,PV01 master specification bridge for the RNS V001/V002 MOV requirement set,"NRC reviewed Rev.1 during the 2011 design inspection; later PV01 revisions exist and current Unit-3 applicable revision must still be reconciled","NRC explicitly states it compared APP-RNS-M3C-100 with APP-PV01-Z0-001 to verify the RNS safety-related valve requirements were consistent with the PV01 motor-operated gate/globe valve specification. This closes the design commodity/specification family while leaving the individual datasheet/vendor unresolved.","ML112440588 design-review narrative directly establishes the RNS-to-PV01 master-spec relationship",CORROBORATED_PUBLIC,SRC-0465,"ML112440588 design-review narrative",SEARCH_REQUIRED,"current Unit-3 applicable PV01 master-spec revision; V002B-specific datasheet reference; procurement/valve-set identifier; specification class/commodity code; cross-reference into setup/EQ/QA records","Do not use the master specification alone to assign APP-PV01-Z0D-116, exact Flowserve model/serial, Limitorque, actuator size, valve materials, motor ratings or serial numbers","This row exists to keep 'PV01 family resolved' separate from 'PV01 datasheet/vendor subfamily unresolved.'"
PXS-U3-RNSFUNC-006,SV3-PV01-VDR-000002,Current Unit-3 PV01 valve setup information record,Rev.2,"Current Unit-3 controlled valve-setup document is the highest-value retrieval target for connecting a plant valve tag to its PV01 datasheet and installed/setup attributes without relying on sibling inference","NRC Unit-3 EQ/as-built inspection document list identifies SV3-PV01-VDR-000002 Rev.2 as 'PV01 - Valve Information for Valve Set-up' alongside current Unit-3 PV01 qualification data packages",VERIFIED_PUBLIC,SRC-0468,"ML22193A291 reviewed-document list",SEARCH_REQUIRED,"RNS-PL-V002B row if present; PV01 datasheet number; valve manufacturer/model/serial; nominal valve size; Limitorque or other actuator model/serial; motor manufacturer/model; nameplate voltage; FLA/LRA; horsepower; stem diameter/pitch; gear ratio; torque/thrust setup; torque-switch and limit-switch settings; qualified orientation; mounting details; SPDS/setup calculation and assembly drawing cross-references","Do not assume RNS-PL-V002B is present merely because this is a current Unit-3 PV01 setup document; do not transfer rows from PXS/ADS PV01 valves","Search the VDR index/rows and any inspection packages that cite this VDR with a named RNS valve before promotion."
PXS-U3-RNSFUNC-007,SV0-PV01-Z5-010,Controlled change to Vogtle PV01 Flowserve purchase order 4500319052,2018-04-13,"The change record acts directly on the Vogtle-wide PV01 procurement order and may enumerate affected valve sets, datasheets, configuration changes, vendor drawing/release references or substitutions that reconcile the original 98-valve purchase population to later/current AP1000 configuration","NRC ML20042E292 reviewed-document list explicitly identifies SV0-PV01-Z5-010 as 'Change to Purchase Order #4500319052'",VERIFIED_PUBLIC,SRC-0469,"ML20042E292 PV01 reviewed-document list",SEARCH_REQUIRED,"affected PV01 datasheet numbers and tag groups; whether Z0D-116 is listed; supplier/manufacturer changes if any; valve/operator configuration changes; revised vendor drawing/VDR/VQQ references; serial or purchase-line identifiers; Unit-3/Unit-4 applicability","Do not assume the 2018 PO change affected V002B or datasheet 116 merely because it modifies the Vogtle PV01 purchase order","Use with original PO 4500319052 and SV3-PV01-VDR-000002; a tag/datasheet list in this change could provide the missing complete-set bridge."
PXS-U3-RNSFUNC-008,"SV0-PV01-M3C-116 / SV0-PV01-T9-116 / SV0-PV01-Z0C-116 (candidate names only)",Candidate minimum-thrust / set-point-data / valve-setup artifact family for PV01 Datasheet 116,"UNCONFIRMED document identities derived only from an observed naming pattern","NRC publicly identifies actual Vogtle setup artifacts using the same suffix convention for confirmed PV01 datasheets 099 and 110, creating a targeted way to search for a 116-specific setup record without guessing its contents","ML21133A105 identifies M3C/T9/Z0C artifacts for datasheets 099 and 110; no -116 artifact was found in the public reviewed-document text or exact-name searches",UNRESOLVED,SRC-0472,"ML21133A105 pp.56-60 PV01 calculations/set-point document list",SEARCH_REQUIRED,"whether any -116 M3C/T9/Z0C artifact actually exists; exact title/revision/date; applicability to Vogtle 3/4; contained valve tags/serials; required thrust; actuator/motor setup; torque/limit switch settings; referenced VDR/VQQ/assembly drawing","The candidate filenames are search keys only. Do not cite them as existing documents, do not use the 099/110 numerical values for V002B, and do not use a recovered -116 artifact as V002B evidence unless it explicitly contains V002B or the complete V001/V002 set","This row narrows future retrieval. A confirmed -116 setup record could bridge datasheet 116 into installed configuration, but tag applicability still requires explicit evidence."
PXS-U3-RNSFUNC-009,APP-PV01-VDR-000001,PV01 motor-actuator sizing calculation package,Rev.2 dated 2017-06-07,"NRC identifies this controlled Westinghouse document as 'PV01 Motor Actuated Valves Actuator Sizing Calculations (including RAL-1097)'. Its internal calculation rows are a plausible direct source for actuator sizing inputs/outputs and datasheet-to-operator relationships across the PV01 MOV population.","ML21133A105 reviewed this document in the Unit-3 MOV/PST engineering population together with the Flowserve flex-wedge/Limitorque EQ report and Vogtle MOV thrust/setup records",UNRESOLVED,SRC-0478,"ML21133A105 pp.56 and 59",SEARCH_REQUIRED,"whether V002B or the V001/V002 set is included; associated PV01 datasheet; RAL-1097 row/calculation identifier; actuator make/model/size; stem diameter/pitch; gear ratio; required/available thrust or torque; motor capability assumptions; design differential pressure; margins; switch/setup references","Document identity and PV01 population-level relevance are not V002B applicability. Do not assign RAL-1097, Limitorque model/size, actuator ratio, thrust, torque, motor data, or Datasheet 116 without an explicit V002B or complete-set row/cross-reference.","Exact public searches for V002B, Z0D-116 and RAL-1097 did not expose an internal row. Treat the calculation as a controlled high-value retrieval target."
PXS-U3-RNSFUNC-010,WCAP-18549,Vogtle Units 3 and 4 MOV minimum-required-thrust report,July 2020,"Plant-specific title makes this a strong candidate for recovering minimum required thrust, methodology and valve/tag or datasheet mapping used to set/verify Vogtle MOV margins before startup.","NRC lists WCAP-18549 by title/date in the Unit-3 MOV/PST review alongside PV01 actuator-sizing, EQ and startup setup calculations",UNRESOLVED,SRC-0478,"ML21133A105 pp.56 and 59",SEARCH_REQUIRED,"table of included MOV tags/datasheets; RNS-PL-V002B presence; required opening/closing thrust; EPRI PPMc/MIDAS methodology references; design-basis DP/load inputs; uncertainty/margin; relationship to SPDS/setup calculations and SV3-RNS-T0W-1237493","Do not assume every Vogtle MOV is included merely from the title. Do not copy thrust values from other valve rows, infer Limitorque, or use this report as a V002B-to-Datasheet-116 bridge unless the internal table explicitly makes that connection.","Public NRC text exposes only the report identity/title/date, not the internal thrust table."
