item_id,parent_id,part_or_assembly_name,object_type,quantity,configuration,relationship,evidence_state,source_ids,source_locator,status,notes
IHP-001,RCS-RV,Integrated Head Package,integrated_head_package,1,AP1000-DCD-R19-GENERIC,Mounted on reactor vessel closure head and moved with head during refueling,VERIFIED_PUBLIC,SRC-0002;SRC-0003,DCD Rev.19 Sec.3.9.7 / NUREG-1793 Ch.3 Sec.3.9.7,ACTIVE,AP1000 installed design; do not rename as Simplified Head Assembly
IHP-002,IHP-001,Lifting rig,lifting_rig,1,AP1000-DCD-R19-GENERIC,Interfaces IHP/reactor-vessel head to polar crane,VERIFIED_PUBLIC,SRC-0002;SRC-0003,DCD Rev.19 Sec.3.9.7 and Sec.9.1.5 / NUREG-1793 Ch.3,ACTIVE,Special lifting-rig details to be decomposed
IHP-003,IHP-002,Lift leg set,lift_leg_set,UNRESOLVED,AP1000-DCD-R19-GENERIC,Transfers head load from head attachment lugs through CRDM seismic-support structure to lift rig,VERIFIED_PUBLIC,SRC-0002,DCD Rev.19 Sec.3.9.7 incorporating APP-GW-GLN-014,ACTIVE,Exact count/section/material/joints unresolved
IHP-004,IHP-002,Sling block,sling_block,1,AP1000-DCD-R19-GENERIC,Part of lifting-system load path to polar crane hook,VERIFIED_PUBLIC,SRC-0002,DCD Rev.19 Sec.3.9.7 incorporating APP-GW-GLN-014,ACTIVE,Geometry/material unresolved
IHP-005,IHP-002,Clevis set,clevis_set,UNRESOLVED,AP1000-DCD-R19-GENERIC,Connects lifting-system members,VERIFIED_PUBLIC,SRC-0002,DCD Rev.19 Sec.3.9.7 incorporating APP-GW-GLN-014,ACTIVE,Count/pins/bushings/retainers unresolved
IHP-006,IHP-002,Sling rod set,sling_rod_set,UNRESOLVED,AP1000-DCD-R19-GENERIC,Connects sling block/lift structure to polar-crane interface,VERIFIED_PUBLIC,SRC-0002,DCD Rev.19 Sec.3.9.7 incorporating APP-GW-GLN-014,ACTIVE,Count/diameter/threading unresolved
IHP-007,IHP-001,CRDM seismic restraint structure,seismic_restraint_structure,1,AP1000-DCD-R19-GENERIC,Supports/restraints CRDM housings and participates in IHP load path,VERIFIED_PUBLIC,SRC-0002;SRC-0003,DCD Rev.19 Sec.3.9.7 / NUREG-1793 Ch.3,ACTIVE,Member-by-member structure and attachment hardware unresolved
IHP-008,IHP-001,Outer shroud / protective shroud,protective_shroud,1,AP1000-DCD-R19-GENERIC,Protects CRDMs from external missiles/high-energy-line effects and channels cooling airflow,VERIFIED_PUBLIC,SRC-0002;SRC-0004,DCD Rev.19 Sec.4.6 and current Vogtle UFSAR Ch.4,ACTIVE,Panels/access doors/joints/supports unresolved
IHP-009,IHP-001,CRDM cooling shroud/duct path,cooling_air_path,1,AP1000-DCD-R19-GENERIC,Directs cooling airflow past CRDM coils,VERIFIED_PUBLIC,SRC-0002;SRC-0004,DCD Rev.19 Secs.3.9.7/4.6 and Vogtle UFSAR Ch.4,ACTIVE,Current fan mounting is separate from obsolete early IHP-mounted-fan depiction
IHP-010,IHP-001,CRDM cooling fan system boundary,cooling_fan_boundary,1,AP1000-DCD-R19-GENERIC,Cooling fans supply IHP shroud airflow from adjacent/support structure,VERIFIED_PUBLIC,SRC-0002,DCD Rev.19 configuration incorporating APP-GW-GLN-014,BOUNDARY,Fan equipment/tag/power/control/support details to be owned by HVAC/electrical package once source-resolved
IHP-011,IHP-001,Reactor head vent piping support,pipe_support_system,1,AP1000-DCD-R19-GENERIC,Supports high-energy reactor-vessel-head vent line through IHP,VERIFIED_PUBLIC,SRC-0002;SRC-0004,DCD Rev.19 Sec.3.9.7 / Vogtle UFSAR Ch.4,ACTIVE,Pipe and valves owned by RCS/head-vent system; IHP owns support/quick-disconnect interface
IHP-012,IHP-001,Head vent rapid-disconnect interface,mechanical_process_disconnect,1,AP1000-DCD-R19-GENERIC,Permits rapid disconnection for vessel-head removal,VERIFIED_PUBLIC,SRC-0002,DCD Rev.19 Sec.3.9.7,ACTIVE,Exact fitting/closure/seal hardware unresolved
IHP-013,IHP-001,CRDM power cable support system,cable_support_system,1,AP1000-DCD-R19-GENERIC,Supports and separates CRDM power cables,VERIFIED_PUBLIC,SRC-0002;SRC-0004,DCD Rev.19 Sec.3.9.7 / Vogtle UFSAR Ch.4,ACTIVE,Individual cables/clamps/trays/guides unresolved
IHP-014,IHP-001,Digital rod position indication cable support system,cable_support_system,1,AP1000-DCD-R19-GENERIC,Supports rod-position signal cables and maintains required separation,VERIFIED_PUBLIC,SRC-0002;SRC-0004,DCD Rev.19 Secs.3.9.7/4.6 / Vogtle UFSAR Ch.4,ACTIVE,Connector-panel and cable schedule unresolved
IHP-015,IHP-001,In-core instrumentation cable/connector support,cable_support_system,1,AP1000-DCD-R19-GENERIC,Supports fixed incore instrumentation cabling and connector interfaces near Quickloc penetrations,VERIFIED_PUBLIC,SRC-0002,DCD Rev.19 Sec.3.9.7 and IIS descriptions,ACTIVE,Revision-17/19 configuration must not import obsolete incore guide-tube support arrangement
IHP-016,IHP-001,Cable support structure with removable guides,cable_management_structure,1,AP1000-DCD-R19-GENERIC,Supports temporary routing/retraction of cables during refueling,VERIFIED_PUBLIC,SRC-0002,DCD Rev.19 configuration incorporating APP-GW-GLN-014,ACTIVE,Obsolete early cable-bridge description is not modeled as current hardware
IHP-017,IHP-001,Connector panel set,electrical_connector_panel,UNRESOLVED,AP1000-DCD-R19-GENERIC,Provides quick-disconnect points for head electrical/I&C cables,VERIFIED_PUBLIC,SRC-0002,DCD Rev.19 Sec.3.9.7 / refueling descriptions,ACTIVE,Panel count/connectors/pinout/mounting unresolved
IHP-018,IHP-001,Stud-hoist rail,maintenance_rail,1,AP1000-DCD-R19-GENERIC,Supports individual stud-hoist/tensioner equipment during head disassembly/reassembly,VERIFIED_PUBLIC,SRC-0002,DCD Rev.19 configuration incorporating APP-GW-GLN-014,ACTIVE,Rail section/support brackets/stops/fasteners unresolved
IHP-019,IHP-001,Head-stud tensioner/detensioner support interface,maintenance_tool_support,1,AP1000-DCD-R19-GENERIC,Supports vessel-head stud tensioning equipment during refueling,VERIFIED_PUBLIC,SRC-0002;SRC-0003,DCD Rev.19 Sec.3.9.7 / NUREG-1793 Ch.3,ACTIVE,Tensioner tool itself belongs maintenance tooling registry
IHP-020,IHP-001,Head insulation package,thermal_insulation,1,AP1000-DCD-R19-GENERIC,Insulates reactor-vessel closure head within IHP load/clearance envelope,VERIFIED_PUBLIC,SRC-0002;SRC-0003,DCD Rev.19 Sec.3.9.7 / NUREG-1793 Ch.1,ACTIVE,Panel geometry/support clips/removable sections unresolved
IHP-021,IHP-001,CRDM/guide-tube shielded cover set,radiation_shielding,UNRESOLVED,AP1000-DCD-R19-GENERIC,Provides radiation shielding around head-mounted instrumentation/CRDM work interfaces,VERIFIED_PUBLIC,SRC-0002,DCD Rev.19 IHP configuration,ACTIVE,Exact count/configuration/material unresolved
IHP-022,IHP-001,Inspection/access door set,access_panel_set,UNRESOLVED,AP1000-DCD-R19-GENERIC,Provides access for CRDM/ICI/bare-metal head inspection and maintenance,VERIFIED_PUBLIC,SRC-0002,DCD Rev.19 IHP/refueling provisions,ACTIVE,Door count/latches/hinges/seals unresolved
IHP-023,IHP-001,IHP storage-stand interface,storage_support_interface,1,VOGTLE-3-CURRENT-PUBLIC,Supports head/IHP assembly in containment during refueling,VERIFIED_PUBLIC,SRC-0004,Vogtle UFSAR/refueling and plant construction basis,BOUNDARY,Storage-stand assembly to be decomposed in mechanical-handling package
IHP-024,IHP-001,Simplified Head Assembly retrofit product,reference_only_noninstalled_product,0,REFERENCE_ONLY,Westinghouse retrofit family that back-fits IHP-like features to existing plants,UNRESOLVED,SRC-0002,Not part of AP1000 certified configuration,REFERENCE_ONLY,Do not instantiate in AP1000 plant model; maintain only as terminology/design-comparison note
