object_id,parent_id,name,object_type,quantity,system_id,nominal_dimension_or_description,evidence_state,source_ids,source_locator,status,notes
PXS-ASSEMBLY,PLANT-AP1000-R19,Passive Core Cooling System,system_assembly,1,SYS-PXS,"CMTs; accumulators; IRWST; DVI; PRHR; sump/recirculation interfaces",VERIFIED_PUBLIC,SRC-0401;SRC-0402,NUREG-1793 Ch.6 Sec.6.3 / DCD Rev.19 Sec.6.3,ACTIVE,Canonical PXS graph root
PXS-CMT-A,PXS-ASSEMBLY,Core Makeup Tank A,core_makeup_tank,1,SYS-PXS,"Minimum free internal volume 2500 ft3; high-pressure borated-water source",VERIFIED_PUBLIC,SRC-0011;SRC-0401;SRC-0402,NUREG-1793 Ch.5 Sec.5.4.13 / Ch.6 Sec.6.3.2.1 / DCD Table 6.3-2,ACTIVE,Stable canonical object ID
PXS-CMT-B,PXS-ASSEMBLY,Core Makeup Tank B,core_makeup_tank,1,SYS-PXS,"Minimum free internal volume 2500 ft3; high-pressure borated-water source",VERIFIED_PUBLIC,SRC-0011;SRC-0401;SRC-0402,NUREG-1793 Ch.5 Sec.5.4.13 / Ch.6 Sec.6.3.2.1 / DCD Table 6.3-2,ACTIVE,Stable canonical object ID
PXS-CMT-INJ-A,PXS-CMT-A,CMT injection path A,pipe_run,1,SYS-PXS,"Includes parallel fail-open AOVs; two series in-line/nozzle check valves; tuning orifice; DCP-864 flow-test valve hardware",VERIFIED_PUBLIC,SRC-0401;SRC-0404;SRC-0424,NUREG-1793 initial topology / Unit-3 nozzle-check evidence / DCP 864 inspection,ACTIVE,Early tilt-disc check description is superseded by DCD-incorporated in-line/nozzle check design
PXS-CMT-INJ-B,PXS-CMT-B,CMT injection path B,pipe_run,1,SYS-PXS,"Includes parallel fail-open AOVs; two series in-line/nozzle check valves; tuning orifice; DCP-864 flow-test valve hardware",VERIFIED_PUBLIC,SRC-0401;SRC-0404;SRC-0424,NUREG-1793 initial topology / Unit-3 nozzle-check evidence / DCP 864 inspection,ACTIVE,Early tilt-disc check description is superseded by DCD-incorporated in-line/nozzle check design
PXS-ACC-A,PXS-ASSEMBLY,Accumulator A,accumulator_tank,1,SYS-PXS,"2000 ft3; nitrogen-pressurized borated-water source",VERIFIED_PUBLIC,SRC-0401;SRC-0402,NUREG-1793 Ch.6 Sec.6.3.2.2 / DCD Table 6.3-2,ACTIVE,
PXS-ACC-B,PXS-ASSEMBLY,Accumulator B,accumulator_tank,1,SYS-PXS,"2000 ft3; nitrogen-pressurized borated-water source",VERIFIED_PUBLIC,SRC-0401;SRC-0402,NUREG-1793 Ch.6 Sec.6.3.2.2 / DCD Table 6.3-2,ACTIVE,
PXS-ACC-INJ-A,PXS-ACC-A,Accumulator injection path A,pipe_run,1,SYS-PXS,"Normally open isolation MOV; tuning orifice; two series swing-disc check valves",VERIFIED_PUBLIC,SRC-0401;SRC-0404,NUREG-1793 Ch.6 Sec.6.3.2.2 / Vogtle swing-check fabrication evidence,ACTIVE,Individual valve objects remain in detailed register until promoted
PXS-ACC-INJ-B,PXS-ACC-B,Accumulator injection path B,pipe_run,1,SYS-PXS,"Normally open isolation MOV; tuning orifice; two series swing-disc check valves",VERIFIED_PUBLIC,SRC-0401;SRC-0404,NUREG-1793 Ch.6 Sec.6.3.2.2 / Vogtle swing-check fabrication evidence,ACTIVE,
PXS-IRWST,PXS-ASSEMBLY,In-containment Refueling Water Storage Tank,water_storage_tank,1,SYS-PXS,"Minimum credited water volume 73900 ft3; nominal FSER inventory 78900 ft3",VERIFIED_PUBLIC,SRC-0401;SRC-0402,NUREG-1793 Ch.6 Sec.6.3.2.3 / DCD Rev.19 Table 6.3-2,ACTIVE,Credited minimum and nominal inventory remain distinct
