record_id,target,site_record,evidence_state,source_ids,status,resolved_now,remaining_closure,promotion_rule,do_not_infer,notes
"PXS-U3-RNS-PLW022-001","Large-bore RNS installation package/isometric population","SV3-RNS-P0W-ME2829 -> SV3-RNS-PLW-022; SV3-RNS-PLW-023; SV3-RNS-PLW-07A",VERIFIED_PUBLIC,"SRC-0781",ACTIVE_RETRIEVAL_ROUTE,"Unit-3 construction inventory directly maps ME2829 to installation of large-bore RNS piping and explicitly lists PLW-022, PLW-023 and PLW-07A as included isometrics","Recover ME2829 travelers and all three isometrics with revision blocks, line numbers, valve/equipment tags, spool/fitting lists, welds, materials, dimensions/elevations/rooms, test boundaries and final completion status","Promote a valve, line, spool, weld or fitting onto one of these isometrics only when ME2829 or the applicable drawing explicitly prints the relationship","Do not treat the three isometrics as one continuous run or assign V022/P19/common-header service from package title alone","This narrows the large-bore common-suction search to a controlled three-isometric construction cluster without forcing tag placement."
"PXS-U3-RNS-PLW022-002","PLW-022 pipe-support package","SV3-RNS-PHW-861884 -> SV3-RNS-PLW-022",VERIFIED_PUBLIC,"SRC-0782",ACTIVE_RETRIEVAL_ROUTE,"Unit-3 construction inventory directly maps PHW-861884 to fabrication/installation of B31.1 pipe supports for PLW-022","Recover PHW-861884 index/drawings and enumerate each support tag, supported line/spool, support type, pipe attachment, structural attachment, plates/members/bolts/welds, anchors/embeds, loads/reactions, coordinates/elevations and final inspection/turnover status","Assign a support to V022, P19/common-header piping or a particular PLW-022 spool only when the support package or isometric prints the relationship","Do not infer support ownership from proximity, numbering, valve mass or generic large-bore service","This is a direct support-package identity, not yet a valve-support or common-header geometry bridge."
"PXS-U3-RNS-PLW022-003","V022 relationship to PLW-022 construction cluster","RNS-PL-V022 vs SV3-RNS-PLW-022 / ME2829",CORROBORATED_PUBLIC,"SRC-0746;SRC-0748;SRC-0781",TAG_TO_ISOMETRIC_NOT_CLOSED,"V022 is independently resolved as the Unit-3 RNS suction-header motor-operated containment-isolation valve, while PLW-022 is independently resolved as a large-bore RNS isometric within ME2829","Recover PLW-022/ME2829 and current Unit-3 RNS P&ID/functional-arrangement content to identify V022's actual line number, upstream/downstream spools, orientation, branch-split relationship and drawing cross-references","Promote V022 onto PLW-022 only if a direct Unit-3 drawing/work-package record prints V022 or an independently controlled V022 line number on PLW-022","Do not map V022 to PLW-022 because the tag and drawing share number 022, because both concern large-bore RNS piping, or because V022 lies on the common suction header","The numerical tag/isometric coincidence is specifically non-evidence."
"PXS-U3-RNS-PLW022-004","P19/common-header relationship to PLW-022 cluster","SV3-RNS-PY-C01/P19 -> common suction header -> V022 vs ME2829 isometrics",CORROBORATED_PUBLIC,"SRC-0730;SRC-0746;SRC-0781",SPATIAL_BRIDGE_REQUIRED,"P19 and the P19-to-V022 common-header functional sequence are independently controlled, and ME2829 supplies a direct large-bore RNS site-isometric cluster","Recover PLW-022/023/07A plus P19 weld/location drawings and current RNS P&ID to determine which isometric, if any, carries the P19 process pipe, common header, V022 and downstream split","Require a direct drawing/package join before freezing penetration-to-valve distance, fittings, welds, line number, supports or coordinates","Do not assume PLW-022 crosses P19 or that ME2829 contains the entire P19-to-pump-split route","This row keeps the construction cluster useful without collapsing separate penetration and process-piping evidence."
"PXS-U3-RNS-PLW022-005","Current functional-arrangement reconciliation route","SV3-RNS-M6-001 Rev.4 / SV3-RNS-M6K-FA201 Rev.0",VERIFIED_PUBLIC,"SRC-0613;SRC-0781",HIGH_PRIORITY_RETRIEVAL,"NRC reviewed the current Unit-3 RNS P&ID and its RCS ITAAC functional-arrangement sketch together; ME2829 independently identifies the large-bore site-isometric cluster","Recover the P&ID/sketch content and extract V022, P19, line-number transitions and isometric/drawing callouts; reconcile those callouts to PLW-022/023/07A","Use the P&ID/sketch as the tag/functional bridge and the site isometric/work package as the physical-geometry bridge; require agreement before promotion","Do not substitute a reviewed-document title for the missing drawing contents or infer a cross-reference that has not been recovered","This is currently the shortest controlled route to a true V022/P19-to-isometric bridge."
"PXS-U3-RNS-PLW022-006","PLW-023 support-size discriminator","SV3-RNS-PHW-850023 -> SV3-RNS-PLW-023",VERIFIED_PUBLIC,"SRC-0783",ACTIVE_RETRIEVAL_ROUTE,"Unit-3 construction inventory directly maps PHW-850023 to PLW-023 and describes the support scope as 3-inch large-bore piping","Recover PLW-023 and PHW-850023 to identify actual line number/service, pipe size transitions if any, spool/fitting/weld population, support tags and coordinates","Treat 3-inch only as the public support-package scope until the isometric itself establishes line sizes and service","Do not infer that the whole isometric is uniformly 3-inch or map V021 onto PLW-023 because V021 is independently known as a 3-inch relief valve","This provides a useful discriminator inside ME2829 without becoming a tag-to-isometric bridge."
"PXS-U3-RNS-PLW022-007","V021 relationship to PLW-023 size clue","RNS-PL-V021 vs SV3-RNS-PLW-023 / PHW-850023",CORROBORATED_PUBLIC,"SRC-0716;SRC-0781;SRC-0783",TAG_TO_ISOMETRIC_NOT_CLOSED,"V021 is independently resolved as the retained 3-inch RNS hot-leg suction relief valve and PLW-023 independently has a 3-inch large-bore support-package description within the ME2829 cluster","Recover PLW-023, ME2829 travelers and post-Amendment-104 change/revision records to determine whether V021, V020, another 3-inch RNS line or a size transition is actually present","Promote V021 to PLW-023 only when the site drawing/work package directly prints V021 or an independently controlled V021 line number on that isometric","Do not use size coincidence as identity evidence and do not move the existing PLW-021/L040 candidate bridge onto PLW-023 without a controlled revision/change record","This row captures the new clue while explicitly preventing a seductive but unsupported V021 placement."
"PXS-U3-RNS-PLW022-008","Adjacent large-bore PLW-024 installation package","SV3-RNS-P0W-ME2830 -> SV3-RNS-PLW-024",VERIFIED_PUBLIC,"SRC-0785",ACTIVE_RETRIEVAL_ROUTE,"Unit-3 construction inventory directly maps ME2830 to installation of large-bore RNS piping on PLW-024","Recover ME2830 travelers and PLW-024 with line numbers, valve/equipment tags, spool/fitting/weld lists, dimensions/elevations/rooms, materials, test boundaries and revision history","Promote PLW-024 into the V022/P19/LTOP geometry only if the drawing or a controlled cross-reference explicitly joins it to a target tag/line","Do not infer common-header, V022, V021, V020 or P19 service from adjacency to ME2829 or numerical sequence","PLW-024 is now a controlled adjacent search target, not a target-tag bridge."
"PXS-U3-RNS-PLW022-009","PLW-024 pipe-support package","SV3-RNS-PHW-861885 -> SV3-RNS-PLW-024",VERIFIED_PUBLIC,"SRC-0786",ACTIVE_RETRIEVAL_ROUTE,"Unit-3 construction inventory directly maps PHW-861885 to fabrication/installation of B31.1 pipe supports for PLW-024","Recover PHW-861885 index/drawings and enumerate support tags, supported line/spool, support type, pipe/structural attachments, hardware, anchors/embeds, loads/reactions, coordinates/elevations and turnover status","Assign a support to any target valve/common-header line only when the support package or isometric explicitly maps it","Do not infer valve support ownership or functional service from the existence of the support package","This gives PLW-024 an independent support-package anchor."
"PXS-U3-RNS-PLW022-010","RNS isometric shop-weld change-control route","APP-RNS-GEF-850028 Rev.0",VERIFIED_PUBLIC,"SRC-0784",CHANGE_CONTROL_RETRIEVAL,"NRC reviewed the RNS E&DCR/GEF titled Revise RNS Isos for Shop Welds together with the Unit-3 RNS line-designation table and sampled RNS isometrics","Recover GEF-850028 to enumerate every affected isometric, weld deletion/addition/relocation, revision instruction and implementation record; compare its affected-isometric list against PLW-021/022/023/024/07A","Apply a GEF revision to a target isometric only if the recovered GEF explicitly names that drawing/revision","Do not assume all RNS isometrics or any target tag were affected merely because the GEF title is system-wide","This is the first explicit public RNS-isometric GEF route found in the current geometry hunt."
