record_id,system_path,weld_id,component_or_line,nominal_size,material_or_joint,inspection_or_record,evidence_state,source_ids,source_locator,status,remaining_targets,notes
PXS-U3-WELD-001,DVI-B common injection header,SV3-PXS-PLW-022-SW3,PXS DVI-B line,,pipe-to-elbow; ASME Class 1 Category B-J,Manual UT reports 19-000941 and 19-000942,VERIFIED_PUBLIC,SRC-0406,ML19135A691 Operational Readiness Sec.3P01,ACTIVE,Exact pipe/elbow heat numbers; weld filler; WPS; welder ID; coordinates; support proximity,Public preservice inspection record identifies 0-degree and 45-degree UT examinations
PXS-U3-WELD-002,DVI-B common injection header,SV3-PXS-PLW-022-FW4,PXS DVI-B line,,elbow-to-pipe; ASME Class 1 Category B-J,Manual UT reports 19-000965 and 19-000966,VERIFIED_PUBLIC,SRC-0406,ML19135A691 Operational Readiness Sec.3P01,ACTIVE,Exact pipe/elbow heat numbers; weld filler; WPS; welder ID; coordinates; support proximity,Public preservice inspection record identifies 0-degree and 45-degree UT examinations
PXS-U3-WELD-003,DVI-B to reactor vessel,SV3-PXS-PLW-025-FW1,PXS DVI-B terminal line,,elbow-to-pipe; ASME Class 1 Category B-J,Manual UT reports 19-000984 and 19-001085,VERIFIED_PUBLIC,SRC-0406,ML19135A691 Operational Readiness Sec.3P01,ACTIVE,Exact heat numbers; weld filler; WPS; welder ID; coordinates; vessel-nozzle-side geometry,Public preservice inspection record identifies 0-degree and 45-degree UT examinations
PXS-U3-WELD-004,PRHR return,FW-10,PXS-L104A to PXS-L104B,,,Observed production weld / installation inspection,VERIFIED_PUBLIC,SRC-0406,ML19135A691 Unit-4 inspection Sec.1A40 used as AP1000 configuration evidence; Unit-3 line mapping remains separate,REFERENCE_ONLY,Unit-3 exact homologous weld ID and location,Do not promote Unit-4 field-weld identifier into Unit-3 geometry without Unit-3 record
PXS-U3-WELD-005,PRHR return,FW-14,PXS-PL-V108A into PXS-L104A,,,Observed production weld / installation inspection,VERIFIED_PUBLIC,SRC-0406,ML19135A691 Unit-4 inspection Sec.1A40,REFERENCE_ONLY,Unit-3 exact homologous weld ID and location,Valve-family topology is current; this specific field-weld identifier is Unit-4 evidence
PXS-U3-WELD-006,PRHR return,FW-3,PXS-PL-V108B into PXS-L104B,,,Observed production weld / installation inspection,VERIFIED_PUBLIC,SRC-0406,ML19135A691 Unit-4 inspection Sec.1A40,REFERENCE_ONLY,Unit-3 exact homologous weld ID and location,Valve-family topology is current; this specific field-weld identifier is Unit-4 evidence
PXS-U3-WELD-007,PRHR inlet / RCS interface,SV3-RCS-PLW-034-1,PXS-PL-V101 to RCS-PL-L134,14 in,316LN piping; ER316L filler,Manual GTAW installation/welding inspection,VERIFIED_PUBLIC,SRC-0406,ML19135A691 Unit-3 Sec.1A12,ACTIVE,Valve-side weld geometry; weld profile; support distance; insulation; NDE report identifier,Unit-3 production inspection verified flow direction and closed position against vendor manual
PXS-U3-WELD-008,ADS sparger A discharge,SV3-PXS-PLW-070-3,PXS-PL-L130A,16 in,304L stainless; pipe-to-elbow; ER308L filler,Production GTAW inspection and weld data sheet,VERIFIED_PUBLIC,SRC-0406,ML19135A691 Unit-3 Sec.1A01,ACTIVE,Exact pipe/elbow heat numbers; support coordinates; weld profile; NDE report identifier,Associated with ADS piping to sparger A
PXS-U3-WELD-009,ADS sparger A discharge,SV3-PXS-PLW-070-9,PXS-PL-L130A,16 in,304L stainless; pipe-to-pipe; ER308L filler,Production GTAW inspection and weld data sheet,VERIFIED_PUBLIC,SRC-0406,ML19135A691 Unit-3 Sec.1A01,ACTIVE,Exact pipe heat numbers; support coordinates; weld profile; NDE report identifier,Additional piping material was incorporated into the controlled work package
PXS-U3-WELD-010,Accumulator-B discharge,SV3-PXS-PLW-023-1,PXS-L027B upstream of PXS-PL-V027B,8 in,Stainless pressure-boundary field weld,Observed fit-up and welding inspection,VERIFIED_PUBLIC,SRC-0406,ML18226A348 Unit-3 Sec.1A18/1A20,ACTIVE,Exact pipe heat number; filler heat; WPS; welder ID; support distance; weld profile,Upstream field weld joining accumulator-B discharge piping to V027B
PXS-U3-WELD-011,Accumulator-B discharge,SV3-PXS-PLW-024-1,PXS-L029B downstream of PXS-PL-V027B,8 in; 0.906 in wall,Stainless pressure-boundary field weld,Computed radiography report V-18-RT-302-0242 plus fit-up/welding inspection,VERIFIED_PUBLIC,SRC-0406,ML18226A348 Unit-3 Sec.1A18/1A20,ACTIVE,Exact pipe heat number; filler heat; WPS; welder ID; support distance; weld profile,Downstream field weld from V027B; inspected against ASME Section III upgraded Class-2 weld designation
PXS-U3-WELD-012,PRHR return,SV3-PXS-PLW-041-4,PXS-PL-V108B on PXS-L104B,,Valve-to-pipe field weld,Fit-up and installation inspection,VERIFIED_PUBLIC,SRC-0406,ML18226A348 Unit-3 Sec.1A20,ACTIVE,Exact adjacent spool ID; pipe heat; filler; WPS; NDE report; support distance; weld profile,Unit-3 inspection verified V108B location orientation type and flow direction against drawing/vendor manual
