overlay_id,configuration,plant_tag,owning_system,function_or_stage,component_type,active_function,position_indication,source_ids,source_locator,evidence_state,status,notes
V3-RCS-ADS-001,VOGTLE-3-CURRENT-PUBLIC,RCS-PL-V001A,RCS/ADS,ADS Stage 1 discharge,motor_operated_valve,Transfer Open,safety-related position display,SRC-0205,ITAAC 2.1.02.11a Index 47 equipment list,VERIFIED_PUBLIC,ACTIVE,Plant-specific tag; detailed valve manufacturer/model/size and exact line endpoints remain unresolved
V3-RCS-ADS-002,VOGTLE-3-CURRENT-PUBLIC,RCS-PL-V001B,RCS/ADS,ADS Stage 1 discharge,motor_operated_valve,Transfer Open,safety-related position display,SRC-0205,ITAAC 2.1.02.11a Index 47 equipment list,VERIFIED_PUBLIC,ACTIVE,
V3-RCS-ADS-003,VOGTLE-3-CURRENT-PUBLIC,RCS-PL-V002A,RCS/ADS,ADS Stage 2 discharge,motor_operated_valve,Transfer Open,safety-related position display,SRC-0205,ITAAC 2.1.02.11a Index 47 equipment list,VERIFIED_PUBLIC,ACTIVE,
V3-RCS-ADS-004,VOGTLE-3-CURRENT-PUBLIC,RCS-PL-V002B,RCS/ADS,ADS Stage 2 discharge,motor_operated_valve,Transfer Open,safety-related position display,SRC-0205,ITAAC 2.1.02.11a Index 47 equipment list,VERIFIED_PUBLIC,ACTIVE,
V3-RCS-ADS-005,VOGTLE-3-CURRENT-PUBLIC,RCS-PL-V003A,RCS/ADS,ADS Stage 3 discharge,motor_operated_valve,Transfer Open,safety-related position display,SRC-0205,ITAAC 2.1.02.11a Index 47 equipment list,VERIFIED_PUBLIC,ACTIVE,
V3-RCS-ADS-006,VOGTLE-3-CURRENT-PUBLIC,RCS-PL-V003B,RCS/ADS,ADS Stage 3 discharge,motor_operated_valve,Transfer Open,safety-related position display,SRC-0205,ITAAC 2.1.02.11a Index 47 equipment list,VERIFIED_PUBLIC,ACTIVE,
V3-RCS-ADS-007,VOGTLE-3-CURRENT-PUBLIC,RCS-PL-V004A,RCS/ADS,ADS Stage 4 discharge,squib_valve,UNRESOLVED,safety-related position display,SRC-0205,ITAAC 2.1.02.11a Index 47 equipment list,VERIFIED_PUBLIC,ACTIVE,Do not infer detailed actuation state beyond source until P&ID/ITAAC function wording is mapped line-by-line
V3-RCS-ADS-008,VOGTLE-3-CURRENT-PUBLIC,RCS-PL-V004B,RCS/ADS,ADS Stage 4 discharge,squib_valve,UNRESOLVED,safety-related position display,SRC-0205,ITAAC 2.1.02.11a Index 47 equipment list,VERIFIED_PUBLIC,ACTIVE,
V3-RCS-ADS-009,VOGTLE-3-CURRENT-PUBLIC,RCS-PL-V004C,RCS/ADS,ADS Stage 4 discharge,squib_valve,UNRESOLVED,safety-related position display,SRC-0205,ITAAC 2.1.02.11a Index 47 equipment list,VERIFIED_PUBLIC,ACTIVE,
V3-RCS-ADS-010,VOGTLE-3-CURRENT-PUBLIC,RCS-PL-V004D,RCS/ADS,ADS Stage 4 discharge,squib_valve,UNRESOLVED,safety-related position display,SRC-0205,ITAAC 2.1.02.11a Index 47 equipment list,VERIFIED_PUBLIC,ACTIVE,
V3-RCS-ADS-011,VOGTLE-3-CURRENT-PUBLIC,RCS-PL-V011A,RCS/ADS,ADS Stage 1 isolation,motor_operated_valve,Transfer Open,safety-related position display,SRC-0205,ITAAC 2.1.02.11a Index 47 equipment list,VERIFIED_PUBLIC,ACTIVE,
V3-RCS-ADS-012,VOGTLE-3-CURRENT-PUBLIC,RCS-PL-V011B,RCS/ADS,ADS Stage 1 isolation,motor_operated_valve,Transfer Open,safety-related position display,SRC-0205,ITAAC 2.1.02.11a Index 47 equipment list,VERIFIED_PUBLIC,ACTIVE,
V3-RCS-ADS-013,VOGTLE-3-CURRENT-PUBLIC,RCS-PL-V012A,RCS/ADS,ADS Stage 2 isolation,motor_operated_valve,Transfer Open,safety-related position display,SRC-0205,ITAAC 2.1.02.11a Index 47 equipment list,VERIFIED_PUBLIC,ACTIVE,
V3-RCS-ADS-014,VOGTLE-3-CURRENT-PUBLIC,RCS-PL-V012B,RCS/ADS,ADS Stage 2 isolation,motor_operated_valve,Transfer Open,safety-related position display,SRC-0205,ITAAC 2.1.02.11a Index 47 equipment list,VERIFIED_PUBLIC,ACTIVE,
V3-RCS-ADS-015,VOGTLE-3-CURRENT-PUBLIC,RCS-PL-V013A,RCS/ADS,ADS Stage 3 isolation,motor_operated_valve,Transfer Open,safety-related position display,SRC-0205,ITAAC 2.1.02.11a Index 47 equipment list,VERIFIED_PUBLIC,ACTIVE,
V3-RCS-ADS-016,VOGTLE-3-CURRENT-PUBLIC,RCS-PL-V013B,RCS/ADS,ADS Stage 3 isolation,motor_operated_valve,Transfer Open,safety-related position display,SRC-0205,ITAAC 2.1.02.11a Index 47 equipment list,VERIFIED_PUBLIC,ACTIVE,
V3-RCS-ADS-017,VOGTLE-3-CURRENT-PUBLIC,RCS-PL-V014A,RCS/ADS,ADS Stage 4 isolation/control,motor_operated_valve,UNRESOLVED,safety-related position display,SRC-0205,ITAAC 2.1.02.11a Index 47 equipment list,VERIFIED_PUBLIC,ACTIVE,Exact functional wording to be tied to P&ID and ITAAC test step before graph closure
