port_id,object_id,port_name,port_class,service_or_medium,nominal_size,direction,evidence_state,source_ids,source_locator,status,notes
ADS-PZR-BND-OUT,ADS-PZR-BND,Pressurizer ADS source outlet,process_outlet,reactor coolant steam,,out,VERIFIED_PUBLIC,SRC-0011,NUREG-1793 Ch.5 Sec.5.1.3.7,ACTIVE,
ADS-PZR-HDR-IN,ADS-PZR-HDR,Pressurizer header inlet,process_inlet,reactor coolant steam,,in,VERIFIED_PUBLIC,SRC-0011,NUREG-1793 Ch.5 Sec.5.1.3.7,ACTIVE,
ADS-PZR-HDR-S1A,ADS-PZR-HDR,Stage 1A branch outlet,process_outlet,reactor coolant steam,4 in,out,VERIFIED_PUBLIC,SRC-0007,AP1000 Technical Specification ADS description,ACTIVE,
ADS-PZR-HDR-S1B,ADS-PZR-HDR,Stage 1B branch outlet,process_outlet,reactor coolant steam,4 in,out,VERIFIED_PUBLIC,SRC-0007,AP1000 Technical Specification ADS description,ACTIVE,
ADS-PZR-HDR-S2A,ADS-PZR-HDR,Stage 2A branch outlet,process_outlet,reactor coolant steam,8 in,out,VERIFIED_PUBLIC,SRC-0007,AP1000 Technical Specification ADS description,ACTIVE,
ADS-PZR-HDR-S2B,ADS-PZR-HDR,Stage 2B branch outlet,process_outlet,reactor coolant steam,8 in,out,VERIFIED_PUBLIC,SRC-0007,AP1000 Technical Specification ADS description,ACTIVE,
ADS-PZR-HDR-S3A,ADS-PZR-HDR,Stage 3A branch outlet,process_outlet,reactor coolant steam,8 in,out,VERIFIED_PUBLIC,SRC-0007,AP1000 Technical Specification ADS description,ACTIVE,
ADS-PZR-HDR-S3B,ADS-PZR-HDR,Stage 3B branch outlet,process_outlet,reactor coolant steam,8 in,out,VERIFIED_PUBLIC,SRC-0007,AP1000 Technical Specification ADS description,ACTIVE,
V011A-IN,RCS-PL-V011A,V011A inlet,process_inlet,reactor coolant steam,4 in,in,VERIFIED_PUBLIC,SRC-0002,DCD Rev.19 Tier 1,ACTIVE,
V011A-OUT,RCS-PL-V011A,V011A outlet,process_outlet,reactor coolant steam,4 in,out,VERIFIED_PUBLIC,SRC-0002,DCD Rev.19 Tier 1,ACTIVE,
V001A-IN,RCS-PL-V001A,V001A inlet,process_inlet,reactor coolant steam,4 in,in,VERIFIED_PUBLIC,SRC-0002,DCD Rev.19 Tier 1,ACTIVE,
V001A-OUT,RCS-PL-V001A,V001A outlet,process_outlet,reactor coolant steam,4 in,out,VERIFIED_PUBLIC,SRC-0002,DCD Rev.19 Tier 1,ACTIVE,
V011B-IN,RCS-PL-V011B,V011B inlet,process_inlet,reactor coolant steam,4 in,in,VERIFIED_PUBLIC,SRC-0002,DCD Rev.19 Tier 1,ACTIVE,
V011B-OUT,RCS-PL-V011B,V011B outlet,process_outlet,reactor coolant steam,4 in,out,VERIFIED_PUBLIC,SRC-0002,DCD Rev.19 Tier 1,ACTIVE,
V001B-IN,RCS-PL-V001B,V001B inlet,process_inlet,reactor coolant steam,4 in,in,VERIFIED_PUBLIC,SRC-0002,DCD Rev.19 Tier 1,ACTIVE,
V001B-OUT,RCS-PL-V001B,V001B outlet,process_outlet,reactor coolant steam,4 in,out,VERIFIED_PUBLIC,SRC-0002,DCD Rev.19 Tier 1,ACTIVE,
V012A-IN,RCS-PL-V012A,V012A inlet,process_inlet,reactor coolant steam,8 in,in,VERIFIED_PUBLIC,SRC-0002,DCD Rev.19 Tier 1,ACTIVE,
V012A-OUT,RCS-PL-V012A,V012A outlet,process_outlet,reactor coolant steam,8 in,out,VERIFIED_PUBLIC,SRC-0002,DCD Rev.19 Tier 1,ACTIVE,
V002A-IN,RCS-PL-V002A,V002A inlet,process_inlet,reactor coolant steam,8 in,in,VERIFIED_PUBLIC,SRC-0002,DCD Rev.19 Tier 1,ACTIVE,
V002A-OUT,RCS-PL-V002A,V002A outlet,process_outlet,reactor coolant steam,8 in,out,VERIFIED_PUBLIC,SRC-0002,DCD Rev.19 Tier 1,ACTIVE,
V012B-IN,RCS-PL-V012B,V012B inlet,process_inlet,reactor coolant steam,8 in,in,VERIFIED_PUBLIC,SRC-0002,DCD Rev.19 Tier 1,ACTIVE,
V012B-OUT,RCS-PL-V012B,V012B outlet,process_outlet,reactor coolant steam,8 in,out,VERIFIED_PUBLIC,SRC-0002,DCD Rev.19 Tier 1,ACTIVE,
V002B-IN,RCS-PL-V002B,V002B inlet,process_inlet,reactor coolant steam,8 in,in,VERIFIED_PUBLIC,SRC-0002,DCD Rev.19 Tier 1,ACTIVE,
V002B-OUT,RCS-PL-V002B,V002B outlet,process_outlet,reactor coolant steam,8 in,out,VERIFIED_PUBLIC,SRC-0002,DCD Rev.19 Tier 1,ACTIVE,
