record_id,penetration_or_hardware,scope,location,confirmed_hardware_or_record,configuration,evidence_state,source_ids,source_locator,status,resolved_now,remaining_targets,notes
PXS-U3-EPH-001,SV3-IDSB-EY-P30Z,Class-1E low-voltage instrumentation/communication electrical penetration assembly serving observed PXS/SFS circuits,"Auxiliary Building Room 12304 / containment electrical boundary / containment lower-ring shell plate S1-B4-A1","EPA P30Z-ORC; termination packages SV3-P30Z-EWW-1034726/-1034728; internal EMC/cable-support package SV3-IDSB-EYW-1031907; ASME III reports SV3-CNS-S3R-001 Rev.1 and SV3-CNS-MUR-001 Rev.1; containment sleeve E30 identifier AF435 / CMTR G23452-044CM, SA-350 Grade LF2 Class 1 forging family; ASME N-2 shell-plate serial IN-4948; E30 UT G23452-044U, MT G23452-044M and PT G23452-044P; Unit-3 Class-1E EPA conductor verification package SNC920985; Unit-3 EPCR records titled 'CMT Electrical Pen P30'",VOGTLE-3-CURRENT-PUBLIC,VERIFIED_PUBLIC,SRC-0002;SRC-0422;SRC-0425;SRC-0429;SRC-0438;SRC-0439;SRC-0440;SRC-0442,"AP1000 DCD Rev.19 Tier 2 Sec.8.3.1.1.6; ML20128J831 Sec.1A08; ML22193A291 Room 12304; ML20042E292 EPCR list; ML21355A376 Attachment A; ML19224B575 Attachment A; ML13207A241 pp.8-9 and p.26; ML18019A181 Attachment A",ACTIVE,"Physical penetration identity and room; low-voltage instrumentation/communication service classification; observed PXS/SFS terminations; dedicated internal EMC/support work; ASME Section III/code-report mapping; physical containment sleeve E30 on shell plate S1-B4-A1; sleeve identifier AF435 and CMTR identity; SA-350 Grade LF2 Class 1 sleeve material specification/application; UT/MT/PT record identities; installation/continuity verification scope","Recover individual Mirion EY01 final-data-package/serial record; explicit instrumentation/I&C datasheet callout; feedthrough/module population within the instrumentation/communication service class; exact sleeve/canister/header dimensions and installed coordinates; E30 CMTR chemistry/mechanical/impact values and material heat/lot identifiers as printed on the certificate; individual shop/field weld geometry; circuit-specific protection/isolation devices; seals; internal support/fastener detail; grounding/bonding; individual ORC/IRC terminal/module assignments; actual continuity/resistance and pressure/voltage/resistance test values","Certified AP1000 service-class separation means low-voltage power/control modules are not instantiated in P30Z without a plant-specific departure. Source EPCR title literally says 'CMT Electrical Pen P30'; do not expand CMT to Core Makeup Tank in this context"
PXS-U3-EPH-002,SV3-IDSB-EY-P31Y,Class-1E low-voltage power or combined low-voltage power/control electrical penetration assembly,"Auxiliary Building Room 12304 / containment electrical boundary / containment lower-ring shell plate S1-B4-A1","EPA P31Y-ORC; termination packages SV3-P31Y-EWW-1033892/-1034885; internal EMC/cable-support package SV3-IDSB-EYW-1029970; ASME III reports SV3-CNS-S3R-001 Rev.1 and SV3-CNS-MUR-001 Rev.1; containment sleeve E31 piece AF436 / CMTR G23452-045CM; ASME N-2 shell-plate serial IN-4948; EPA 3-E31-S test certificate G20818-045TC, heat J9KC096, SA-350 Grade LF2; E31 UT G23452-045U, MT G23452-045M and PT G23452-045P; Unit-3 Class-1E EPA conductor verification package SNC920985",VOGTLE-3-CURRENT-PUBLIC,VERIFIED_PUBLIC,SRC-0002;SRC-0422;SRC-0435;SRC-0438;SRC-0439;SRC-0440,"AP1000 DCD Rev.19 Tier 2 Sec.8.3.1.1.6; ML20128J831 Sec.1A08 and Sec.1A23; ML19135A691 p.41; ML21355A376 Attachment A; ML19224B575 Attachment A; ML13207A241 pp.57-59",ACTIVE,"Physical penetration identity and room; directly confirmed 600-V low-voltage power service; certified service-class rule limits compatible additional content to control power rather than I&C; V117A termination; ASME Section III/code-report mapping; physical containment sleeve E31 on shell plate S1-B4-A1; piece AF436, CMTR and SA-350 Grade LF2 test-certificate identity; UT/MT/PT record identities; installation/continuity verification scope","Recover individual Mirion EY01 serial/data sheet; determine whether P31Y is low-voltage-power-only or combined low-voltage-power/control and recover the complete compatible module population; canister/header/frame dimensions and installed coordinates; weld type/size/filler/PWHT details; primary/backup fuse IDs/ratings; conductor/module positions; V117A cable construction and power/control function; seals/glands; grounding; internal supports/fasteners; actual continuity/resistance and pressure/voltage/resistance values","ML20128J831 lists SV3-RNS-EW-PLV002BBXB as 600 V 4/C 240 KCMIL together with WO SV3-RNS-EWW-1030673 for cable pull from P31Y-IRC. The certified AP1000 basis permits low-voltage power and control power in the same EPA but separates instrumentation; therefore the earlier open target for a possible I&C module mix is closed. Source text also contains P31Y/P3IY OCR variation; controlled identifier retained as P31Y"
PXS-U3-EPH-003,"APP-1231-ER-001; APP-1231-ER-105; APP-1231-ER-106; APP-1231-ER-110",Room-12304 Class-1E tray/conduit arrangement serving penetration-room circuits,"Auxiliary Building Elevation 100-0 Room 12304 / adjacent Area 1","Class-1E cable-tray plan, conduit plans, sections/details and conduit/pull-box installation work package SV3-1230-ERW-1114086",VOGTLE-3-CURRENT-PUBLIC,VERIFIED_PUBLIC,SRC-0425,"ML22193A291 Room 12304 drawing/work-package list",ACTIVE,"Actual design drawing family for raceways and conduit supports around P30Z/P31Y and PMS equipment","Extract tray IDs; conduit IDs/sizes/material; pull boxes; tray/support types; elevations/coordinates; bend radii; fill; cable occupancy; support spacing; anchorage; grounding/bonding; fire-stop boundaries; route each PXS cable through specific segments","Do not derive routes solely from room/cabinet proximity"
PXS-U3-EPH-004,SV3-IDSB-EYW-1031907,P30Z internal EMC provisions and cable supports,"Auxiliary Building Room 12304","Dedicated construction work package installs EMC provisions and internal cable support for EPA P30Z-ORC",VOGTLE-3-CURRENT-PUBLIC,VERIFIED_PUBLIC,SRC-0425,"ML22193A291 work-package list",ACTIVE,"Dedicated P30Z internal support/EMC installation scope","Member/bracket shapes; material; quantity; attachment screws/bolts/welds; gland/frame details; bonding straps; EMC seal/gasket; support spacing; allowable cable bend/strain relief; inspection criteria; part numbers","Treat these as physical subcomponents of the penetration installation, not generic cable-routing metadata"
PXS-U3-EPH-005,SV3-IDSB-EYW-1029970,P31Y internal EMC provisions and cable supports,"Auxiliary Building Room 12304","Dedicated construction work package installs EMC provisions and internal cable support for EPA P31Y-ORC",VOGTLE-3-CURRENT-PUBLIC,VERIFIED_PUBLIC,SRC-0425,"ML22193A291 work-package list",ACTIVE,"Dedicated P31Y internal support/EMC installation scope","Internal brackets/supports; part numbers; fasteners; EMC provisions; grounding; module/gland interfaces; strain relief; inspection/acceptance; exact cable positions","Resolve OCR identifier variant against controlled drawing before geometry freeze"
PXS-U3-EPH-006,SV3-IDSA-EY-P12Y,"EY01 electrical-penetration EPCR family; source titles use 'CMT Electrical Pen P12'","Unit-3 Class-1E penetration boundary; exact room/interface to recover","Multiple Unit-3 EPCR records explicitly titled 'CMT Electrical Pen P12'",VOGTLE-3-CURRENT-PUBLIC,VERIFIED_PUBLIC,SRC-0429,"ML20042E292 Sec.1A04 lists E/C-SV3-IDSA-EY-P12Y EPCR records from 2016-2019",ACTIVE,"P12Y is a Unit-3 electrical-penetration family with controlled correction history and the literal public EPCR title is preserved","Define CMT acronym in this EPCR naming context from a controlled glossary/document; map individual cables/channels and equipment to P12Y; EPA modules; conductor assignments; dimensions; seals/supports; room/elevation; final accepted EPCR/as-built state","Do not interpret the EPCR acronym CMT as Core Makeup Tank or infer PXS service solely from the title; service classification requires cable schedules/termination records"
PXS-U3-EPH-007,SV3-IDSD-EY-P14Z,"EY01 electrical penetration / Mirion fabricated EPA; source EPCR titles use 'CMT Electrical Pen P14'","Unit-3 Class-1E containment penetration boundary","Mirion control 8461; two pressure-retaining end welds joining EPA canister/header interfaces; visible-liquid-penetrant report accepted two SA-240 to SA-333 Grade 6 welds at 0.75-in thickness; IPS-2412 Appendix A Data Sheet A dated 2016-10-31",VOGTLE-3-CONSTRUCTION-PUBLIC,VERIFIED_PUBLIC,SRC-0436;SRC-0429,"ML18226A348 Sec.1A12 / p.29 and p.103; ML20042E292 P14Z EPCR list",ACTIVE,"P14Z Mirion fabrication identity/control number, pressure-retaining weld count/function, joined material specifications/thickness and accepted NDE are public; literal EPCR naming is preserved without service inference","Recover exact SA-240 grade; canister/header geometry and which side uses each material; weld type/size; filler; dimensions; serial; conductor population; datasheet type; test values; field containment-shell weld; cables/channels; final EPCR/as-built state; controlled meaning of CMT acronym in EPCR title","Do not transfer P14Z material/weld details to other penetration tags and do not interpret 'CMT Electrical Pen' as Core Makeup Tank service without controlled evidence"
PXS-U3-EPH-008,SV3-IDSD-EY-P16Y,"EY01 electrical penetration / Mirion fabricated EPA; source EPCR titles use 'CMT Electrical Pen P16'","Unit-3 Class-1E containment penetration boundary","Mirion control 8454; two pressure-retaining end welds joining EPA canister/header interfaces; visible-liquid-penetrant report accepted two SA-240 to SA-333 Grade 6 welds at 0.75-in thickness; IPS-2412 Appendix A Data Sheet A dated 2014-07-16",VOGTLE-3-CONSTRUCTION-PUBLIC,VERIFIED_PUBLIC,SRC-0436;SRC-0429,"ML18226A348 Sec.1A12 / p.29 and p.103; ML20042E292 P16Y EPCR list",ACTIVE,"P16Y Mirion fabrication identity/control number, pressure-retaining weld count/function, joined material specifications/thickness and accepted NDE are public; literal EPCR naming is preserved without service inference","Recover exact SA-240 grade; canister/header geometry; weld type/size/filler; individual assembly serial; conductor modules; datasheet type; pressure/voltage/resistance test results; cables/channels; final EPCR/as-built disposition; controlled meaning of CMT acronym in EPCR title","Historical records may abbreviate P16; preserve P16Y as equipment identifier. Do not interpret 'CMT Electrical Pen' as Core Makeup Tank service without controlled evidence"
PXS-U3-EPH-009,SV3-IDSC-EY-P28Y,"EY01 electrical-penetration EPCR family; source titles use 'CMT Electrical Pen P28'","Unit-3 Class-1E penetration boundary; exact room/interface to recover","Unit-3 EPCR records explicitly titled 'CMT Electrical Pen P28'",VOGTLE-3-CURRENT-PUBLIC,VERIFIED_PUBLIC,SRC-0429,"ML20042E292 Sec.1A04 P28Y EPCR list",ACTIVE,"P28Y electrical-penetration identity and correction-record family; literal EPCR title preserved","Define CMT acronym in this EPCR context; per-cable/channel mapping; penetration modules/hardware; dimensions; seals; support/ground; location; division; final accepted as-built condition","Do not infer Core Makeup Tank service from the EPCR title"
PXS-U3-EPH-010,Unit-3 EY01 EPA fabrication family,Electrical penetration assembly pressure-boundary construction and acceptance testing,Containment electrical-penetration population,"Westinghouse and Mirion Technologies (Conax Nuclear) final fabrication/testing record family; NRC reviewed pressure testing, voltage testing, resistance testing and material composition under SV3-EY01-VQQ-001/-003",VOGTLE-3-CONSTRUCTION-PUBLIC,VERIFIED_PUBLIC,SRC-0435;SRC-0436,"ML19135A691 Sec.1A11; ML18226A348 Sec.1A12",ACTIVE,"Unit-3 EY01 EPA vendor/fabrication family and required acceptance-test domains","Recover serial-to-Pxx matrix; manufacturer serial plates; per-assembly materials; pressure test pressure/leak criteria; dielectric/insulation resistance values; conductor/module population; deviations; final certificates","Family-level row supports decomposition but does not assign an unsampled serial to P30Z/P31Y"
PXS-U3-EPH-011,Class-1E EPA conductor and protection subassembly,Feedthrough conductors and overcurrent-protection interfaces,Class-1E containment electrical penetrations,"Mirion EPA conductor-parameter basis APP-EY01-V7Y-001; Class-1E power/control fill/isolation datasheet APP-EY01-Z0D-010; penetration protection calculation APP-IDS-E0C-014",AP1000/VOGTLE,VERIFIED_PUBLIC,SRC-0434,"ML17013A658 Verification of Penetration Protection",ACTIVE,"Public design explicitly treats conductor size/fill/isolation, penetration thermal I-squared-t limits and primary/backup fuse protection as physical/electrical design attributes","Recover per-penetration conductor counts/sizes/materials; feedthrough construction; header seals; feeder designation; primary and backup fuse IDs/ratings; thermal-limit curves; isolation barriers; termination hardware; test points","Do not invent fuse ratings or conductor counts from cable gauge; actual calculation/datasheet tables are required"
PXS-U3-EPH-012,SV3-EY01-MLK-886761 / SV3-1100-P0-909-R3,Containment-shell EPA weld and geometry basis,Steel containment vessel electrical-penetration interfaces,"Unit-3 EY01 weld map plus EPA detail drawing are controlled public construction records; lower-ring fabrication records independently tie E30/E31 sleeves to S1-B4-A1",VOGTLE-3-CONSTRUCTION-PUBLIC,VERIFIED_PUBLIC,SRC-0436;SRC-0440,"ML18226A348 p.103; ML13207A241 pp.57-59",ACTIVE,"Named Unit-3 weld-map and construction-detail drawing families plus physical E30/E31 sleeve-to-shell-plate fabrication traceability","Recover weld-map sheet 2; penetration-to-weld IDs; shell insert/sleeve/flange/header geometry; coordinates/orientation; material specs; weld types/sizes/filler; final field welds; supports; insulation/coatings; construction tolerances","E30/E31 shop-fabrication traceability is no longer abstract, but exact installed penetration geometry still requires the EY01/CNS drawings and as-built report pages"
